all_contract_accuracy,all_contract_retention,all_contract_wins,all_contracts,all_total_contracts,all_total_trades,all_trade_accuracy,all_trade_retention,all_trade_wins,all_trades,dataset,family,holdout_contract_accuracy,holdout_contract_retention,holdout_contract_wins,holdout_contracts,holdout_total_contracts,holdout_total_trades,holdout_trade_accuracy,holdout_trade_retention,holdout_trade_wins,holdout_trades,label,observed_pass,rule_id,target_pass,train_contract_accuracy,train_contract_retention,train_contract_wins,train_contracts,train_total_contracts,train_total_trades,train_trade_accuracy,train_trade_retention,train_trade_wins,train_trades,validation_contract_accuracy,validation_contract_retention,validation_contract_wins,validation_contracts,validation_total_contracts,validation_total_trades,validation_trade_accuracy,validation_trade_retention,validation_trade_wins,validation_trades
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,boundary_v28_sigma,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,ask<=90; margin/v28_sigma>=1.25,False,physics_rule_00033,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,brownian_v28_sigma,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,ask<=90; Phi(margin/v28_sigma)>=0.9,False,physics_rule_00044,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,boundary_v28_sigma,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,ask<=92; margin/v28_sigma>=1.25,False,physics_rule_00073,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,brownian_v28_sigma,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,ask<=92; Phi(margin/v28_sigma)>=0.9,False,physics_rule_00084,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,boundary_v28_sigma,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,ask<=95; margin/v28_sigma>=1.25,False,physics_rule_00113,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,brownian_v28_sigma,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,ask<=95; Phi(margin/v28_sigma)>=0.9,False,physics_rule_00124,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,boundary_v28_sigma,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,ask<=100; margin/v28_sigma>=1.25,False,physics_rule_00153,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,brownian_v28_sigma,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,ask<=100; Phi(margin/v28_sigma)>=0.9,False,physics_rule_00164,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,conservative_drift_prob,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,"ask<=90; min(v28_brownian, drift5/rv15)>=0.9",False,physics_rule_00506,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,conservative_drift_prob,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,"ask<=90; min(v28_brownian, drift5/rv30)>=0.9",False,physics_rule_00515,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,conservative_drift_prob,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,"ask<=90; min(v28_brownian, drift10/rv15)>=0.9",False,physics_rule_00561,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,conservative_drift_prob,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,"ask<=90; min(v28_brownian, drift10/rv30)>=0.9",False,physics_rule_00570,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,conservative_drift_prob,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,"ask<=92; min(v28_brownian, drift5/rv15)>=0.9",False,physics_rule_00726,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,conservative_drift_prob,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,"ask<=92; min(v28_brownian, drift5/rv30)>=0.9",False,physics_rule_00735,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,conservative_drift_prob,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,"ask<=92; min(v28_brownian, drift10/rv15)>=0.9",False,physics_rule_00781,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,conservative_drift_prob,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,"ask<=92; min(v28_brownian, drift10/rv30)>=0.9",False,physics_rule_00790,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,conservative_drift_prob,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,"ask<=95; min(v28_brownian, drift5/rv15)>=0.9",False,physics_rule_00946,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,conservative_drift_prob,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,"ask<=95; min(v28_brownian, drift5/rv30)>=0.9",False,physics_rule_00955,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,conservative_drift_prob,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,"ask<=95; min(v28_brownian, drift10/rv15)>=0.9",False,physics_rule_01001,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,conservative_drift_prob,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,"ask<=95; min(v28_brownian, drift10/rv30)>=0.9",False,physics_rule_01010,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,conservative_drift_prob,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,"ask<=100; min(v28_brownian, drift5/rv15)>=0.9",False,physics_rule_01166,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,conservative_drift_prob,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,"ask<=100; min(v28_brownian, drift5/rv30)>=0.9",False,physics_rule_01175,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,conservative_drift_prob,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,"ask<=100; min(v28_brownian, drift10/rv15)>=0.9",False,physics_rule_01221,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.046357615894039736,14,14,302,151,1.0,0.046357615894039736,7,7,first_per_market,conservative_drift_prob,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,"ask<=100; min(v28_brownian, drift10/rv30)>=0.9",False,physics_rule_01230,False,1.0,0.044444444444444446,8,8,180,90,1.0,0.044444444444444446,4,4,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.039735099337748346,12,12,302,151,1.0,0.039735099337748346,6,6,first_per_market,conservative_drift_prob,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,"ask<=90; min(v28_brownian, drift3/rv15)>=0.9",False,physics_rule_00451,False,1.0,0.03333333333333333,6,6,180,90,1.0,0.03333333333333333,3,3,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.039735099337748346,12,12,302,151,1.0,0.039735099337748346,6,6,first_per_market,conservative_drift_prob,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,"ask<=90; min(v28_brownian, drift3/rv30)>=0.9",False,physics_rule_00460,False,1.0,0.03333333333333333,6,6,180,90,1.0,0.03333333333333333,3,3,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.039735099337748346,12,12,302,151,1.0,0.039735099337748346,6,6,first_per_market,conservative_drift_prob,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,"ask<=92; min(v28_brownian, drift3/rv15)>=0.9",False,physics_rule_00671,False,1.0,0.03333333333333333,6,6,180,90,1.0,0.03333333333333333,3,3,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
1.0,0.039735099337748346,12,12,302,151,1.0,0.039735099337748346,6,6,first_per_market,conservative_drift_prob,1.0,0.06451612903225806,4,4,62,31,1.0,0.06451612903225806,2,2,"ask<=92; min(v28_brownian, drift3/rv30)>=0.9",False,physics_rule_00680,False,1.0,0.03333333333333333,6,6,180,90,1.0,0.03333333333333333,3,3,1.0,0.03333333333333333,2,2,60,30,1.0,0.03333333333333333,1,1
