rule,suppressed_exits,suppressed_share,adjusted_net_dollars,delta_vs_branch_actual_dollars,hurtful_exits_suppressed,helpful_exits_suppressed,train_adjusted_net,validation_adjusted_net,holdout_adjusted_net,train_suppressed,validation_suppressed,holdout_suppressed,all_splits_nonworse,diagnostic_pass
suppress_collapse_exit_if_exit_exit_bid_cents<=45 AND exit_btc_age_ms<=300,9,0.13432835820895522,-33.78000000000001,6.640000000000001,5,4,-20.040000000000003,-8.280000000000001,-5.46,3,6,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.6 AND position_seconds<=45,23,0.34328358208955223,-33.84,6.580000000000005,17,6,-16.96,-13.3,-3.58,15,2,6,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND entry_to_exit_loss_cents>=10,8,0.11940298507462686,-33.90000000000001,6.519999999999996,6,2,-16.66,-14.580000000000002,-2.66,6,0,2,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents>=15 AND fair_minus_exit_bid_cents>=15,5,0.07462686567164178,-33.90000000000001,6.519999999999996,3,2,-18.360000000000003,-10.080000000000002,-5.46,3,2,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=60 AND exit_sigma_t_dollars>=75,13,0.19402985074626866,-33.98000000000001,6.439999999999998,11,2,-18.060000000000002,-14.580000000000002,-1.3399999999999999,9,0,4,True,True
suppress_collapse_exit_if_exit_btc_age_ms<=300 AND fair_minus_exit_bid_cents>=15,6,0.08955223880597014,-34.00000000000001,6.420000000000002,4,2,-18.460000000000004,-10.080000000000002,-5.46,4,2,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.7 AND exit_fair_drawdown_cents<=10,8,0.11940298507462686,-34.02000000000001,6.399999999999999,7,1,-18.1,-14.580000000000002,-1.3399999999999999,4,0,4,True,True
suppress_collapse_exit_if_exit_p_hold>=0.7 AND position_seconds<=180,11,0.16417910447761194,-34.12000000000001,6.299999999999997,9,2,-18.200000000000003,-14.580000000000002,-1.3399999999999999,7,0,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=80 AND exit_btc_age_ms<=300,13,0.19402985074626866,-34.16000000000001,6.259999999999998,9,4,-20.160000000000004,-8.54,-5.46,7,6,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=80 AND exit_btc_age_ms<=500,13,0.19402985074626866,-34.16000000000001,6.259999999999998,9,4,-20.160000000000004,-8.54,-5.46,7,6,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=80 AND exit_sigma_t_dollars>=75,7,0.1044776119402985,-34.26000000000001,6.159999999999997,6,1,-19.860000000000003,-8.94,-5.46,5,2,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds>=180,4,0.05970149253731343,-34.26000000000001,6.159999999999997,3,1,-19.860000000000003,-8.94,-5.46,2,2,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents>=15 AND position_seconds>=180,5,0.07462686567164178,-34.34000000000001,6.079999999999998,3,2,-19.940000000000005,-8.94,-5.46,3,2,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=10,5,0.07462686567164178,-34.42000000000001,6.0,4,1,-18.880000000000006,-10.080000000000002,-5.46,3,2,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_fair_drawdown_cents<=10,15,0.22388059701492538,-34.50000000000001,5.920000000000002,11,4,-16.259999999999998,-14.580000000000002,-3.66,9,0,6,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms>=500,9,0.13432835820895522,-34.52000000000001,5.899999999999999,7,2,-18.6,-14.580000000000002,-1.3399999999999999,5,0,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents<=0,5,0.07462686567164178,-34.56000000000001,5.859999999999999,4,1,-20.160000000000004,-8.94,-5.46,3,2,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=60 AND position_seconds<=90,18,0.26865671641791045,-34.720000000000006,5.700000000000003,14,4,-20.080000000000005,-13.3,-1.3399999999999999,12,2,4,True,True
suppress_collapse_exit_if_exit_p_hold>=0.68 AND exit_fair_drawdown_cents<=8,7,0.1044776119402985,-34.76000000000001,5.659999999999997,6,1,-18.840000000000007,-14.580000000000002,-1.3399999999999999,3,0,4,True,True
suppress_collapse_exit_if_exit_p_hold>=0.7 AND exit_fair_drawdown_cents<=8,7,0.1044776119402985,-34.76000000000001,5.659999999999997,6,1,-18.840000000000007,-14.580000000000002,-1.3399999999999999,3,0,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_fair_drawdown_cents<=4,6,0.08955223880597014,-34.84000000000001,5.579999999999998,6,0,-16.119999999999997,-14.580000000000002,-4.14,4,0,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds<=45,18,0.26865671641791045,-34.88000000000001,5.539999999999999,12,6,-19.880000000000003,-13.660000000000002,-1.3399999999999999,11,3,4,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=60 AND exit_p_hold>=0.7,9,0.13432835820895522,-35.10000000000001,5.32,8,1,-19.180000000000003,-14.580000000000002,-1.3399999999999999,5,0,4,True,True
suppress_collapse_exit_if_exit_p_hold>=0.6 AND exit_sigma_t_dollars>=75,15,0.22388059701492538,-35.220000000000006,5.200000000000003,12,3,-19.300000000000004,-14.580000000000002,-1.3399999999999999,11,0,4,True,True
suppress_collapse_exit_if_exit_p_hold>=0.6 AND exit_fair_drawdown_cents<=10,18,0.26865671641791045,-35.260000000000005,5.160000000000004,12,6,-17.020000000000003,-14.580000000000002,-3.66,12,0,6,True,True
suppress_collapse_exit_if_position_seconds<=180 AND fair_minus_exit_bid_cents>=15,9,0.13432835820895522,-35.26000000000001,5.159999999999997,5,4,-19.720000000000002,-10.080000000000002,-5.46,7,2,0,True,True
suppress_collapse_exit_if_exit_btc_age_ms<=100 AND fair_minus_exit_bid_cents>=15,4,0.05970149253731343,-35.56000000000001,4.859999999999999,3,1,-20.020000000000007,-10.080000000000002,-5.46,2,2,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.6 AND exit_fair_drawdown_cents<=4,9,0.13432835820895522,-35.600000000000016,4.819999999999993,7,2,-16.88,-14.580000000000002,-4.14,7,0,2,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_p_hold>=0.7,11,0.16417910447761194,-35.62000000000001,4.799999999999997,9,2,-19.700000000000006,-14.580000000000002,-1.3399999999999999,7,0,4,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=55 AND exit_p_hold>=0.7,11,0.16417910447761194,-35.62000000000001,4.799999999999997,9,2,-19.700000000000006,-14.580000000000002,-1.3399999999999999,7,0,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_p_hold>=0.7,11,0.16417910447761194,-35.62000000000001,4.799999999999997,9,2,-19.700000000000006,-14.580000000000002,-1.3399999999999999,7,0,4,True,True
suppress_collapse_exit_if_exit_p_hold>=0.65 AND exit_fair_drawdown_cents<=4,7,0.1044776119402985,-35.64000000000001,4.780000000000001,6,1,-16.919999999999998,-14.580000000000002,-4.14,5,0,2,True,True
suppress_collapse_exit_if_exit_entry_basis_cents<=70 AND exit_btc_age_ms<=100,7,0.1044776119402985,-35.680000000000014,4.739999999999995,4,3,-19.340000000000003,-10.880000000000003,-5.46,3,4,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=60 AND exit_fair_drawdown_cents<=8,5,0.07462686567164178,-35.740000000000016,4.679999999999993,5,0,-19.820000000000004,-14.580000000000002,-1.3399999999999999,1,0,4,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=65 AND exit_fair_drawdown_cents<=8,5,0.07462686567164178,-35.740000000000016,4.679999999999993,5,0,-19.820000000000004,-14.580000000000002,-1.3399999999999999,1,0,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=70 AND exit_fair_drawdown_cents<=8,5,0.07462686567164178,-35.740000000000016,4.679999999999993,5,0,-19.820000000000004,-14.580000000000002,-1.3399999999999999,1,0,4,True,True
suppress_collapse_exit_if_exit_p_hold>=0.7 AND position_seconds<=45,8,0.11940298507462686,-35.76000000000001,4.659999999999997,7,1,-19.840000000000007,-14.580000000000002,-1.3399999999999999,4,0,4,True,True
suppress_collapse_exit_if_exit_p_hold>=0.6 AND exit_sigma_t_dollars>=100,6,0.08955223880597014,-35.820000000000014,4.599999999999994,6,0,-15.779999999999998,-14.580000000000002,-5.46,6,0,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=65 AND exit_p_hold>=0.7,8,0.11940298507462686,-35.84000000000001,4.579999999999998,7,1,-19.920000000000005,-14.580000000000002,-1.3399999999999999,4,0,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=80 AND exit_btc_age_ms<=100,8,0.11940298507462686,-35.84000000000001,4.579999999999998,5,3,-19.240000000000006,-11.14,-5.46,4,4,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.7 AND position_seconds<=90,10,0.14925373134328357,-35.92000000000001,4.5,8,2,-20.000000000000004,-14.580000000000002,-1.3399999999999999,6,0,4,True,True
suppress_collapse_exit_if_exit_btc_age_ms<=100 AND position_seconds<=45,10,0.14925373134328357,-36.04000000000001,4.3799999999999955,6,4,-18.200000000000003,-12.380000000000003,-5.46,7,3,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=60 AND fair_minus_exit_bid_cents>=5,4,0.05970149253731343,-36.140000000000015,4.279999999999994,4,0,-18.900000000000006,-14.580000000000002,-2.66,2,0,2,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND exit_btc_age_ms>=500,9,0.13432835820895522,-36.24000000000001,4.18,6,3,-20.320000000000007,-14.580000000000002,-1.3399999999999999,5,0,4,True,True
suppress_collapse_exit_if_exit_p_hold>=0.7 AND exit_btc_age_ms>=800,4,0.05970149253731343,-36.30000000000001,4.119999999999997,4,0,-20.380000000000006,-14.580000000000002,-1.3399999999999999,0,0,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms>=800,4,0.05970149253731343,-36.30000000000001,4.119999999999997,4,0,-20.380000000000006,-14.580000000000002,-1.3399999999999999,0,0,4,True,True
suppress_collapse_exit_if_exit_btc_age_ms>=800 AND position_seconds<=45,4,0.05970149253731343,-36.30000000000001,4.119999999999997,4,0,-20.380000000000006,-14.580000000000002,-1.3399999999999999,0,0,4,True,True
suppress_collapse_exit_if_exit_btc_age_ms>=800 AND position_seconds<=90,4,0.05970149253731343,-36.30000000000001,4.119999999999997,4,0,-20.380000000000006,-14.580000000000002,-1.3399999999999999,0,0,4,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=55 AND exit_fair_drawdown_cents<=10,13,0.19402985074626866,-36.40000000000001,4.019999999999996,9,4,-18.160000000000004,-14.580000000000002,-3.66,7,0,6,True,True
suppress_collapse_exit_if_exit_entry_basis_cents<=70 AND exit_p_hold>=0.6,7,0.1044776119402985,-36.580000000000005,3.8400000000000034,5,2,-16.54,-14.580000000000002,-5.46,7,0,0,True,True
