dataset,base_model,block_kind,block,rows,brier_delta,logloss_delta
all_heartbeats,v37_piecewise_dynamic_temp_antipersist3,block20,11,932,9.668259274397961e-06,5.05485559347818e-05
all_heartbeats,v37_piecewise_dynamic_temp_antipersist3,block20,12,931,1.199319095518403e-05,3.0757690534288784e-05
all_heartbeats,v37_piecewise_dynamic_temp_antipersist3,block20,13,988,-1.996728730915831e-05,-9.975133419182214e-05
all_heartbeats,v37_piecewise_dynamic_temp_antipersist3,block20,14,934,-6.467268649640312e-06,-2.293437288641842e-05
all_heartbeats,v37_piecewise_dynamic_temp_antipersist3,block20,15,965,-7.359036455620305e-05,-0.00015062568173435098
all_heartbeats,v37_piecewise_dynamic_temp_antipersist3,block20,16,929,0.0006899900028480982,0.001483101568126144
all_heartbeats,v37_piecewise_dynamic_temp_antipersist3,block20,17,993,-1.776036703772521e-05,-2.0835739015512278e-05
all_heartbeats,v37_piecewise_dynamic_temp_antipersist3,block20,18,931,-0.00034572350802644647,-0.0007025392189080049
all_heartbeats,v37_piecewise_dynamic_temp_antipersist3,block20,19,952,-0.0006342740666220315,-0.0014104070538587532
minute_bucket,v34_material_antipersist3,block10,0,494,-0.0001808147309234065,-0.0006792730268010416
minute_bucket,v34_material_antipersist3,block10,1,493,6.093018645350612e-05,-0.0002794576231642809
minute_bucket,v34_material_antipersist3,block10,2,495,0.00013250999084998827,0.00022513179171534947
minute_bucket,v34_material_antipersist3,block10,3,495,-0.0002835634515355179,-0.000887690066615543
minute_bucket,v34_material_antipersist3,block10,4,480,-4.949317943869769e-06,-0.0001401044294104814
minute_bucket,v34_material_antipersist3,block10,5,481,-0.00017289765564595938,-0.00035079496974116386
minute_bucket,v34_material_antipersist3,block10,6,493,-0.0002890994633497068,-0.0010095595378842859
minute_bucket,v34_material_antipersist3,block10,7,489,1.513527132647463e-05,-0.0004144127850612134
minute_bucket,v34_material_antipersist3,block10,8,495,0.00026089585732301523,0.00028511114573037677
minute_bucket,v34_material_antipersist3,block10,9,483,-0.0006998730554213517,-0.001617497994011119
minute_bucket,v34_material_antipersist3,block20,0,254,-0.00017355267091323512,-0.0006213707958698245
minute_bucket,v34_material_antipersist3,block20,1,240,-0.00018850041110091142,-0.0007405528878698941
minute_bucket,v34_material_antipersist3,block20,2,254,0.00012581595579688742,8.322192183912724e-05
minute_bucket,v34_material_antipersist3,block20,3,239,-8.027911509805863e-06,-0.0006648994827078702
minute_bucket,v34_material_antipersist3,block20,4,255,0.00011033497242703139,-7.671467677577981e-05
minute_bucket,v34_material_antipersist3,block20,5,240,0.00015607094792438603,0.0005458436644871778
minute_bucket,v34_material_antipersist3,block20,6,255,-0.0002022086463101258,-0.0006420436568453924
minute_bucket,v34_material_antipersist3,block20,7,240,-0.00037000293208752644,-0.0011486893769964146
minute_bucket,v34_material_antipersist3,block20,8,254,-1.864744617802172e-06,-0.00014596056752885778
minute_bucket,v34_material_antipersist3,block20,9,226,-8.416050797072083e-06,-0.00013352275205630315
minute_bucket,v34_material_antipersist3,block20,10,240,-0.00029547648765496093,-0.0002649532026894885
minute_bucket,v34_material_antipersist3,block20,11,241,-5.082744949590212e-05,-0.00043628054688810147
minute_bucket,v34_material_antipersist3,block20,12,239,-0.00041143702224460954,-0.0012376997562663639
minute_bucket,v34_material_antipersist3,block20,13,254,-0.00017398656344455588,-0.0007948921670444253
minute_bucket,v34_material_antipersist3,block20,14,240,-2.043544858526536e-06,-0.0008457907241309348
minute_bucket,v34_material_antipersist3,block20,15,249,3.169316644453801e-05,1.373180307184807e-06
minute_bucket,v34_material_antipersist3,block20,16,240,0.0007597310312945499,0.0015000091038084307
minute_bucket,v34_material_antipersist3,block20,17,255,-0.00020859607112080902,-0.0008583222265783341
minute_bucket,v34_material_antipersist3,block20,18,239,-0.00029118996077576176,-0.00033663981114839814
minute_bucket,v34_material_antipersist3,block20,19,244,-0.0011001814964881063,-0.0028721090829629814
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block10,0,494,-6.489092975134336e-05,-0.00013698991535293636
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block10,1,493,-2.9961179639020896e-05,-9.258709408432875e-05
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block10,2,495,-1.107829817242889e-06,5.985202288227853e-07
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block10,3,495,6.1574507633499476e-06,2.157370256850033e-05
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block10,4,480,-1.2870901744121976e-05,-2.7620199172184723e-05
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block10,5,481,-1.2945963526439508e-05,-3.897535199470781e-05
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block10,6,493,-4.025075786534549e-06,-3.667230547177436e-05
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block10,7,489,-4.891255607848699e-05,-0.00010398018763740913
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block10,8,495,0.000407595055734844,0.000876250956442115
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block10,9,483,-0.0006007360969108033,-0.0012917197519255463
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block20,0,254,-0.00010145409520154192,-0.00021053243872276584
minute_bucket,v37_piecewise_dynamic_temp_antipersist3,block20,1,240,-2.6194912983279472e-05,-5.915741145323672e-05
