lock_name,rule,kept,base,retention,wins,losses,accuracy,net_pnl_cents,net_delta_vs_base,diagnostic_only
book_margin_delayed_adv100_brownian55,adverse15<=100,81,81,1.0,55,26,0.6790123456790124,-261.0,0.0,True
book_margin_delayed_adv100_brownian55,touch_loss<=0.95,81,81,1.0,55,26,0.6790123456790124,-261.0,0.0,True
book_margin_delayed_adv100_brownian55,book>=0.55,81,81,1.0,55,26,0.6790123456790124,-261.0,0.0,True
book_margin_delayed_adv100_brownian55,book>=0.60,81,81,1.0,55,26,0.6790123456790124,-261.0,0.0,True
book_margin_delayed_adv100_brownian55,signal_score>=0.55,81,81,1.0,55,26,0.6790123456790124,-261.0,0.0,True
book_margin_delayed_adv100_brownian55,signal_score>=0.60,81,81,1.0,55,26,0.6790123456790124,-261.0,0.0,True
score_min60_gap020,score>=0.70,33,91,0.3626373626373626,23,10,0.696969696969697,-261.0,-81.0,True
book_margin_delayed_adv100_brownian55,adverse15<=25,66,81,0.8148148148148148,44,22,0.6666666666666666,-262.0,-1.0,True
book_margin_delayed_adv100_brownian55,touch_loss<=0.85,69,81,0.8518518518518519,47,22,0.6811594202898551,-264.0,-3.0,True
hazard_fallback_logit55_wait8,adverse15<=50,52,61,0.8524590163934426,35,17,0.6730769230769231,-275.0,-47.0,True
kinetic_touch,score>=0.55,134,134,1.0,89,45,0.664179104477612,-285.0,0.0,True
kinetic_touch,touch_loss<=0.95,134,134,1.0,89,45,0.664179104477612,-285.0,0.0,True
kinetic_touch,signal_score>=0.55,134,134,1.0,89,45,0.664179104477612,-285.0,0.0,True
book_margin_delayed_adv100_brownian55,score>=0.70,22,81,0.2716049382716049,15,7,0.6818181818181818,-285.0,-24.0,True
v2_wait_score_min60_early,hazard>=0.50,38,101,0.37623762376237624,26,12,0.6842105263157895,-287.0,-92.0,True
book_refmargin_score_switch,score>=0.60,66,78,0.8461538461538461,45,21,0.6818181818181818,-300.0,-185.0,True
book_margin_delayed_adv100_brownian55,adverse15<=10,60,81,0.7407407407407407,39,21,0.65,-302.0,-41.0,True
kinetic_price_guard,book>=0.60,68,107,0.6355140186915887,43,25,0.6323529411764706,-302.0,-313.0,True
hazard_fallback_logit55_wait8,book>=0.60,59,61,0.9672131147540983,40,19,0.6779661016949152,-305.0,-77.0,True
hazard_fallback_logit55_wait8,blend>=0.60,46,61,0.7540983606557377,31,15,0.6739130434782609,-306.0,-78.0,True
kinetic_touch,ask<=75,115,134,0.8582089552238806,73,42,0.6347826086956522,-308.0,-23.0,True
book_margin_delayed_adv100_brownian55,adverse15<=0,56,81,0.691358024691358,36,20,0.6428571428571429,-308.0,-47.0,True
kinetic_touch,adverse15<=50,111,134,0.8283582089552238,72,39,0.6486486486486487,-311.0,-26.0,True
v2_wait_score_min60_brownian70_early,hazard>=0.50,37,97,0.38144329896907214,25,12,0.6756756756756757,-311.0,-204.0,True
kinetic_touch,adverse15<=100,118,134,0.8805970149253731,77,41,0.652542372881356,-314.0,-29.0,True
kinetic_combo_price_guard,score>=0.65,37,100,0.37,22,15,0.5945945945945946,-320.0,-512.0,True
kinetic_combo_price_guard,signal_score>=0.65,37,100,0.37,22,15,0.5945945945945946,-320.0,-512.0,True
kinetic_path_confirm,score>=0.65,86,118,0.7288135593220338,64,22,0.7441860465116279,-322.0,-315.0,True
kinetic_path_confirm,signal_score>=0.65,86,118,0.7288135593220338,64,22,0.7441860465116279,-322.0,-315.0,True
book_margin_delayed_adv100_brownian55,adverse15<=50,74,81,0.9135802469135802,49,25,0.6621621621621622,-323.0,-62.0,True
hazard_fallback_logit55_wait8,score>=0.60,54,61,0.8852459016393442,36,18,0.6666666666666666,-329.0,-101.0,True
score_min60_gap020,score>=0.60,77,91,0.8461538461538461,53,24,0.6883116883116883,-333.0,-153.0,True
kinetic_touch,adverse15<=25,101,134,0.753731343283582,65,36,0.6435643564356436,-336.0,-51.0,True
kinetic_price_guard,score>=0.65,36,107,0.3364485981308411,21,15,0.5833333333333334,-339.0,-350.0,True
kinetic_price_guard,signal_score>=0.65,36,107,0.3364485981308411,21,15,0.5833333333333334,-339.0,-350.0,True
hazard_mean_touch80,hazard>=0.50,38,69,0.5507246376811594,25,13,0.6578947368421053,-341.0,-333.0,True
score_min60_gap020,score>=0.65,54,91,0.5934065934065934,37,17,0.6851851851851852,-342.0,-162.0,True
book_refmargin_score_switch,score>=0.65,45,78,0.5769230769230769,30,15,0.6666666666666666,-346.0,-231.0,True
