model,entry_policy,exit_policy,entry_edge_floor_cents,entry_ask_cap_cents,entry_min_p_side,entry_max_seconds_to_close,entry_min_seconds_to_close,train_markets,train_trades,train_coverage,train_pnl_dollars,train_cost_dollars,train_roi,train_fee_dollars,train_net_after_fees_dollars,train_net_roi_after_fees,train_net_after_fees_1c_entry_dollars,train_net_after_fees_1c_roundtrip_dollars,train_wins,train_losses,train_settled_count,train_exit_count,train_avg_entry_ask,train_avg_entry_edge,train_avg_entry_p_side,train_avg_entry_seconds_to_close,validation_markets,validation_trades,validation_coverage,validation_pnl_dollars,validation_cost_dollars,validation_roi,validation_fee_dollars,validation_net_after_fees_dollars,validation_net_roi_after_fees,validation_net_after_fees_1c_entry_dollars,validation_net_after_fees_1c_roundtrip_dollars,validation_wins,validation_losses,validation_settled_count,validation_exit_count,validation_avg_entry_ask,validation_avg_entry_edge,validation_avg_entry_p_side,validation_avg_entry_seconds_to_close,holdout_markets,holdout_trades,holdout_coverage,holdout_pnl_dollars,holdout_cost_dollars,holdout_roi,holdout_fee_dollars,holdout_net_after_fees_dollars,holdout_net_roi_after_fees,holdout_net_after_fees_1c_entry_dollars,holdout_net_after_fees_1c_roundtrip_dollars,holdout_wins,holdout_losses,holdout_settled_count,holdout_exit_count,holdout_avg_entry_ask,holdout_avg_entry_edge,holdout_avg_entry_p_side,holdout_avg_entry_seconds_to_close,all_markets,all_trades,all_coverage,all_pnl_dollars,all_cost_dollars,all_roi,all_fee_dollars,all_net_after_fees_dollars,all_net_roi_after_fees,all_net_after_fees_1c_entry_dollars,all_net_after_fees_1c_roundtrip_dollars,all_wins,all_losses,all_settled_count,all_exit_count,all_avg_entry_ask,all_avg_entry_edge,all_avg_entry_p_side,all_avg_entry_seconds_to_close,min_split_coverage,min_split_pnl_dollars,min_split_net_after_fees_dollars,min_split_net_after_fees_1c_roundtrip_dollars,all_splits_positive,all_splits_net_after_fees_positive,all_splits_net_after_fees_1c_roundtrip_positive,eligible_80,veto_policy,veto_low,veto_high,min_split_net_after_fees_1c_entry_dollars,all_splits_1c_entry_positive,positive_1c_days,total_days,worst_1c_day_cents,block10_positive,block10_worst_cents,block20_positive,block20_worst_cents
v38_long60_antipersist,edge-2_ask100_p0.64_stc0-570,hold,-2.0,100.0,0.64,570.0,0.0,223,195,0.874439461883408,11.28,314.72,0.03584138281647178,4.63,6.6499999999999995,0.02112989323843416,2.7499999999999996,2.7499999999999996,163,32,195,0,80.6974358974359,3.934320404355034,0.8463175630179095,429.979,74,65,0.8783783783783784,-2.0,104.0,-0.019230769230769232,1.62,-3.62,-0.03480769230769231,-4.92,-4.92,51,14,65,0,80.0,4.586522490198061,0.8458652249019807,495.8527384615385,75,60,0.8,-4.02,100.02,-0.04019196160767846,1.34,-5.359999999999999,-0.05358928214357128,-6.56,-6.56,48,12,60,0,83.35,1.9748493943384682,0.8532484939433846,418.0231,372,320,0.8602150537634409,5.26,518.74,0.010139954505147087,7.59,-2.33,-0.004491652851139299,-8.73,-8.73,262,58,320,0,81.053125,3.699398138663793,0.8475252313866379,441.11787187500005,0.8,-4.02,-5.359999999999999,-6.56,False,False,False,True,block_first_edge_10_18,10.0,18.0,-6.56,False,2,5,-506.0,4,-577.0,11,-641.0
v38_long60_antipersist,edge-2_ask100_p0.64_stc0-570,prob49,-2.0,100.0,0.64,570.0,0.0,223,195,0.874439461883408,11.48,314.72,0.036476868327402136,6.29,5.19,0.016490849008642602,1.2900000000000005,0.3300000000000005,163,32,147,48,80.6974358974359,3.934320404355034,0.8463175630179095,429.979,74,65,0.8783783783783784,4.24,104.0,0.04076923076923077,2.21,2.0300000000000002,0.01951923076923077,0.7300000000000002,0.3900000000000002,51,14,48,17,80.0,4.586522490198061,0.8458652249019807,495.8527384615385,75,60,0.8,-0.82,100.02,-0.008198360327934412,1.97,-2.79,-0.027894421115776846,-3.99,-4.33,48,12,43,17,83.35,1.9748493943384682,0.8532484939433846,418.0231,372,320,0.8602150537634409,14.9,518.74,0.028723445271234143,10.47,4.43,0.00853992366117901,-1.9700000000000006,-3.6100000000000003,262,58,238,82,81.053125,3.699398138663793,0.8475252313866379,441.11787187500005,0.8,-0.82,-2.79,-4.33,False,False,False,True,block_first_edge_10_18,10.0,18.0,-3.99,False,2,5,-455.0,5,-552.0,10,-415.0
v38_long60_antipersist,edge-2_ask100_p0.64_stc0-570,prob50,-2.0,100.0,0.64,570.0,0.0,223,195,0.874439461883408,11.98,314.72,0.03806558210472801,6.29,5.69,0.018079562785968478,1.7900000000000005,0.8300000000000005,163,32,147,48,80.6974358974359,3.934320404355034,0.8463175630179095,429.979,74,65,0.8783783783783784,4.58,104.0,0.04403846153846154,2.22,2.36,0.022692307692307692,1.0599999999999998,0.7199999999999998,51,14,48,17,80.0,4.586522490198061,0.8458652249019807,495.8527384615385,75,60,0.8,-0.48,100.02,-0.004799040191961607,1.97,-2.45,-0.024495100979804042,-3.6500000000000004,-3.99,48,12,43,17,83.35,1.9748493943384682,0.8532484939433846,418.0231,372,320,0.8602150537634409,16.08,518.74,0.030998187916875503,10.48,5.599999999999998,0.01079538882677256,-0.8000000000000025,-2.440000000000002,262,58,238,82,81.053125,3.699398138663793,0.8475252313866379,441.11787187500005,0.8,-0.48,-2.45,-3.99,False,False,False,True,block_first_edge_10_18,10.0,18.0,-3.6500000000000004,False,3,5,-405.0,5,-552.0,10,-415.0
v38_long60_antipersist,edge-2_ask100_p0.64_stc0-570,prob51,-2.0,100.0,0.64,570.0,0.0,223,195,0.874439461883408,11.26,314.72,0.03577783426537875,6.39,4.87,0.01547407219115404,0.9700000000000002,-0.029999999999999805,163,32,145,50,80.6974358974359,3.934320404355034,0.8463175630179095,429.979,74,65,0.8783783783783784,4.64,104.0,0.04461538461538461,2.22,2.4199999999999995,0.023269230769230764,1.1199999999999994,0.7799999999999994,51,14,48,17,80.0,4.586522490198061,0.8458652249019807,495.8527384615385,75,60,0.8,-0.48,100.02,-0.004799040191961607,1.97,-2.45,-0.024495100979804042,-3.6500000000000004,-3.99,48,12,43,17,83.35,1.9748493943384682,0.8532484939433846,418.0231,372,320,0.8602150537634409,15.42,518.74,0.029725874233720168,10.58,4.84,0.009330300343139145,-1.5600000000000005,-3.24,262,58,236,84,81.053125,3.699398138663793,0.8475252313866379,441.11787187500005,0.8,-0.48,-2.45,-3.99,False,False,False,True,block_first_edge_10_18,10.0,18.0,-3.6500000000000004,False,2,5,-267.0,4,-473.0,10,-415.0
v38_long60_antipersist,edge-2_ask100_p0.64_stc0-570,prob52,-2.0,100.0,0.64,570.0,0.0,223,195,0.874439461883408,12.56,314.72,0.03990849008642603,6.41,6.15,0.019541179461108286,2.2500000000000004,1.2500000000000004,163,32,145,50,80.6974358974359,3.934320404355034,0.8463175630179095,429.979,74,65,0.8783783783783784,4.84,104.0,0.046538461538461535,2.22,2.6199999999999997,0.025192307692307687,1.3199999999999996,0.9799999999999995,51,14,48,17,80.0,4.586522490198061,0.8458652249019807,495.8527384615385,75,60,0.8,0.54,100.02,0.0053989202159568095,1.99,-1.45,-0.014497100579884023,-2.65,-2.9899999999999998,48,12,43,17,83.35,1.9748493943384682,0.8532484939433846,418.0231,372,320,0.8602150537634409,17.94,518.74,0.034583799205767825,10.62,7.320000000000002,0.01411111539499557,0.9200000000000017,-0.7599999999999982,262,58,236,84,81.053125,3.699398138663793,0.8475252313866379,441.11787187500005,0.8,0.54,-1.45,-2.9899999999999998,True,False,False,True,block_first_edge_10_18,10.0,18.0,-2.65,False,3,5,-203.0,4,-409.0,11,-328.0
v38_long60_antipersist,edge-2_ask100_p0.64_stc0-570,prob53,-2.0,100.0,0.64,570.0,0.0,223,195,0.874439461883408,11.94,314.72,0.03793848500254194,6.45,5.489999999999999,0.017444077275038126,1.5899999999999994,0.5699999999999994,163,32,144,51,80.6974358974359,3.934320404355034,0.8463175630179095,429.979,74,65,0.8783783783783784,4.84,104.0,0.046538461538461535,2.22,2.6199999999999997,0.025192307692307687,1.3199999999999996,0.9799999999999995,51,14,48,17,80.0,4.586522490198061,0.8458652249019807,495.8527384615385,75,60,0.8,0.94,100.02,0.009398120375924815,1.99,-1.05,-0.010497900419916018,-2.25,-2.59,48,12,43,17,83.35,1.9748493943384682,0.8532484939433846,418.0231,372,320,0.8602150537634409,17.72,518.74,0.03415969464471604,10.66,7.059999999999999,0.013609900913752552,0.6599999999999984,-1.0400000000000016,262,58,235,85,81.053125,3.699398138663793,0.8475252313866379,441.11787187500005,0.8,0.94,-1.05,-2.59,True,False,False,True,block_first_edge_10_18,10.0,18.0,-2.25,False,3,5,-203.0,4,-409.0,11,-328.0
v38_long60_antipersist,edge-2_ask100_p0.64_stc0-570,prob54,-2.0,100.0,0.64,570.0,0.0,223,195,0.874439461883408,13.06,314.72,0.04149720386375191,6.45,6.61,0.021002796136248093,2.7100000000000004,1.6900000000000004,163,32,144,51,80.6974358974359,3.934320404355034,0.8463175630179095,429.979,74,65,0.8783783783783784,5.0,104.0,0.04807692307692308,2.22,2.78,0.026730769230769228,1.4799999999999998,1.1399999999999997,51,14,48,17,80.0,4.586522490198061,0.8458652249019807,495.8527384615385,75,60,0.8,1.58,100.02,0.015796840631873626,1.99,-0.4099999999999999,-0.004099180163967206,-1.6099999999999999,-1.95,48,12,43,17,83.35,1.9748493943384682,0.8532484939433846,418.0231,372,320,0.8602150537634409,19.64,518.74,0.03786097081389521,10.66,8.98,0.01731117708293172,2.58,0.8800000000000001,262,58,235,85,81.053125,3.699398138663793,0.8475252313866379,441.11787187500005,0.8,1.58,-0.4099999999999999,-1.95,True,False,False,True,block_first_edge_10_18,10.0,18.0,-1.6099999999999999,False,4,5,-203.0,6,-409.0,12,-328.0
v38_long60_antipersist,edge-2_ask100_p0.64_stc0-570,take8_or_prob52,-2.0,100.0,0.64,570.0,0.0,223,195,0.874439461883408,6.04,314.72,0.019191662430096592,7.94,-1.9000000000000004,-0.0060371123538383335,-5.800000000000001,-8.64,163,32,53,142,80.6974358974359,3.934320404355034,0.8463175630179095,429.979,74,65,0.8783783783783784,2.98,104.0,0.028653846153846155,2.82,0.16000000000000014,0.0015384615384615398,-1.14,-2.2,51,14,12,53,80.0,4.586522490198061,0.8458652249019807,495.8527384615385,75,60,0.8,-0.96,100.02,-0.009598080383923215,2.33,-3.29,-0.03289342131573685,-4.49,-5.3100000000000005,48,12,19,41,83.35,1.9748493943384682,0.8532484939433846,418.0231,372,320,0.8602150537634409,8.06,518.74,0.01553764891853337,13.09,-5.029999999999999,-0.009696572464047499,-11.43,-16.15,262,58,84,236,81.053125,3.699398138663793,0.8475252313866379,441.11787187500005,0.8,-0.96,-3.29,-8.64,False,False,False,True,block_first_edge_10_18,10.0,18.0,-5.800000000000001,False,1,5,-660.0,5,-481.0,8,-366.0
v38_long60_antipersist,edge-2_ask100_p0.64_stc0-570,take10_or_prob52,-2.0,100.0,0.64,570.0,0.0,223,195,0.874439461883408,7.22,314.72,0.02294102694458566,7.75,-0.5300000000000002,-0.0016840366039654303,-4.43,-7.09,163,32,62,133,80.6974358974359,3.934320404355034,0.8463175630179095,429.979,74,65,0.8783783783783784,3.74,104.0,0.03596153846153846,2.75,0.9900000000000002,0.009519230769230771,-0.30999999999999983,-1.3099999999999998,51,14,15,50,80.0,4.586522490198061,0.8458652249019807,495.8527384615385,75,60,0.8,-2.34,100.02,-0.023395320935812838,2.34,-4.68,-0.046790641871625675,-5.88,-6.68,48,12,20,40,83.35,1.9748493943384682,0.8532484939433846,418.0231,372,320,0.8602150537634409,8.62,518.74,0.016617187801210624,12.84,-4.220000000000001,-0.008135096580175041,-10.620000000000001,-15.080000000000002,262,58,97,223,81.053125,3.699398138663793,0.8475252313866379,441.11787187500005,0.8,-2.34,-4.68,-7.09,False,False,False,True,block_first_edge_10_18,10.0,18.0,-5.88,False,2,5,-631.0,4,-523.0,9,-426.0
v38_long60_antipersist,edge-2_ask100_p0.64_stc0-570,take12_or_prob52,-2.0,100.0,0.64,570.0,0.0,223,195,0.874439461883408,9.28,314.72,0.02948652770716827,7.53,1.7499999999999991,0.005560498220640566,-2.150000000000001,-4.550000000000001,163,32,75,120,80.6974358974359,3.934320404355034,0.8463175630179095,429.979,74,65,0.8783783783783784,4.12,104.0,0.039615384615384615,2.63,1.4900000000000002,0.014326923076923079,0.19000000000000017,-0.7499999999999998,51,14,18,47,80.0,4.586522490198061,0.8458652249019807,495.8527384615385,75,60,0.8,-1.88,100.02,-0.01879624075184963,2.28,-4.16,-0.04159168166366727,-5.36,-6.08,48,12,24,36,83.35,1.9748493943384682,0.8532484939433846,418.0231,372,320,0.8602150537634409,11.52,518.74,0.02220765701507499,12.44,-0.9199999999999999,-0.0017735281643983497,-7.32,-11.379999999999999,262,58,117,203,81.053125,3.699398138663793,0.8475252313866379,441.11787187500005,0.8,-1.88,-4.16,-6.08,False,False,False,True,block_first_edge_10_18,10.0,18.0,-5.36,False,3,5,-567.0,4,-486.0,9,-411.0
