dataset,candidate,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask,median_seconds_to_close
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,impulse,<=40,178,124,54,0.6966292134831461,347.0,1.949438202247191,64.0,772.164
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,impulse,<=80,18,14,4,0.7777777777777778,55.0,3.0555555555555554,72.0,768.7239999999999
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,impulse,>120,13,9,4,0.6923076923076923,-117.0,-9.0,79.0,827.773
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,over_margin,<=-20,74,50,24,0.6756756756756757,44.0,0.5945945945945946,63.0,823.6569999999999
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,over_margin,<=0,99,73,26,0.7373737373737373,629.0,6.353535353535354,64.0,773.382
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,over_margin,<=20,96,64,32,0.6666666666666666,-184.0,-1.9166666666666667,65.0,774.9685
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,over_margin,<=40,23,17,6,0.7391304347826086,73.0,3.1739130434782608,69.0,768.648
current,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,over_margin,>40,13,9,4,0.6923076923076923,-139.0,-10.692307692307692,83.0,814.288
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,split,holdout,44,34,10,0.7727272727272727,255.0,5.795454545454546,68.0,779.202374
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,split,train,131,91,40,0.6946564885496184,-265.0,-2.0229007633587788,68.0,719.874915
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,split,validation,44,31,13,0.7045454545454546,86.0,1.9545454545454546,64.5,779.2632435
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,side,no,105,76,29,0.7238095238095238,137.0,1.3047619047619048,67.0,779.187972
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,side,yes,114,80,34,0.7017543859649122,-61.0,-0.5350877192982456,67.0,779.1647975000001
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,hour,0,7,4,3,0.5714285714285714,-70.0,-10.0,63.0,839.728686
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,hour,1,8,5,3,0.625,-37.0,-4.625,65.0,689.473287
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,hour,10,10,9,1,0.9,202.0,20.2,66.0,749.2925905
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,hour,11,12,10,2,0.8333333333333334,156.0,13.0,67.0,719.6759535
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,hour,12,12,11,1,0.9166666666666666,242.0,20.166666666666668,70.0,779.1156040000001
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,hour,13,12,8,4,0.6666666666666666,-93.0,-7.75,70.0,719.2127145
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,hour,14,12,7,5,0.5833333333333334,-151.0,-12.583333333333334,67.5,779.542565
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,hour,15,12,7,5,0.5833333333333334,-175.0,-14.583333333333334,69.5,719.410586
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,hour,16,9,7,2,0.7777777777777778,64.0,7.111111111111111,67.0,779.581535
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,hour,17,8,6,2,0.75,32.0,4.0,68.5,719.4510725
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,hour,18,8,5,3,0.625,-90.0,-11.25,72.5,779.5278185
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,hour,19,8,6,2,0.75,39.0,4.875,64.5,749.3231885
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,hour,2,8,5,3,0.625,-61.0,-7.625,67.0,749.5889729999999
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,hour,20,8,4,4,0.5,-177.0,-22.125,68.0,779.225513
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,hour,21,8,7,1,0.875,142.0,17.75,65.5,809.31849
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,hour,22,8,7,1,0.875,105.0,13.125,70.5,689.667186
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,hour,23,8,8,0,1.0,265.0,33.125,63.0,779.5274475000001
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,hour,3,8,2,6,0.25,-344.0,-43.0,65.5,839.1454200000001
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,hour,4,10,6,4,0.6,-110.0,-11.0,64.5,639.118142
v21,book_margin_veto_signed_move_5m_abs40_over0_sig0.5,hour,5,12,10,2,0.8333333333333334,112.0,9.333333333333334,72.5,749.7543579999999
