policy,market,opportunity_key,entry_dt,close_time,source_line_no,selected_side,selected_ask_cents,selected_edge_cents,selected_p_side,p_yes,spot,margin_per_rv_sigma_15m,signed_velocity_dps_1m,signed_velocity_dps_3m,brownian_p_rv_15m,raw_p_yes,book_mid_p_yes,raw_selected_side,raw_selected_edge_cents,latent_hole_active,latent_disagreement_book_switch,recross_hazard_active,recross_side_margin_sigma15,recross_side_velocity_3m,thin_edge_certainty_active,registered_utc,exit_dt,exit_bid_cents,exit_p_side,exit_fee_cents,outcome,resolved_utc,win,gross_pnl_cents,entry_fee_cents,total_fee_cents,fee_net_cents,fee_net_1c_entry_cents,status
v47_recross_sigma1_v3cap68_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050230-30,heartbeat:61148,2026-05-05 06:23:13.159000+00:00,2026-05-05 06:30:00+00:00,61148,no,95.0,1.611938877132303,0.966119388771323,0.03388061122867703,80830.23,2.6158420621026424,0.4461666666667346,0.36433333333334306,0.995549614105585,0.03388061122867699,0.05,no,1.611938877132303,False,False,False,2.6158420621026424,0.36433333333334306,,2026-05-05 07:13:38.890301+00:00,,,,0.0,no,2026-05-05 12:29:08.377562+00:00,True,10.0,1.0,1.0,9.0,7.0,settled
v47_recross_sigma1_v3cap68_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050245-45,heartbeat:61207,2026-05-05 06:36:29.305000+00:00,2026-05-05 06:45:00+00:00,61207,yes,68.0,3.7843950476357833,0.7178439504763579,0.7178439504763579,80860.3,-0.6759713775374044,-0.17716666666674427,-0.21277777777779394,0.2495294088936978,0.7178439504763579,0.675,yes,3.7843950476357833,False,False,False,0.6759713775374044,0.21277777777779394,,2026-05-05 07:13:38.890301+00:00,2026-05-05 06:38:14.435000+00:00,52.0,0.44291088714582516,4.0,,,,-32.0,4.0,8.0,-40.0,-42.0,exited
v47_recross_sigma1_v3cap68_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050300-00,heartbeat:61280,2026-05-05 06:53:15.843000+00:00,2026-05-05 07:00:00+00:00,61280,yes,83.0,1.6461380473907354,0.8464613804739073,0.8464613804739073,80915.27,-0.7489073434702885,-0.10350000000010671,-0.032055555555578194,0.22695652695257512,0.8464613804739073,0.82,yes,1.6461380473907354,False,False,False,0.7489073434702885,0.032055555555578194,,2026-05-05 07:13:38.890301+00:00,,,,0.0,yes,2026-05-05 12:29:08.377562+00:00,True,34.0,2.0,2.0,32.0,30.0,settled
v47_recross_sigma1_v3cap68_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050315-15,heartbeat:61337,2026-05-05 07:06:02.008000+00:00,2026-05-05 07:15:00+00:00,61337,no,76.0,5.17472350238009,0.8117472350238009,0.18825276497619914,80903.25,0.7568806770769162,0.6055000000000291,0.1998333333333398,0.775439323586008,0.18825276497619917,0.25,no,5.17472350238009,False,False,False,0.7568806770769162,0.1998333333333398,,2026-05-05 07:13:38.890301+00:00,2026-05-05 07:13:02.646000+00:00,13.0,0.3914044276907682,2.0,,,,-126.0,3.0,5.0,-131.0,-133.0,exited
v47_recross_sigma1_v3cap68_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050330-30,heartbeat:61415,2026-05-05 07:24:03.818000+00:00,2026-05-05 07:30:00+00:00,61415,yes,90.0,3.0873288841914643,0.9308732888419147,0.9308732888419147,81076.36,-1.2282721716242326,-0.7394999999999224,-0.4603333333333366,0.10967240694370045,0.9308732888419147,0.895,yes,3.0873288841914643,False,False,False,1.2282721716242326,0.4603333333333366,,2026-05-05 07:26:54.999344+00:00,,,,0.0,yes,2026-05-05 12:29:08.377562+00:00,True,20.0,2.0,2.0,18.0,16.0,settled
v47_recross_sigma1_v3cap68_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050345-45,heartbeat:61470,2026-05-05 07:36:19.786000+00:00,2026-05-05 07:45:00+00:00,61470,yes,70.0,5.570120373305997,0.7557012037330599,0.7557012037330599,81095.0,-0.7175069815546264,-0.23333333333333334,-0.3975000000000162,0.23653066506831083,0.7557012037330599,0.695,yes,5.570120373305997,False,False,False,0.7175069815546264,0.3975000000000162,,2026-05-05 07:41:13.897423+00:00,2026-05-05 07:44:05.316000+00:00,62.0,0.49091402470280954,4.0,,,,-16.0,3.0,7.0,-23.0,-25.0,exited
v47_recross_sigma1_v3cap68_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050400-00,heartbeat:61563,2026-05-05 07:50:05.721000+00:00,2026-05-05 08:00:00+00:00,61563,no,81.0,6.00601696733014,0.8700601696733014,0.12993983032669865,80959.13,1.0609752304435098,-0.010666666666656966,-0.1007222222222481,0.8556494209905094,0.12993983032669865,0.195,no,6.00601696733014,False,False,False,1.0609752304435098,-0.1007222222222481,,2026-05-05 08:06:29.672139+00:00,,,,0.0,no,2026-05-05 12:29:08.377562+00:00,True,38.0,3.0,3.0,35.0,33.0,settled
v47_recross_sigma1_v3cap68_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050415-15,heartbeat:61641,2026-05-05 08:07:07.076000+00:00,2026-05-05 08:15:00+00:00,61641,yes,65.0,1.233290727034472,0.6623329072703447,0.6623329072703447,80879.07,-0.4995275788737892,-0.04716666666669577,-0.06655555555561377,0.308703881463152,0.6623329072703447,0.645,yes,1.233290727034472,False,False,False,0.4995275788737892,0.06655555555561377,,2026-05-05 08:58:51.738763+00:00,,,,0.0,yes,2026-05-05 12:29:08.377562+00:00,True,70.0,4.0,4.0,66.0,64.0,settled
v47_recross_sigma1_v3cap68_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050430-30,heartbeat:61700,2026-05-05 08:20:23.385000+00:00,2026-05-05 08:30:00+00:00,61700,no,63.0,2.1364283215816613,0.6513642832158166,0.34863571678418337,80852.52,0.5090355288343236,0.10066666666655995,-0.0028333333333850734,0.6946363396347847,0.34863571678418337,0.375,no,2.1364283215816613,False,False,False,0.5090355288343236,-0.0028333333333850734,,2026-05-05 08:58:51.738763+00:00,,,,0.0,no,2026-05-05 12:29:08.377562+00:00,True,74.0,4.0,4.0,70.0,68.0,settled
v47_recross_sigma1_v3cap68_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050445-45,heartbeat:61786,2026-05-05 08:40:25.268000+00:00,2026-05-05 08:45:00+00:00,61786,no,90.0,1.442201805775582,0.9144220180577558,0.0855779819422442,80780.97,1.232450329416523,0.01733333333322662,0.27244444444440885,0.8911095448908066,0.08557798194224414,0.105,no,1.442201805775582,False,False,False,1.232450329416523,0.27244444444440885,,2026-05-05 08:58:51.738763+00:00,,,,0.0,no,2026-05-05 12:29:08.377562+00:00,True,20.0,2.0,2.0,18.0,16.0,settled
v47_recross_sigma1_v3cap68_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050500-00,heartbeat:61832,2026-05-05 08:50:26.336000+00:00,2026-05-05 09:00:00+00:00,61832,yes,88.0,0.8420294456064141,0.8884202944560641,0.8884202944560641,80809.95,-1.221310479070442,-0.15016666666657935,-0.1001666666666602,0.11098424363435228,0.8884202944560641,0.87,yes,0.8420294456064141,False,False,False,1.221310479070442,0.1001666666666602,,2026-05-05 08:58:51.738763+00:00,,,,0.0,yes,2026-05-05 12:29:08.377562+00:00,True,24.0,2.0,2.0,22.0,20.0,settled
v47_recross_sigma1_v3cap68_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050515-15,heartbeat:61900,2026-05-05 09:05:57.704000+00:00,2026-05-05 09:15:00+00:00,61900,no,90.0,1.3892961051482047,0.9138929610514821,0.0861070389485179,80700.0,1.1635257323696555,0.22116666666673457,0.13472222222222222,0.8776918679776169,0.08610703894851784,0.105,no,1.3892961051482047,False,False,False,1.1635257323696555,0.13472222222222222,,2026-05-05 09:23:22.192885+00:00,,,,0.0,no,2026-05-05 12:29:08.377562+00:00,True,20.0,2.0,2.0,18.0,16.0,settled
v47_recross_sigma1_v3cap68_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050530-30,heartbeat:61963,2026-05-05 09:20:13.787000+00:00,2026-05-05 09:30:00+00:00,61963,no,66.0,5.705549347751244,0.7170554934775124,0.2829445065224876,80634.36,0.9765896674269575,0.050499999999980595,0.1373333333333398,0.8356138317569026,0.2829445065224876,0.345,no,5.705549347751244,False,False,False,0.9765896674269575,0.1373333333333398,,2026-05-05 09:23:22.192885+00:00,,,,0.0,no,2026-05-05 12:29:08.377562+00:00,True,68.0,4.0,4.0,64.0,62.0,settled
v47_recross_sigma1_v3cap68_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050545-45,heartbeat:62045,2026-05-05 09:35:59.916000+00:00,2026-05-05 09:45:00+00:00,62045,no,63.0,7.002425418962872,0.7000242541896287,0.29997574581037134,80614.0,0.5983034102572935,0.1879999999999806,0.41244444444447353,0.7251812492326195,0.2999757458103713,0.375,no,7.002425418962872,False,False,False,0.5983034102572935,0.41244444444447353,,2026-05-05 10:05:29.163646+00:00,,,,0.0,no,2026-05-05 12:29:08.377562+00:00,True,74.0,4.0,4.0,70.0,68.0,settled
v47_recross_sigma1_v3cap68_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050600-00,heartbeat:62122,2026-05-05 09:53:46.687000+00:00,2026-05-05 10:00:00+00:00,62122,no,67.0,4.395718722278971,0.7139571872227897,0.28604281277721033,80554.19,0.8104455393859696,0.035166666666676366,0.0992777777777519,0.7911579231859299,0.28604281277721033,0.335,no,4.395718722278971,False,False,False,0.8104455393859696,0.0992777777777519,,2026-05-05 10:05:29.163646+00:00,2026-05-05 09:55:01.767000+00:00,43.0,0.41412163557001014,4.0,,,,-48.0,4.0,8.0,-56.0,-58.0,exited
v47_recross_sigma1_v3cap68_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050615-15,heartbeat:62182,2026-05-05 10:07:18.068000+00:00,2026-05-05 10:15:00+00:00,62182,yes,95.0,0.6845205768581906,0.9568452057685819,0.9568452057685819,80679.81,-1.6970802350957783,-0.6721666666666958,-0.568388888888876,0.04484074619659084,0.9568452057685819,0.945,yes,0.6845205768581906,False,False,False,1.6970802350957783,0.568388888888876,,2026-05-05 12:29:07.895929+00:00,,,,0.0,yes,2026-05-05 12:29:08.377562+00:00,True,10.0,1.0,1.0,9.0,7.0,settled
v47_recross_sigma1_v3cap68_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050630-30,heartbeat:62271,2026-05-05 10:24:49.831000+00:00,2026-05-05 10:30:00+00:00,62271,yes,91.0,0.0,0.91,0.91,80731.5,-0.9523085304999955,0.0800000000000485,0.04249999999996766,0.17047026640913449,0.8676767098894764,0.91,no,4.232329011052357,True,True,False,0.9523085304999955,-0.04249999999996766,,2026-05-05 12:29:07.895929+00:00,,,,0.0,yes,2026-05-05 12:29:08.377562+00:00,True,18.0,2.0,2.0,16.0,14.0,settled
v47_recross_sigma1_v3cap68_edge0_p65_stc0_600_prob54,KXBTC15M-26MAY050645-45,heartbeat:62319,2026-05-05 10:35:20.661000+00:00,2026-05-05 10:45:00+00:00,62319,yes,93.0,0.2687846564486165,0.9326878465644862,0.9326878465644862,80833.74,-1.3440360714653172,-1.2525000000001456,-0.3815555555555976,0.08946836138524777,0.9326878465644862,0.925,yes,0.2687846564486165,False,False,False,1.3440360714653172,0.3815555555555976,,2026-05-05 12:29:07.895929+00:00,,,,0.0,yes,2026-05-05 12:29:08.377562+00:00,True,14.0,1.0,1.0,13.0,11.0,settled
