label,chooser,min_score,ask_max,min_seconds_to_close,gate,coverage_pass,target_pass,nondegenerate_pass,wilson_pass,min_test_accuracy,min_test_coverage,min_test_wilson,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_gross_pnl_cents,all_median_ask,all_median_seconds_to_close,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_gross_pnl_cents,train_median_ask,train_median_seconds_to_close,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_gross_pnl_cents,validation_median_ask,validation_median_seconds_to_close,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_gross_pnl_cents,holdout_median_ask,holdout_median_seconds_to_close
pure=brownian_p_rv_30m; brownian_p_rv_30m>=0.95; ask<=100; sec>=0,brownian_p_rv_30m,0.95,100.0,0.0,none,True,True,False,False,0.9615384615384616,0.8125,0.8110722109696523,156,141,138,3,0.9787234042553191,0.9038461538461539,0.9393155223144777,199.0,98.0,170.882,93,85,84,1,0.9882352941176471,0.9139784946236559,0.9363282911750611,109.0,98.0,173.63,31,30,29,1,0.9666666666666667,0.967741935483871,0.8332960900859081,107.0,97.5,127.78550000000001,32,26,25,1,0.9615384615384616,0.8125,0.8110722109696523,-17.0,98.0,153.1705
pure=brownian_p_rv_30m; brownian_p_rv_30m>=0.95; ask<=100; sec>=60; adverse15<=10,brownian_p_rv_30m,0.95,100.0,60.0,adverse15<=10,False,False,False,False,1.0,0.5625,0.8241207763533424,156,102,101,1,0.9901960784313726,0.6538461538461539,0.9465420852342225,242.0,97.0,237.463,93,62,61,1,0.9838709677419355,0.6666666666666666,0.9141327973931,95.0,97.5,254.3225,31,22,22,0,1.0,0.7096774193548387,0.8513451253913791,79.0,97.0,220.887,32,18,18,0,1.0,0.5625,0.8241207763533424,68.0,97.0,235.2125
pure=score_physics_mean_rv15_rv30; score_physics_mean_rv15_rv30>=0.95; ask<=100; sec>=60; margin_rv15>=0.5,score_physics_mean_rv15_rv30,0.95,100.0,60.0,margin_rv15>=0.5,False,False,False,False,1.0,0.53125,0.8156818649911483,156,101,100,1,0.9900990099009901,0.6474358974358975,0.9460328420055449,225.0,97.0,237.254,93,63,62,1,0.9841269841269841,0.6774193548387096,0.915414745405616,100.0,97.0,286.507,31,21,21,0,1.0,0.6774193548387096,0.8453609810751531,66.0,97.0,215.352,32,17,17,0,1.0,0.53125,0.8156818649911483,59.0,97.0,235.977
pure=score_physics_mean_rv15_rv30; score_physics_mean_rv15_rv30>=0.95; ask<=100; sec>=60; spread<=4,score_physics_mean_rv15_rv30,0.95,100.0,60.0,spread<=4,False,False,False,False,1.0,0.53125,0.8156818649911483,156,101,100,1,0.9900990099009901,0.6474358974358975,0.9460328420055449,225.0,97.0,237.254,93,63,62,1,0.9841269841269841,0.6774193548387096,0.915414745405616,100.0,97.0,286.507,31,21,21,0,1.0,0.6774193548387096,0.8453609810751531,66.0,97.0,215.352,32,17,17,0,1.0,0.53125,0.8156818649911483,59.0,97.0,235.977
pure=score_physics_mean_rv15_rv30; score_physics_mean_rv15_rv30>=0.95; ask<=100; sec>=60; margin_rv15>=0,score_physics_mean_rv15_rv30,0.95,100.0,60.0,margin_rv15>=0,False,False,False,False,1.0,0.53125,0.8156818649911483,156,101,100,1,0.9900990099009901,0.6474358974358975,0.9460328420055449,225.0,97.0,237.254,93,63,62,1,0.9841269841269841,0.6774193548387096,0.915414745405616,100.0,97.0,286.507,31,21,21,0,1.0,0.6774193548387096,0.8453609810751531,66.0,97.0,215.352,32,17,17,0,1.0,0.53125,0.8156818649911483,59.0,97.0,235.977
pure=score_physics_mean_rv15_rv30; score_physics_mean_rv15_rv30>=0.95; ask<=100; sec>=60; adverse15<=10,score_physics_mean_rv15_rv30,0.95,100.0,60.0,adverse15<=10,False,False,False,False,1.0,0.53125,0.8156818649911483,156,101,100,1,0.9900990099009901,0.6474358974358975,0.9460328420055449,225.0,97.0,237.254,93,63,62,1,0.9841269841269841,0.6774193548387096,0.915414745405616,100.0,97.0,286.507,31,21,21,0,1.0,0.6774193548387096,0.8453609810751531,66.0,97.0,215.352,32,17,17,0,1.0,0.53125,0.8156818649911483,59.0,97.0,235.977
pure=score_physics_mean_rv15_rv30; score_physics_mean_rv15_rv30>=0.95; ask<=100; sec>=60,score_physics_mean_rv15_rv30,0.95,100.0,60.0,none,False,False,False,False,1.0,0.53125,0.8156818649911483,156,101,100,1,0.9900990099009901,0.6474358974358975,0.9460328420055449,225.0,97.0,237.254,93,63,62,1,0.9841269841269841,0.6774193548387096,0.915414745405616,100.0,97.0,286.507,31,21,21,0,1.0,0.6774193548387096,0.8453609810751531,66.0,97.0,215.352,32,17,17,0,1.0,0.53125,0.8156818649911483,59.0,97.0,235.977
pure=score_physics_min_rv_drift; score_physics_min_rv_drift>=0.95; ask<=100; sec>=60,score_physics_min_rv_drift,0.95,100.0,60.0,none,False,False,False,False,1.0,0.53125,0.8156818649911483,156,98,97,1,0.9897959183673469,0.6282051282051282,0.9444451900865797,179.0,98.0,236.37,93,61,60,1,0.9836065573770492,0.6559139784946236,0.912811399553584,69.0,98.0,239.48,31,20,20,0,1.0,0.6451612903225806,0.8388748419471806,55.0,97.5,220.887,32,17,17,0,1.0,0.53125,0.8156818649911483,55.0,97.0,235.977
pure=score_physics_min_rv_drift; score_physics_min_rv_drift>=0.95; ask<=100; sec>=60; spread<=4,score_physics_min_rv_drift,0.95,100.0,60.0,spread<=4,False,False,False,False,1.0,0.53125,0.8156818649911483,156,98,97,1,0.9897959183673469,0.6282051282051282,0.9444451900865797,179.0,98.0,236.37,93,61,60,1,0.9836065573770492,0.6559139784946236,0.912811399553584,69.0,98.0,239.48,31,20,20,0,1.0,0.6451612903225806,0.8388748419471806,55.0,97.5,220.887,32,17,17,0,1.0,0.53125,0.8156818649911483,55.0,97.0,235.977
pure=score_physics_min_rv_drift; score_physics_min_rv_drift>=0.95; ask<=100; sec>=60; adverse15<=10,score_physics_min_rv_drift,0.95,100.0,60.0,adverse15<=10,False,False,False,False,1.0,0.53125,0.8156818649911483,156,98,97,1,0.9897959183673469,0.6282051282051282,0.9444451900865797,179.0,98.0,236.37,93,61,60,1,0.9836065573770492,0.6559139784946236,0.912811399553584,69.0,98.0,239.48,31,20,20,0,1.0,0.6451612903225806,0.8388748419471806,55.0,97.5,220.887,32,17,17,0,1.0,0.53125,0.8156818649911483,55.0,97.0,235.977
pure=score_physics_min_rv_drift; score_physics_min_rv_drift>=0.95; ask<=100; sec>=60; margin_rv15>=0,score_physics_min_rv_drift,0.95,100.0,60.0,margin_rv15>=0,False,False,False,False,1.0,0.53125,0.8156818649911483,156,98,97,1,0.9897959183673469,0.6282051282051282,0.9444451900865797,179.0,98.0,236.37,93,61,60,1,0.9836065573770492,0.6559139784946236,0.912811399553584,69.0,98.0,239.48,31,20,20,0,1.0,0.6451612903225806,0.8388748419471806,55.0,97.5,220.887,32,17,17,0,1.0,0.53125,0.8156818649911483,55.0,97.0,235.977
pure=score_physics_min_rv_drift; score_physics_min_rv_drift>=0.95; ask<=100; sec>=60; margin_rv15>=0.5,score_physics_min_rv_drift,0.95,100.0,60.0,margin_rv15>=0.5,False,False,False,False,1.0,0.53125,0.8156818649911483,156,98,97,1,0.9897959183673469,0.6282051282051282,0.9444451900865797,179.0,98.0,236.37,93,61,60,1,0.9836065573770492,0.6559139784946236,0.912811399553584,69.0,98.0,239.48,31,20,20,0,1.0,0.6451612903225806,0.8388748419471806,55.0,97.5,220.887,32,17,17,0,1.0,0.53125,0.8156818649911483,55.0,97.0,235.977
