dataset,split,feature,bucket,rows,brier_delta,logloss_delta,candidate_brier,candidate_logloss,candidate_side_accuracy,mean_p_yes,yes_rate
all_heartbeats,holdout,abs_v32_d_sigma,"(1.5, 2.0]",191,0.000105192170579263,0.0016734784160905014,0.09800019043113421,0.3767444848971686,0.8952879581151832,0.395767148334148,0.4816753926701571
all_heartbeats,holdout,abs_v32_d_sigma,"(2.0, inf]",925,1.3665996036883558e-05,0.0005032359612225437,0.006432628853545329,0.03664322914750253,0.9935135135135135,0.5027028069417048,0.5081081081081081
all_heartbeats,all,v34_material_antipersist3_anti_persistence_shift_dollars,"(-0.529, -1.11e-05]",2378,-0.00011949434763391942,-0.00029336448388522784,0.07074654990078978,0.23421252594645112,0.8944491169049622,0.5755871133041017,0.5559293523969723
all_heartbeats,all,v34_material_antipersist3_anti_persistence_shift_dollars,"(-1.11e-05, 0.431]",2377,-0.00012853234632059785,3.670958137241831e-05,0.056584002429522245,0.20187367269704126,0.9234328986116954,0.41858838474802856,0.4030290281867901
all_heartbeats,all,v34_material_antipersist3_anti_persistence_shift_dollars,"(-22.816, -5.332]",2378,6.402705738758896e-05,0.0007535135750927902,0.19018545209012389,0.5619129260704038,0.6959629941126998,0.6479594335559655,0.6450798990748529
all_heartbeats,all,v34_material_antipersist3_anti_persistence_shift_dollars,"(-5.332, -0.529]",2377,-9.890717241686775e-05,-0.00024330330429966907,0.1406032050299752,0.425344120209204,0.7820782498948254,0.627456550763779,0.6293647454774927
all_heartbeats,all,v34_material_antipersist3_anti_persistence_shift_dollars,"(-920.275, -22.816]",2378,-0.000542351087206544,-0.002933408438700269,0.18200567818120786,0.5384462982142095,0.7169890664423886,0.6959052692985789,0.6888141295206055
all_heartbeats,all,v34_material_antipersist3_anti_persistence_shift_dollars,"(0.431, 4.79]",2378,-2.71838750317277e-05,0.00030460214243521744,0.14312950463517835,0.4391392611986572,0.7922624053826746,0.38469872496810426,0.36963835155592933
all_heartbeats,all,v34_material_antipersist3_anti_persistence_shift_dollars,"(21.671, 520.961]",2378,-0.0019976615204233827,-0.005581856627954629,0.20048684270456893,0.5860252247280846,0.6930193439865433,0.33265684696077497,0.3334735071488646
all_heartbeats,all,v34_material_antipersist3_anti_persistence_shift_dollars,"(4.79, 21.671]",2377,-8.369833723154141e-06,-8.668779476161959e-05,0.1841758763740283,0.5356192243404289,0.713083718973496,0.3706212923517182,0.34118636937315944
