dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,positive,coverage_pass,positive_and_coverage
current,score_m60_edge_m5,0,20,20,1.0,13,7,0.65,-95.0,-0.06810035842293907,False,True,False
current,score_m60_edge_m5,1,20,19,0.95,15,4,0.7894736842105263,193.0,0.1476664116296863,True,True,True
current,score_m60_edge_m5,2,20,18,0.9,14,4,0.7777777777777778,87.0,0.06626047220106626,True,True,True
current,score_m60_edge_m5,3,20,20,1.0,17,3,0.85,303.0,0.21689334287759485,True,True,True
current,score_m60_edge_m5,4,20,20,1.0,14,6,0.7,13.0,0.009372746935832732,True,True,True
current,score_m60_edge_m5,5,20,20,1.0,15,5,0.75,88.0,0.06232294617563739,True,True,True
current,score_m60_edge_m5,6,20,20,1.0,15,5,0.75,61.0,0.0423905489923558,True,True,True
current,score_m60_edge_m5,7,20,17,0.85,13,4,0.7647058823529411,31.0,0.02442868400315209,True,True,True
current,score_m60_edge_m5,8,20,19,0.95,17,2,0.8947368421052632,291.0,0.20652945351312987,True,True,True
current,score_m60_edge_m5,9,20,19,0.95,18,1,0.9473684210526315,407.0,0.2921751615218952,True,True,True
current,score_m60_edge_m5,10,20,20,1.0,14,6,0.7,-29.0,-0.020293911826452064,False,True,False
current,score_m60_edge_m5,11,20,20,1.0,12,8,0.6,-221.0,-0.15552427867698804,False,True,False
current,score_m60_edge_m5,12,20,18,0.9,15,3,0.8333333333333334,231.0,0.18203309692671396,True,True,True
current,score_m60_edge_m5,13,20,18,0.9,15,3,0.8333333333333334,186.0,0.1415525114155251,True,True,True
current,score_m60_edge_m5,14,20,20,1.0,12,8,0.6,-205.0,-0.14590747330960854,False,True,False
current,score_m60_edge_m5,15,19,17,0.8947368421052632,13,4,0.7647058823529411,98.0,0.08153078202995008,True,True,True
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,0,20,20,1.0,13,7,0.65,-95.0,-0.06810035842293907,False,True,False
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,1,20,19,0.95,15,4,0.7894736842105263,193.0,0.1476664116296863,True,True,True
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,2,20,18,0.9,14,4,0.7777777777777778,87.0,0.06626047220106626,True,True,True
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,3,20,20,1.0,17,3,0.85,303.0,0.21689334287759485,True,True,True
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,4,20,20,1.0,14,6,0.7,13.0,0.009372746935832732,True,True,True
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,5,20,20,1.0,15,5,0.75,88.0,0.06232294617563739,True,True,True
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,6,20,20,1.0,15,5,0.75,61.0,0.0423905489923558,True,True,True
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,7,20,17,0.85,13,4,0.7647058823529411,31.0,0.02442868400315209,True,True,True
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,8,20,19,0.95,17,2,0.8947368421052632,291.0,0.20652945351312987,True,True,True
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,9,20,19,0.95,18,1,0.9473684210526315,407.0,0.2921751615218952,True,True,True
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,10,20,20,1.0,14,6,0.7,-29.0,-0.020293911826452064,False,True,False
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,11,20,20,1.0,12,8,0.6,-221.0,-0.15552427867698804,False,True,False
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,12,20,18,0.9,15,3,0.8333333333333334,231.0,0.18203309692671396,True,True,True
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,13,20,18,0.9,15,3,0.8333333333333334,186.0,0.1415525114155251,True,True,True
current,score_m60_edge_m5__touch_loss_rv_15m_le_0p95,14,20,20,1.0,12,8,0.6,-205.0,-0.14590747330960854,False,True,False
