model,market,split,entry_dt,side,outcome,win,entry_ask_cents,entry_bid_cents,entry_p_side,entry_p_yes,entry_edge_cents,entry_seconds_to_close,exit_type,exit_dt,exit_seconds_to_close,exit_bid_cents,exit_p_side,exit_fair_edge_to_bid_cents,pnl_cents,settled,cost_cents,entry_fee_cents,exit_fee_cents,total_fee_cents,candidate,entry_policy,exit_policy,fee_adjusted_pnl_cents,fee_adjusted_1c_entry_pnl_cents,fee_adjusted_1c_roundtrip_pnl_cents
v38_long60_antipersist,KXBTC15M-26APR302230-30,train,2026-05-01 02:20:14.066000+00:00,no,no,True,83.0,82.0,0.8728718718817243,0.1271281281182756,4.287187188172439,585.934,settlement_win,,,,,,34.0,True,166.0,2.0,0.0,2.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,32.0,30.0,30.0
v38_long60_antipersist,KXBTC15M-26APR302245-45,train,2026-05-01 02:35:00.329000+00:00,no,no,True,82.0,81.0,0.8602043425391457,0.1397956574608543,4.020434253914573,599.671,probability_reduce,2026-05-01 02:38:00.527000+00:00,419.473,42.0,0.4747220856778319,5.472208567783191,-80.0,False,164.0,3.0,4.0,7.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-87.0,-89.0,-91.0
v38_long60_antipersist,KXBTC15M-26APR302300-00,train,2026-05-01 02:54:02.084000+00:00,no,no,True,74.0,73.0,0.7633099059169901,0.2366900940830099,2.330990591699006,357.916,settlement_win,,,,,,52.0,True,148.0,3.0,0.0,3.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,49.0,47.0,47.0
v38_long60_antipersist,KXBTC15M-26APR302315-15,train,2026-05-01 03:05:03.069000+00:00,no,yes,False,75.0,74.0,0.8001326642553139,0.199867335744686,5.013266425531398,596.931,probability_reduce,2026-05-01 03:08:03.262000+00:00,416.738,10.0,0.1027587210906532,0.27587210906532,-130.0,False,150.0,3.0,2.0,5.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-135.0,-137.0,-139.0
v38_long60_antipersist,KXBTC15M-26APR302330-30,train,2026-05-01 03:20:04.336000+00:00,yes,yes,True,100.0,99.0,0.999973962245899,0.999973962245899,-0.0026037754101082555,595.664,settlement_win,,,,,,0.0,True,200.0,0.0,0.0,0.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,0.0,-2.0,-2.0
v38_long60_antipersist,KXBTC15M-26APR302345-45,train,2026-05-01 03:39:05.762000+00:00,no,no,True,70.0,69.0,0.79933400693323,0.20066599306677,9.933400693322994,354.238,settlement_win,,,,,,60.0,True,140.0,3.0,0.0,3.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,57.0,55.0,55.0
v38_long60_antipersist,KXBTC15M-26MAY010000-00,train,2026-05-01 03:55:07.114000+00:00,no,no,True,64.0,63.0,0.6655875073561395,0.3344124926438605,2.558750735613941,292.886,settlement_win,,,,,,72.0,True,128.0,4.0,0.0,4.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,68.0,66.0,66.0
v38_long60_antipersist,KXBTC15M-26MAY010015-15,train,2026-05-01 04:14:08.446000+00:00,yes,yes,True,98.0,98.0,0.999326357099134,0.999326357099134,1.9326357099133986,51.554,settlement_win,,,,,,4.0,True,196.0,1.0,0.0,1.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,3.0,1.0,1.0
v38_long60_antipersist,KXBTC15M-26MAY010030-30,train,2026-05-01 04:21:09.214000+00:00,no,no,True,63.0,62.0,0.6996476666560089,0.3003523333439911,6.964766665600891,530.786,probability_reduce,2026-05-01 04:23:09.414000+00:00,410.586,58.0,0.4928564769768417,-8.714352302315831,-10.0,False,126.0,4.0,4.0,8.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,-18.0,-20.0,-22.0
v38_long60_antipersist,KXBTC15M-26MAY010045-45,train,2026-05-01 04:35:10.431000+00:00,yes,yes,True,79.0,78.0,0.864672124644804,0.864672124644804,7.467212464480397,589.569,settlement_win,,,,,,42.0,True,158.0,3.0,0.0,3.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,39.0,37.0,37.0
v38_long60_antipersist,KXBTC15M-26MAY010100-00,train,2026-05-01 04:54:57.459000+00:00,yes,no,False,29.0,28.0,0.7453751165316371,0.7453751165316371,45.53751165316372,302.541,probability_reduce,2026-05-01 04:55:12.501000+00:00,287.499,45.0,0.2390551739710275,-21.09448260289725,32.0,False,58.0,3.0,4.0,7.0,best_min_fee_v38_p65_prob50,edge-2_ask100_p0.65_stc0-600,prob50,25.0,23.0,21.0
