dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,positive_net,coverage_pass
current,hazard45_sec600_else_score_min60,3,20,16,0.8,14,2,0.875,243.0,0.21002592912705273,70.0,True,True
current,hazard45_sec600_else_score_min60,4,20,15,0.75,10,5,0.6666666666666666,-41.0,-0.0393852065321806,68.0,False,False
current,hazard45_sec600_else_score_min60,5,20,17,0.85,12,5,0.7058823529411765,28.0,0.023890784982935155,66.0,True,True
current,hazard45_sec600_else_score_min60,6,20,14,0.7,11,3,0.7857142857142857,98.0,0.09780439121756487,69.0,True,False
current,hazard45_sec600_else_score_min60,7,20,15,0.75,12,3,0.8,115.0,0.10599078341013825,70.0,True,False
current,hazard45_sec600_else_score_min60,8,20,15,0.75,12,3,0.8,124.0,0.11524163568773234,70.0,True,False
current,hazard45_sec600_else_score_min60,9,20,15,0.75,14,1,0.9333333333333333,314.0,0.289134438305709,71.0,True,False
current,hazard45_sec600_else_score_min60,10,20,16,0.8,10,6,0.625,-137.0,-0.12049252418645559,69.0,False,True
current,hazard45_sec600_else_score_min60,11,20,18,0.9,12,6,0.6666666666666666,-100.0,-0.07692307692307693,69.0,False,True
current,hazard45_sec600_else_score_min60,12,20,18,0.9,14,4,0.7777777777777778,85.0,0.06463878326996197,71.5,True,True
current,hazard45_sec600_else_score_min60,13,20,18,0.9,14,4,0.7777777777777778,63.0,0.04712041884816754,71.5,True,True
current,hazard45_sec600_else_score_min60,14,15,13,0.8666666666666667,8,5,0.6153846153846154,-144.0,-0.15254237288135594,69.0,False,True
current,hazard50_sec60_else_logit_thresh55_edge15,0,20,20,1.0,14,6,0.7,-34.0,-0.023709902370990237,70.0,False,True
current,hazard50_sec60_else_logit_thresh55_edge15,1,20,20,1.0,16,4,0.8,170.0,0.11888111888111888,69.5,True,True
current,hazard50_sec60_else_logit_thresh55_edge15,2,20,19,0.95,15,4,0.7894736842105263,79.0,0.055594651653764954,73.0,True,True
current,hazard50_sec60_else_logit_thresh55_edge15,3,20,20,1.0,18,2,0.9,323.0,0.21868652674339878,73.5,True,True
current,hazard50_sec60_else_logit_thresh55_edge15,4,20,20,1.0,15,5,0.75,1.0,0.00066711140760507,72.5,True,True
current,hazard50_sec60_else_logit_thresh55_edge15,5,20,20,1.0,16,4,0.8,129.0,0.08769544527532291,71.5,True,True
current,hazard50_sec60_else_logit_thresh55_edge15,6,20,20,1.0,16,4,0.8,69.0,0.045068582625734814,76.0,True,True
current,hazard50_sec60_else_logit_thresh55_edge15,7,20,19,0.95,15,4,0.7894736842105263,96.0,0.06837606837606838,70.0,True,True
current,hazard50_sec60_else_logit_thresh55_edge15,8,20,20,1.0,16,4,0.8,144.0,0.0989010989010989,71.0,True,True
current,hazard50_sec60_else_logit_thresh55_edge15,9,20,19,0.95,18,1,0.9473684210526315,376.0,0.2640449438202247,73.0,True,True
current,hazard50_sec60_else_logit_thresh55_edge15,10,20,20,1.0,14,6,0.7,-74.0,-0.050203527815468114,71.0,False,True
current,hazard50_sec60_else_logit_thresh55_edge15,11,20,20,1.0,14,6,0.7,-129.0,-0.08436886854153042,75.0,False,True
