abs_d_sigma,actionable,ask_cents,ask_prob,book_age_ms,btc_age_ms,edge_cents,eff_edge_prob,eligible_depth,estimated_entry_fee_cents,feature_count,fv,gross_cents,h6_recross_hazard_high,hold_gross_cents,is_first_market_observation,is_first_market_side_observation,lambda_plus,market,market_observation_index,market_side_observation_index,meta_policy,net_gross_cents_after_entry_fee,outlier_count,outlier_share,p_eff,p_side,policy,raw_edge_cents,reason,recross_hazard_score,result,seconds_to_close,selection_reason,side,side_won,sigma_t_dollars,source,spectral_tag,status,top_eigenvalue,top_over_mp_edge,ts_wall,v28_minus_ask_prob,window_n
0.93606,True,81.0,0.81,578.0,31.0,2.23752,0.057374999999999954,65.0,3.0,11,first_side_raw_later_book,36,True,38,True,True,,KXBTC15M-26MAY051300-00,0,0,raw_edge20_else_first_side_raw_later_book_p60_edge0,33.0,,,0.867375,0.867375,first_side_raw_later_book_p60_edge0,4.23752,approved_entry,0.36657919808610573,yes,594.247,use_wait_policy,yes,True,115.035336,approved_entry,insufficient_history,finalized,,,2026-05-05T16:50:05.755107+00:00,0.057374999999999954,0
0.992205,True,82.0,0.82,469.0,0.0,2.439055,0.05939100000000008,7.02,2.0,11,first_side_raw_later_book,0,True,36,True,True,,KXBTC15M-26MAY051330-30,0,0,raw_edge20_else_first_side_raw_later_book_p60_edge0,-2.0,,,0.879391,0.879391,first_side_raw_later_book_p60_edge0,4.439055,approved_entry,0.30242891547156237,yes,529.068,use_wait_policy,yes,True,106.389306,approved_entry,insufficient_history,finalized,,,2026-05-05T17:21:10.942716+00:00,0.05939100000000008,0
0.123249,True,60.0,0.6,16.0,141.0,-6.715922,0.0,667.22,4.0,11,first_side_raw_later_book,80,True,80,False,False,,KXBTC15M-26MAY051430-30,7,3,raw_edge20_else_first_side_raw_later_book_p60_edge0,76.0,,,0.6,0.572841,first_side_raw_later_book_p60_edge0,-4.715922,p_below_floor,1.1354150489951023,no,824.334,use_wait_policy,no,True,134.199425,rejected_actionable,insufficient_history,finalized,,,2026-05-05T18:16:15.667377+00:00,-0.027158999999999933,0
0.241845,True,65.0,0.65,0.0,641.0,-8.951423,0.0,1027.4,4.0,11,first_side_raw_later_book,-130,True,-130,False,False,2.1865937744230046,KXBTC15M-26MAY051445-45,3,1,raw_edge20_else_first_side_raw_later_book_p60_edge0,-134.0,4,0.9625904040336172,0.65,0.600486,first_side_raw_later_book_p60_edge0,-6.951423,p_below_floor,1.0576854189228526,yes,863.994,use_wait_policy,no,False,137.484696,rejected_actionable,spectral_dominant_factor,finalized,12.65079714397455,5.78561838598156,2026-05-05T18:30:36.006338+00:00,-0.04951400000000006,48
0.178825,True,62.0,0.62,16.0,516.0,-7.397226,0.0,108.9,4.0,11,first_side_raw_later_book,76,True,76,False,False,2.1865937744230046,KXBTC15M-26MAY051500-00,3,1,raw_edge20_else_first_side_raw_later_book_p60_edge0,72.0,3,0.8491587214716823,0.62,0.586028,first_side_raw_later_book_p60_edge0,-5.397226,p_below_floor,1.0843473783164925,no,863.7,use_wait_policy,no,True,132.364322,rejected_actionable,spectral_dominant_factor,finalized,13.18843746841964,6.031498681962445,2026-05-05T18:45:36.302025+00:00,-0.033972,48
0.199146,True,62.0,0.62,16.0,563.0,-6.996764,0.0,1177.56,4.0,11,first_side_raw_later_book,76,True,76,False,False,2.1865937744230046,KXBTC15M-26MAY051515-15,7,3,raw_edge20_else_first_side_raw_later_book_p60_edge0,72.0,3,0.8808421071633321,0.62,0.590032,first_side_raw_later_book_p60_edge0,-4.996764,p_below_floor,0.9722137384369568,no,809.076,use_wait_policy,no,True,125.134297,rejected_actionable,spectral_dominant_factor,finalized,11.922319341947373,5.452461943962782,2026-05-05T19:01:30.926818+00:00,-0.029967999999999995,48
0.758404,True,77.0,0.77,1000.0,328.0,0.85995,0.0,72.36,3.0,11,first_side_raw_later_book,46,True,46,False,False,2.1865937744230046,KXBTC15M-26MAY051530-30,10,5,raw_edge20_else_first_side_raw_later_book_p60_edge0,43.0,3,0.8889854319219339,0.77,0.813599,first_side_raw_later_book_p60_edge0,2.85995,p_below_floor,0.5097005262572569,yes,769.483,use_wait_policy,yes,True,117.68131,rejected_actionable,spectral_dominant_factor,finalized,21.086970424941775,9.643753070003218,2026-05-05T19:17:10.516924+00:00,0.04359899999999994,48
0.227778,True,60.0,0.6,594.0,32.0,-5.182152,0.0,1056.29,4.0,11,first_side_raw_later_book,80,True,80,False,False,2.1865937744230046,KXBTC15M-26MAY051545-45,14,7,raw_edge20_else_first_side_raw_later_book_p60_edge0,76.0,4,0.9321108360355118,0.6,0.588178,first_side_raw_later_book_p60_edge0,-3.182152,p_below_floor,0.8233448725741751,yes,743.029,use_wait_policy,yes,True,113.794923,rejected_actionable,spectral_dominant_factor,finalized,11.712555375442768,5.356530102868998,2026-05-05T19:32:36.970915+00:00,-0.011822,48
0.143139,True,64.0,0.64,719.0,110.0,-11.005384,0.0,2617.54,4.0,11,first_side_raw_later_book,72,True,72,False,False,2.1865937744230046,KXBTC15M-26MAY051600-00,9,4,raw_edge20_else_first_side_raw_later_book_p60_edge0,68.0,3,0.8491802504280657,0.64,0.569946,first_side_raw_later_book_p60_edge0,-9.005384,p_below_floor,0.9384885827278965,no,774.445,use_wait_policy,no,True,116.739932,rejected_actionable,spectral_dominant_factor,finalized,15.03139664217808,6.874343473398274,2026-05-05T19:47:05.558183+00:00,-0.07005400000000006,48
0.22528,True,63.0,0.63,125.0,531.0,-7.570415,0.0,114.68,4.0,11,first_side_raw_later_book,74,True,74,False,False,2.1865937744230046,KXBTC15M-26MAY051615-15,2,1,raw_edge20_else_first_side_raw_later_book_p60_edge0,70.0,4,0.9510802305480454,0.63,0.594296,first_side_raw_later_book_p60_edge0,-5.570415,p_below_floor,0.9442509131527809,yes,844.419,use_wait_policy,yes,True,122.114583,rejected_actionable,spectral_dominant_factor,finalized,40.86081881341068,18.686972994877834,2026-05-05T20:00:55.581802+00:00,-0.03570399999999996,48
