abs_d_sigma,actionable,ask_cents,ask_prob,book_age_ms,btc_age_ms,edge_cents,eff_edge_prob,eligible_depth,estimated_entry_fee_cents,feature_count,fv,gross_cents,h6_recross_hazard_high,hold_gross_cents,is_first_market_observation,is_first_market_side_observation,lambda_plus,market,market_observation_index,market_side_observation_index,meta_policy,net_gross_cents_after_entry_fee,outlier_count,outlier_share,p_eff,p_side,policy,raw_edge_cents,reason,recross_hazard_score,result,seconds_to_close,selection_reason,side,side_won,sigma_t_dollars,source,spectral_tag,status,top_eigenvalue,top_over_mp_edge,ts_wall,v28_minus_ask_prob,window_n
0.269732,True,68.0,0.68,984.0,0.0,-9.303358,0.0,75.0,4.0,11,first_side_raw_later_book,64,True,64,False,False,2.1865937744230046,KXBTC15M-26MAY051630-30,3,1,raw_edge20_else_first_side_raw_later_book_p60_edge0,60.0,2,0.5876492653348575,0.68,0.626966,first_side_raw_later_book_p60_edge0,-7.303358,p_below_floor,0.9578438998269353,no,847.385,use_wait_policy,no,True,129.276244,rejected_actionable,spectral_dominant_factor,finalized,4.944140025940726,2.261115019979136,2026-05-05T20:15:52.622907+00:00,-0.053034000000000026,48
0.230949,True,65.0,0.65,516.0,875.0,-8.825493,0.0,287.02,4.0,11,first_side_raw_later_book,70,True,70,False,False,2.1865937744230046,KXBTC15M-26MAY051645-45,4,2,raw_edge20_else_first_side_raw_later_book_p60_edge0,66.0,4,0.9745625654300697,0.65,0.601745,first_side_raw_later_book_p60_edge0,-6.825493,p_below_floor,0.9889679230397815,yes,839.083,use_wait_policy,yes,True,129.033024,rejected_actionable,spectral_dominant_factor,finalized,35.21704777605512,16.105894102505687,2026-05-05T20:31:00.921443+00:00,-0.04825500000000005,48
0.488562,True,70.0,0.7,453.0,47.0,-1.76327,0.0,220.0,3.0,11,first_side_raw_later_book,60,True,60,False,False,2.1865937744230046,KXBTC15M-26MAY051700-00,5,2,raw_edge20_else_first_side_raw_later_book_p60_edge0,57.0,4,0.9743819914995858,0.7,0.717367,first_side_raw_later_book_p60_edge0,0.23673,p_below_floor,0.7240062780402743,no,841.812,use_wait_policy,no,True,122.021346,rejected_actionable,spectral_dominant_factor,finalized,59.77989508758759,27.33927800711965,2026-05-05T20:45:58.191359+00:00,0.01736700000000002,48
0.185527,True,60.0,0.6,109.0,0.0,-5.200493,0.0,192.31,4.0,11,first_side_raw_later_book,80,True,80,False,False,2.1865937744230046,KXBTC15M-26MAY051715-15,9,4,raw_edge20_else_first_side_raw_later_book_p60_edge0,76.0,2,0.9504459694177682,0.6,0.587995,first_side_raw_later_book_p60_edge0,-3.200493,p_below_floor,0.8353983749007444,no,782.914,use_wait_policy,no,True,107.827914,rejected_actionable,spectral_dominant_factor,finalized,76.0264910778317,34.76937141554492,2026-05-05T21:01:57.086144+00:00,-0.012004999999999932,48
0.222986,True,60.0,0.6,531.0,312.0,-5.0681,0.0,569.97,4.0,11,first_side_raw_later_book,-120,True,-120,False,False,2.1865937744230046,KXBTC15M-26MAY051730-30,4,2,raw_edge20_else_first_side_raw_later_book_p60_edge0,-124.0,4,0.8813159647084657,0.6,0.589319,first_side_raw_later_book_p60_edge0,-3.0681,p_below_floor,0.8176809621872009,no,828.552,use_wait_policy,yes,False,106.509132,rejected_actionable,spectral_dominant_factor,finalized,19.883098749983333,9.093183645979261,2026-05-05T21:16:11.448234+00:00,-0.01068099999999994,48
0.665923,True,71.0,0.71,0.0,594.0,3.52204,0.07022000000000006,40.0,3.0,11,first_side_raw_later_book,58,True,58,False,True,2.1865937744230046,KXBTC15M-26MAY051745-45,1,0,raw_edge20_else_first_side_raw_later_book_p60_edge0,55.0,3,0.9328521008480247,0.78022,0.78022,first_side_raw_later_book_p60_edge0,5.52204,p_below_floor,0.5423839624480261,no,868.757,use_wait_policy,no,True,107.444854,rejected_actionable,spectral_dominant_factor,finalized,46.978842071940534,21.484942755010472,2026-05-05T21:30:31.244987+00:00,0.07022000000000006,48
0.291311,True,61.0,0.61,16.0,47.0,-2.203936,0.0,550.0,4.0,11,first_side_raw_later_book,78,True,78,False,False,2.1865937744230046,KXBTC15M-26MAY051800-00,6,3,raw_edge20_else_first_side_raw_later_book_p60_edge0,74.0,5,0.9791670784952593,0.61,0.627961,first_side_raw_later_book_p60_edge0,-0.203936,p_below_floor,0.7130484761919295,yes,808.901,use_wait_policy,yes,True,100.648518,rejected_actionable,spectral_dominant_factor,finalized,23.008527725960235,10.522543325191572,2026-05-05T21:46:31.099223+00:00,0.017961000000000005,48
0.669176,True,74.0,0.74,0.0,344.0,0.41302,0.03913,1504.55,3.0,11,first_side_raw_later_book,-148,True,-148,True,True,2.1865937744230046,KXBTC15M-26MAY051815-15,0,0,raw_edge20_else_first_side_raw_later_book_p60_edge0,-151.0,4,0.987082955820957,0.77913,0.77913,first_side_raw_later_book_p60_edge0,2.41302,p_below_floor,0.5227973434259201,no,883.663,use_wait_policy,yes,False,103.02218,rejected_actionable,spectral_dominant_factor,finalized,88.73356255888835,40.58072587456408,2026-05-05T22:00:16.340721+00:00,0.03913,48
0.180915,True,31.0,0.31,922.0,0.0,23.623991,0.27124,186.2,3.0,11,v28_raw,138,True,138,True,True,2.1865937744230046,KXBTC15M-26MAY051830-30,0,0,raw_edge20_else_first_side_raw_later_book_p60_edge0,135.0,2,0.9803646730159429,0.58124,0.58124,v28_raw_p50_edge0,25.623991,p_below_floor,0.777444424872164,yes,779.531,raw_high_convex_edge,yes,True,100.102356,rejected_actionable,spectral_dominant_factor,finalized,192.92467348449782,88.23068817865199,2026-05-05T22:17:00.468759+00:00,0.27124,48
0.885262,True,79.0,0.79,968.0,0.0,3.902414,0.07402399999999998,97.0,3.0,11,first_side_raw_later_book,42,True,42,False,True,2.1865937744230046,KXBTC15M-26MAY051845-45,1,0,raw_edge20_else_first_side_raw_later_book_p60_edge0,39.0,3,0.9610275842634353,0.864024,0.864024,first_side_raw_later_book_p60_edge0,5.902414,approved_entry,0.4162522477382457,no,854.974,use_wait_policy,no,True,103.506064,approved_entry,spectral_dominant_factor,finalized,73.90637964053967,33.7997759369099,2026-05-05T22:30:45.039013+00:00,0.07402399999999998,48
0.736406,True,74.0,0.74,828.0,984.0,4.561341,0.0,12.0,3.0,11,first_side_raw_later_book,52,True,52,False,False,2.1865937744230046,KXBTC15M-26MAY051900-00,8,4,raw_edge20_else_first_side_raw_later_book_p60_edge0,49.0,4,0.9216335074369034,0.74,0.820613,first_side_raw_later_book_p60_edge0,6.561341,p_below_floor,0.4494563870752062,yes,684.163,use_wait_policy,yes,True,107.657944,rejected_actionable,spectral_dominant_factor,finalized,27.832817233161357,12.728846829588107,2026-05-05T22:48:35.837133+00:00,0.08061300000000005,48
0.412622,True,70.0,0.7,390.0,62.0,-5.796088,0.0,2165.47,3.0,11,first_side_raw_later_book,-140,True,-140,False,False,2.1865937744230046,KXBTC15M-26MAY051915-15,3,1,raw_edge20_else_first_side_raw_later_book_p60_edge0,-143.0,4,0.9657401758837809,0.7,0.677039,first_side_raw_later_book_p60_edge0,-3.796088,p_below_floor,0.7087044455069132,yes,650.887,use_wait_policy,no,False,125.902128,rejected_actionable,spectral_dominant_factor,finalized,40.40023823115982,18.476334609440922,2026-05-05T23:04:09.117138+00:00,-0.02296100000000001,48
0.003369,True,62.0,0.62,140.0,0.0,-18.607716,0.0,1.0,2.0,11,first_side_raw_later_book,-62,True,-62,False,False,2.1865937744230046,KXBTC15M-26MAY051945-45,5,2,raw_edge20_else_first_side_raw_later_book_p60_edge0,-64.0,4,0.9700990929331085,0.62,0.473923,first_side_raw_later_book_p60_edge0,-16.607716,p_below_floor,0.832861756115355,yes,655.129,use_wait_policy,no,False,97.947623,rejected_actionable,spectral_dominant_factor,finalized,58.073177742350026,26.558741006968383,2026-05-05T23:34:04.876039+00:00,-0.146077,48
0.03607,True,70.0,0.7,109.0,15.0,-21.741916,0.0,200.95,3.0,11,first_side_raw_later_book,60,True,60,False,False,2.1865937744230046,KXBTC15M-26MAY052000-00,3,1,raw_edge20_else_first_side_raw_later_book_p60_edge0,57.0,4,0.8896777271557638,0.7,0.517581,first_side_raw_later_book_p60_edge0,-19.741916,p_below_floor,0.8566574863515932,no,704.811,use_wait_policy,no,True,100.359187,rejected_actionable,spectral_dominant_factor,finalized,6.10656638966099,2.792730163732576,2026-05-05T23:48:15.191159+00:00,-0.182419,48
0.164719,True,60.0,0.6,641.0,0.0,-20.722244,0.0,6.01,4.0,11,first_side_raw_later_book,80,True,80,False,False,2.1865937744230046,KXBTC15M-26MAY052015-15,2,1,raw_edge20_else_first_side_raw_later_book_p60_edge0,76.0,3,0.760082817769371,0.6,0.432778,first_side_raw_later_book_p60_edge0,-18.722244,p_below_floor,0.7703621520911624,yes,715.5,use_wait_policy,yes,True,101.87038,rejected_actionable,spectral_dominant_factor,finalized,3.497149314248483,1.599359403266986,2026-05-06T00:03:04.502101+00:00,-0.16722199999999998,48
0.020576,True,66.0,0.66,532.0,0.0,-23.106122,0.0,1.0,2.0,11,first_side_raw_later_book,-66,True,-66,False,False,2.1865937744230046,KXBTC15M-26MAY052030-30,2,1,raw_edge20_else_first_side_raw_later_book_p60_edge0,-68.0,4,0.9436448174974399,0.66,0.468939,first_side_raw_later_book_p60_edge0,-21.106122,p_below_floor,1.1153085920611405,no,822.771,use_wait_policy,yes,False,119.07288,rejected_actionable,spectral_dominant_factor,finalized,33.82173275282438,15.467771448196505,2026-05-06T00:16:17.230495+00:00,-0.19106100000000004,48
0.103386,True,74.0,0.74,375.0,16.0,-21.387322,0.0,70.0,3.0,11,first_side_raw_later_book,-148,True,-148,False,False,2.1865937744230046,KXBTC15M-26MAY052045-45,6,3,raw_edge20_else_first_side_raw_later_book_p60_edge0,-151.0,3,0.8920832129303798,0.74,0.561127,first_side_raw_later_book_p60_edge0,-19.387322,p_below_floor,0.8109780507874017,no,636.022,use_wait_policy,yes,False,106.977946,rejected_actionable,spectral_dominant_factor,finalized,13.097857299674406,5.990073443399724,2026-05-06T00:34:23.978326+00:00,-0.17887299999999995,48
0.19548,True,70.0,0.7,843.0,0.0,-15.291329,0.0,40.0,3.0,11,first_side_raw_later_book,-140,True,-140,False,False,2.1865937744230046,KXBTC15M-26MAY052100-00,3,1,raw_edge20_else_first_side_raw_later_book_p60_edge0,-143.0,3,0.995960888501219,0.7,0.582087,first_side_raw_later_book_p60_edge0,-13.291329,p_below_floor,0.8343291267333653,yes,767.799,use_wait_policy,no,False,109.832476,rejected_actionable,spectral_dominant_factor,finalized,946.5680967501304,432.8961820994435,2026-05-06T00:47:12.203978+00:00,-0.11791299999999993,48
0.302024,True,62.0,0.62,328.0,0.0,-4.432057,0.0,35.0,4.0,11,first_side_raw_later_book,76,True,76,False,False,2.1865937744230046,KXBTC15M-26MAY052115-15,2,1,raw_edge20_else_first_side_raw_later_book_p60_edge0,72.0,3,0.9615353909950773,0.62,0.615679,first_side_raw_later_book_p60_edge0,-2.432057,p_below_floor,0.7886579566284646,yes,790.361,use_wait_policy,yes,True,113.832048,rejected_actionable,spectral_dominant_factor,finalized,94.9934396351016,43.44356996999515,2026-05-06T01:01:49.638790+00:00,-0.004321000000000019,48
0.789781,True,80.0,0.8,828.0,0.0,-1.216373,0.0,19.06,3.0,11,first_side_raw_later_book,40,True,40,False,False,2.1865937744230046,KXBTC15M-26MAY052130-30,2,1,raw_edge20_else_first_side_raw_later_book_p60_edge0,37.0,4,0.9932506659922464,0.8,0.822836,first_side_raw_later_book_p60_edge0,0.783627,p_below_floor,0.44405316169357073,yes,730.554,use_wait_policy,yes,True,108.574438,rejected_actionable,spectral_dominant_factor,finalized,226.31969755847496,103.50331195751981,2026-05-06T01:17:49.446399+00:00,0.022835999999999967,48
0.941969,True,83.0,0.83,985.0,16.0,0.541718,0.0,94.92,2.0,11,first_side_raw_later_book,34,True,34,False,False,2.1865937744230046,KXBTC15M-26MAY052145-45,2,1,raw_edge20_else_first_side_raw_later_book_p60_edge0,32.0,4,0.8586083273562025,0.83,0.865417,first_side_raw_later_book_p60_edge0,2.541718,edge_below_floor,0.30414059562596774,yes,579.745,use_wait_policy,yes,True,97.20063,rejected_actionable,spectral_dominant_factor,finalized,4.368361814281325,1.9977930356241147,2026-05-06T01:35:20.258067+00:00,0.03541700000000003,48
0.503242,True,73.0,0.73,468.0,0.0,-5.586962,0.0,51.08,3.0,11,first_side_raw_later_book,54,True,54,False,False,2.1865937744230046,KXBTC15M-26MAY052200-00,4,2,raw_edge20_else_first_side_raw_later_book_p60_edge0,51.0,3,0.9184037268178497,0.73,0.70913,first_side_raw_later_book_p60_edge0,-3.586962,p_below_floor,0.5935026853295228,yes,736.56,use_wait_policy,yes,True,108.516331,rejected_actionable,spectral_dominant_factor,finalized,41.13179202418304,18.81089780155294,2026-05-06T01:47:43.439798+00:00,-0.020869999999999944,48
0.740524,True,77.0,0.77,156.0,31.0,0.423182,0.0,43.26,3.0,11,first_side_raw_later_book,46,True,46,False,False,2.1865937744230046,KXBTC15M-26MAY052215-15,3,1,raw_edge20_else_first_side_raw_later_book_p60_edge0,43.0,2,0.676981936489068,0.77,0.809232,first_side_raw_later_book_p60_edge0,2.423182,p_below_floor,0.558639241423537,no,819.362,use_wait_policy,no,True,122.77792,rejected_actionable,spectral_dominant_factor,finalized,7.478793591041552,3.420294010950912,2026-05-06T02:01:20.642847+00:00,0.039231999999999934,48
0.33016,True,65.0,0.65,1000.0,0.0,-4.529359,0.0,50.0,4.0,11,first_side_raw_later_book,70,True,70,False,False,2.1865937744230046,KXBTC15M-26MAY052230-30,3,1,raw_edge20_else_first_side_raw_later_book_p60_edge0,66.0,3,0.9297552374787384,0.65,0.644706,first_side_raw_later_book_p60_edge0,-2.529359,p_below_floor,0.6449506160843138,no,650.672,use_wait_policy,no,True,105.524505,rejected_actionable,spectral_dominant_factor,finalized,24.987722581680604,11.427693096891913,2026-05-06T02:19:09.328424+00:00,-0.005294000000000021,48
0.142611,True,68.0,0.68,938.0,0.0,-17.531944,0.0,129.0,4.0,11,first_side_raw_later_book,-136,True,-136,False,False,2.1865937744230046,KXBTC15M-26MAY052245-45,3,1,raw_edge20_else_first_side_raw_later_book_p60_edge0,-140.0,2,0.8016877960447375,0.68,0.544681,first_side_raw_later_book_p60_edge0,-15.531944,p_below_floor,0.9197858258629447,yes,836.65,use_wait_policy,no,False,110.019896,rejected_actionable,spectral_dominant_factor,finalized,16.65690437529333,7.61774069337078,2026-05-06T02:31:03.351972+00:00,-0.13531900000000008,48
0.939866,True,87.0,0.87,157.0,0.0,-3.569495,0.0,10.8,2.0,11,first_side_raw_later_book,26,True,26,False,False,2.1865937744230046,KXBTC15M-26MAY052300-00,2,1,raw_edge20_else_first_side_raw_later_book_p60_edge0,24.0,2,0.7897413907943056,0.87,0.864305,first_side_raw_later_book_p60_edge0,-1.569495,edge_below_floor,0.3258372354226237,yes,657.076,use_wait_policy,yes,True,97.609656,rejected_actionable,spectral_dominant_factor,finalized,15.993499716903532,7.314344302989647,2026-05-06T02:49:02.926088+00:00,-0.005695000000000006,48
0.070428,True,68.0,0.68,297.0,32.0,-20.315187,0.0,81.0,4.0,11,first_side_raw_later_book,64,True,64,False,False,2.1865937744230046,KXBTC15M-26MAY052315-15,4,2,raw_edge20_else_first_side_raw_later_book_p60_edge0,60.0,3,0.865486488911766,0.68,0.516848,first_side_raw_later_book_p60_edge0,-18.315187,p_below_floor,0.833235663101904,yes,697.951,use_wait_policy,yes,True,101.522693,rejected_actionable,spectral_dominant_factor,finalized,13.613066476852927,6.2256952507994425,2026-05-06T03:03:22.050172+00:00,-0.16315200000000007,48
0.369967,True,63.0,0.63,734.0,0.0,-1.082419,0.0,23.98,4.0,11,first_side_raw_later_book,-126,True,-126,False,False,2.1865937744230046,KXBTC15M-26MAY052330-30,3,1,raw_edge20_else_first_side_raw_later_book_p60_edge0,-130.0,3,0.960977696259499,0.63,0.659176,first_side_raw_later_book_p60_edge0,0.917581,p_below_floor,0.572942404465045,yes,654.661,use_wait_policy,no,False,97.252016,rejected_actionable,spectral_dominant_factor,finalized,67.97588717013002,31.08757006685771,2026-05-06T03:19:05.339511+00:00,0.02917599999999998,48
0.275785,True,63.0,0.63,454.0,32.0,-3.323289,0.0067669999999999675,156.24,4.0,11,first_side_raw_later_book,74,True,74,False,True,2.1865937744230046,KXBTC15M-26MAY052345-45,1,0,raw_edge20_else_first_side_raw_later_book_p60_edge0,70.0,4,0.9839070868382598,0.636767,0.636767,first_side_raw_later_book_p60_edge0,-1.323289,p_below_floor,0.8994539296283267,no,850.023,use_wait_policy,no,True,121.942963,rejected_actionable,spectral_dominant_factor,finalized,145.95970947168638,66.75209230859629,2026-05-06T03:30:49.979573+00:00,0.0067669999999999675,48
0.059467,True,68.0,0.68,985.0,16.0,-19.815521,0.0,538.0,4.0,11,first_side_raw_later_book,-136,True,-136,False,False,2.1865937744230046,KXBTC15M-26MAY060000-00,3,1,raw_edge20_else_first_side_raw_later_book_p60_edge0,-140.0,4,0.9726230096576409,0.68,0.521845,first_side_raw_later_book_p60_edge0,-17.815521,p_below_floor,1.010997567817664,yes,778.581,use_wait_policy,no,False,115.357452,rejected_actionable,spectral_dominant_factor,finalized,86.57251643911927,39.592409642693646,2026-05-06T03:47:01.418536+00:00,-0.15815500000000005,48
0.343919,True,66.0,0.66,313.0,32.0,-4.613909,0.0,102.0,4.0,11,first_side_raw_later_book,68,True,68,False,False,2.1865937744230046,KXBTC15M-26MAY060015-15,3,1,raw_edge20_else_first_side_raw_later_book_p60_edge0,64.0,3,0.7794360275233676,0.66,0.653861,first_side_raw_later_book_p60_edge0,-2.613909,p_below_floor,0.6171487785289079,no,680.039,use_wait_policy,no,True,100.139713,rejected_actionable,spectral_dominant_factor,finalized,6.084019398314646,2.7824186959098465,2026-05-06T04:03:39.962511+00:00,-0.0061390000000000056,48
0.270552,True,51.0,0.51,516.0,32.0,6.707692,0.10707699999999998,120.79,4.0,11,first_side_raw_later_book,-102,True,-102,True,True,2.1865937744230046,KXBTC15M-26MAY060030-30,0,0,raw_edge20_else_first_side_raw_later_book_p60_edge0,-106.0,3,0.8081948615267935,0.617077,0.617077,first_side_raw_later_book_p60_edge0,8.707692,p_below_floor,0.8318688646787503,no,853.033,use_wait_policy,yes,False,111.993405,rejected_actionable,spectral_dominant_factor,finalized,6.390694632291513,2.9226711916244623,2026-05-06T04:15:46.967766+00:00,0.10707699999999998,48
0.802399,True,79.0,0.79,235.0,0.0,0.150509,0.0,3376.74,3.0,11,first_side_raw_later_book,42,True,42,False,False,2.1865937744230046,KXBTC15M-26MAY060045-45,3,1,raw_edge20_else_first_side_raw_later_book_p60_edge0,39.0,3,0.7211130723522674,0.79,0.826505,first_side_raw_later_book_p60_edge0,2.150509,p_below_floor,0.4617564201649501,no,818.779,use_wait_policy,no,True,108.001132,rejected_actionable,spectral_dominant_factor,finalized,6.053120645917504,2.76828769784401,2026-05-06T04:31:21.224300+00:00,0.03650500000000001,48
0.323816,True,67.0,0.67,1000.0,31.0,-7.401095,0.0,10.0,4.0,11,first_side_raw_later_book,66,True,66,False,False,2.1865937744230046,KXBTC15M-26MAY060100-00,7,3,raw_edge20_else_first_side_raw_later_book_p60_edge0,62.0,3,0.9126988123338502,0.67,0.635989,first_side_raw_later_book_p60_edge0,-5.401095,p_below_floor,0.7120767021942649,no,824.149,use_wait_policy,no,True,102.86714,rejected_actionable,spectral_dominant_factor,finalized,25.37244273336207,11.603638055750578,2026-05-06T04:46:15.852836+00:00,-0.03401100000000001,48
0.542,True,68.0,0.68,47.0,453.0,0.616006,0.0,1042.81,4.0,11,first_side_raw_later_book,64,True,64,False,False,2.1865937744230046,KXBTC15M-26MAY060115-15,17,8,raw_edge20_else_first_side_raw_later_book_p60_edge0,60.0,3,0.8573940414661684,0.68,0.72616,first_side_raw_later_book_p60_edge0,2.616006,p_below_floor,0.5214469653978052,no,724.567,use_wait_policy,no,True,99.926283,rejected_actionable,spectral_dominant_factor,finalized,14.614990104418649,6.683907306136565,2026-05-06T05:02:55.435272+00:00,0.04615999999999998,48
0.29248,True,65.0,0.65,0.0,15.0,-5.588833,0.0,415.0,4.0,11,first_side_raw_later_book,-130,True,-130,False,False,2.1865937744230046,KXBTC15M-26MAY060130-30,12,6,raw_edge20_else_first_side_raw_later_book_p60_edge0,-134.0,2,0.6970938490410906,0.65,0.634112,first_side_raw_later_book_p60_edge0,-3.588833,p_below_floor,0.6883031260946233,no,749.761,use_wait_policy,yes,False,101.032715,rejected_actionable,spectral_dominant_factor,finalized,8.476227640470432,3.8764528371106004,2026-05-06T05:17:30.240486+00:00,-0.015888000000000013,48
0.243036,True,60.0,0.6,32.0,172.0,-4.309285,0.0,60.0,4.0,11,first_side_raw_later_book,80,True,80,False,False,2.1865937744230046,KXBTC15M-26MAY060145-45,9,4,raw_edge20_else_first_side_raw_later_book_p60_edge0,76.0,3,0.8008287429921788,0.6,0.596907,first_side_raw_later_book_p60_edge0,-2.309285,p_below_floor,0.70315855714747,no,789.213,use_wait_policy,no,True,95.747314,rejected_actionable,spectral_dominant_factor,finalized,7.114113919608323,3.2535142113836786,2026-05-06T05:31:50.789359+00:00,-0.0030930000000000124,48
0.248684,True,60.0,0.6,0.0,391.0,-2.172344,0.0,269.68,4.0,11,first_side_raw_later_book,80,True,80,False,False,2.1865937744230046,KXBTC15M-26MAY060200-00,2,1,raw_edge20_else_first_side_raw_later_book_p60_edge0,76.0,4,0.9537180725901716,0.6,0.618277,first_side_raw_later_book_p60_edge0,-0.172344,p_below_floor,0.7676796972668695,yes,849.377,use_wait_policy,yes,True,101.333525,rejected_actionable,spectral_dominant_factor,finalized,22.247216328266774,10.174371018749168,2026-05-06T05:45:50.623750+00:00,0.018276999999999988,48
