model,entry_policy,exit_policy,entry_edge_floor_cents,entry_ask_cap_cents,entry_min_p_side,entry_max_seconds_to_close,entry_min_seconds_to_close,train_markets,train_trades,train_coverage,train_pnl_dollars,train_cost_dollars,train_roi,train_fee_dollars,train_net_after_fees_dollars,train_net_roi_after_fees,train_net_after_fees_1c_entry_dollars,train_net_after_fees_1c_roundtrip_dollars,train_wins,train_losses,train_settled_count,train_exit_count,train_avg_entry_ask,train_avg_entry_edge,train_avg_entry_p_side,train_avg_entry_seconds_to_close,validation_markets,validation_trades,validation_coverage,validation_pnl_dollars,validation_cost_dollars,validation_roi,validation_fee_dollars,validation_net_after_fees_dollars,validation_net_roi_after_fees,validation_net_after_fees_1c_entry_dollars,validation_net_after_fees_1c_roundtrip_dollars,validation_wins,validation_losses,validation_settled_count,validation_exit_count,validation_avg_entry_ask,validation_avg_entry_edge,validation_avg_entry_p_side,validation_avg_entry_seconds_to_close,holdout_markets,holdout_trades,holdout_coverage,holdout_pnl_dollars,holdout_cost_dollars,holdout_roi,holdout_fee_dollars,holdout_net_after_fees_dollars,holdout_net_roi_after_fees,holdout_net_after_fees_1c_entry_dollars,holdout_net_after_fees_1c_roundtrip_dollars,holdout_wins,holdout_losses,holdout_settled_count,holdout_exit_count,holdout_avg_entry_ask,holdout_avg_entry_edge,holdout_avg_entry_p_side,holdout_avg_entry_seconds_to_close,all_markets,all_trades,all_coverage,all_pnl_dollars,all_cost_dollars,all_roi,all_fee_dollars,all_net_after_fees_dollars,all_net_roi_after_fees,all_net_after_fees_1c_entry_dollars,all_net_after_fees_1c_roundtrip_dollars,all_wins,all_losses,all_settled_count,all_exit_count,all_avg_entry_ask,all_avg_entry_edge,all_avg_entry_p_side,all_avg_entry_seconds_to_close,min_split_coverage,min_split_pnl_dollars,min_split_net_after_fees_dollars,min_split_net_after_fees_1c_roundtrip_dollars,all_splits_positive,all_splits_net_after_fees_positive,all_splits_net_after_fees_1c_roundtrip_positive,eligible_80,min_split_net_after_fees_1c_entry_dollars,all_splits_1c_entry_positive,positive_1c_days,total_days,worst_1c_day_cents,block10_positive,block10_worst_cents
v55_bookanchor_m10_v20_g05_book_plus2,edge-2_ask100_p0.64_stc0-570,hold,-2.0,100.0,0.64,570.0,0.0,223,217,0.9730941704035875,13.18,346.82,0.03800242200565135,5.28,7.8999999999999995,0.022778386482901793,3.5599999999999996,3.5599999999999996,180,37,217,0,79.91244239631337,3.1894861544210045,0.8310192855073437,425.1000737327189,74,71,0.9594594594594594,-2.36,112.36,-0.021003915984336062,1.82,-4.18,-0.037201851192595226,-5.6,-5.6,55,16,71,0,79.12676056338029,4.035823270265914,0.831625838336462,471.39618309859156,75,64,0.8533333333333334,-3.92,105.92,-0.03700906344410876,1.47,-5.39,-0.05088746223564954,-6.67,-6.67,51,13,64,0,82.75,2.2529048461427976,0.8500290484614279,410.661171875,372,352,0.946236559139785,6.9,565.1,0.012210228278180853,8.57,-1.67,-0.0029552291629800034,-8.71,-8.71,286,66,352,0,80.26988636363636,3.1899086870777755,0.8345979505071413,431.81295454545455,0.8533333333333334,-3.92,-5.39,-6.67,False,False,False,True,-6.67,False,1,5,-595.0,5,-920.0
v55_bookanchor_m10_v20_g05_book_plus2,edge-2_ask100_p0.64_stc0-570,prob50,-2.0,100.0,0.64,570.0,0.0,223,217,0.9730941704035875,14.66,346.82,0.042269765296119026,7.3,7.36,0.02122138284989332,3.0200000000000005,1.9000000000000004,180,37,161,56,79.91244239631337,3.1894861544210045,0.8310192855073437,425.1000737327189,74,71,0.9594594594594594,5.22,112.36,0.046457814168743325,2.48,2.7399999999999998,0.024385902456390173,1.3199999999999998,0.9399999999999998,55,16,52,19,79.12676056338029,4.035823270265914,0.831625838336462,471.39618309859156,75,64,0.8533333333333334,0.64,105.92,0.006042296072507553,2.09,-1.4499999999999997,-0.013689577039274922,-2.7299999999999995,-3.0699999999999994,51,13,47,17,82.75,2.2529048461427976,0.8500290484614279,410.661171875,372,352,0.946236559139785,20.52,565.1,0.03631215714032914,11.87,8.65,0.015307025305255706,1.6100000000000003,-0.22999999999999976,286,66,260,92,80.26988636363636,3.1899086870777755,0.8345979505071413,431.81295454545455,0.8533333333333334,0.64,-1.4499999999999997,-3.0699999999999994,True,False,False,True,-2.7299999999999995,False,3,5,-320.0,5,-326.0
v55_bookanchor_m10_v20_g05_book_plus2,edge-2_ask100_p0.64_stc0-570,prob52,-2.0,100.0,0.64,570.0,0.0,223,217,0.9730941704035875,15.08,346.82,0.04348076812179229,7.46,7.62,0.021971051265786287,3.2800000000000002,2.1000000000000005,180,37,158,59,79.91244239631337,3.1894861544210045,0.8310192855073437,425.1000737327189,74,71,0.9594594594594594,6.54,112.36,0.058205767176931295,2.51,4.03,0.03586685653257387,2.6100000000000003,2.2300000000000004,55,16,52,19,79.12676056338029,4.035823270265914,0.831625838336462,471.39618309859156,75,64,0.8533333333333334,2.46,105.92,0.023225075528700907,2.12,0.33999999999999986,0.003209969788519636,-0.9400000000000002,-1.2800000000000002,51,13,47,17,82.75,2.2529048461427976,0.8500290484614279,410.661171875,372,352,0.946236559139785,24.08,565.1,0.04261192709254999,12.09,11.989999999999998,0.02121748363121571,4.949999999999998,3.0499999999999985,286,66,257,95,80.26988636363636,3.1899086870777755,0.8345979505071413,431.81295454545455,0.8533333333333334,2.46,0.33999999999999986,-1.2800000000000002,True,True,False,True,-0.9400000000000002,False,4,5,-255.0,4,-320.0
v55_bookanchor_m10_v20_g05_book_plus2,edge-2_ask100_p0.64_stc0-570,prob54,-2.0,100.0,0.64,570.0,0.0,223,217,0.9730941704035875,15.68,346.82,0.04521077215846837,7.5,8.18,0.023585721700017298,3.84,2.6399999999999997,180,37,157,60,79.91244239631337,3.1894861544210045,0.8310192855073437,425.1000737327189,74,71,0.9594594594594594,6.7,112.36,0.05962976148095408,2.51,4.19,0.03729085083659666,2.7700000000000005,2.3900000000000006,55,16,52,19,79.12676056338029,4.035823270265914,0.831625838336462,471.39618309859156,75,64,0.8533333333333334,1.92,105.92,0.018126888217522657,2.16,-0.2400000000000002,-0.0022658610271903343,-1.5200000000000002,-1.8800000000000003,51,13,46,18,82.75,2.2529048461427976,0.8500290484614279,410.661171875,372,352,0.946236559139785,24.3,565.1,0.04300123871881083,12.17,12.13,0.021465227393381702,5.090000000000001,3.150000000000001,286,66,255,97,80.26988636363636,3.1899086870777755,0.8345979505071413,431.81295454545455,0.8533333333333334,1.92,-0.2400000000000002,-1.8800000000000003,True,False,False,True,-1.5200000000000002,False,4,5,-147.0,4,-286.0
v55_bookanchor_m10_v20_g05_book_plus2,edge-2_ask100_p0.64_stc0-570,prob56,-2.0,100.0,0.64,570.0,0.0,223,217,0.9730941704035875,14.68,346.82,0.042327432097341564,7.63,7.05,0.020327547430944004,2.71,1.45,180,37,154,63,79.91244239631337,3.1894861544210045,0.8310192855073437,425.1000737327189,74,71,0.9594594594594594,5.28,112.36,0.04699181203275187,2.66,2.62,0.023317906728373087,1.2000000000000002,0.7600000000000002,55,16,49,22,79.12676056338029,4.035823270265914,0.831625838336462,471.39618309859156,75,64,0.8533333333333334,2.74,105.92,0.025868580060422964,2.2,0.54,0.005098187311178248,-0.74,-1.12,51,13,45,19,82.75,2.2529048461427976,0.8500290484614279,410.661171875,372,352,0.946236559139785,22.7,565.1,0.040169881436913815,12.49,10.209999999999999,0.01806759865510529,3.169999999999999,1.089999999999999,286,66,248,104,80.26988636363636,3.1899086870777755,0.8345979505071413,431.81295454545455,0.8533333333333334,2.74,0.54,-1.12,True,True,False,True,-0.74,False,4,5,-335.0,4,-268.0
v55_bookanchor_m10_v20_g05_book_plus2,edge-2_ask100_p0.64_stc60-570,hold,-2.0,100.0,0.64,570.0,60.0,223,210,0.9417040358744395,12.82,333.18,0.03847769974188127,5.24,7.58,0.022750465213998438,3.38,3.38,173,37,210,0,79.32857142857142,3.287380080199443,0.8261595150877088,437.8783380952381,74,69,0.9324324324324325,-2.36,108.36,-0.02177925433739387,1.82,-4.18,-0.03857511997046881,-5.56,-5.56,53,16,69,0,78.52173913043478,4.154281026777842,0.8267602015721263,483.85904347826084,75,62,0.8266666666666667,-4.04,102.04,-0.0395923167385339,1.46,-5.5,-0.053900431203449624,-6.74,-6.74,49,13,62,0,82.29032258064517,2.3264761952854647,0.8461679877593062,422.4784516129032,372,341,0.9166666666666666,6.42,543.58,0.011810589057728393,8.52,-2.0999999999999996,-0.0038632767945840528,-8.92,-8.92,275,66,341,0,79.70381231671554,3.2880842574699503,0.829918965741855,444.38237243401767,0.8266666666666667,-4.04,-5.5,-6.74,False,False,False,True,-6.74,False,1,5,-592.0,4,-940.0
v55_bookanchor_m10_v20_g05_book_plus2,edge-2_ask100_p0.64_stc60-570,prob50,-2.0,100.0,0.64,570.0,60.0,223,210,0.9417040358744395,14.3,333.18,0.04291974308181764,7.26,7.040000000000001,0.021129719671048684,2.8400000000000007,1.7200000000000006,173,37,154,56,79.32857142857142,3.287380080199443,0.8261595150877088,437.8783380952381,74,69,0.9324324324324325,5.22,108.36,0.04817275747508305,2.48,2.7399999999999998,0.02528608342561831,1.3599999999999999,0.9799999999999999,53,16,50,19,78.52173913043478,4.154281026777842,0.8267602015721263,483.85904347826084,75,62,0.8266666666666667,0.52,102.04,0.005096040768326146,2.08,-1.56,-0.01528812230497844,-2.8,-3.1399999999999997,49,13,45,17,82.29032258064517,2.3264761952854647,0.8461679877593062,422.4784516129032,372,341,0.9166666666666666,20.04,543.58,0.03686669855403068,11.82,8.219999999999999,0.015121969167371865,1.3999999999999986,-0.4400000000000015,275,66,249,92,79.70381231671554,3.2880842574699503,0.829918965741855,444.38237243401767,0.8266666666666667,0.52,-1.56,-3.1399999999999997,True,False,False,True,-2.8,False,3,5,-317.0,5,-341.0
v55_bookanchor_m10_v20_g05_book_plus2,edge-2_ask100_p0.64_stc60-570,prob52,-2.0,100.0,0.64,570.0,60.0,223,210,0.9417040358744395,14.72,333.18,0.04418032294855634,7.42,7.300000000000001,0.021910078636172642,3.1000000000000005,1.9200000000000006,173,37,151,59,79.32857142857142,3.287380080199443,0.8261595150877088,437.8783380952381,74,69,0.9324324324324325,6.54,108.36,0.06035437430786268,2.51,4.03,0.037190845330380216,2.6500000000000004,2.2700000000000005,53,16,50,19,78.52173913043478,4.154281026777842,0.8267602015721263,483.85904347826084,75,62,0.8266666666666667,2.34,102.04,0.022932183457467656,2.11,0.22999999999999998,0.002254018032144257,-1.01,-1.35,49,13,45,17,82.29032258064517,2.3264761952854647,0.8461679877593062,422.4784516129032,372,341,0.9166666666666666,23.6,543.58,0.04341587254865889,12.04,11.560000000000002,0.021266418926376984,4.740000000000002,2.840000000000002,275,66,246,95,79.70381231671554,3.2880842574699503,0.829918965741855,444.38237243401767,0.8266666666666667,2.34,0.22999999999999998,-1.35,True,True,False,True,-1.01,False,4,5,-252.0,6,-335.0
v55_bookanchor_m10_v20_g05_book_plus2,edge-2_ask100_p0.64_stc60-570,prob54,-2.0,100.0,0.64,570.0,60.0,223,210,0.9417040358744395,15.32,333.18,0.04598115132961162,7.46,7.86,0.02359085179182424,3.66,2.46,173,37,150,60,79.32857142857142,3.287380080199443,0.8261595150877088,437.8783380952381,74,69,0.9324324324324325,6.7,108.36,0.06183093392395718,2.51,4.19,0.03866740494647472,2.8100000000000005,2.4300000000000006,53,16,50,19,78.52173913043478,4.154281026777842,0.8267602015721263,483.85904347826084,75,62,0.8266666666666667,1.8,102.04,0.01764014112112897,2.15,-0.34999999999999987,-0.00343002744021952,-1.5899999999999999,-1.9499999999999997,49,13,44,18,82.29032258064517,2.3264761952854647,0.8461679877593062,422.4784516129032,372,341,0.9166666666666666,23.82,543.58,0.04382059678428198,12.12,11.700000000000001,0.021523970712682586,4.880000000000001,2.940000000000001,275,66,244,97,79.70381231671554,3.2880842574699503,0.829918965741855,444.38237243401767,0.8266666666666667,1.8,-0.34999999999999987,-1.9499999999999997,True,False,False,True,-1.5899999999999999,False,4,5,-144.0,5,-301.0
v55_bookanchor_m10_v20_g05_book_plus2,edge-2_ask100_p0.64_stc60-570,prob56,-2.0,100.0,0.64,570.0,60.0,223,210,0.9417040358744395,14.32,333.18,0.04297977069451948,7.59,6.73,0.02019929167417012,2.5300000000000002,1.2700000000000002,173,37,147,63,79.32857142857142,3.287380080199443,0.8261595150877088,437.8783380952381,74,69,0.9324324324324325,5.28,108.36,0.048726467331118496,2.66,2.62,0.024178663713547436,1.2400000000000002,0.8000000000000003,53,16,47,22,78.52173913043478,4.154281026777842,0.8267602015721263,483.85904347826084,75,62,0.8266666666666667,2.62,102.04,0.025676205409643278,2.19,0.43000000000000016,0.0042140337122697,-0.8099999999999998,-1.19,49,13,43,19,82.29032258064517,2.3264761952854647,0.8461679877593062,422.4784516129032,372,341,0.9166666666666666,22.22,543.58,0.04087714779793222,12.44,9.78,0.01799183192906288,2.959999999999999,0.879999999999999,275,66,237,104,79.70381231671554,3.2880842574699503,0.829918965741855,444.38237243401767,0.8266666666666667,2.62,0.43000000000000016,-1.19,True,True,False,True,-0.8099999999999998,False,4,5,-332.0,6,-288.0
