rule,suppressed_exits,suppressed_share,adjusted_net_dollars,delta_vs_branch_actual_dollars,hurtful_exits_suppressed,helpful_exits_suppressed,train_adjusted_net,validation_adjusted_net,holdout_adjusted_net,train_suppressed,validation_suppressed,holdout_suppressed,all_splits_nonworse,diagnostic_pass
suppress_collapse_exit_if_exit_sigma_t_dollars>=75,23,0.4339622641509434,-19.439181999999995,12.710818000000003,17,6,-7.37918,-11.750002000000002,-0.3100000000000001,10,9,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_sigma_t_dollars>=75,21,0.39622641509433965,-19.539182,12.610817999999998,16,5,-7.37918,-11.850002,-0.3100000000000001,10,7,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=10,19,0.3584905660377358,-20.869181999999995,11.280818000000004,14,5,-7.9791799999999995,-11.850002,-1.0400000000000003,9,7,3,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=70 AND exit_sigma_t_dollars>=75,18,0.33962264150943394,-21.809182,10.340817999999999,14,4,-8.27918,-13.220002000000001,-0.3100000000000001,9,5,4,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_sigma_t_dollars>=75,19,0.3584905660377358,-22.889181999999998,9.260818,15,4,-6.52918,-16.050002000000003,-0.3100000000000001,9,6,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds<=180,20,0.37735849056603776,-23.169179999999997,8.980820000000001,15,5,-7.37918,-15.48,-0.3100000000000001,10,6,4,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=18 AND exit_sigma_t_dollars>=75,16,0.3018867924528302,-23.45918,8.690819999999999,13,3,-6.3091800000000005,-16.12,-1.03,7,6,3,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=0,18,0.33962264150943394,-23.53918,8.610819999999997,13,5,-7.759180000000001,-14.750000000000004,-1.03,7,8,3,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=15,13,0.24528301886792453,-23.639181999999998,8.510818,9,4,-11.209180000000002,-10.620002,-1.8100000000000003,5,6,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=50 AND fair_minus_exit_bid_cents>=15,6,0.11320754716981132,-23.790000000000003,8.359999999999996,5,1,-9.06,-11.39,-3.3400000000000003,2,4,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=100,5,0.09433962264150944,-24.870002000000003,7.2799979999999955,5,0,-10.38,-11.150002,-3.3400000000000003,2,3,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND position_seconds<=45,26,0.49056603773584906,-24.919999999999995,7.230000000000004,18,8,-6.250000000000001,-15.770000000000001,-2.9,16,3,7,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND exit_sigma_t_dollars>=50,9,0.16981132075471697,-25.05,7.099999999999998,8,1,-6.54,-16.67,-1.84,5,2,2,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_fair_drawdown_cents<=8,7,0.1320754716981132,-25.150000000000002,6.9999999999999964,7,0,-6.54,-16.77,-1.84,5,0,2,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=75 AND exit_sigma_t_dollars>=75,14,0.2641509433962264,-25.219182,6.930817999999999,11,3,-8.02918,-16.150002,-1.0400000000000003,7,4,3,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND fair_minus_exit_bid_cents>=15,6,0.11320754716981132,-25.7,6.449999999999999,4,2,-9.06,-13.3,-3.3400000000000003,2,4,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=500,15,0.2830188679245283,-25.739182000000003,6.4108179999999955,10,5,-8.94918,-13.450002000000001,-3.3400000000000003,8,7,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.6 AND exit_fair_drawdown_cents<=8,10,0.18867924528301888,-25.830000000000002,6.319999999999997,8,2,-8.280000000000001,-15.71,-1.84,7,1,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms>=500,8,0.1509433962264151,-25.849999999999998,6.300000000000001,7,1,-10.469999999999999,-15.07,-0.3100000000000001,2,2,4,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_fair_drawdown_cents<=8,10,0.18867924528301888,-26.130000000000003,6.019999999999996,8,2,-7.62,-16.67,-1.84,6,2,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds>=90,5,0.09433962264150944,-26.310002,5.839997999999998,4,1,-12.040000000000001,-10.930002000000002,-3.3400000000000003,0,5,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=5,10,0.18867924528301888,-26.42,5.729999999999997,7,3,-10.33,-13.52,-2.5700000000000003,2,7,1,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=15,3,0.05660377358490566,-26.59,5.559999999999999,3,0,-12.040000000000001,-11.21,-3.3400000000000003,0,3,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=4 AND exit_sigma_t_dollars>=50,7,0.1320754716981132,-26.720000000000002,5.429999999999996,6,1,-7.44,-16.67,-2.6100000000000003,4,2,1,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_fair_drawdown_cents<=4,5,0.09433962264150944,-26.820000000000004,5.329999999999995,5,0,-7.44,-16.77,-2.6100000000000003,4,0,1,True,True
suppress_collapse_exit_if_exit_p_hold>=0.65 AND exit_fair_drawdown_cents<=8,7,0.1320754716981132,-26.850000000000005,5.299999999999994,6,1,-9.299999999999999,-15.71,-1.84,4,1,2,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents>=20 AND exit_btc_age_ms<=100,4,0.07547169811320754,-27.060002,5.089997999999998,3,1,-11.19,-12.530002,-3.3400000000000003,1,3,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=18 AND exit_sigma_t_dollars>=100,8,0.1509433962264151,-27.17,4.979999999999997,7,1,-8.209999999999999,-15.620000000000001,-3.3400000000000003,5,3,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=55 AND exit_fair_drawdown_cents<=8,5,0.09433962264150944,-27.2,4.949999999999999,5,0,-8.59,-16.77,-1.84,3,0,2,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=80 AND exit_sigma_t_dollars>=75,7,0.1320754716981132,-27.209182,4.940818,6,1,-8.61918,-15.970002000000001,-2.6200000000000006,4,2,1,True,True
suppress_collapse_exit_if_exit_p_hold>=0.6 AND exit_sigma_t_dollars>=100,6,0.11320754716981132,-27.26,4.889999999999997,6,0,-8.209999999999999,-15.71,-3.3400000000000003,5,1,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=70 AND position_seconds<=45,22,0.41509433962264153,-27.319999999999997,4.830000000000002,15,7,-9.2,-15.770000000000001,-2.35,13,3,6,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND entry_to_exit_loss_cents>=10,7,0.1320754716981132,-27.330000000000002,4.819999999999997,5,2,-7.990000000000001,-16.77,-2.5700000000000003,6,0,1,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND fair_minus_exit_bid_cents>=0,11,0.20754716981132076,-27.420000000000005,4.729999999999993,7,4,-8.910000000000002,-16.67,-1.84,7,2,2,True,True
suppress_collapse_exit_if_exit_p_hold>=0.7 AND exit_fair_drawdown_cents<=12,7,0.1320754716981132,-27.44,4.709999999999997,6,1,-8.829999999999998,-16.77,-1.84,5,0,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND exit_btc_age_ms<=300,12,0.22641509433962265,-27.449182000000004,4.700817999999995,8,4,-9.799180000000002,-14.310002,-3.3400000000000003,7,5,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.6 AND exit_fair_drawdown_cents<=4,8,0.1509433962264151,-27.500000000000004,4.649999999999995,6,2,-9.18,-15.71,-2.6100000000000003,6,1,1,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=80 AND exit_btc_age_ms<=300,10,0.18867924528301888,-27.559182,4.590817999999999,7,3,-8.73918,-15.480002,-3.3400000000000003,6,4,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=80 AND exit_btc_age_ms<=500,10,0.18867924528301888,-27.559182,4.590817999999999,7,3,-8.73918,-15.480002,-3.3400000000000003,6,4,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.65 AND exit_fair_drawdown_cents<=4,6,0.11320754716981132,-27.62,4.529999999999998,5,1,-9.299999999999999,-15.71,-2.6100000000000003,4,1,1,True,True
suppress_collapse_exit_if_exit_p_hold>=0.7 AND position_seconds<=180,9,0.16981132075471697,-27.699180000000002,4.450819999999997,7,2,-9.089179999999999,-16.77,-1.84,7,0,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=100 AND fair_minus_exit_bid_cents>=0,7,0.1320754716981132,-27.77,4.379999999999999,6,1,-8.81,-15.620000000000001,-3.3400000000000003,4,3,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_fair_drawdown_cents<=4,8,0.1509433962264151,-27.8,4.349999999999998,6,2,-8.52,-16.67,-2.6100000000000003,5,2,1,True,True
suppress_collapse_exit_if_exit_exit_bid_cents<=45 AND exit_sigma_t_dollars>=75,3,0.05660377358490566,-27.849999999999998,4.300000000000001,2,1,-12.040000000000001,-12.469999999999999,-3.3400000000000003,0,3,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8,13,0.24528301886792453,-27.900000000000002,4.2499999999999964,8,5,-9.39,-16.67,-1.84,9,2,2,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND position_seconds<=180,13,0.24528301886792453,-27.900000000000002,4.2499999999999964,8,5,-9.39,-16.67,-1.84,9,2,2,True,True
suppress_collapse_exit_if_exit_entry_basis_cents<=70 AND exit_p_hold>=0.6,7,0.1320754716981132,-27.930000000000003,4.219999999999995,5,2,-8.88,-15.71,-3.3400000000000003,6,1,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents<=0,5,0.09433962264150944,-28.050002,4.099997999999999,4,1,-11.659999999999998,-13.770002000000002,-2.6200000000000006,3,1,1,True,True
suppress_collapse_exit_if_exit_p_hold>=0.7 AND exit_fair_drawdown_cents<=10,6,0.11320754716981132,-28.110000000000003,4.039999999999996,5,1,-9.499999999999998,-16.77,-1.84,4,0,2,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND fair_minus_exit_bid_cents>=15,3,0.05660377358490566,-28.110000000000003,4.039999999999996,3,0,-9.06,-15.71,-3.3400000000000003,2,1,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND fair_minus_exit_bid_cents>=5,10,0.18867924528301888,-28.150000000000002,3.9999999999999964,6,4,-8.910000000000002,-16.67,-2.5700000000000003,7,2,1,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=15 AND exit_sigma_t_dollars>=100,7,0.1320754716981132,-28.220000000000002,3.929999999999996,6,1,-8.209999999999999,-16.67,-3.3400000000000003,5,2,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=100,9,0.16981132075471697,-28.240000000000002,3.9099999999999966,7,2,-9.28,-15.620000000000001,-3.3400000000000003,6,3,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_sigma_t_dollars>=100,9,0.16981132075471697,-28.240000000000002,3.9099999999999966,7,2,-9.28,-15.620000000000001,-3.3400000000000003,6,3,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=100 AND position_seconds<=180,9,0.16981132075471697,-28.240000000000002,3.9099999999999966,7,2,-9.28,-15.620000000000001,-3.3400000000000003,6,3,0,True,True
suppress_collapse_exit_if_exit_btc_age_ms<=300 AND fair_minus_exit_bid_cents>=15,5,0.09433962264150944,-28.280000000000005,3.869999999999994,3,2,-9.06,-15.879999999999999,-3.3400000000000003,2,3,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=50 AND exit_btc_age_ms>=500,14,0.2641509433962264,-28.33,3.8200000000000003,9,5,-10.780000000000001,-16.25,-1.3,4,5,5,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_sigma_t_dollars>=100,7,0.1320754716981132,-28.34,3.8099999999999987,6,1,-9.28,-15.720000000000002,-3.3400000000000003,6,1,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds>=180,3,0.05660377358490566,-28.420002,3.7299979999999984,2,1,-12.040000000000001,-13.040002000000001,-3.3400000000000003,0,3,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=75 AND position_seconds<=45,18,0.33962264150943394,-28.769999999999996,3.3800000000000026,12,6,-9.92,-15.770000000000001,-3.08,10,3,5,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=80 AND exit_btc_age_ms<=100,6,0.11320754716981132,-28.780002,3.369997999999999,4,2,-10.639999999999999,-14.800002000000003,-3.3400000000000003,4,2,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=10,4,0.07547169811320754,-28.790000000000003,3.359999999999996,3,1,-12.040000000000001,-13.41,-3.3400000000000003,0,4,0,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=60 AND exit_p_hold>=0.7,7,0.1320754716981132,-28.82918,3.3208199999999977,6,1,-10.219179999999998,-16.77,-1.84,5,0,2,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=55 AND exit_fair_drawdown_cents<=4,3,0.05660377358490566,-28.87,3.2799999999999976,3,0,-9.49,-16.77,-2.6100000000000003,2,0,1,True,True
suppress_collapse_exit_if_exit_p_hold>=0.68 AND exit_fair_drawdown_cents<=8,5,0.09433962264150944,-28.920000000000005,3.2299999999999933,4,1,-10.309999999999999,-16.77,-1.84,3,0,2,True,True
suppress_collapse_exit_if_exit_p_hold>=0.7 AND exit_fair_drawdown_cents<=8,5,0.09433962264150944,-28.920000000000005,3.2299999999999933,4,1,-10.309999999999999,-16.77,-1.84,3,0,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=100 AND entry_to_exit_loss_cents>=10,6,0.11320754716981132,-28.94,3.2099999999999973,5,1,-9.88,-15.720000000000002,-3.3400000000000003,5,1,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents<=70 AND exit_p_hold>=0.65,4,0.07547169811320754,-28.95,3.1999999999999993,3,1,-9.9,-15.71,-3.3400000000000003,3,1,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=4 AND entry_to_exit_loss_cents>=10,4,0.07547169811320754,-28.970000000000002,3.179999999999996,3,1,-8.86,-16.77,-3.3400000000000003,4,0,0,True,True
suppress_collapse_exit_if_exit_p_hold>=0.65 AND entry_to_exit_loss_cents<=10,4,0.07547169811320754,-28.990000000000002,3.1599999999999966,4,0,-11.44,-15.71,-1.84,1,1,2,True,True
suppress_collapse_exit_if_exit_p_hold>=0.65 AND exit_sigma_t_dollars>=100,4,0.07547169811320754,-29.01,3.139999999999997,4,0,-9.959999999999999,-15.71,-3.3400000000000003,3,1,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=12 AND exit_sigma_t_dollars>=100,6,0.11320754716981132,-29.03,3.1199999999999974,5,1,-9.02,-16.67,-3.3400000000000003,4,2,0,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=8 AND exit_sigma_t_dollars>=75,6,0.11320754716981132,-29.05,3.099999999999998,5,1,-10.539999999999997,-16.67,-1.84,2,2,2,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=4 AND fair_minus_exit_bid_cents>=0,8,0.1509433962264151,-29.060000000000002,3.0899999999999963,5,3,-9.78,-16.67,-2.6100000000000003,5,2,1,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=60 AND exit_sigma_t_dollars>=100,4,0.07547169811320754,-29.220000000000002,2.929999999999996,4,0,-9.11,-16.77,-3.3400000000000003,4,0,0,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=70 AND exit_sigma_t_dollars>=100,6,0.11320754716981132,-29.24,2.91,5,1,-10.18,-15.720000000000002,-3.3400000000000003,5,1,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=100 AND fair_minus_exit_bid_cents>=5,5,0.09433962264150944,-29.290000000000003,2.859999999999996,4,1,-10.33,-15.620000000000001,-3.3400000000000003,2,3,0,True,True
