threshold_cents,max_entry_ask_cents,window,exit_gate,entries,wins,losses,win_rate,wrong_side,exits,settlement_losses,net_pnl_cents,avg_pnl_cents,max_drawdown_cents,remove_best_market_net_cents,market_lcb_cents,worst_trade_cents,best_trade_cents
90.000000,98.000000,5_to_15_min,fair_lt_75,38,35,3,0.921053,2,1,2,121.300000,3.192105,96.000000,112.300000,-2.810147,-91.000000,9.000000
90.000000,98.000000,5_to_15_min,fair_lt_80,38,34,4,0.894737,2,2,2,108.300000,2.850000,96.000000,99.300000,-3.162688,-91.000000,9.000000
90.000000,98.000000,5_to_15_min,v28_fair_lt_75,38,35,3,0.921053,2,1,2,121.300000,3.192105,96.000000,112.300000,-2.810147,-91.000000,9.000000
90.000000,98.000000,5_to_15_min,bid_lt_entry_minus_10,38,35,3,0.921053,2,1,2,106.000000,2.789474,96.000000,97.000000,-3.275716,-91.000000,9.000000
90.000000,98.000000,5_to_15_min,edge_lt_0,38,30,7,0.789474,2,10,2,50.500000,1.328947,96.000000,41.500000,-4.650022,-91.000000,9.000000
90.000000,98.000000,5_to_15_min,fair_lt_75_or_bid_lt_entry_minus_10,38,34,4,0.894737,2,2,2,96.300000,2.534211,96.000000,87.300000,-3.526425,-91.000000,9.000000
90.000000,98.000000,last_5_min,hold,50,45,5,0.900000,5,0,5,-181.000000,-3.620000,299.000000,-190.000000,-10.504794,-92.000000,9.000000
90.000000,98.000000,last_5_min,fair_lt_70,50,44,6,0.880000,5,1,5,-194.000000,-3.880000,299.000000,-203.000000,-10.751826,-92.000000,9.000000
90.000000,98.000000,last_5_min,fair_lt_75,50,42,8,0.840000,5,3,5,-213.200000,-4.264000,299.000000,-222.200000,-11.113331,-92.000000,9.000000
90.000000,98.000000,last_5_min,fair_lt_80,50,41,9,0.820000,5,4,5,-231.200000,-4.624000,299.000000,-240.200000,-11.460498,-92.000000,9.000000
90.000000,98.000000,last_5_min,v28_fair_lt_75,50,42,8,0.840000,5,3,5,-213.200000,-4.264000,299.000000,-222.200000,-11.113331,-92.000000,9.000000
