source,market,side,reason,p_side,outcome,brier,bucket,actionable,edge_cents,ask_cents,seconds_to_close,sigma_t_dollars,recross_hazard_score,h6_recross_hazard_high,gross_cents,ask_prob,v28_minus_ask_prob,disagreement_bucket,book_brier,v28_brier,v28_brier_minus_book_brier
entry,KXBTC15M-26MAY051300-00,yes,approved_entry,0.867375,1.0,0.017589390625,85_90,True,2.23752,81,594.247,115.035336,0.36657919808610573,True,36.0,0.81,0.057374999999999954,v28_plus_03_08,0.03609999999999998,0.017589390625,-0.01851060937499998
entry,KXBTC15M-26MAY051330-30,yes,approved_entry,0.879391,1.0,0.014546530880999992,85_90,True,2.439055,82,529.068,106.389306,0.30242891547156237,True,0.0,0.82,0.05939100000000008,v28_plus_03_08,0.03240000000000002,0.014546530880999992,-0.01785346911900003
rejected_actionable,KXBTC15M-26MAY051415-15,no,p_below_floor,0.003616,0.0,1.3075455999999998e-05,00_50,True,-3.138366,1,221.567,67.037052,0.014400165595452295,False,-2.0,0.01,-0.006384000000000001,slightly_below_book,0.0001,1.3075455999999998e-05,-8.6924544e-05
rejected_actionable,KXBTC15M-26MAY051415-15,yes,ask_too_high,0.996384,1.0,1.3075455999999658e-05,95_100,True,-1.861634,99,221.567,67.037052,0.014400165595452295,False,2.0,0.99,0.006384000000000056,near_book,0.00010000000000000018,1.3075455999999658e-05,-8.692454400000052e-05
rejected_actionable,KXBTC15M-26MAY051430-30,no,p_below_floor,0.498694,1.0,0.251307705636,00_50,True,-9.130608,55,884.333,138.588871,1.3031899471925121,True,90.0,0.55,-0.05130600000000002,v28_below_book,0.20249999999999996,0.251307705636,0.048807705636000065
rejected_actionable,KXBTC15M-26MAY051430-30,no,edge_below_floor,0.850039,1.0,0.022488301521000002,85_90,True,-0.496087,82,619.367,116.590494,0.41287069208660115,True,36.0,0.82,0.030039000000000038,v28_plus_03_08,0.03240000000000002,0.022488301521000002,-0.009911698479000017
rejected_actionable,KXBTC15M-26MAY051430-30,no,ask_too_high,0.831974,1.0,0.028232736676000004,80_85,True,-10.802577,91,411.418,94.946772,0.2919533460850874,True,18.0,0.91,-0.07802600000000004,v28_below_book,0.008099999999999994,0.028232736676000004,0.02013273667600001
rejected_actionable,KXBTC15M-26MAY051430-30,yes,p_below_floor,0.501306,0.0,0.251307705636,50_60,True,-0.869392,47,884.333,138.588871,1.3031899471925121,True,-94.0,0.47,0.031306000000000056,v28_plus_03_08,0.22089999999999999,0.251307705636,0.030407705636000038
rejected_actionable,KXBTC15M-26MAY051445-45,no,p_below_floor,0.602091,0.0,0.36251357228100006,60_70,True,-5.790886,62,883.985,139.063895,1.0748649042363498,True,-124.0,0.62,-0.017908999999999953,slightly_below_book,0.3844,0.36251357228100006,-0.021886427718999957
rejected_actionable,KXBTC15M-26MAY051445-45,yes,p_below_floor,0.397909,1.0,0.3625135722809999,00_50,True,-3.209114,39,883.985,139.063895,1.0748649042363498,True,122.0,0.39,0.007909,near_book,0.3721,0.3625135722809999,-0.00958642771900009
