dataset,candidate,block_index,base_markets,selected_markets,coverage,wins,losses,accuracy,net_pnl_cents,net_roi_on_cost,median_ask,positive_net,coverage_pass
v21,hazard_ask75_else_score60_ask95,0,20,20,1.0,17,3,0.85,247.0,0.16999311768754302,69.5,True,True
v21,hazard_ask75_else_score60_ask95,1,20,20,1.0,12,8,0.6,-214.0,-0.15134370579915135,66.0,False,True
v21,hazard_ask75_else_score60_ask95,2,20,20,1.0,13,7,0.65,-130.0,-0.09090909090909091,68.0,False,True
v21,hazard_ask75_else_score60_ask95,3,20,20,1.0,13,7,0.65,-116.0,-0.08192090395480225,69.5,False,True
v21,hazard_ask75_else_score60_ask95,4,20,19,0.95,14,5,0.7368421052631579,131.0,0.10323089046493301,65.0,True,True
v21,hazard_ask75_else_score60_ask95,5,20,20,1.0,15,5,0.75,93.0,0.06609808102345416,68.0,True,True
v21,hazard_ask75_else_score60_ask95,6,20,20,1.0,17,3,0.85,267.0,0.18632240055826937,68.0,True,True
v21,hazard_ask75_else_score60_ask95,7,20,20,1.0,17,3,0.85,309.0,0.22214234363767074,67.0,True,True
v21,hazard_ask75_else_score60_ask95,8,20,20,1.0,12,8,0.6,-193.0,-0.13854989231873654,65.0,False,True
v21,hazard_ask75_else_score60_ask95,9,20,20,1.0,16,4,0.8,169.0,0.11809923130677848,68.5,True,True
v21,hazard_ask75_else_score60_ask95,10,20,19,0.95,15,4,0.7894736842105263,96.0,0.06837606837606838,69.0,True,True
v21,hazard_ask75_else_score60_ask95,11,1,1,1.0,1,0,1.0,37.0,0.5873015873015873,61.0,True,True
v21,hazard_ask75_else_logit55_edge15_ask95,0,20,19,0.95,17,2,0.8947368421052632,338.0,0.24816446402349487,69.0,True,True
v21,hazard_ask75_else_logit55_edge15_ask95,1,20,20,1.0,12,8,0.6,-206.0,-0.1465149359886202,65.5,False,True
v21,hazard_ask75_else_logit55_edge15_ask95,2,20,20,1.0,13,7,0.65,-126.0,-0.08835904628330996,67.5,False,True
v21,hazard_ask75_else_logit55_edge15_ask95,3,20,20,1.0,13,7,0.65,-108.0,-0.07670454545454546,67.5,False,True
v21,hazard_ask75_else_logit55_edge15_ask95,4,20,19,0.95,13,6,0.6842105263157895,36.0,0.028481012658227847,65.0,True,True
v21,hazard_ask75_else_logit55_edge15_ask95,5,20,20,1.0,15,5,0.75,87.0,0.06157112526539278,69.0,True,True
v21,hazard_ask75_else_logit55_edge15_ask95,6,20,20,1.0,17,3,0.85,267.0,0.18632240055826937,68.0,True,True
v21,hazard_ask75_else_logit55_edge15_ask95,7,20,20,1.0,17,3,0.85,311.0,0.22390208783297336,67.0,True,True
v21,hazard_ask75_else_logit55_edge15_ask95,8,20,20,1.0,11,9,0.55,-284.0,-0.20520231213872833,65.0,False,True
v21,hazard_ask75_else_logit55_edge15_ask95,9,20,20,1.0,15,5,0.75,92.0,0.06534090909090909,67.0,True,True
v21,hazard_ask75_else_logit55_edge15_ask95,10,20,19,0.95,15,4,0.7894736842105263,117.0,0.08459869848156182,68.0,True,True
v21,hazard_ask75_else_logit55_edge15_ask95,11,1,1,1.0,1,0,1.0,29.0,0.4084507042253521,69.0,True,True
v21,hazard_ask80_else_score60_ask70,0,20,18,0.9,16,2,0.8888888888888888,331.0,0.26083530338849487,68.0,True,True
v21,hazard_ask80_else_score60_ask70,1,20,20,1.0,12,8,0.6,-197.0,-0.14101646385110952,66.0,False,True
v21,hazard_ask80_else_score60_ask70,2,20,19,0.95,12,7,0.631578947368421,-122.0,-0.09228441754916793,67.0,False,True
v21,hazard_ask80_else_score60_ask70,3,20,20,1.0,13,7,0.65,-104.0,-0.07407407407407407,68.5,False,True
v21,hazard_ask80_else_score60_ask70,4,20,19,0.95,14,5,0.7368421052631579,131.0,0.10323089046493301,65.0,True,True
v21,hazard_ask80_else_score60_ask70,5,20,19,0.95,14,5,0.7368421052631579,79.0,0.05980317940953823,68.0,True,True
v21,hazard_ask80_else_score60_ask70,6,20,19,0.95,16,3,0.8421052631578947,265.0,0.19850187265917604,68.0,True,True
