dataset,candidate,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask
current,hazard45_sec60_else_score_min60,hour,0,9,6,3,0.6666666666666666,-55.0,-6.111111111111111,69.0
current,hazard45_sec60_else_score_min60,hour,1,8,7,1,0.875,112.0,14.0,70.0
current,hazard45_sec60_else_score_min60,hour,10,12,11,1,0.9166666666666666,240.0,20.0,69.0
current,hazard45_sec60_else_score_min60,hour,11,12,9,3,0.75,30.0,2.5,70.5
current,hazard45_sec60_else_score_min60,hour,12,12,11,1,0.9166666666666666,231.0,19.25,69.0
current,hazard45_sec60_else_score_min60,hour,13,12,7,5,0.5833333333333334,-190.0,-15.833333333333334,72.5
current,hazard45_sec60_else_score_min60,hour,14,11,7,4,0.6363636363636364,-103.0,-9.363636363636363,73.0
current,hazard45_sec60_else_score_min60,hour,15,11,8,3,0.7272727272727273,21.0,1.9090909090909092,68.0
current,hazard45_sec60_else_score_min60,hour,16,8,5,3,0.625,-67.0,-8.375,68.0
current,hazard45_sec60_else_score_min60,hour,17,12,9,3,0.75,52.0,4.333333333333333,69.5
current,hazard45_sec60_else_score_min60,hour,18,12,9,3,0.75,34.0,2.8333333333333335,72.5
current,hazard45_sec60_else_score_min60,hour,19,12,11,1,0.9166666666666666,233.0,19.416666666666668,70.0
current,hazard45_sec60_else_score_min60,hour,2,14,9,5,0.6428571428571429,-120.0,-8.571428571428571,71.0
current,hazard45_sec60_else_score_min60,hour,20,12,10,2,0.8333333333333334,148.0,12.333333333333334,71.5
current,hazard45_sec60_else_score_min60,hour,21,12,10,2,0.8333333333333334,86.0,7.166666666666667,73.0
current,hazard45_sec60_else_score_min60,hour,22,12,10,2,0.8333333333333334,143.0,11.916666666666666,69.5
current,hazard45_sec60_else_score_min60,hour,23,12,11,1,0.9166666666666666,250.0,20.833333333333332,68.0
current,hazard45_sec60_else_score_min60,hour,3,16,12,4,0.75,32.0,2.0,70.5
current,hazard45_sec60_else_score_min60,hour,4,16,12,4,0.75,63.0,3.9375,69.5
current,hazard45_sec60_else_score_min60,hour,5,16,12,4,0.75,93.0,5.8125,68.0
current,hazard45_sec60_else_score_min60,hour,6,15,14,1,0.9333333333333333,334.0,22.266666666666666,67.0
current,hazard45_sec60_else_score_min60,hour,7,12,9,3,0.75,61.0,5.083333333333333,67.0
current,hazard45_sec60_else_score_min60,hour,8,12,5,7,0.4166666666666667,-357.0,-29.75,69.0
current,hazard45_sec60_else_score_min60,hour,9,12,7,5,0.5833333333333334,-167.0,-13.916666666666666,69.0
current,hazard45_sec60_else_score_min60,ask,ask<=60,16,10,6,0.625,54.0,3.375,57.5
current,hazard45_sec60_else_score_min60,ask,ask<=70,148,108,40,0.7297297297297297,648.0,4.378378378378378,67.0
current,hazard45_sec60_else_score_min60,ask,ask<=80,122,97,25,0.7950819672131147,329.0,2.69672131147541,74.0
current,hazard45_sec60_else_score_min60,ask,ask<=95,6,6,0,1.0,73.0,12.166666666666666,85.5
current,hazard45_sec60_else_score_min60,time,sec<=300,6,5,1,0.8333333333333334,46.0,7.666666666666667,74.0
current,hazard45_sec60_else_score_min60,time,sec<=600,57,41,16,0.7192982456140351,-42.0,-0.7368421052631579,71.0
current,hazard45_sec60_else_score_min60,time,sec<=900,229,175,54,0.7641921397379913,1100.0,4.8034934497816595,69.0
current,hazard45_sec600_else_logit_thresh55_edge15,selector,fallback_logit_thresh55_edge15,23,11,12,0.4782608695652174,-514.0,-22.347826086956523,67.0
current,hazard45_sec600_else_logit_thresh55_edge15,selector,hazard_primary_0.45,223,169,54,0.757847533632287,997.0,4.4708520179372195,69.0
current,hazard45_sec600_else_logit_thresh55_edge15,split,holdout,53,38,15,0.7169811320754716,-67.0,-1.2641509433962264,70.0
current,hazard45_sec600_else_logit_thresh55_edge15,split,train,146,107,39,0.7328767123287672,430.0,2.9452054794520546,68.0
current,hazard45_sec600_else_logit_thresh55_edge15,split,validation,47,35,12,0.7446808510638298,120.0,2.5531914893617023,69.0
current,hazard45_sec600_else_logit_thresh55_edge15,side,no,124,88,36,0.7096774193548387,-23.0,-0.18548387096774194,69.0
current,hazard45_sec600_else_logit_thresh55_edge15,side,yes,122,92,30,0.7540983606557377,506.0,4.147540983606557,69.0
current,hazard45_sec600_else_logit_thresh55_edge15,hour,0,8,5,3,0.625,-75.0,-9.375,69.0
