rule,suppressed_exits,suppressed_share,adjusted_net_dollars,delta_vs_branch_actual_dollars,hurtful_exits_suppressed,helpful_exits_suppressed,train_adjusted_net,validation_adjusted_net,holdout_adjusted_net,train_suppressed,validation_suppressed,holdout_suppressed,all_splits_nonworse,diagnostic_pass
suppress_collapse_exit_if_exit_sigma_t_dollars>=75,23,0.4339622641509434,-19.709182,12.710818000000003,17,6,-7.19918,-11.800002,-0.71,10,9,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_sigma_t_dollars>=75,21,0.39622641509433965,-19.809181999999996,12.610818000000005,16,5,-7.19918,-11.900002,-0.71,10,7,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=10,19,0.3584905660377358,-21.139181999999998,11.280818000000004,14,5,-7.79918,-11.900002,-1.44,9,7,3,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=70 AND exit_sigma_t_dollars>=75,18,0.33962264150943394,-22.219181999999996,10.200818000000005,14,4,-8.179179999999999,-13.330002,-0.71,9,5,4,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_sigma_t_dollars>=75,19,0.3584905660377358,-23.219181999999996,9.200818000000005,15,4,-6.3491800000000005,-16.160002000000002,-0.71,9,6,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds<=180,20,0.37735849056603776,-23.43918,8.980820000000001,15,5,-7.19918,-15.530000000000001,-0.71,10,6,4,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=18 AND exit_sigma_t_dollars>=75,16,0.3018867924528302,-23.78918,8.63082,13,3,-6.12918,-16.23,-1.43,7,6,3,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=0,18,0.33962264150943394,-23.80918,8.61082,13,5,-7.579179999999999,-14.8,-1.43,7,8,3,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=15,13,0.24528301886792453,-23.919182,8.500818000000002,9,4,-11.10918,-10.600002,-2.21,5,6,2,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=50 AND fair_minus_exit_bid_cents>=15,6,0.11320754716981132,-24.060000000000002,8.36,5,1,-8.889999999999999,-11.43,-3.7399999999999998,2,4,0,True,True
suppress_collapse_exit_if_exit_btc_age_ms<=100 AND entry_to_exit_loss_cents>=20,8,0.1509433962264151,-24.490002,7.929998000000001,6,2,-8.729999999999999,-12.020002000000002,-3.7399999999999998,3,5,0,True,True
