market,decision_key,dataset,entry_key,entry_dt,entry_minute,side,outcome,outcome_available,win,qty,ask_cents,bid_cents,book_mid_cents,book_p_side,book_other_mid_cents,book_margin_cents,spread_cents,spot,strike,seconds_to_close,v28_sigma_t_dollars,source_line_no,position_open_logged,pending_logged,trust_state,outcome_method,outcome_source,side_sign,margin_dollars,margin_per_sqrt_sec,margin_per_sqrt_min,margin_per_v28_sigma,brownian_p_v28_sigma,rv_sigma_t_5m,margin_per_rv_sigma_5m,brownian_p_rv_5m,rv_sigma_t_15m,margin_per_rv_sigma_15m,brownian_p_rv_15m,rv_sigma_t_30m,margin_per_rv_sigma_30m,brownian_p_rv_30m,rv_sigma_t_60m,margin_per_rv_sigma_60m,brownian_p_rv_60m,btc_close_lag_1m,signed_move_1m,signed_velocity_dps_1m,adverse_move_1m,drift_projected_margin_1m,drift_p_1m_rv_15m,drift_p_1m_rv_30m,drift_p_1m_rv_60m,btc_close_lag_3m,signed_move_3m,signed_velocity_dps_3m,adverse_move_3m,drift_projected_margin_3m,drift_p_3m_rv_15m,drift_p_3m_rv_30m,drift_p_3m_rv_60m,btc_close_lag_5m,signed_move_5m,signed_velocity_dps_5m,adverse_move_5m,drift_projected_margin_5m,drift_p_5m_rv_15m,drift_p_5m_rv_30m,drift_p_5m_rv_60m,btc_close_lag_10m,signed_move_10m,signed_velocity_dps_10m,adverse_move_10m,drift_projected_margin_10m,drift_p_10m_rv_15m,drift_p_10m_rv_30m,drift_p_10m_rv_60m,btc_close_lag_15m,signed_move_15m,signed_velocity_dps_15m,adverse_move_15m,drift_projected_margin_15m,drift_p_15m_rv_15m,drift_p_15m_rv_30m,drift_p_15m_rv_60m,btc_close_lag_30m,signed_move_30m,signed_velocity_dps_30m,adverse_move_30m,drift_projected_margin_30m,drift_p_30m_rv_15m,drift_p_30m_rv_30m,drift_p_30m_rv_60m,btc_close_lag_60m,signed_move_60m,signed_velocity_dps_60m,adverse_move_60m,drift_projected_margin_60m,drift_p_60m_rv_15m,drift_p_60m_rv_30m,drift_p_60m_rv_60m,book_minus_brownian_rv15,physics_confirmed_book,score_mean_book_rv15,score_mean_book_rv15_drift5,score_min_book_rv15,opportunity_key,two_side_mode,score_mean_book_rv30,score_min_book_rv15_drift5,score_regime_blend,abs_book_rv15_gap,abs_book_rv30_gap,close_dt,split,model_p,settlement_pnl_cents,candidate
KXBTC15M-26APR302230-30,heartbeat:99,live_heartbeat_two_side,heartbeat:99:no,2026-05-01 02:27:44.675000+00:00,2026-05-01 02:27:00+00:00,no,no,True,True,1,97.0,96.0,96.5,0.965,3.5,93.0,1.0,76597.17,76652.0,135.325,,99,False,False,synced,bid>=98,latest_quote,-1.0,54.83000000000175,4.713344981286558,36.5094132349063,,,11.1369113502265,4.923268065601207,0.9999995744463156,32.169896394225056,1.7043884546001986,0.9558457302915484,39.09079980031782,1.4026318284630228,0.9196366722458208,31.932889560134512,1.717038475229386,0.9570139288615302,76593.83,-3.3399999999965075,-0.0556666666666084,3.3399999999965075,47.29690833334296,0.9292492605166534,0.8868460278426604,0.930714648325074,76596.57,-0.5999999999912689,-0.0033333333332848,0.5999999999912689,54.378916666674975,0.9545210744763094,0.9179013037512276,0.9557077774227654,76580.96,-16.20999999999185,-0.0540333333333061,16.20999999999185,47.51793916667209,0.9301746884432436,0.8879272522779168,0.93163198355514,76692.19,95.02000000000407,0.1583666666666734,0.0,76.26096916666933,0.9911196432641484,0.974463592570138,0.991533602269553,76666.59,69.41999999999825,0.0771333333333313,0.0,65.26806833333481,0.9787634901975376,0.952505973956419,0.9795189599844364,76714.58,117.41000000000348,0.0652277777777797,0.0,63.65694902777979,0.9760792617745496,0.9482839912271656,0.9768944691430724,76493.34,-103.83000000000176,-0.0288416666666671,103.83000000000176,50.92700145833501,0.943296548987703,0.903676323301554,0.9446230196968546,0.0091542697084516,True,0.9604228651457742,0.9503401395782639,0.9558457302915484,heartbeat:99,two_side_all_heartbeats,0.9423183361229104,0.9301746884432436,0.9552886567761132,0.009154269708451568,0.04536332775417917,2026-05-01 02:30:00+00:00,train,0.9527344647267377,3.0,locked_logit_book_physics_c005_p095_20260502_1512
KXBTC15M-26APR302245-45,heartbeat:184,live_heartbeat_two_side,heartbeat:184:no,2026-05-01 02:43:16.056000+00:00,2026-05-01 02:43:00+00:00,no,no,True,True,1,98.0,97.0,97.5,0.975,2.5,95.0,1.0,76566.51,76603.27,103.944,,184,False,False,synced,bid>=98,latest_quote,-1.0,36.76000000000931,3.6055854290903344,27.928744640389976,,,14.321601846208608,2.566751987295393,0.9948671996593922,19.099838475295098,1.924623605982687,0.9728617680065608,23.99343633635245,1.5320856706262724,0.9372493523480896,28.552797668122984,1.2874395156397946,0.9010294306829456,76575.99,9.480000000010476,0.1580000000001746,0.0,53.18315200002746,0.9973193332420116,0.9866737849202196,0.9687424709559704,76577.63,11.120000000009895,0.0617777777778327,0.0,43.18142933334836,0.9881150120933676,0.9640474444661418,0.9347758209688828,76607.15,40.63999999999942,0.1354666666666647,0.0,50.84094720000911,0.9961144004229048,0.9829527509909344,0.9625106196687344,76550.28,-16.229999999995925,-0.0270499999999932,16.229999999995925,33.94831480001002,0.9622499018023716,0.9214511015554268,0.8827735399263779,76609.75,43.24000000000524,0.0480444444444502,0.0,41.75393173334325,0.9855954238585118,0.9590900729591432,0.9281761299022392,76666.59,100.08000000000176,0.0556000000000009,0.0,42.539286400009416,0.9870332655378448,0.9618819301080296,0.9318677026785468,76597.54,31.02999999999884,0.0086194444444441,0.0,37.65593953334261,0.975668462129107,0.9417257262617518,0.9063849941401586,0.0021382319934392,True,0.9739308840032803,0.9813253894764884,0.9728617680065608,heartbeat:184,two_side_all_heartbeats,0.9561246761740447,0.9728617680065608,0.9785814104865492,0.0021382319934392102,0.037750647651910385,2026-05-01 02:45:00+00:00,train,0.9565832842431992,2.0,locked_logit_book_physics_c005_p095_20260502_1512
KXBTC15M-26APR302300-00,heartbeat:242,live_heartbeat_two_side,heartbeat:242:no,2026-05-01 02:56:17.308000+00:00,2026-05-01 02:56:00+00:00,no,no,True,True,1,95.0,95.0,95.0,0.95,5.0,90.0,0.0,76528.23,76574.18,222.692,,242,False,False,synced,bid>=98,latest_quote,-1.0,45.94999999999709,3.079166746014966,23.851123055023294,,,30.03334115135032,1.5299663053949342,0.9369874652902148,22.51464373868323,2.040893941441708,0.9793693149221552,25.499368485826327,1.8020054114492332,0.9642277229154474,39.41549188554461,1.165785273806236,0.8781493636794134,76543.95,15.720000000001164,0.2620000000000194,0.0,104.2953040000014,0.9999981921511804,0.9999784418662284,0.9959280932852596,76573.1,44.870000000009895,0.2492777777778327,0.0,101.46216688889822,0.999996704663938,0.9999653981549655,0.9949759519287652,76573.68,45.44999999999709,0.1514999999999903,0.0,79.68783799999494,0.9997994645571964,0.9991112486255193,0.9783983398376188,76545.8,17.570000000006985,0.0292833333333449,0.0,52.47116406666635,0.9901110524196298,0.980192626984294,0.9084436573249164,76579.29,51.05999999999767,0.0567333333333307,0.0,58.58405946666318,0.9953664813884936,0.989204042055312,0.931402836230502,76593.83,65.60000000000582,0.0364444444444476,0.0,54.06588622222003,0.9918329912685888,0.9830089211774924,0.9149202167726156,76718.1,189.8700000000099,0.0527416666666694,0.0,57.69514723333104,0.9948048328278722,0.9881701549595824,0.9283713655976809,-0.0293693149221551,True,0.9646846574610776,0.9763895931597838,0.95,heartbeat:242,two_side_all_heartbeats,0.9571138614577237,0.95,0.9687706873880857,0.02936931492215522,0.014227722915447494,2026-05-01 03:00:00+00:00,train,0.95436345447732,5.0,locked_logit_book_physics_c005_p095_20260502_1512
KXBTC15M-26APR302315-15,heartbeat:305,live_heartbeat_two_side,heartbeat:305:yes,2026-05-01 03:10:33.421000+00:00,2026-05-01 03:10:00+00:00,yes,yes,True,True,1,99.0,99.0,99.0,0.99,1.0,98.0,0.0,76630.45,76566.01,266.579,,305,False,False,synced,bid>=98,latest_quote,1.0,64.44000000000233,3.946776780385143,30.57160148325957,,,57.98711234549805,1.11128141053234,0.8667763807818818,52.04802711719176,1.2380872737963478,0.8921581489361592,40.65609811563675,1.5850020780823049,0.9435170689404369,40.88548097785892,1.5761096227509002,0.942499729114786,76640.0,-9.55000000000291,-0.1591666666667151,9.55000000000291,22.009509166656063,0.663804663229348,0.7058696189308691,0.7048222396925766,76553.61,76.83999999999651,0.4268888888888695,0.0,178.23961311110827,0.9996920589937608,0.9999941761690804,0.9999934815351944,76523.2,107.25,0.3575,0.0,159.7419925000023,0.998926572585198,0.9999573683222898,0.9999532868553382,76566.47,63.979999999995925,0.1066333333333265,0.0,92.86620736666718,0.962807717759755,0.9888197836998518,0.988437818296891,76543.95,86.5,0.0961111111111111,0.0,90.06120388889121,0.9582159480944958,0.9866266742472146,0.9861944258648,76577.63,52.81999999999243,0.0293444444444402,0.0,72.26261265555677,0.9174898235091322,0.9622497125356924,0.9614226707857232,76687.2,-56.75,-0.0157638888888888,56.75,60.23767826389122,0.876434887843978,0.9307818699708206,0.9296685424315642,0.0978418510638408,True,0.9410790744680796,0.9603615738404524,0.8921581489361592,heartbeat:305,two_side_all_heartbeats,0.9667585344702184,0.8921581489361592,0.9624327591978874,0.0978418510638408,0.04648293105956314,2026-05-01 03:15:00+00:00,train,0.9519266147369349,1.0,locked_logit_book_physics_c005_p095_20260502_1512
KXBTC15M-26APR302330-30,heartbeat:367,live_heartbeat_two_side,heartbeat:367:yes,2026-05-01 03:19:04.269000+00:00,2026-05-01 03:19:00+00:00,yes,yes,True,True,1,96.0,95.0,95.5,0.955,4.5,91.0,1.0,76845.42,76668.47,655.731,,367,True,False,synced,bid>=98,latest_quote,1.0,176.9499999999971,6.910153729009547,53.525820624374106,,,146.35937208405153,1.20901037959071,0.8866705711385507,106.62608207468702,1.6595376718057704,0.9514962519712308,94.76861764879864,1.8671792877232096,0.9690617224957944,76.56177362589594,2.311205600651684,0.9895892494177424,76842.47,2.9499999999970896,0.0491666666666181,0.0,209.19010749996528,0.9751131529085104,0.986356149015038,0.9968553543763046,76700.0,145.41999999999825,0.8078888888888792,0.0,706.7077889999907,0.999999999982976,0.9999999999999558,1.0,76664.51,180.9100000000035,0.603033333333345,0.0,572.3776507000048,0.9999999602110174,0.999999999228178,0.9999999999999616,76640.0,205.41999999999825,0.3423666666666637,0.0,401.4504366999952,0.9999167355780804,0.999988628809142,0.9999999212137698,76523.21,322.20999999999185,0.358011111111102,0.0,411.7089838999912,0.9999435936864788,0.9999930158828704,0.9999999622310424,76568.22,277.1999999999971,0.1539999999999984,0.0,277.93257399999607,0.9954278229165596,0.9983201233551716,0.9998583849884666,76626.93,218.49000000000524,0.0606916666666681,0.0,216.74740727499804,0.9789626417243268,0.988905653661024,0.9976799611680266,0.003503748028769,True,0.9532481259856154,0.9688320707274162,0.9514962519712308,heartbeat:367,two_side_all_heartbeats,0.9620308612478972,0.9514962519712308,0.9629488676335727,0.0035037480287691825,0.014061722495794404,2026-05-01 03:30:00+00:00,train,0.9516708958961251,4.0,locked_logit_book_physics_c005_p095_20260502_1512
KXBTC15M-26APR302345-45,heartbeat:475,live_heartbeat_two_side,heartbeat:475:no,2026-05-01 03:43:06.099000+00:00,2026-05-01 03:43:00+00:00,no,no,True,True,1,98.0,98.0,98.0,0.98,2.0,96.0,0.0,77119.53,77219.61,113.901,,475,False,False,synced,bid>=98,latest_quote,-1.0,100.08000000000176,9.37742346267502,72.63720980255007,,,59.60291240145975,1.6791125796992206,0.9534349475014904,55.36804277749268,1.80754086616702,0.964661005572319,115.47343957186467,0.8666928115336614,0.8069448274239133,83.76918356779854,1.1947114169854844,0.8839000998850264,77131.59,12.059999999997672,0.2009999999999611,0.0,122.97410099999732,0.9868255456010856,0.8565520178976591,0.9289494117989394,77104.59,-14.940000000002328,-0.0830000000000129,14.940000000002328,90.62621700000028,0.9491634982669196,0.7837213380805129,0.8603418020610205,77209.82,90.29000000000816,0.3009666666666938,0.0,134.36040430000483,0.9923811106549096,0.8776990416271344,0.9456359132809184,77173.71,54.18000000000757,0.0903000000000126,0.0,110.3652603000032,0.9768858357738406,0.8304040494616829,0.9061631817388104,77235.32,115.79000000000816,0.1286555555555646,0.0,114.7339964333361,0.9808768879818603,0.839790306673004,0.914601039808088,76667.29,-452.2400000000053,-0.2512444444444474,452.2400000000053,71.46300653333475,0.901594489033233,0.7319988813969743,0.8031964724828784,76566.51,-553.0200000000041,-0.1536166666666678,553.0200000000041,82.58290805000162,0.9320883522889124,0.7627473780382297,0.8378938788736773,0.0153389944276809,True,0.9723305027861595,0.9790140387424096,0.964661005572319,heartbeat:475,two_side_all_heartbeats,0.8934724137119566,0.964661005572319,0.9778745238026776,0.015338994427680941,0.1730551725760867,2026-05-01 03:45:00+00:00,train,0.9524372086095385,2.0,locked_logit_book_physics_c005_p095_20260502_1512
KXBTC15M-26MAY010000-00,heartbeat:537,live_heartbeat_two_side,heartbeat:537:no,2026-05-01 03:57:07.238000+00:00,2026-05-01 03:57:00+00:00,no,no,True,True,1,95.0,95.0,95.0,0.95,5.0,90.0,0.0,77049.14,77133.88,172.762,,537,False,False,synced,bid>=98,latest_quote,-1.0,84.74000000000524,6.447099132930699,49.93901514637775,,,24.560606360717568,3.450240550067977,0.9997199563782092,34.64887799116299,2.4456780396068734,0.9927709977451906,53.13682004794831,1.5947510581841295,0.9446160423063452,104.02197659856547,0.8146355488612571,0.7923595221569182,77093.44,44.30000000000291,0.7383333333333818,0.0,212.2959433333469,0.9999999995524268,0.9999676897180778,0.9793684172283807,77118.32,69.18000000000757,0.3843333333333754,0.0,151.13819533334583,0.9999935558775496,0.9977746936655238,0.9268804667037004,77158.64,109.5,0.365,0.0,147.79813000000524,0.9999900315557076,0.9972942799397032,0.9223177241600152,77141.75,92.61000000000058,0.1543500000000009,0.0,111.4058147000054,0.9993484113427752,0.9819847982168102,0.8579115629327285,77131.59,82.44999999999709,0.0916111111111078,0.0,100.56691877778246,0.998148766951508,0.9707946749538764,0.8331743149474731,77236.44,187.3000000000029,0.1040555555555571,0.0,102.7168458888944,0.9984841589175903,0.9733858104260488,0.8382897712994416,76509.68,-539.4600000000064,-0.1498500000000018,539.4600000000064,58.851614300004925,0.9552946307581214,0.865971608732025,0.7142219894340249,-0.0427709977451906,True,0.9713854988725953,0.9809203431002994,0.95,heartbeat:537,two_side_all_heartbeats,0.9473080211531726,0.95,0.9728293056346986,0.042770997745190664,0.0053839576936547395,2026-05-01 04:00:00+00:00,train,0.9573241961155177,5.0,locked_logit_book_physics_c005_p095_20260502_1512
KXBTC15M-26MAY010015-15,heartbeat:624,live_heartbeat_two_side,heartbeat:624:yes,2026-05-01 04:14:08.446000+00:00,2026-05-01 04:14:00+00:00,yes,yes,True,True,1,98.0,98.0,98.0,0.98,2.0,96.0,0.0,77134.51,77099.09,51.554,,624,False,False,synced,bid>=98,latest_quote,1.0,35.419999999998254,4.9330710805654725,38.211404281375,,,16.257025801279315,2.178750309740601,0.9853248889293464,19.427361845525684,1.8232017440986632,0.9658635794871716,19.748698069850164,1.793535952330603,0.9635563663751112,56.67095104042387,0.6250115685324015,0.7340182672783725,77101.18,33.330000000001746,0.5555000000000291,0.0,64.05824699999975,0.9995119405356164,0.9994099968369228,0.8708364956919705,77097.68,36.83000000000175,0.2046111111111208,0.0,45.96852122222098,0.991013505845182,0.9900352764276672,0.7913596208647824,77105.8,28.70999999999185,0.0956999999999728,0.0,40.35371779999685,0.981106552654444,0.9794916383164988,0.761789468897111,77060.14,74.36999999999534,0.1239499999999922,0.0,41.81011829999785,0.984306259255574,0.9828746405657915,0.7696728371616788,77090.55,43.95999999999185,0.0488444444444353,0.0,37.938126488886674,0.9745794925656904,0.9726369469962788,0.7483944073594387,77140.45,-5.940000000002328,-0.0033000000000012,5.940000000002328,35.24987179999819,0.9651953477343888,0.962862958273127,0.733032200251247,76664.51,470.0,0.1305555555555555,0.0,42.150661111109365,0.9849834815335984,0.9835929861047106,0.7714948949737647,0.0141364205128283,True,0.9729317897435859,0.9756567107138719,0.9658635794871716,heartbeat:624,two_side_all_heartbeats,0.9717781831875556,0.9658635794871716,0.9759803843770403,0.014136420512828374,0.016443633624888765,2026-05-01 04:15:00+00:00,train,0.9587069725103252,2.0,locked_logit_book_physics_c005_p095_20260502_1512
KXBTC15M-26MAY010030-30,heartbeat:688,live_heartbeat_two_side,heartbeat:688:no,2026-05-01 04:28:39.881000+00:00,2026-05-01 04:28:00+00:00,no,no,True,True,1,100.0,99.0,99.5,0.995,0.5,99.0,1.0,77091.04,77131.71,80.119,,688,False,False,synced,bid>=98,latest_quote,-1.0,40.670000000012806,4.543666136320975,35.19508655339547,,,32.20945745964491,1.262672618778757,0.8966465709004872,38.94373667536374,1.044327110647837,0.8518329630329924,31.19633118910236,1.3036789407537714,0.9038284636810648,34.14764611027464,1.1910044946780582,0.8831740898027749,77144.21,53.170000000012806,0.88616666666688,0.0,111.66878716669656,0.9979309567960846,0.9998279059570178,0.9994625956291612,77130.3,39.26000000000931,0.2181111111111628,0.0,58.14484411112807,0.9322876078329596,0.9688276284206369,0.9556924029499324,77135.07,44.03000000001339,0.1467666666667113,0.0,52.42879856668305,0.9108923301647062,0.953580443354581,0.9376518160563264,77138.87,47.83000000000175,0.0797166666666695,0.0,47.0568196166797,0.8865394988738391,0.9342750303292906,0.9159045188120192,77101.18,10.139999999999418,0.011266666666666,0.0,41.57267406667942,0.8571283058565491,0.9086707793256448,0.888281372433227,77082.21,-8.829999999987194,-0.0049055555555484,8.829999999987194,40.27697179445782,0.8494868199836905,0.9016621003857552,0.8808994014664813,77235.32,144.2800000000134,0.0400777777777814,0.0,43.88099147779088,0.8700820712600561,0.920228086801372,0.90061033673533,0.1431670369670076,True,0.9234164815164962,0.9192417643992329,0.8518329630329924,heartbeat:688,two_side_all_heartbeats,0.9494142318405324,0.8518329630329924,0.9352283549428391,0.1431670369670076,0.09117153631893515,2026-05-01 04:30:00+00:00,train,0.9500802683185701,0.0,locked_logit_book_physics_c005_p095_20260502_1512
KXBTC15M-26MAY010045-45,heartbeat:756,live_heartbeat_two_side,heartbeat:756:yes,2026-05-01 04:44:11.478000+00:00,2026-05-01 04:44:00+00:00,yes,yes,True,True,1,100.0,100.0,100.0,1.0,0.0,100.0,0.0,77033.57,76977.88,48.522,,756,False,False,synced,bid>=98,latest_quote,1.0,55.69000000000233,7.994804921540429,61.92749263460635,,,30.34137919512459,1.835447216880335,0.9667802734493088,19.45776816688261,2.8620959774198296,0.9978957527842428,28.8688982683076,1.929065649905284,0.9731386436540588,24.324004022008737,2.289507925981806,0.988975071038829,77014.84,18.73000000001048,0.3121666666668413,0.0,70.8369510000108,0.9998639711358984,0.9929311648659228,0.9982056747145208,76996.39,37.18000000000757,0.2065555555555976,0.0,65.71248866667104,0.9996338415122225,0.9885841212650168,0.9965491344781692,77028.13,5.440000000002328,0.018133333333341,0.0,56.56986560000271,0.998177271793662,0.9749754220107636,0.9899822033696,77023.43,10.14000000001397,0.0169000000000232,0.0,56.51002180000346,0.9981592687672596,0.97485392190583,0.9899163416815628,76997.18,36.39000000001397,0.0404333333333488,0.0,57.65190620000308,0.9984763455648742,0.9770887562693472,0.9911099289339648,77134.51,-100.93999999998778,-0.0560777777777709,100.93999999998778,52.968994066669325,0.9967580891308824,0.9667332072917272,0.9852836825774696,77140.45,-106.8799999999901,-0.0296888888888861,106.8799999999901,54.249435733335794,0.9973487683550224,0.9698890460804308,0.9871357009415078,0.0021042472157571,True,0.9989478763921213,0.9986910081926349,0.9978957527842428,heartbeat:756,two_side_all_heartbeats,0.9865693218270294,0.9978957527842428,0.9990041801940053,0.0021042472157571934,0.026861356345941223,2026-05-01 04:45:00+00:00,train,0.9723241483291344,0.0,locked_logit_book_physics_c005_p095_20260502_1512
