label,feature_set,c_value,prob_threshold,ask_cap,min_seconds,target_pass,wilson_pass,train_selected_candidate,min_test_accuracy,min_test_coverage,min_test_wilson,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_gross_pnl_cents,all_median_ask,all_median_seconds_to_close,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_gross_pnl_cents,train_median_ask,train_median_seconds_to_close,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_gross_pnl_cents,validation_median_ask,validation_median_seconds_to_close,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_gross_pnl_cents,holdout_median_ask,holdout_median_seconds_to_close
physics_no_book_price; C=0.1; p>=0.95; ask<=100; sec>=0,physics_no_book_price,0.1,0.95,100.0,0.0,False,False,True,0.9310344827586207,0.8125,0.7803541984972431,156,140,136,4,0.9714285714285714,0.8974358974358975,0.9288427879216012,132.0,98.0,188.96550000000002,93,85,83,2,0.9764705882352941,0.9139784946236559,0.9182130031207928,40.0,98.0,235.717,31,29,27,2,0.9310344827586207,0.9354838709677419,0.7803541984972431,10.0,97.0,139.774,32,26,26,0,1.0,0.8125,0.8712710781407846,82.0,98.0,158.5155
book_physics_price; C=0.05; p>=0.95; ask<=100; sec>=60,book_physics_price,0.05,0.95,100.0,60.0,False,False,False,1.0,0.6875,0.8513451253913791,156,120,119,1,0.9916666666666667,0.7692307692307693,0.9543037087549504,240.0,97.0,235.0825,93,74,73,1,0.9864864864864865,0.7956989247311828,0.9273464348015678,103.0,97.0,263.6875,31,24,24,0,1.0,0.7741935483870968,0.8620237953250198,73.0,97.0,212.0565,32,22,22,0,1.0,0.6875,0.8513451253913791,64.0,97.0,204.518
book_physics_price; C=0.05; p>=0.95; ask<=100; sec>=120,book_physics_price,0.05,0.95,100.0,120.0,False,False,False,1.0,0.53125,0.8156818649911483,156,94,93,1,0.9893617021276596,0.6025641025641025,0.9421770870372144,183.0,97.0,286.53499999999997,93,58,57,1,0.9827586206896551,0.6236559139784946,0.9085914190653199,76.0,97.0,289.8775,31,19,19,0,1.0,0.6129032258064516,0.8318207759473837,58.0,97.0,278.125,32,17,17,0,1.0,0.53125,0.8156818649911483,49.0,97.0,237.254
book_physics; C=1; p>=0.95; ask<=100; sec>=60,book_physics,1.0,0.95,100.0,60.0,False,False,False,1.0,0.7419354838709677,0.8568833815495732,156,121,119,2,0.9834710743801653,0.7756410256410257,0.9417332575142657,285.0,96.0,267.281,93,74,72,2,0.972972972972973,0.7956989247311828,0.9067070748308751,70.0,97.0,288.71799999999996,31,23,23,0,1.0,0.7419354838709677,0.8568833815495732,113.0,95.0,233.037,32,24,24,0,1.0,0.75,0.8620237953250198,102.0,96.0,236.78
book_physics_price; C=0.1; p>=0.95; ask<=100; sec>=60,book_physics_price,0.1,0.95,100.0,60.0,False,False,False,1.0,0.6875,0.8513451253913791,156,121,119,2,0.9834710743801653,0.7756410256410257,0.9417332575142657,177.0,97.0,236.461,93,75,73,2,0.9733333333333334,0.8064516129032258,0.9078851181224086,23.0,97.0,261.233,31,24,24,0,1.0,0.7741935483870968,0.8620237953250198,84.0,97.0,212.0565,32,22,22,0,1.0,0.6875,0.8513451253913791,70.0,97.0,212.046
book_physics; C=0.3; p>=0.95; ask<=100; sec>=60,book_physics,0.3,0.95,100.0,60.0,False,False,False,1.0,0.71875,0.8568833815495732,156,119,117,2,0.9831932773109243,0.7628205128205128,0.9407871987437626,218.0,97.0,246.235,93,73,71,2,0.9726027397260274,0.7849462365591398,0.9054985182830947,42.0,97.0,281.28,31,23,23,0,1.0,0.7419354838709677,0.8568833815495732,94.0,97.0,233.037,32,23,23,0,1.0,0.71875,0.8568833815495732,82.0,97.0,209.108
book_physics_price; C=0.3; p>=0.95; ask<=100; sec>=60,book_physics_price,0.3,0.95,100.0,60.0,False,False,False,1.0,0.6875,0.8513451253913791,156,118,116,2,0.9830508474576272,0.7564102564102564,0.9403025556519602,219.0,97.0,253.986,93,73,71,2,0.9726027397260274,0.7849462365591398,0.9054985182830947,41.0,97.0,287.179,31,23,23,0,1.0,0.7419354838709677,0.8568833815495732,89.0,97.0,200.321,32,22,22,0,1.0,0.6875,0.8513451253913791,89.0,96.0,242.71550000000002
book_physics_price; C=1; p>=0.95; ask<=100; sec>=60,book_physics_price,1.0,0.95,100.0,60.0,False,False,False,1.0,0.71875,0.8568833815495732,156,116,114,2,0.9827586206896551,0.7435897435897436,0.9393090758931745,262.0,97.0,283.2045,93,70,68,2,0.9714285714285714,0.7526881720430108,0.901677438815761,53.0,97.0,289.8775,31,23,23,0,1.0,0.7419354838709677,0.8568833815495732,107.0,96.0,233.037,32,23,23,0,1.0,0.71875,0.8568833815495732,102.0,96.0,250.983
book_physics; C=0.1; p>=0.95; ask<=100; sec>=60,book_physics,0.1,0.95,100.0,60.0,False,False,False,1.0,0.6875,0.8513451253913791,156,116,114,2,0.9827586206896551,0.7435897435897436,0.9393090758931745,180.0,97.0,236.6155,93,71,69,2,0.971830985915493,0.7634408602150538,0.9029849988335054,34.0,97.0,284.59,31,23,23,0,1.0,0.7419354838709677,0.8568833815495732,80.0,97.0,223.792,32,22,22,0,1.0,0.6875,0.8513451253913791,66.0,97.0,189.502
book_physics_price; C=0.05; p>=0.95; ask<=100; sec>=240,book_physics_price,0.05,0.95,100.0,240.0,False,False,False,1.0,0.25,0.6755924351161198,156,58,57,1,0.9827586206896551,0.3717948717948718,0.9085914190653199,87.0,97.0,375.433,93,40,39,1,0.975,0.43010752688172044,0.8711863103652591,25.0,97.0,382.53,31,10,10,0,1.0,0.3225806451612903,0.7224672001371106,36.0,97.0,397.61800000000005,32,8,8,0,1.0,0.25,0.6755924351161198,26.0,96.5,356.7935
book_physics; C=0.05; p>=0.95; ask<=100; sec>=60,book_physics,0.05,0.95,100.0,60.0,False,False,False,1.0,0.65625,0.8453609810751531,156,114,112,2,0.9824561403508771,0.7307692307692307,0.9382819735400812,145.0,97.0,237.4795,93,70,68,2,0.9714285714285714,0.7526881720430108,0.901677438815761,9.0,97.0,285.5485,31,23,23,0,1.0,0.7419354838709677,0.8568833815495732,76.0,97.0,200.321,32,21,21,0,1.0,0.65625,0.8453609810751531,60.0,97.0,180.428
physics_no_book_price; C=0.05; p>=0.95; ask<=100; sec>=60,physics_no_book_price,0.05,0.95,100.0,60.0,False,False,False,1.0,0.53125,0.8156818649911483,156,103,101,2,0.9805825242718447,0.6602564102564102,0.9319478168796524,141.0,97.0,244.826,93,65,63,2,0.9692307692307692,0.6989247311827957,0.8945729447642207,20.0,97.0,287.549,31,21,21,0,1.0,0.6774193548387096,0.8453609810751531,70.0,97.0,215.352,32,17,17,0,1.0,0.53125,0.8156818649911483,51.0,97.0,235.977
book_physics_price; C=1; p>=0.95; ask<=100; sec>=120,book_physics_price,1.0,0.95,100.0,120.0,False,False,False,1.0,0.625,0.8388748419471806,156,101,99,2,0.9801980198019802,0.6474358974358975,0.9306538303741566,224.0,96.0,294.12,93,61,59,2,0.9672131147540983,0.6559139784946236,0.8881050958050438,33.0,97.0,294.999,31,20,20,0,1.0,0.6451612903225806,0.8388748419471806,99.0,95.5,261.9775,32,20,20,0,1.0,0.625,0.8388748419471806,92.0,95.5,307.932
book_physics; C=1; p>=0.95; ask<=100; sec>=120,book_physics,1.0,0.95,100.0,120.0,False,False,False,1.0,0.6129032258064516,0.8318207759473837,156,100,98,2,0.98,0.6410256410256411,0.9299882092714561,231.0,96.0,294.5595,93,61,59,2,0.9672131147540983,0.6559139784946236,0.8881050958050438,45.0,96.0,299.597,31,19,19,0,1.0,0.6129032258064516,0.8318207759473837,97.0,95.0,285.129,32,20,20,0,1.0,0.625,0.8388748419471806,89.0,95.5,259.132
book_physics_price; C=0.3; p>=0.95; ask<=100; sec>=120,book_physics_price,0.3,0.95,100.0,120.0,False,False,False,1.0,0.59375,0.8318207759473837,156,99,97,2,0.9797979797979798,0.6346153846153846,0.9293096883284991,171.0,97.0,289.887,93,61,59,2,0.9672131147540983,0.6559139784946236,0.8881050958050438,19.0,97.0,294.999,31,19,19,0,1.0,0.6129032258064516,0.8318207759473837,73.0,97.0,233.037,32,19,19,0,1.0,0.59375,0.8318207759473837,79.0,96.0,267.281
book_physics; C=0.3; p>=0.95; ask<=100; sec>=120,book_physics,0.3,0.95,100.0,120.0,False,False,False,1.0,0.53125,0.8156818649911483,156,97,95,2,0.979381443298969,0.6217948717948718,0.9279124175258422,161.0,97.0,289.887,93,61,59,2,0.9672131147540983,0.6559139784946236,0.8881050958050438,19.0,97.0,297.642,31,19,19,0,1.0,0.6129032258064516,0.8318207759473837,78.0,96.0,285.129,32,17,17,0,1.0,0.53125,0.8156818649911483,64.0,97.0,250.983
book_physics_price; C=0.1; p>=0.95; ask<=100; sec>=120,book_physics_price,0.1,0.95,100.0,120.0,False,False,False,1.0,0.5625,0.8241207763533424,156,96,94,2,0.9791666666666666,0.6153846153846154,0.9271928648221579,120.0,97.0,288.70849999999996,93,59,57,2,0.9661016949152542,0.6344086021505376,0.8845642924988926,-5.0,97.0,297.642,31,19,19,0,1.0,0.6129032258064516,0.8318207759473837,67.0,97.0,278.125,32,18,18,0,1.0,0.5625,0.8241207763533424,58.0,97.0,242.71550000000002
book_physics; C=0.1; p>=0.95; ask<=100; sec>=120,book_physics,0.1,0.95,100.0,120.0,False,False,False,1.0,0.53125,0.8156818649911483,156,96,94,2,0.9791666666666666,0.6153846153846154,0.9271928648221579,126.0,97.0,286.871,93,60,58,2,0.9666666666666667,0.6451612903225806,0.886362257256914,9.0,97.0,291.25350000000003,31,19,19,0,1.0,0.6129032258064516,0.8318207759473837,66.0,97.0,233.037,32,17,17,0,1.0,0.53125,0.8156818649911483,51.0,97.0,235.977
book_physics; C=0.05; p>=0.95; ask<=100; sec>=120,book_physics,0.05,0.95,100.0,120.0,False,False,False,1.0,0.53125,0.8156818649911483,156,93,91,2,0.978494623655914,0.5961538461538461,0.9249453736530886,93.0,97.0,287.549,93,57,55,2,0.9649122807017544,0.6129032258064516,0.8807921863237419,-19.0,97.0,293.948,31,19,19,0,1.0,0.6129032258064516,0.8318207759473837,62.0,97.0,233.037,32,17,17,0,1.0,0.53125,0.8156818649911483,50.0,97.0,235.977
