dataset,model,edge_floor_cents,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_wilson95_lower,all_coverage,all_net_pnl_cents,all_net_roi_on_cost,all_median_ask,all_raw_brier,all_cal_brier,all_raw_logloss,all_cal_logloss,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_wilson95_lower,train_coverage,train_net_pnl_cents,train_net_roi_on_cost,train_median_ask,train_raw_brier,train_cal_brier,train_raw_logloss,train_cal_logloss,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_wilson95_lower,validation_coverage,validation_net_pnl_cents,validation_net_roi_on_cost,validation_median_ask,validation_raw_brier,validation_cal_brier,validation_raw_logloss,validation_cal_logloss,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_wilson95_lower,holdout_coverage,holdout_net_pnl_cents,holdout_net_roi_on_cost,holdout_median_ask,holdout_raw_brier,holdout_cal_brier,holdout_raw_logloss,holdout_cal_logloss,oos_positive,oos_coverage_pass
current,book,-50.0,307,305,178,127,0.5836065573770491,0.5275783730271015,0.993485342019544,-430.0,-0.023587493143170598,56.0,0.24225532786885248,0.2418553527854906,0.6771001205757952,0.6764373526452043,184,182,113,69,0.6208791208791209,0.5485817285674833,0.9891304347826086,473.0,0.04368707859979681,56.0,0.24291030219780219,0.23870345692741782,0.6796514670744183,0.6709688835812934,61,61,29,32,0.47540983606557374,0.35530487422845264,1.0,-716.0,-0.19800884955752213,55.0,0.25161106557377055,0.2593781865952562,0.696132459479183,0.7120329029978791,62,62,36,26,0.5806451612903226,0.4566558474484658,1.0,-187.0,-0.04937945603379984,57.5,0.23112782258064513,0.233867484781838,0.6508853183845686,0.6574685268084085,False,True
current,book,-40.0,307,305,178,127,0.5836065573770491,0.5275783730271015,0.993485342019544,-430.0,-0.023587493143170598,56.0,0.24225532786885248,0.2418553527854906,0.6771001205757952,0.6764373526452043,184,182,113,69,0.6208791208791209,0.5485817285674833,0.9891304347826086,473.0,0.04368707859979681,56.0,0.24291030219780219,0.23870345692741782,0.6796514670744183,0.6709688835812934,61,61,29,32,0.47540983606557374,0.35530487422845264,1.0,-716.0,-0.19800884955752213,55.0,0.25161106557377055,0.2593781865952562,0.696132459479183,0.7120329029978791,62,62,36,26,0.5806451612903226,0.4566558474484658,1.0,-187.0,-0.04937945603379984,57.5,0.23112782258064513,0.233867484781838,0.6508853183845686,0.6574685268084085,False,True
current,book,-30.0,307,305,178,127,0.5836065573770491,0.5275783730271015,0.993485342019544,-430.0,-0.023587493143170598,56.0,0.24225532786885248,0.2418553527854906,0.6771001205757952,0.6764373526452043,184,182,113,69,0.6208791208791209,0.5485817285674833,0.9891304347826086,473.0,0.04368707859979681,56.0,0.24291030219780219,0.23870345692741782,0.6796514670744183,0.6709688835812934,61,61,29,32,0.47540983606557374,0.35530487422845264,1.0,-716.0,-0.19800884955752213,55.0,0.25161106557377055,0.2593781865952562,0.696132459479183,0.7120329029978791,62,62,36,26,0.5806451612903226,0.4566558474484658,1.0,-187.0,-0.04937945603379984,57.5,0.23112782258064513,0.233867484781838,0.6508853183845686,0.6574685268084085,False,True
current,book,-20.0,307,305,178,127,0.5836065573770491,0.5275783730271015,0.993485342019544,-430.0,-0.023587493143170598,56.0,0.24225532786885248,0.2418553527854906,0.6771001205757952,0.6764373526452043,184,182,113,69,0.6208791208791209,0.5485817285674833,0.9891304347826086,473.0,0.04368707859979681,56.0,0.24291030219780219,0.23870345692741782,0.6796514670744183,0.6709688835812934,61,61,29,32,0.47540983606557374,0.35530487422845264,1.0,-716.0,-0.19800884955752213,55.0,0.25161106557377055,0.2593781865952562,0.696132459479183,0.7120329029978791,62,62,36,26,0.5806451612903226,0.4566558474484658,1.0,-187.0,-0.04937945603379984,57.5,0.23112782258064513,0.233867484781838,0.6508853183845686,0.6574685268084085,False,True
current,book,-15.0,307,305,178,127,0.5836065573770491,0.5275783730271015,0.993485342019544,-430.0,-0.023587493143170598,56.0,0.24225532786885248,0.2418553527854906,0.6771001205757952,0.6764373526452043,184,182,113,69,0.6208791208791209,0.5485817285674833,0.9891304347826086,473.0,0.04368707859979681,56.0,0.24291030219780219,0.23870345692741782,0.6796514670744183,0.6709688835812934,61,61,29,32,0.47540983606557374,0.35530487422845264,1.0,-716.0,-0.19800884955752213,55.0,0.25161106557377055,0.2593781865952562,0.696132459479183,0.7120329029978791,62,62,36,26,0.5806451612903226,0.4566558474484658,1.0,-187.0,-0.04937945603379984,57.5,0.23112782258064513,0.233867484781838,0.6508853183845686,0.6574685268084085,False,True
current,book,-10.0,307,305,178,127,0.5836065573770491,0.5275783730271015,0.993485342019544,-430.0,-0.023587493143170598,56.0,0.24225532786885248,0.2418553527854906,0.6771001205757952,0.6764373526452043,184,182,113,69,0.6208791208791209,0.5485817285674833,0.9891304347826086,473.0,0.04368707859979681,56.0,0.24291030219780219,0.23870345692741782,0.6796514670744183,0.6709688835812934,61,61,29,32,0.47540983606557374,0.35530487422845264,1.0,-716.0,-0.19800884955752213,55.0,0.25161106557377055,0.2593781865952562,0.696132459479183,0.7120329029978791,62,62,36,26,0.5806451612903226,0.4566558474484658,1.0,-187.0,-0.04937945603379984,57.5,0.23112782258064513,0.233867484781838,0.6508853183845686,0.6574685268084085,False,True
current,book,-5.0,307,305,178,127,0.5836065573770491,0.5275783730271015,0.993485342019544,-430.0,-0.023587493143170598,56.0,0.24225532786885248,0.2418553527854906,0.6771001205757952,0.6764373526452043,184,182,113,69,0.6208791208791209,0.5485817285674833,0.9891304347826086,473.0,0.04368707859979681,56.0,0.24291030219780219,0.23870345692741782,0.6796514670744183,0.6709688835812934,61,61,29,32,0.47540983606557374,0.35530487422845264,1.0,-716.0,-0.19800884955752213,55.0,0.25161106557377055,0.2593781865952562,0.696132459479183,0.7120329029978791,62,62,36,26,0.5806451612903226,0.4566558474484658,1.0,-187.0,-0.04937945603379984,57.5,0.23112782258064513,0.233867484781838,0.6508853183845686,0.6574685268084085,False,True
current,book,0.0,307,276,152,124,0.5507246376811594,0.4917446942259975,0.8990228013029316,-462.0,-0.02949814838462521,55.0,0.24766856884057967,0.2482802008880448,0.6884977118990167,0.68977116712388,184,167,102,65,0.6107784431137725,0.5351325933497507,0.907608695652174,698.0,0.07345821932224794,55.0,0.24239745508982033,0.23850604292707073,0.6779035283221992,0.6700226252405178,61,52,21,31,0.40384615384615385,0.2815973387185887,0.8524590163934426,-829.0,-0.2830317514510072,54.0,0.25924326923076924,0.2711990692410216,0.7117587512796872,0.7360505405797568,62,57,29,28,0.5087719298245614,0.3825989849761273,0.9193548387096774,-331.0,-0.10244506344784897,54.0,0.2525526315789474,0.256008327644674,0.6983162138206597,0.7054111508925801,False,True
current,book,2.0,307,189,93,96,0.49206349206349204,0.4216606649321771,0.6156351791530945,-808.0,-0.07993668381480015,51.0,0.2500419312169312,0.25400752774795626,0.6932310094970402,0.7012096739378307,184,114,61,53,0.5350877192982456,0.44388388545852037,0.6195652173913043,9.0,0.0014775898867181087,51.0,0.24932149122807012,0.249149118720509,0.6917898478107588,0.691450705119037,61,35,12,23,0.34285714285714286,0.20831694987048957,0.5737704918032787,-674.0,-0.35965848452508004,52.0,0.2531335714285714,0.2712131361391841,0.6994157781098987,0.7357765540091586,62,40,20,20,0.5,0.35199526933465386,0.6451612903225806,-143.0,-0.06672888474101726,52.0,0.24939,0.25279908613385677,0.6919266477666914,0.6987767150089809,False,False
current,book,5.0,307,0,0,0,,,0.0,0.0,,,,,,,184,0,0,0,,,0.0,0.0,,,,,,,61,0,0,0,,,0.0,0.0,,,,,,,62,0,0,0,,,0.0,0.0,,,,,,,False,False
