dataset,policy,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask
current,book_margin_early,entry_hour_utc,1,7,5,2,0.7142857142857143,17.0,2.4285714285714284,63.0
current,book_margin_early,entry_hour_utc,10,12,11,1,0.9166666666666666,268.0,22.333333333333332,66.0
current,book_margin_early,entry_hour_utc,11,12,8,4,0.6666666666666666,-58.0,-4.833333333333333,69.0
current,book_margin_early,entry_hour_utc,12,11,10,1,0.9090909090909091,252.0,22.90909090909091,65.0
current,book_margin_early,entry_hour_utc,13,11,7,4,0.6363636363636364,-47.0,-4.2727272727272725,67.0
current,book_margin_early,entry_hour_utc,14,11,8,3,0.7272727272727273,59.0,5.363636363636363,64.0
current,book_margin_early,entry_hour_utc,15,12,9,3,0.75,74.0,6.166666666666667,62.5
current,book_margin_early,entry_hour_utc,16,8,5,3,0.625,-57.0,-7.125,64.0
current,book_margin_early,entry_hour_utc,17,12,8,4,0.6666666666666666,-2.0,-0.16666666666666666,64.0
current,book_margin_early,entry_hour_utc,18,12,10,2,0.8333333333333334,204.0,17.0,62.5
current,book_margin_early,entry_hour_utc,19,12,9,3,0.75,105.0,8.75,62.0
current,book_margin_early,entry_hour_utc,2,14,8,6,0.5714285714285714,-136.0,-9.714285714285714,62.0
current,book_margin_early,entry_hour_utc,20,12,10,2,0.8333333333333334,207.0,17.25,63.0
current,book_margin_early,entry_hour_utc,21,12,9,3,0.75,87.0,7.25,64.0
current,book_margin_early,entry_hour_utc,22,12,9,3,0.75,88.0,7.333333333333333,62.5
current,book_margin_early,entry_hour_utc,23,12,11,1,0.9166666666666666,281.0,23.416666666666668,63.5
current,book_margin_early,entry_hour_utc,3,12,6,6,0.5,-190.0,-15.833333333333334,62.0
current,book_margin_early,entry_hour_utc,4,11,7,4,0.6363636363636364,-58.0,-5.2727272727272725,67.0
current,book_margin_early,entry_hour_utc,5,11,9,2,0.8181818181818182,179.0,16.272727272727273,63.0
current,book_margin_early,entry_hour_utc,6,12,11,1,0.9166666666666666,282.0,23.5,64.5
current,book_margin_early,entry_hour_utc,7,12,7,5,0.5833333333333334,-95.0,-7.916666666666667,63.0
current,book_margin_early,entry_hour_utc,8,10,5,5,0.5,-167.0,-16.7,65.0
current,book_margin_early,entry_hour_utc,9,12,7,5,0.5833333333333334,-126.0,-10.5,66.0
current,book_margin_early,ask_bucket,ask<=65,172,116,56,0.6744186046511628,514.0,2.988372093023256,62.0
current,book_margin_early,ask_bucket,ask<=75,79,62,17,0.7848101265822784,584.0,7.3924050632911396,69.0
current,book_margin_early,ask_bucket,ask<=85,19,16,3,0.8421052631578947,59.0,3.1052631578947367,78.0
current,book_margin_early,ask_bucket,ask<=95,1,1,0,1.0,10.0,10.0,89.0
current,book_margin_early,time_bucket,sec<=600,12,10,2,0.8333333333333334,173.0,14.416666666666666,63.5
current,book_margin_early,time_bucket,sec<=900,259,185,74,0.7142857142857143,994.0,3.8378378378378377,64.0
current,book_margin_gap015,split,holdout,50,35,15,0.7,120.0,2.4,64.0
current,book_margin_gap015,split,train,152,110,42,0.7236842105263158,929.0,6.1118421052631575,63.0
current,book_margin_gap015,split,validation,48,36,12,0.75,367.0,7.645833333333333,64.0
current,book_margin_gap015,side,no,125,89,36,0.712,551.0,4.408,63.0
current,book_margin_gap015,side,yes,125,92,33,0.736,865.0,6.92,63.0
current,book_margin_gap015,entry_hour_utc,0,8,5,3,0.625,-28.0,-3.5,64.0
current,book_margin_gap015,entry_hour_utc,1,7,5,2,0.7142857142857143,34.0,4.857142857142857,63.0
current,book_margin_gap015,entry_hour_utc,10,12,11,1,0.9166666666666666,268.0,22.333333333333332,66.0
current,book_margin_gap015,entry_hour_utc,11,8,5,3,0.625,-54.0,-6.75,66.0
current,book_margin_gap015,entry_hour_utc,12,10,9,1,0.9,232.0,23.2,64.0
current,book_margin_gap015,entry_hour_utc,13,10,6,4,0.6,-76.0,-7.6,65.5
current,book_margin_gap015,entry_hour_utc,14,10,8,2,0.8,129.0,12.9,64.0
current,book_margin_gap015,entry_hour_utc,15,11,9,2,0.8181818181818182,152.0,13.818181818181818,62.0
current,book_margin_gap015,entry_hour_utc,16,7,5,2,0.7142857142857143,27.0,3.857142857142857,63.0
current,book_margin_gap015,entry_hour_utc,17,11,7,4,0.6363636363636364,-23.0,-2.090909090909091,64.0
current,book_margin_gap015,entry_hour_utc,18,11,9,2,0.8181818181818182,178.0,16.181818181818183,62.0
current,book_margin_gap015,entry_hour_utc,19,12,9,3,0.75,105.0,8.75,62.0
current,book_margin_gap015,entry_hour_utc,2,13,7,6,0.5384615384615384,-156.0,-12.0,61.0
current,book_margin_gap015,entry_hour_utc,20,10,9,1,0.9,248.0,24.8,63.0
