family,gate,frames_minutes,feature_count,brier,log_loss,auc,entries,wins,losses,flats,win_rate_ex_flat,net_dollars,avg_cents_per_entry,positive_windows,traded_windows,pnl_cv_abs,mean_abs_corr,condition_number,locked_robust_entries,locked_robust_net_dollars,locked_robust_avg_cents_per_entry,locked_robust_threshold
standard_3,robust_overlay,"1,5,15",19,0.17083425401965674,0.5426776935410618,0.5082412914188615,69,40,28,1,0.5882352941176471,12.33,17.869565217391305,4,4,0.772465672080205,0.37127633394863924,147.82335004725678,88,13.52,15.363636363636363,0.64
log_3,robust_overlay,"1,4,16",19,0.17200286156280495,0.5452895518957734,0.49252336448598133,71,40,30,1,0.5714285714285714,10.65,15.0,4,4,0.8710180910902917,0.3764856194231624,148.957292101623,88,13.52,15.363636363636363,0.62
phi_3,robust_overlay,"1,3,8",19,0.1752501530082298,0.5682420977730908,0.5129991503823279,59,33,25,1,0.5689655172413793,9.42,15.966101694915254,4,4,0.6472346132909481,0.3758003030168653,151.4363261613909,87,13.32,15.310344827586206,0.56
standard_6,robust_overlay,"1,2,3,5,10,15",31,0.18502726805485162,0.6559281882078183,0.45029736618521665,65,37,27,1,0.578125,9.39,14.446153846153846,4,4,0.7773761055030295,0.30658949491549703,691.0491383318147,87,14.04,16.137931034482758,0.62
phi_6,robust_overlay,"1,2,3,5,8,13",31,0.18027847147955156,0.6411142573116859,0.4883602378929482,67,37,29,1,0.5606060606060606,9.27,13.835820895522389,4,4,0.7283217943376158,0.30947883167998336,701.1618405082199,88,13.58,15.431818181818182,0.54
phi_15s_seed_rounded,robust_overlay,"1,2,3,4,5,7,12",35,0.18650725649093663,0.6542442765924322,0.4592183517417162,63,31,31,1,0.5,7.0,11.11111111111111,4,4,0.6973926172429946,0.3296336952821242,803.3862681556523,89,12.76,14.337078651685394,0.56
phi_seconds_rounded,robust_overlay,"1,2,3,5,8,10",31,0.18171930227511568,0.6423953790950986,0.4824978759558199,69,37,31,1,0.5441176470588235,9.5,13.768115942028986,3,4,0.8957608175679127,0.3243911077251841,713.0102480145104,86,13.34,15.511627906976743,0.62
log_6,robust_overlay,"1,2,4,8,16,32",31,0.1770885436670605,0.5652086548422618,0.48844519966015293,66,36,29,1,0.5538461538461539,8.81,13.348484848484848,3,4,1.407483553612929,0.2894840356883359,650.1199507794431,90,10.62,11.8,0.52
base_only,robust_overlay,,7,0.16313067588816288,0.5093055565047109,0.5300764655904843,75,40,34,1,0.5405405405405406,8.02,10.693333333333333,3,4,1.4657431191578114,,,91,10.58,11.626373626373626,0.5
log_3,model_all,"1,4,16",19,0.17200286156280495,0.5452895518957734,0.49252336448598133,202,98,101,3,0.49246231155778897,7.01,3.4702970297029703,3,4,1.7135979246819233,0.3764856194231624,148.957292101623,88,13.52,15.363636363636363,0.62
standard_6,model_all,"1,2,3,5,10,15",31,0.18502726805485162,0.6559281882078183,0.45029736618521665,169,84,82,3,0.5060240963855421,5.02,2.970414201183432,3,4,1.7206912565428034,0.30658949491549703,691.0491383318147,87,14.04,16.137931034482758,0.62
phi_seconds_rounded,model_all,"1,2,3,5,8,10",31,0.18171930227511568,0.6423953790950986,0.4824978759558199,172,84,85,3,0.4970414201183432,4.529999999999999,2.633720930232558,3,4,1.3569032031596824,0.3243911077251841,713.0102480145104,86,13.34,15.511627906976743,0.62
phi_15s_seed_rounded,model_all,"1,2,3,4,5,7,12",35,0.18650725649093663,0.6542442765924322,0.4592183517417162,163,78,82,3,0.4875,3.9299999999999993,2.411042944785276,3,4,3.007472846165806,0.3296336952821242,803.3862681556523,89,12.76,14.337078651685394,0.56
phi_6,model_all,"1,2,3,5,8,13",31,0.18027847147955156,0.6411142573116859,0.4883602378929482,187,90,94,3,0.4891304347826087,3.6699999999999995,1.9625668449197857,3,4,2.5573297027886106,0.30947883167998336,701.1618405082199,88,13.58,15.431818181818182,0.54
standard_3,model_all,"1,5,15",19,0.17083425401965674,0.5426776935410618,0.5082412914188615,197,94,100,3,0.4845360824742268,0.9399999999999994,0.4771573604060911,3,4,6.533681928844297,0.37127633394863924,147.82335004725678,88,13.52,15.363636363636363,0.64
phi_3,model_all,"1,3,8",19,0.1752501530082298,0.5682420977730908,0.5129991503823279,197,96,98,3,0.4948453608247423,1.8599999999999994,0.9441624365482231,2,4,4.706370256662029,0.3758003030168653,151.4363261613909,87,13.32,15.310344827586206,0.56
base_only,model_all,,7,0.16313067588816288,0.5093055565047109,0.5300764655904843,164,81,83,0,0.49390243902439024,-1.1900000000000004,-0.7256097560975612,2,4,4.708152713634892,,,91,10.58,11.626373626373626,0.5
log_6,model_all,"1,2,4,8,16,32",31,0.1770885436670605,0.5652086548422618,0.48844519966015293,191,96,93,2,0.5079365079365079,0.4999999999999995,0.2617801047120416,1,4,20.361794288978246,0.2894840356883359,650.1199507794431,90,10.62,11.8,0.52
