dataset,base_model,block_kind,block,rows,brier_delta,logloss_delta
all_heartbeats,v34_material_antipersist3,block10,0,1917,6.423967488411453e-05,3.50135702175125e-05
all_heartbeats,v34_material_antipersist3,block10,1,1919,0.00011841310851554154,-0.00037457980389454804
all_heartbeats,v34_material_antipersist3,block10,2,1921,0.00013322405150692496,-0.00027685930136128745
all_heartbeats,v34_material_antipersist3,block10,3,1921,-4.8412065209918476e-05,-0.0001621215214253069
all_heartbeats,v34_material_antipersist3,block10,4,1858,0.00011824280064742787,0.0005899814175099327
all_heartbeats,v34_material_antipersist3,block10,5,1862,-4.373398494147973e-05,-0.0014072244375014642
all_heartbeats,v34_material_antipersist3,block10,6,1919,-0.0002151395308327142,-0.0005760391986491253
all_heartbeats,v34_material_antipersist3,block10,7,1899,8.810651522189739e-05,4.813738717113214e-05
all_heartbeats,v34_material_antipersist3,block10,8,1922,-1.4763081395197108e-05,4.065510466044753e-05
all_heartbeats,v34_material_antipersist3,block10,9,1883,-0.0001793816215595323,-0.0004875059356488354
all_heartbeats,v34_material_antipersist3,block20,0,984,0.00010710615499637255,0.00037006387532412255
all_heartbeats,v34_material_antipersist3,block20,1,933,1.9030010971504696e-05,-0.00031835138179214795
all_heartbeats,v34_material_antipersist3,block20,2,989,0.00016675309393418547,-0.0006071836302580791
all_heartbeats,v34_material_antipersist3,block20,3,930,6.700639283921395e-05,-0.00012721939069715305
all_heartbeats,v34_material_antipersist3,block20,4,992,0.00015251047354795932,0.0004480491292658817
all_heartbeats,v34_material_antipersist3,block20,5,929,0.00011262972355774448,-0.0010509272918695078
all_heartbeats,v34_material_antipersist3,block20,6,988,-0.00011562427819103438,-0.00039072897068276324
all_heartbeats,v34_material_antipersist3,block20,7,933,2.2762282512800436e-05,7.996225120737721e-05
all_heartbeats,v34_material_antipersist3,block20,8,986,0.00014306244769141108,0.0005962037531524467
all_heartbeats,v34_material_antipersist3,block20,9,872,9.017838323296945e-05,0.0005829456113821685
all_heartbeats,v34_material_antipersist3,block20,10,930,-0.00018718814085660895,-0.002461263153907156
all_heartbeats,v34_material_antipersist3,block20,11,932,9.94123294373872e-05,-0.000355447606753323
all_heartbeats,v34_material_antipersist3,block20,12,931,-0.0003813731714669977,-0.000845228867766723
