name,path,fresh_metric_source,label,overlay,lock_close_dt,fresh_base_markets,fresh_markets,fresh_wins,fresh_losses,fresh_accuracy,fresh_break_even,fallback_break_even_for_empty_fresh,fresh_wilson_lower,fresh_wilson_minus_break_even,fresh_coverage,fresh_coverage_pass,fresh_positive_net,fresh_net_pnl_cents,fresh_net_roi,fresh_median_ask,all_accuracy,all_break_even,all_wilson_lower,all_net_pnl_cents,all_net_roi,all_coverage,fresh_ev_wilson_pass,extra_perfect_wins_for_fresh_ev_wilson,selected_n_needed_at_all_accuracy,additional_selected_n_needed_at_all_accuracy,completion_ready
score_min60_gap020,logs\edge_research\profit_frontier_score_min60_gap020_validation_latest.json,registered_signal_readiness,choose=score_min_book_rv15; score_min_book_rv15>=0.6; ask<=95; sec_to_close>=120; abs_book_rv15_gap<=0.20,,2026-05-04T01:15:00+00:00,97,91,64,27,0.7032967032967034,0.7230769230769231,0.714,0.6027596483701375,-0.12031727470678555,0.9381443298969072,True,False,-180.0,-0.02735562310030395,,0.7620689655172413,0.714,0.7098353414814217,1394.0,0.06732348111658457,0.9830508474576272,False,44,306.0,215.0,False
book_early_score_gap020_wait,logs\edge_research\profit_book_early_score_gap020_wait_validation_latest.json,registered_signal_readiness,,,2026-05-04T02:00:00+00:00,94,88,61,27,0.6931818181818182,0.7197727272727273,0.7139084507042254,0.5904384842530462,-0.1293342430196811,0.9361702127659575,True,False,-234.0,-0.03694347963372276,,0.7605633802816901,0.7139084507042254,0.7076648955178897,1325.0,0.06535141800246609,0.9627118644067797,False,45,325.0,237.0,False
book_score_gap020_wait,logs\edge_research\profit_book_score_gap020_wait_validation_latest.json,registered_signal_readiness,,,2026-05-04T02:45:00+00:00,91,85,58,27,0.6823529411764706,0.7194117647058823,0.7125,0.577338198027599,-0.1420735666782833,0.9340659340659341,True,False,-315.0,-0.05151267375306623,,0.7568493150684932,0.7125,0.7045171643411514,1295.0,0.06224465272770968,0.9898305084745763,False,48,366.0,281.0,False
v2_wait_score_min60_early,logs\edge_research\profit_v2_wait_score_min60_early_validation_latest.json,registered_signal_readiness,,,2026-05-03T22:00:00+00:00,107,101,71,30,0.7029702970297029,0.7222772277227724,0.7145907473309608,0.6077495802310494,-0.11452764749172295,0.9439252336448598,True,False,-195.0,-0.026730637422892393,,0.7615658362989324,0.7145907473309608,0.7084264703325309,1320.0,0.06573705179282868,0.9894366197183099,False,46,322.0,221.0,False
v2_wait_score_min60_brownian70_early,logs\edge_research\profit_v2_wait_score_min60_brownian70_early_validation_latest.json,registered_signal_readiness,,,2026-05-03T23:30:00+00:00,103,97,69,28,0.711340206185567,0.7223711340206185,0.7119928825622776,0.6144813647096283,-0.10788976931099015,0.941747572815534,True,False,-107.0,-0.015270443841872414,,0.7615658362989324,0.7119928825622776,0.7084264703325309,1393.0,0.0696256310291398,0.9894366197183099,False,41,285.0,188.0,False
challenger,logs\edge_research\profit_challenger_fresh_validation_latest.json,registered_signal_readiness,choose=brownian_p_rv_15m; brownian_p_rv_15m>=0.55; ask<=95; sec_to_close>=120; adverse15<=10_or_margin_rv15>=0.5,ask>=50 AND ask<=80,2026-05-02T21:15:00+00:00,199,128,87,41,0.6796875,0.66859375,0.6570714285714285,0.5946341124452171,-0.07395963755478285,0.6432160804020101,False,True,142.0,0.016592661836877774,,0.6642857142857143,0.6570714285714285,0.6070793655263251,202.0,0.01097945428850962,0.9491525423728814,False,31,16365.0,16237.0,False
touch_hazard,logs\edge_research\profit_touch_hazard_fresh_validation_latest.json,registered_signal_readiness,choose=book_touch_blend_15; book_touch_blend_15>=0.35; 0<=ask<=80; sec>=120; gate=none,,2026-05-02T22:00:00+00:00,196,146,87,59,0.5958904109589042,0.6026027397260274,0.5922945205479452,0.5148221685482596,-0.08778057117776783,0.7448979591836735,False,False,-98.0,-0.01113889520345533,,0.5924657534246576,0.5922945205479452,0.5352594187172046,5.0,0.0002891008962127783,0.9898305084745763,False,35,,,False
touch_overlay,logs\edge_research\profit_touch_hazard_overlay_fresh_validation_latest.json,registered_signal_readiness,choose=book_touch_blend_15; book_touch_blend_15>=0.35; 0<=ask<=80; sec>=120; gate=none,ask>=50 AND touch_loss15>=0.80,2026-05-03T00:00:00+00:00,189,138,84,54,0.6086956521739131,0.600072463768116,0.593936170212766,0.5253815990781174,-0.07469086468999853,0.7301587301587301,False,True,119.0,0.014370245139475908,,0.6028368794326241,0.593936170212766,0.5447136169300277,251.0,0.014985969311600693,0.9559322033898305,False,28,11494.0,11356.0,False
kinetic_touch,logs\edge_research\profit_kinetic_touch_fresh_validation_latest.json,registered_signal_readiness,choose=kinetic_touch_score_15; kinetic_touch_score_15>=0.55; 50<=ask<=95; sec>=120; gate=touch_loss15<=0.90,,2026-05-03T02:15:00+00:00,187,134,89,45,0.664179104477612,0.6854477611940298,0.669283276450512,0.5806295433582594,-0.10481821783577039,0.7165775401069518,False,False,-285.0,-0.031028851388132824,,0.6791808873720137,0.669283276450512,0.6237097553309847,290.0,0.014788373278939317,0.9932203389830508,False,49,8500.0,8366.0,False
hazard_mean_touch80,logs\edge_research\profit_hazard_mean_touch80_fresh_validation_latest.json,registered_signal_readiness,choose=hazard_discounted_mean_15; hazard_discounted_mean_15>=0.45; 0<=ask<=80; sec>=60; gate=touch_loss15<=0.80,,2026-05-04T05:30:00+00:00,79,69,50,19,0.7246376811594203,0.7257971014492753,0.7168275862068966,0.609527027856669,-0.11627007359260633,0.8734177215189873,True,False,-8.0,-0.001597444089456869,,0.7517241379310344,0.7168275862068966,0.6989282123158871,1012.0,0.0486819318837791,0.9508196721311475,False,33,584.0,515.0,False
