dataset,candidate,slice,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask,median_edge
current,book_margin,split=holdout,66,45,21,0.6818181818181818,-38.0,-0.5757575757575758,65.0,-2.5
current,book_margin,split=train,194,138,56,0.711340206185567,794.0,4.092783505154639,63.0,-2.5
current,book_margin,split=validation,66,46,20,0.696969696969697,62.0,0.9393939393939394,65.0,-2.5
current,book_margin,side=no,165,116,49,0.703030303030303,408.0,2.4727272727272727,64.0,-2.5
current,book_margin,side=yes,161,113,48,0.7018633540372671,410.0,2.546583850931677,64.0,-2.5
current,book_margin,"score=(-1.001, 0.625]",148,102,46,0.6891891891891891,762.0,5.148648648648648,62.0,-2.5
current,book_margin,"score=(0.625, 0.65]",63,34,29,0.5396825396825397,-791.0,-12.555555555555555,64.0,-2.5
current,book_margin,"score=(0.65, 0.7]",66,51,15,0.7727272727272727,481.0,7.287878787878788,68.0,-2.5
current,book_margin,"score=(0.7, 0.8]",42,36,6,0.8571428571428571,360.0,8.571428571428571,75.0,-2.5
current,book_margin,"edge=(-3.0, 0.0]",273,198,75,0.7252747252747253,1285.0,4.706959706959707,64.0,-2.5
current,book_margin,"edge=(-5.0, -3.0]",53,31,22,0.5849056603773585,-467.0,-8.81132075471698,64.0,-3.0
current,book_margin,"ask=(60.0, 70.0]",277,187,90,0.6750902527075813,452.0,1.6317689530685922,63.0,-2.5
current,book_margin,"ask=(70.0, 80.0]",42,36,6,0.8571428571428571,360.0,8.571428571428571,75.0,-2.5
current,book_margin,"time=(-1.001, 600.0]",22,17,5,0.7727272727272727,213.0,9.681818181818182,63.5,-2.5
current,book_margin,"time=(600.0, 720.0]",46,31,15,0.6739130434782609,-16.0,-0.34782608695652173,64.0,-2.5
current,book_margin,"time=(720.0, 840.0]",174,129,45,0.7413793103448276,1131.0,6.5,64.0,-2.5
current,book_margin,"time=(840.0, 10000.0]",84,52,32,0.6190476190476191,-510.0,-6.071428571428571,64.0,-2.5
current,book_margin,prev1=no,165,116,49,0.703030303030303,460.0,2.787878787878788,64.0,-2.5
current,book_margin,prev1=yes,160,113,47,0.70625,426.0,2.6625,64.0,-2.5
current,book_margin,prev_relation=fade,175,124,51,0.7085714285714285,512.0,2.9257142857142857,63.0,-2.5
current,book_margin,prev_relation=follow,151,105,46,0.695364238410596,306.0,2.0264900662251657,64.0,-2.5
current,book_margin,prev2_streak=False,173,121,52,0.6994219653179191,367.0,2.121387283236994,64.0,-2.5
current,book_margin,prev2_streak=True,153,108,45,0.7058823529411765,451.0,2.947712418300654,64.0,-2.5
current,book_margin,prev3_streak=False,254,178,76,0.7007874015748031,570.0,2.2440944881889764,64.0,-2.5
current,book_margin,prev3_streak=True,72,51,21,0.7083333333333334,248.0,3.4444444444444446,62.5,-2.5
current,book_margin,prev_flip=False,155,109,46,0.7032258064516129,418.0,2.696774193548387,64.0,-2.5
current,book_margin,prev_flip=True,171,120,51,0.7017543859649122,400.0,2.3391812865497075,64.0,-2.5
current,book_margin,prev_alternation=False,237,161,76,0.679324894514768,14.0,0.05907172995780591,64.0,-2.5
current,book_margin,prev_alternation=True,89,68,21,0.7640449438202247,804.0,9.03370786516854,64.0,-2.5
current,book_margin__only_follow_prev1,split=holdout,53,39,14,0.7358490566037735,207.0,3.9056603773584904,66.0,-2.5
current,book_margin__only_follow_prev1,split=train,129,89,40,0.689922480620155,151.0,1.1705426356589148,64.0,-2.5
current,book_margin__only_follow_prev1,split=validation,40,23,17,0.575,-440.0,-11.0,64.0,-2.5
current,book_margin__only_follow_prev1,side=no,114,77,37,0.6754385964912281,-100.0,-0.8771929824561403,65.0,-2.5
current,book_margin__only_follow_prev1,side=yes,108,74,34,0.6851851851851852,18.0,0.16666666666666666,64.0,-2.5
current,book_margin__only_follow_prev1,"score=(-1.001, 0.625]",84,58,26,0.6904761904761905,427.0,5.083333333333333,62.0,-2.5
current,book_margin__only_follow_prev1,"score=(0.625, 0.65]",60,34,26,0.5666666666666667,-589.0,-9.816666666666666,64.0,-2.5
current,book_margin__only_follow_prev1,"score=(0.65, 0.7]",38,28,10,0.7368421052631579,149.0,3.9210526315789473,68.0,-2.5
current,book_margin__only_follow_prev1,"score=(0.7, 0.8]",30,21,9,0.7,-188.0,-6.266666666666667,73.5,-2.5
current,book_margin__only_follow_prev1,"edge=(-3.0, 0.0]",190,133,57,0.7,278.0,1.4631578947368422,64.0,-2.5
current,book_margin__only_follow_prev1,"edge=(-5.0, -3.0]",32,18,14,0.5625,-360.0,-11.25,64.0,-3.0
current,book_margin__only_follow_prev1,"ask=(60.0, 70.0]",182,120,62,0.6593406593406593,-13.0,-0.07142857142857142,64.0,-2.5
current,book_margin__only_follow_prev1,"ask=(70.0, 80.0]",30,21,9,0.7,-188.0,-6.266666666666667,73.5,-2.5
current,book_margin__only_follow_prev1,"time=(-1.001, 600.0]",66,45,21,0.6818181818181818,-127.0,-1.9242424242424243,65.0,-2.5
current,book_margin__only_follow_prev1,"time=(600.0, 720.0]",33,22,11,0.6666666666666666,-53.0,-1.606060606060606,65.0,-2.5
current,book_margin__only_follow_prev1,"time=(720.0, 840.0]",84,58,26,0.6904761904761905,148.0,1.7619047619047619,64.0,-2.5
current,book_margin__only_follow_prev1,"time=(840.0, 10000.0]",39,26,13,0.6666666666666666,-50.0,-1.2820512820512822,64.0,-2.5
current,book_margin__only_follow_prev1,prev1=no,114,77,37,0.6754385964912281,-100.0,-0.8771929824561403,65.0,-2.5
current,book_margin__only_follow_prev1,prev1=yes,108,74,34,0.6851851851851852,18.0,0.16666666666666666,64.0,-2.5
current,book_margin__only_follow_prev1,prev_relation=follow,222,151,71,0.6801801801801802,-82.0,-0.36936936936936937,64.0,-2.5
current,book_margin__only_follow_prev1,prev2_streak=False,117,80,37,0.6837606837606838,-52.0,-0.4444444444444444,64.0,-2.5
current,book_margin__only_follow_prev1,prev2_streak=True,105,71,34,0.6761904761904762,-30.0,-0.2857142857142857,64.0,-2.5
current,book_margin__only_follow_prev1,prev3_streak=False,173,115,58,0.6647398843930635,-304.0,-1.7572254335260116,64.0,-2.5
current,book_margin__only_follow_prev1,prev3_streak=True,49,36,13,0.7346938775510204,222.0,4.530612244897959,65.0,-2.5
current,book_margin__only_follow_prev1,prev_flip=False,106,72,34,0.6792452830188679,5.0,0.04716981132075472,64.0,-2.5
current,book_margin__only_follow_prev1,prev_flip=True,116,79,37,0.6810344827586207,-87.0,-0.75,64.0,-2.5
current,book_margin__only_follow_prev1,prev_alternation=False,163,111,52,0.6809815950920245,-19.0,-0.1165644171779141,64.0,-2.5
current,book_margin__only_follow_prev1,prev_alternation=True,59,40,19,0.6779661016949152,-63.0,-1.0677966101694916,64.0,-2.5
current,book_margin__only_fade_prev1,split=holdout,47,26,21,0.5531914893617021,-634.0,-13.48936170212766,65.0,-2.5
current,book_margin__only_fade_prev1,split=train,139,96,43,0.6906474820143885,175.0,1.2589928057553956,63.0,-2.5
current,book_margin__only_fade_prev1,split=validation,50,42,8,0.84,714.0,14.28,66.5,-2.5
current,book_margin__only_fade_prev1,side=no,114,81,33,0.7105263157894737,274.0,2.4035087719298245,64.0,-2.5
current,book_margin__only_fade_prev1,side=yes,122,83,39,0.680327868852459,-19.0,-0.1557377049180328,64.0,-2.5
current,book_margin__only_fade_prev1,"score=(-1.001, 0.625]",111,71,40,0.6396396396396397,25.0,0.22522522522522523,62.0,-2.5
current,book_margin__only_fade_prev1,"score=(0.625, 0.65]",23,12,11,0.5217391304347826,-334.0,-14.521739130434783,65.0,-2.5
current,book_margin__only_fade_prev1,"score=(0.65, 0.7]",58,45,13,0.7758620689655172,437.0,7.5344827586206895,68.0,-2.5
current,book_margin__only_fade_prev1,"score=(0.7, 0.8]",36,29,7,0.8055555555555556,111.0,3.0833333333333335,75.5,-2.5
current,book_margin__only_fade_prev1,"edge=(-3.0, 0.0]",201,144,57,0.7164179104477612,610.0,3.0348258706467663,64.0,-2.5
current,book_margin__only_fade_prev1,"edge=(-5.0, -3.0]",35,20,15,0.5714285714285714,-355.0,-10.142857142857142,64.0,-3.0
current,book_margin__only_fade_prev1,"ask=(60.0, 70.0]",192,128,64,0.6666666666666666,128.0,0.6666666666666666,63.0,-2.5
current,book_margin__only_fade_prev1,"ask=(70.0, 80.0]",36,29,7,0.8055555555555556,111.0,3.0833333333333335,75.5,-2.5
current,book_margin__only_fade_prev1,"time=(-1.001, 600.0]",49,36,13,0.7346938775510204,138.0,2.816326530612245,67.0,-2.5
current,book_margin__only_fade_prev1,"time=(600.0, 720.0]",42,26,16,0.6190476190476191,-215.0,-5.119047619047619,63.5,-2.5
current,book_margin__only_fade_prev1,"time=(720.0, 840.0]",100,76,24,0.76,792.0,7.92,63.0,-2.5
current,book_margin__only_fade_prev1,"time=(840.0, 10000.0]",45,26,19,0.5777777777777777,-460.0,-10.222222222222221,64.0,-2.5
current,book_margin__only_fade_prev1,prev1=no,122,83,39,0.680327868852459,-19.0,-0.1557377049180328,64.0,-2.5
current,book_margin__only_fade_prev1,prev1=yes,114,81,33,0.7105263157894737,274.0,2.4035087719298245,64.0,-2.5
current,book_margin__only_fade_prev1,prev_relation=fade,236,164,72,0.6949152542372882,255.0,1.0805084745762712,64.0,-2.5
current,book_margin__only_fade_prev1,prev2_streak=False,121,86,35,0.7107438016528925,331.0,2.7355371900826446,64.0,-2.5
current,book_margin__only_fade_prev1,prev2_streak=True,115,78,37,0.6782608695652174,-76.0,-0.6608695652173913,64.0,-2.5
