lock_name,market,registered_utc,lock_close_dt,entry_dt,close_dt,side,ask_cents,bid_cents,seconds_to_close,source_line_no,decision_key,chooser,score_value,overlay,book_p_side,brownian_p_rv_15m,brownian_p_rv_30m,margin_dollars,margin_per_rv_sigma_15m,signed_move_3m,signed_move_5m,signed_move_15m,signed_move_30m,impulse_3_5m,impulse_3_5m_over_margin,fade_trigger_side,fade_trigger_ask_cents,fade_trigger_score_value,fade_trigger_margin_dollars,fade_trigger_signed_move_3m,fade_trigger_signed_move_5m,fade_trigger_impulse_3_5m,fade_trigger_impulse_3_5m_over_margin,abs_book_rv15_gap,adverse_move_15m,touch_loss_rv_15m,touch_survival_rv_15m,book_touch_blend_15,hazard_discounted_mean_15,kinetic_touch_score_15,blend_logit_book_rv_hazard_mean,fair_edge_cents,outcome_available,outcome,win,entry_fee_cents,net_pnl_cents
book_early_score_gap020_wait,KXBTC15M-26MAY032215-15,2026-05-04T02:07:23.053006+00:00,2026-05-04T02:00:00+00:00,2026-05-04T02:07:04.763000+00:00,2026-05-04T02:15:00+00:00,yes,79.0,78.0,475.237,43545,heartbeat:43545,score_min_book_rv15,0.624979966008055,book_margin_early_wait_for_score_min60_gap020_enter_ref_if_seconds_to_close>=480,0.785,0.624979966008055,0.6665045741550326,,0.318586531488942,,,,,,,,,,,,,,,0.1600200339919449,0.0,0.7500400679838899,0.2499599320161101,0.6379869779052358,,0.6813124150270905,,,True,yes,True,2,19.0
book_early_score_gap020_wait,KXBTC15M-26MAY032230-30,2026-05-04T02:20:25.851724+00:00,2026-05-04T02:00:00+00:00,2026-05-04T02:18:05.671000+00:00,2026-05-04T02:30:00+00:00,no,66.0,65.0,714.329,43595,heartbeat:43595,score_min_book_rv15,0.6016022428732115,book_margin_early_wait_for_score_min60_gap020_enter_ref_if_seconds_to_close>=480,0.655,0.6016022428732115,0.5581619199508971,,0.2574965033453901,,,,,,,,,,,,,,,0.0533977571267885,269.9100000000035,0.796795514253577,0.203204485746423,0.5512914578675876,,0.5792617985130099,,,True,no,True,2,32.0
book_early_score_gap020_wait,KXBTC15M-26MAY032245-45,2026-05-04T02:31:27.472904+00:00,2026-05-04T02:00:00+00:00,2026-05-04T02:31:06.969000+00:00,2026-05-04T02:45:00+00:00,yes,68.0,67.0,833.031,43653,heartbeat:43653,score_min_book_rv15,0.675,book_margin_early_wait_for_score_min60_gap020_enter_ref_if_seconds_to_close>=480,0.675,0.7039003231145569,0.6657969448300325,,0.5356516086166323,,,,,,,,,,,,,,,0.0289003231145568,124.05999999999769,0.5921993537708863,0.4078006462291137,0.6287852100244621,,0.6713269063290632,,,True,yes,True,2,30.0
book_early_score_gap020_wait,KXBTC15M-26MAY032300-00,2026-05-04T02:47:29.947222+00:00,2026-05-04T02:00:00+00:00,2026-05-04T02:47:08.343000+00:00,2026-05-04T03:00:00+00:00,no,72.0,71.0,771.657,43723,heartbeat:43723,score_min_book_rv15,0.6043213592314894,book_margin_early_wait_for_score_min60_gap020_enter_ref_if_seconds_to_close>=480,0.715,0.6043213592314894,0.6113283515174237,,0.2645485212209436,,,,,,,,,,,,,,,0.1106786407685105,288.6900000000023,0.7913572815370211,0.2086427184629788,0.5860588835004682,,0.6205808405424718,,,True,yes,False,2,-74.0
book_early_score_gap020_wait,KXBTC15M-26MAY032315-15,2026-05-04T03:02:59.267666+00:00,2026-05-04T02:00:00+00:00,2026-05-04T03:02:09.919000+00:00,2026-05-04T03:15:00+00:00,no,80.0,79.0,770.081,43807,heartbeat:43807,score_min_book_rv15,0.7121981367406991,book_margin_early_wait_for_score_min60_gap020_enter_ref_if_seconds_to_close>=480,0.795,0.7121981367406991,0.7273460221772766,,0.5598177920905452,,,,,,,,,,,,,,,0.0828018632593009,0.0,0.5756037265186018,0.4243962734813982,0.7001787888814545,,0.7740225501025219,,,True,yes,False,2,-82.0
book_early_score_gap020_wait,KXBTC15M-26MAY032330-30,2026-05-04T03:18:50.779069+00:00,2026-05-04T02:00:00+00:00,2026-05-04T03:18:11.263000+00:00,2026-05-04T03:30:00+00:00,no,61.0,60.0,708.737,43894,heartbeat:43894,score_min_book_rv15,0.605,book_margin_early_wait_for_score_min60_gap020_enter_ref_if_seconds_to_close>=480,0.605,0.6444232161068979,0.6343027069641957,,0.3703072562902252,,,,,,,,,,,,,,,0.0394232161068979,208.13999999999945,0.7111535677862042,0.2888464322137958,0.5516250904694836,,0.6080995087021785,,,True,no,True,2,37.0
book_early_score_gap020_wait,KXBTC15M-26MAY032345-45,2026-05-04T03:40:27.516657+00:00,2026-05-04T02:00:00+00:00,2026-05-04T03:34:12.627000+00:00,2026-05-04T03:45:00+00:00,yes,62.0,61.0,647.373,43964,heartbeat:43964,score_min_book_rv15,0.6125163924271789,book_margin_early_wait_for_score_min60_gap020_enter_ref_if_seconds_to_close>=480,0.615,0.6125163924271789,0.5637291609109691,,0.2858836782420423,,,,,,,,,,,,,,,0.002483607572821,150.29000000000815,0.7749672151456422,0.2250327848543578,0.5363856550776662,,0.5776586517277729,,,True,no,False,2,-64.0
book_early_score_gap020_wait,KXBTC15M-26MAY040000-00,2026-05-04T03:49:03.949943+00:00,2026-05-04T02:00:00+00:00,2026-05-04T03:47:13.963000+00:00,2026-05-04T04:00:00+00:00,yes,80.0,78.0,766.037,44022,heartbeat:44022,score_min_book_rv15,0.7376211776294886,book_margin_early_wait_for_score_min60_gap020_enter_ref_if_seconds_to_close>=480,0.79,0.7376211776294886,0.7697367119777124,,0.6360288092534125,,,,,,,,,,,,,,,0.0523788223705113,0.0,0.5247576447410227,0.4752423552589773,0.7139537654591677,,0.7847218841046568,,,True,yes,True,2,18.0
book_early_score_gap020_wait,KXBTC15M-26MAY040015-15,2026-05-04T04:00:50.384342+00:00,2026-05-04T02:00:00+00:00,2026-05-04T04:01:00.169000+00:00,2026-05-04T04:15:00+00:00,yes,63.0,62.0,839.831,44083,heartbeat:44083,score_min_book_rv15,0.625,book_margin_early_wait_for_score_min60_gap020_enter_ref_if_seconds_to_close>=480,0.625,0.6306600015075445,0.6404543905917921,,0.3336018832291433,,,,,,,,,,,,,,,0.0056600015075445,0.0,0.7386799969849109,0.261320003015089,0.553679000979904,,0.661160178723473,,,True,yes,True,2,35.0
book_early_score_gap020_wait,KXBTC15M-26MAY040030-30,2026-05-04T04:15:46.330480+00:00,2026-05-04T02:00:00+00:00,2026-05-04T04:16:01.419000+00:00,2026-05-04T04:30:00+00:00,yes,68.0,67.0,838.581,44149,heartbeat:44149,score_min_book_rv15,0.675,book_margin_early_wait_for_score_min60_gap020_enter_ref_if_seconds_to_close>=480,0.675,0.7430026461807008,0.6752815856020851,,0.6526302055846133,,,,,,,,,,,,,,,0.0680026461807007,0.0,0.5139947076385984,0.4860052923614015,0.6542017200174556,,0.7406670263186738,,,True,no,False,2,-70.0
