dataset,candidate,group_type,group,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask
v21,hazard45_touch90_ask80_control,hour,8,6,3,3,0.5,-153.0,-25.5,74.0
v21,hazard45_touch90_ask80_control,hour,9,8,7,1,0.875,127.0,15.875,70.0
v21,hazard45_touch90_ask80_control,ask,ask<=60,12,11,1,0.9166666666666666,366.0,30.5,60.0
v21,hazard45_touch90_ask80_control,ask,ask<=70,114,85,29,0.7456140350877193,712.0,6.245614035087719,66.5
v21,hazard45_touch90_ask80_control,ask,ask<=80,78,57,21,0.7307692307692307,-274.0,-3.5128205128205128,74.0
v21,hazard45_touch90_ask80_control,time,sec<=300,6,5,1,0.8333333333333334,56.0,9.333333333333334,73.5
v21,hazard45_touch90_ask80_control,time,sec<=600,41,29,12,0.7073170731707317,-155.0,-3.7804878048780486,74.0
v21,hazard45_touch90_ask80_control,time,sec<=900,157,119,38,0.7579617834394905,903.0,5.751592356687898,68.0
v21,hazard45_touch90_ask80_control,score,p<=0.55,138,102,36,0.7391304347826086,724.0,5.246376811594203,67.0
v21,hazard45_touch90_ask80_control,score,p<=0.65,56,43,13,0.7678571428571429,84.0,1.5,73.5
v21,hazard45_touch90_ask80_control,score,p<=0.75,10,8,2,0.8,-4.0,-0.4,79.0
v21,hazard45_touch90_ask80_control,touch_loss,touch<=0.40,3,2,1,0.6666666666666666,-39.0,-13.0,78.0
v21,hazard45_touch90_ask80_control,touch_loss,touch<=0.60,61,47,14,0.7704918032786885,173.0,2.8360655737704916,73.0
v21,hazard45_touch90_ask80_control,touch_loss,touch<=0.80,140,104,36,0.7428571428571429,670.0,4.785714285714286,67.0
v21,hazard45_touch80_ask95_control,split,holdout,44,35,9,0.7954545454545454,253.0,5.75,70.0
v21,hazard45_touch80_ask95_control,split,train,131,93,38,0.7099236641221374,-116.0,-0.8854961832061069,68.0
v21,hazard45_touch80_ask95_control,split,validation,44,38,6,0.8636363636363636,536.0,12.181818181818182,71.0
v21,hazard45_touch80_ask95_control,side,no,100,79,21,0.79,671.0,6.71,69.0
v21,hazard45_touch80_ask95_control,side,yes,119,87,32,0.7310924369747899,2.0,0.01680672268907563,70.0
v21,hazard45_touch80_ask95_control,hour,0,7,5,2,0.7142857142857143,-10.0,-1.4285714285714286,71.0
v21,hazard45_touch80_ask95_control,hour,1,8,6,2,0.75,40.0,5.0,66.0
v21,hazard45_touch80_ask95_control,hour,10,11,9,2,0.8181818181818182,95.0,8.636363636363637,70.0
v21,hazard45_touch80_ask95_control,hour,11,12,11,1,0.9166666666666666,246.0,20.5,67.5
v21,hazard45_touch80_ask95_control,hour,12,12,10,2,0.8333333333333334,115.0,9.583333333333334,71.0
v21,hazard45_touch80_ask95_control,hour,13,12,8,4,0.6666666666666666,-84.0,-7.0,70.5
v21,hazard45_touch80_ask95_control,hour,14,12,9,3,0.75,24.0,2.0,70.5
v21,hazard45_touch80_ask95_control,hour,15,12,7,5,0.5833333333333334,-191.0,-15.916666666666666,70.0
v21,hazard45_touch80_ask95_control,hour,16,9,7,2,0.7777777777777778,70.0,7.777777777777778,66.0
v21,hazard45_touch80_ask95_control,hour,17,8,6,2,0.75,27.0,3.375,68.5
v21,hazard45_touch80_ask95_control,hour,18,8,5,3,0.625,-85.0,-10.625,71.5
v21,hazard45_touch80_ask95_control,hour,19,8,6,2,0.75,1.0,0.125,73.0
v21,hazard45_touch80_ask95_control,hour,2,8,4,4,0.5,-178.0,-22.25,68.5
v21,hazard45_touch80_ask95_control,hour,20,8,5,3,0.625,-69.0,-8.625,67.0
v21,hazard45_touch80_ask95_control,hour,21,8,7,1,0.875,125.0,15.625,68.0
v21,hazard45_touch80_ask95_control,hour,22,8,7,1,0.875,112.0,14.0,71.0
v21,hazard45_touch80_ask95_control,hour,23,8,8,0,1.0,193.0,24.125,71.5
v21,hazard45_touch80_ask95_control,hour,3,8,6,2,0.75,-5.0,-0.625,71.5
v21,hazard45_touch80_ask95_control,hour,4,10,9,1,0.9,152.0,15.2,71.5
v21,hazard45_touch80_ask95_control,hour,5,12,10,2,0.8333333333333334,141.0,11.75,69.0
v21,hazard45_touch80_ask95_control,hour,6,8,5,3,0.625,-38.0,-4.75,63.5
v21,hazard45_touch80_ask95_control,hour,7,8,6,2,0.75,25.0,3.125,67.5
v21,hazard45_touch80_ask95_control,hour,8,6,3,3,0.5,-153.0,-25.5,74.0
v21,hazard45_touch80_ask95_control,hour,9,8,7,1,0.875,120.0,15.0,70.0
v21,hazard45_touch80_ask95_control,ask,ask<=60,12,11,1,0.9166666666666666,366.0,30.5,60.0
v21,hazard45_touch80_ask95_control,ask,ask<=70,111,82,29,0.7387387387387387,621.0,5.594594594594595,66.0
v21,hazard45_touch80_ask95_control,ask,ask<=80,68,48,20,0.7058823529411765,-386.0,-5.676470588235294,74.0
v21,hazard45_touch80_ask95_control,ask,ask<=95,28,25,3,0.8928571428571429,72.0,2.5714285714285716,84.5
v21,hazard45_touch80_ask95_control,time,sec<=300,9,7,2,0.7777777777777778,-59.0,-6.555555555555555,87.0
v21,hazard45_touch80_ask95_control,time,sec<=600,45,33,12,0.7333333333333333,-141.0,-3.1333333333333333,74.0
v21,hazard45_touch80_ask95_control,time,sec<=900,165,126,39,0.7636363636363637,873.0,5.290909090909091,68.0
v21,hazard45_touch80_ask95_control,score,p<=0.55,133,97,36,0.7293233082706767,585.0,4.398496240601504,67.0
v21,hazard45_touch80_ask95_control,score,p<=0.65,59,45,14,0.7627118644067796,3.0,0.05084745762711865,74.0
v21,hazard45_touch80_ask95_control,score,p<=0.75,14,12,2,0.8571428571428571,42.0,3.0,81.0
v21,hazard45_touch80_ask95_control,score,p<=0.85,9,9,0,1.0,107.0,11.88888888888889,87.0
v21,hazard45_touch80_ask95_control,score,p>0.85,4,3,1,0.75,-64.0,-16.0,91.0
v21,hazard45_touch80_ask95_control,touch_loss,touch<=0.20,4,3,1,0.75,-64.0,-16.0,91.0
v21,hazard45_touch80_ask95_control,touch_loss,touch<=0.40,13,12,1,0.9230769230769231,83.0,6.384615384615385,86.0
v21,hazard45_touch80_ask95_control,touch_loss,touch<=0.60,66,51,15,0.7727272727272727,123.0,1.8636363636363635,73.5
v21,hazard45_touch80_ask95_control,touch_loss,touch<=0.80,136,100,36,0.7352941176470589,531.0,3.9044117647058822,67.0
v21,hazard50_touch80_ask80_control,split,holdout,37,27,10,0.7297297297297297,-89.0,-2.4054054054054053,73.0
v21,hazard50_touch80_ask80_control,split,train,113,80,33,0.7079646017699115,-385.0,-3.4070796460176993,73.0
v21,hazard50_touch80_ask80_control,split,validation,38,32,6,0.8421052631578947,319.0,8.394736842105264,74.0
v21,hazard50_touch80_ask80_control,side,no,91,70,21,0.7692307692307693,272.0,2.989010989010989,72.0
v21,hazard50_touch80_ask80_control,side,yes,97,69,28,0.711340206185567,-427.0,-4.402061855670103,74.0
v21,hazard50_touch80_ask80_control,hour,0,7,5,2,0.7142857142857143,-30.0,-4.285714285714286,74.0
v21,hazard50_touch80_ask80_control,hour,1,7,5,2,0.7142857142857143,-28.0,-4.0,74.0
v21,hazard50_touch80_ask80_control,hour,10,8,7,1,0.875,86.0,10.75,74.5
v21,hazard50_touch80_ask80_control,hour,11,11,10,1,0.9090909090909091,189.0,17.181818181818183,72.0
v21,hazard50_touch80_ask80_control,hour,12,11,10,1,0.9090909090909091,172.0,15.636363636363637,74.0
v21,hazard50_touch80_ask80_control,hour,13,9,6,3,0.6666666666666666,-68.0,-7.555555555555555,72.0
v21,hazard50_touch80_ask80_control,hour,14,11,8,3,0.7272727272727273,-48.0,-4.363636363636363,75.0
v21,hazard50_touch80_ask80_control,hour,15,9,4,5,0.4444444444444444,-257.0,-28.555555555555557,71.0
v21,hazard50_touch80_ask80_control,hour,16,9,7,2,0.7777777777777778,35.0,3.888888888888889,71.0
v21,hazard50_touch80_ask80_control,hour,17,7,6,1,0.8571428571428571,70.0,10.0,72.0
