dataset,policy,block,markets,wins,losses,net_pnl_cents
current,p80_ask95_sec120_baseline,1,20,18,2,89.0
current,p80_ask95_sec120_baseline,2,20,17,3,-13.0
current,p80_ask95_sec120_baseline,3,20,15,5,-216.0
current,p80_ask95_sec120_baseline,4,20,19,1,192.0
current,p80_ask95_sec120_baseline,5,20,16,4,-119.0
current,p80_ask95_sec120_baseline,6,20,19,1,166.0
current,p80_ask95_sec120_baseline,7,20,16,4,-119.0
current,p80_ask95_sec120_baseline,8,20,16,4,-100.0
current,p80_ask95_sec120_baseline,9,20,18,2,91.0
current,p80_ask95_sec120_baseline,10,20,19,1,197.0
current,p80_ask95_sec120_baseline,11,20,16,4,-97.0
current,p80_ask95_sec120_baseline,12,20,17,3,13.0
current,p80_ask95_sec120_baseline,13,20,19,1,174.0
current,p80_ask95_sec120_baseline,14,20,17,3,3.0
current,p80_ask95_sec120_baseline,15,20,17,3,-11.0
current,p80_ask95_sec120_baseline,16,6,3,3,-206.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age180,1,20,9,11,-476.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age180,2,20,14,6,-227.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age180,3,20,13,7,-355.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age180,4,20,16,4,-14.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age180,5,20,13,7,-325.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age180,6,20,14,6,-177.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age180,7,20,14,6,-256.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age180,8,20,13,7,-304.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age180,9,20,16,4,-48.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age180,10,20,16,4,-3.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age180,11,20,14,6,-237.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age180,12,20,13,7,-202.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age180,13,20,14,6,-110.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age180,14,20,14,6,-144.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age180,15,20,12,8,-353.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age180,16,6,3,3,-206.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age300,1,20,8,12,-545.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age300,2,20,11,9,-435.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age300,3,20,12,8,-355.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age300,4,20,14,6,-156.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age300,5,20,9,11,-606.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age300,6,20,12,8,-311.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age300,7,20,15,5,-123.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age300,8,20,12,8,-185.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age300,9,20,10,10,-468.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age300,10,20,11,9,-350.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age300,11,20,12,8,-374.0
current,p80_ask95_sec120_touch_preempt_book0.85_touch0.35_ask55_age300,12,20,9,11,-411.0
