model,min_edge_cents,cost_cents,split,resolved_markets,selected_markets,coverage,gross_net_cents,cost_total_cents,net_after_cost_cents,roi_after_cost
book_platt,0.0,0.0,train,198,198,1.0,-418.0,0.0,-418.0,-0.03936711245055566
book_platt,0.0,0.0,validation,66,66,1.0,184.0,0.0,184.0,0.05233219567690557
book_platt,0.0,0.0,holdout,66,66,1.0,168.0,0.0,168.0,0.04501607717041801
book_platt,0.0,0.5,all,330,330,1.0,-66.0,165.0,-231.0,-0.012811269480339416
book_platt,0.0,0.5,train,198,198,1.0,-418.0,99.0,-517.0,-0.04824111225156294
book_platt,0.0,0.5,validation,66,66,1.0,184.0,33.0,151.0,0.04254719639335024
book_platt,0.0,0.5,holdout,66,66,1.0,168.0,33.0,135.0,0.035856573705179286
book_platt,0.0,1.0,all,330,330,1.0,-66.0,330.0,-396.0,-0.021763024840624312
book_platt,0.0,1.0,train,198,198,1.0,-418.0,198.0,-616.0,-0.05695266272189349
book_platt,0.0,1.0,validation,66,66,1.0,184.0,66.0,118.0,0.03294249022892239
book_platt,0.0,1.0,holdout,66,66,1.0,168.0,66.0,102.0,0.026856240126382307
book_platt,0.0,1.5,all,330,330,1.0,-66.0,495.0,-561.0,-0.03055389140025053
book_platt,0.0,1.5,train,198,198,1.0,-418.0,297.0,-715.0,-0.06550618415025194
book_platt,0.0,1.5,validation,66,66,1.0,184.0,99.0,85.0,0.02351313969571231
book_platt,0.0,1.5,holdout,66,66,1.0,168.0,99.0,69.0,0.018010963194988253
book_platt,0.0,2.0,all,330,330,1.0,-66.0,660.0,-726.0,-0.039188167980136024
book_platt,0.0,2.0,train,198,198,1.0,-418.0,396.0,-814.0,-0.07390593789722172
book_platt,0.0,2.0,validation,66,66,1.0,184.0,132.0,52.0,0.01425438596491228
book_platt,0.0,2.0,holdout,66,66,1.0,168.0,132.0,36.0,0.009316770186335404
book_platt,0.0,3.0,all,330,330,1.0,-66.0,990.0,-1056.0,-0.0560033941450997
book_platt,0.0,3.0,train,198,198,1.0,-418.0,594.0,-1012.0,-0.09026043524794862
book_platt,0.0,3.0,validation,66,66,1.0,184.0,198.0,-14.0,-0.003769520732364028
