feature_set,model,gate,feature_count,spearman_pred_vs_pnl,top_quartile_net_dollars,entries,wins,losses,flats,net_dollars,avg_cents_per_entry,positive_windows,traded_windows,window_net_cents,locked_entries,locked_net_dollars,locked_avg_cents_per_entry
pinball_only,tree_d2_leaf20,robust_ev_overlay,37,-0.007928097838616583,-0.78,46,23,22,1,4.55,9.891304347826088,3,4,"-76.0,198.0,307.0,26.0",4,0.14,3.5
pinball_only,rf_d3_leaf15,ev_all,37,-0.04417682436043557,2.67,133,64,69,0,3.36,2.526315789473684,3,4,"148.0,191.0,-187.0,184.0",103,2.5999999999999996,2.5242718446601935
pinball_only,rf_d3_leaf15,robust_ev_overlay,37,-0.04417682436043557,2.67,42,20,22,0,3.17,7.5476190476190474,3,4,"-60.0,206.0,35.0,136.0",51,7.08,13.882352941176471
social_pinball,rf_d3_leaf15,robust_ev_overlay,55,-0.0851998579441142,-0.5100000000000001,33,16,17,0,3.03,9.181818181818182,3,4,"-176.0,154.0,125.0,200.0",30,3.16,10.533333333333333
social_only,hgb_leaf20_l2,robust_ev_overlay,18,-0.08876169022765504,-4.42,26,14,12,0,2.51,9.653846153846153,3,4,"-176.0,286.0,131.0,10.0",18,0.42,2.3333333333333335
all3_phi_social_pinball,hgb_leaf20_l2,robust_ev_overlay,79,-0.1232839254608772,-1.3900000000000003,20,10,10,0,2.46,12.3,3,4,"-92.0,6.0,120.0,212.0",18,1.32,7.333333333333333
phi_pinball,rf_d3_leaf15,robust_ev_overlay,68,-0.1467889316507426,-7.81,19,10,9,0,2.21,11.631578947368421,3,4,"-12.0,86.0,73.0,74.0",16,0.009999999999999912,0.062499999999999445
social_pinball,hgb_leaf20_l2,robust_ev_overlay,55,-0.08242199896475375,-2.0400000000000005,26,13,13,0,1.91,7.346153846153846,3,4,"-176.0,286.0,71.0,10.0",18,0.42,2.3333333333333335
standard6_social_pinball_control,hgb_leaf20_l2,robust_ev_overlay,79,-0.14258539496762615,-8.65,15,8,7,0,1.67,11.133333333333333,3,4,"-16.0,58.0,93.0,32.0",15,1.72,11.466666666666667
social_only,rf_d3_leaf15,robust_ev_overlay,18,-0.07448458567743309,-3.37,28,12,16,0,1.09,3.892857142857143,3,4,"-176.0,154.0,125.0,6.0",31,4.24,13.67741935483871
