rule,suppressed_exits,suppressed_share,adjusted_net_dollars,delta_vs_branch_actual_dollars,hurtful_exits_suppressed,helpful_exits_suppressed,train_adjusted_net,validation_adjusted_net,holdout_adjusted_net,train_suppressed,validation_suppressed,holdout_suppressed,all_splits_nonworse,diagnostic_pass
suppress_collapse_exit_if_exit_sigma_t_dollars>=75,23,0.4339622641509434,-19.26918,12.460819999999998,17,6,-7.2291799999999995,-11.77,-0.2700000000000001,10,9,4,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=65 AND exit_sigma_t_dollars>=75,21,0.39622641509433965,-19.289179999999998,12.440819999999999,16,5,-7.2291799999999995,-11.79,-0.2700000000000001,10,7,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=10,19,0.3584905660377358,-20.619179999999997,11.11082,14,5,-7.829180000000001,-11.79,-1.0,9,7,3,True,True
suppress_collapse_exit_if_exit_entry_basis_cents>=70 AND exit_sigma_t_dollars>=75,18,0.33962264150943394,-21.699180000000002,10.030819999999995,14,4,-8.20918,-13.220000000000002,-0.2700000000000001,9,5,4,True,True
suppress_collapse_exit_if_exit_exit_bid_cents>=50 AND exit_sigma_t_dollars>=75,19,0.3584905660377358,-22.779179999999997,8.95082,15,4,-6.37918,-16.130000000000003,-0.2700000000000001,9,6,4,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND position_seconds<=180,20,0.37735849056603776,-22.81918,8.910819999999998,15,5,-7.2291799999999995,-15.32,-0.2700000000000001,10,6,4,True,True
suppress_collapse_exit_if_exit_fair_drawdown_cents<=18 AND exit_sigma_t_dollars>=75,16,0.3018867924528302,-23.10918,8.620819999999998,13,3,-6.15918,-16.020000000000003,-0.93,7,6,3,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND fair_minus_exit_bid_cents>=0,18,0.33962264150943394,-23.129179999999998,8.600819999999999,13,5,-7.609180000000001,-14.59,-0.93,7,8,3,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=50 AND fair_minus_exit_bid_cents>=15,6,0.11320754716981132,-23.369999999999997,8.36,5,1,-8.99,-11.14,-3.2399999999999998,2,4,0,True,True
suppress_collapse_exit_if_exit_sigma_t_dollars>=75 AND entry_to_exit_loss_cents>=15,13,0.24528301886792453,-23.399179999999994,8.330820000000003,9,4,-11.139180000000001,-10.490000000000002,-1.7700000000000002,5,6,2,True,True
