candidate_id,split,slice,rows,markets,avg_pred,win_rate,brier,logloss,ece_10bin,side_accuracy,calibration_intercept,calibration_slope,shadow_trades,shadow_coverage,shadow_net_pnl_cents,shadow_expected_ev_cents
v28_raw,all,all_rows,1745,118,0.4435162452722063,0.45673352435530085,0.14567028417757133,0.4784388992332217,0.06423456160458454,0.8286532951289398,0.018672004020911983,0.7280887562320467,1745,1.0,2411.0,13081.300599999999
v28_raw,all,near_boundary_v28_40_60,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,all,near_boundary_abs_d_lte_1,1054,104,0.40252949051233394,0.38140417457305503,0.1518747760424203,0.4865817854224906,0.0460003595825427,0.8178368121442126,-0.23674441937196003,0.7791783667638791,1054,1.0,2994.0,7842.4379
v28_raw,all,high_recross,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,all,prior_recross_seen,188,20,0.5983298776595745,0.6063829787234043,0.10692998118948403,0.3565326388939908,0.03942702659574465,0.8723404255319149,0.1208778784537767,0.9018566872149912,188,1.0,975.0,1488.1139
v28_raw,all,adverse_memory_gt_1sigma,184,19,0.5782626956521739,0.5652173913043478,0.12466595166195651,0.401250272950789,0.05925708695652174,0.8478260869565217,-0.0599083960002444,0.8194866048939718,184,1.0,500.0,1511.7
v28_raw,all,late_lte_180s,88,15,0.5117448181818182,0.5,0.07872229462018182,0.28255620423252564,0.0572181818181818,0.9090909090909091,-0.1360231610975477,1.1251776936793132,88,1.0,1092.0,969.8767999999998
v28_raw,all,fresh_feed_lte_1000ms,1494,113,0.41046263654618476,0.42570281124497994,0.14177448380632865,0.4689515027590677,0.06231760709504683,0.8340026773761714,0.004916159673833155,0.7466160420913368,1494,1.0,3236.0,11400.856099999999
v28_raw,all,stale_feed_gt_1000ms,251,52,0.6402576454183266,0.6414342629482072,0.1688588330008247,0.5349096973702178,0.09981850597609562,0.796812749003984,0.2274033673778665,0.5968540139824252,251,1.0,-825.0,1680.4445
v28_raw,all,entry_source,0,0,,,,,,,,,0,0.0,0.0,0.0
v28_raw,all,rejected_actionable_source,0,0,,,,,,,,,0,0.0,0.0,0.0
