rule_rule_id,rule_p_min,rule_edge_min,rule_ask_max,rule_side_filter,target_pass,target_observed_pass,all_contract_accuracy,all_contract_retention,holdout_contract_accuracy,holdout_contract_retention,validation_contract_accuracy,all_contract_wilson95_lower,all_contracts,all_trade_accuracy,all_trade_retention,all_trade_wilson95_lower,all_trades,all_winning_contracts,all_winning_trades,holdout_contract_wilson95_lower,holdout_contracts,holdout_trade_accuracy,holdout_trade_retention,holdout_trade_wilson95_lower,holdout_trades,holdout_winning_contracts,holdout_winning_trades,rule_abs_d_sigma_max,rule_abs_d_sigma_min,rule_seconds_max,rule_seconds_min,train_contract_accuracy,train_contract_retention,train_contract_wilson95_lower,train_contracts,train_trade_accuracy,train_trade_retention,train_trade_wilson95_lower,train_trades,train_winning_contracts,train_winning_trades,validation_contract_retention,validation_contract_wilson95_lower,validation_contracts,validation_trade_accuracy,validation_trade_retention,validation_trade_wilson95_lower,validation_trades,validation_winning_contracts,validation_winning_trades
replay_rule_00003,0.5,-30.0,92.0,all,False,False,1.0,0.32871763997591813,1.0,0.2657200811359026,1.0,0.9976601884128163,1638,1.0,0.3320235756385069,0.9777738692536981,169,1638,169,0.9855492895017182,262,1.0,0.2647058823529412,0.8754409628553642,27,262,27,,,,,1.0,0.34465534465534464,0.99630203488193,1035,1.0,0.35081967213114756,0.9653415324210405,107,1035,107,0.34305835010060365,0.9888598127372102,341,1.0,0.3431372549019608,0.9010957324106112,35,341,35
replay_rule_00058,0.55,-30.0,92.0,all,False,False,1.0,0.32871763997591813,1.0,0.2657200811359026,1.0,0.9976601884128163,1638,1.0,0.3320235756385069,0.9777738692536981,169,1638,169,0.9855492895017182,262,1.0,0.2647058823529412,0.8754409628553642,27,262,27,,,,,1.0,0.34465534465534464,0.99630203488193,1035,1.0,0.35081967213114756,0.9653415324210405,107,1035,107,0.34305835010060365,0.9888598127372102,341,1.0,0.3431372549019608,0.9010957324106112,35,341,35
replay_rule_00113,0.6,-30.0,92.0,all,False,False,1.0,0.32871763997591813,1.0,0.2657200811359026,1.0,0.9976601884128163,1638,1.0,0.3320235756385069,0.9777738692536981,169,1638,169,0.9855492895017182,262,1.0,0.2647058823529412,0.8754409628553642,27,262,27,,,,,1.0,0.34465534465534464,0.99630203488193,1035,1.0,0.35081967213114756,0.9653415324210405,107,1035,107,0.34305835010060365,0.9888598127372102,341,1.0,0.3431372549019608,0.9010957324106112,35,341,35
replay_rule_00168,0.65,-30.0,92.0,all,False,False,1.0,0.30664258478828016,1.0,0.24543610547667344,1.0,0.9974921689031033,1528,1.0,0.3104125736738703,0.9762632104477463,158,1528,158,0.9843736780105564,242,1.0,0.24509803921568626,0.8668035060468212,25,242,25,,,,,1.0,0.318015318015318,0.9959934988219117,955,1.0,0.32459016393442625,0.9626454664260378,99,955,99,0.3329979879275654,0.9885271125212639,331,1.0,0.3333333333333333,0.8984820937803899,34,331,34
replay_rule_00223,0.7,-30.0,92.0,all,False,False,1.0,0.25627132249648804,1.0,0.1947261663286004,1.0,0.9970007220252685,1277,1.0,0.2593320235756385,0.9717200032979587,132,1277,132,0.9803841471883398,192,1.0,0.19607843137254902,0.8388698745050667,20,192,20,,,,,1.0,0.2713952713952714,0.9953084943412744,815,1.0,0.2786885245901639,0.9567589957857581,85,815,85,0.2716297786720322,0.9859714521095407,270,1.0,0.2647058823529412,0.8754409628553642,27,270,27
replay_rule_00008,0.5,-20.0,92.0,all,False,False,1.0,0.23600240818783866,1.0,0.1744421906693712,1.0,0.9967439696989833,1176,1.0,0.23772102161100198,0.9692282059826209,121,1176,121,0.9781530650312552,172,1.0,0.17647058823529413,0.8241154494176252,18,172,18,,,,,1.0,0.2544122544122544,0.9949968847741514,764,1.0,0.25901639344262295,0.9536271631644004,79,764,79,0.2414486921529175,0.9842455102000642,240,1.0,0.23529411764705882,0.8620194241710247,24,240,24
replay_rule_00063,0.55,-20.0,92.0,all,False,False,1.0,0.23600240818783866,1.0,0.1744421906693712,1.0,0.9967439696989833,1176,1.0,0.23772102161100198,0.9692282059826209,121,1176,121,0.9781530650312552,172,1.0,0.17647058823529413,0.8241154494176252,18,172,18,,,,,1.0,0.2544122544122544,0.9949968847741514,764,1.0,0.25901639344262295,0.9536271631644004,79,764,79,0.2414486921529175,0.9842455102000642,240,1.0,0.23529411764705882,0.8620194241710247,24,240,24
replay_rule_00118,0.6,-20.0,92.0,all,False,False,1.0,0.23600240818783866,1.0,0.1744421906693712,1.0,0.9967439696989833,1176,1.0,0.23772102161100198,0.9692282059826209,121,1176,121,0.9781530650312552,172,1.0,0.17647058823529413,0.8241154494176252,18,172,18,,,,,1.0,0.2544122544122544,0.9949968847741514,764,1.0,0.25901639344262295,0.9536271631644004,79,764,79,0.2414486921529175,0.9842455102000642,240,1.0,0.23529411764705882,0.8620194241710247,24,240,24
replay_rule_00173,0.65,-20.0,92.0,all,False,False,1.0,0.23600240818783866,1.0,0.1744421906693712,1.0,0.9967439696989833,1176,1.0,0.23772102161100198,0.9692282059826209,121,1176,121,0.9781530650312552,172,1.0,0.17647058823529413,0.8241154494176252,18,172,18,,,,,1.0,0.2544122544122544,0.9949968847741514,764,1.0,0.25901639344262295,0.9536271631644004,79,764,79,0.2414486921529175,0.9842455102000642,240,1.0,0.23529411764705882,0.8620194241710247,24,240,24
replay_rule_00228,0.7,-20.0,92.0,all,False,False,1.0,0.23600240818783866,1.0,0.1744421906693712,1.0,0.9967439696989833,1176,1.0,0.23772102161100198,0.9692282059826209,121,1176,121,0.9781530650312552,172,1.0,0.17647058823529413,0.8241154494176252,18,172,18,,,,,1.0,0.2544122544122544,0.9949968847741514,764,1.0,0.25901639344262295,0.9536271631644004,79,764,79,0.2414486921529175,0.9842455102000642,240,1.0,0.23529411764705882,0.8620194241710247,24,240,24
