lock_name,market,registry_entry_dt,selected_entry_dt,registry_side,selected_side,registry_ask,selected_ask,registry_win,selected_win,registry_net,selected_net,entry_dt_diff_sec,ask_diff,net_diff,mismatch_reasons
challenger,KXBTC15M-26MAY021800-00,,2026-05-02 21:46:06.397000+00:00,,yes,,73.0,,False,,-75.0,,,,selected_only
challenger,KXBTC15M-26MAY021900-00,,2026-05-02 22:46:11.473000+00:00,,yes,,63.0,,True,,35.0,,,,selected_only
challenger,KXBTC15M-26MAY021915-15,,2026-05-02 23:02:13.023000+00:00,,no,,73.0,,True,,25.0,,,,selected_only
challenger,KXBTC15M-26MAY021930-30,,2026-05-02 23:17:14.231000+00:00,,no,,59.0,,False,,-61.0,,,,selected_only
challenger,KXBTC15M-26MAY021945-45,,2026-05-02 23:32:00.662000+00:00,,yes,,54.0,,False,,-56.0,,,,selected_only
challenger,KXBTC15M-26MAY022000-00,,2026-05-02 23:47:02.248000+00:00,,no,,65.0,,True,,33.0,,,,selected_only
challenger,KXBTC15M-26MAY022245-45,2026-05-03 02:32:28.885000+00:00,2026-05-03 02:32:58.924000+00:00,yes,yes,74.0,75.0,True,True,24.0,23.0,30.039,1.0,-1.0,"entry_dt,ask,net"
challenger,KXBTC15M-26MAY022330-30,2026-05-03 03:24:02.855000+00:00,2026-05-03 03:23:17.809000+00:00,no,no,68.0,54.0,True,True,30.0,44.0,45.046,-14.0,14.0,"entry_dt,ask,net"
challenger,KXBTC15M-26MAY030000-00,,2026-05-03 03:46:04.913000+00:00,,yes,,61.0,,True,,37.0,,,,selected_only
challenger,KXBTC15M-26MAY030030-30,,2026-05-03 04:16:07.617000+00:00,,yes,,68.0,,True,,30.0,,,,selected_only
challenger,KXBTC15M-26MAY030045-45,,2026-05-03 04:36:09.624000+00:00,,no,,75.0,,True,,23.0,,,,selected_only
challenger,KXBTC15M-26MAY030100-00,,2026-05-03 04:46:10.814000+00:00,,no,,53.0,,True,,45.0,,,,selected_only
challenger,KXBTC15M-26MAY030115-15,,2026-05-03 05:01:12.326000+00:00,,yes,,68.0,,True,,30.0,,,,selected_only
challenger,KXBTC15M-26MAY030130-30,,2026-05-03 05:16:14.006000+00:00,,yes,,53.0,,False,,-55.0,,,,selected_only
challenger,KXBTC15M-26MAY030145-45,,2026-05-03 05:30:45.444000+00:00,,no,,60.0,,True,,38.0,,,,selected_only
challenger,KXBTC15M-26MAY030200-00,,2026-05-03 05:50:01.975000+00:00,,yes,,71.0,,True,,27.0,,,,selected_only
challenger,KXBTC15M-26MAY030215-15,,2026-05-03 06:01:02.905000+00:00,,no,,76.0,,True,,22.0,,,,selected_only
challenger,KXBTC15M-26MAY030230-30,,2026-05-03 06:15:49.658000+00:00,,no,,50.0,,True,,48.0,,,,selected_only
challenger,KXBTC15M-26MAY030300-00,,2026-05-03 06:48:07.752000+00:00,,yes,,58.0,,True,,40.0,,,,selected_only
challenger,KXBTC15M-26MAY030315-15,,2026-05-03 07:01:09.059000+00:00,,yes,,69.0,,True,,29.0,,,,selected_only
challenger,KXBTC15M-26MAY030330-30,,2026-05-03 07:17:10.413000+00:00,,no,,61.0,,False,,-63.0,,,,selected_only
challenger,KXBTC15M-26MAY030345-45,,2026-05-03 07:32:11.719000+00:00,,yes,,66.0,,True,,32.0,,,,selected_only
challenger,KXBTC15M-26MAY030400-00,,2026-05-03 07:45:28.008000+00:00,,no,,55.0,,True,,43.0,,,,selected_only
challenger,KXBTC15M-26MAY030415-15,,2026-05-03 08:02:14.528000+00:00,,yes,,65.0,,True,,33.0,,,,selected_only
challenger,KXBTC15M-26MAY030430-30,,2026-05-03 08:16:00.800000+00:00,,yes,,65.0,,False,,-67.0,,,,selected_only
challenger,KXBTC15M-26MAY030445-45,,2026-05-03 08:34:02.927000+00:00,,no,,66.0,,False,,-68.0,,,,selected_only
challenger,KXBTC15M-26MAY030500-00,,2026-05-03 08:49:04.453000+00:00,,yes,,59.0,,False,,-61.0,,,,selected_only
challenger,KXBTC15M-26MAY030515-15,,2026-05-03 09:00:35.435000+00:00,,no,,54.0,,False,,-56.0,,,,selected_only
challenger,KXBTC15M-26MAY030530-30,,2026-05-03 09:20:07.255000+00:00,,yes,,68.0,,True,,30.0,,,,selected_only
challenger,KXBTC15M-26MAY030545-45,2026-05-03 09:33:08.638000+00:00,2026-05-03 09:34:38.805000+00:00,no,no,72.0,66.0,False,False,-74.0,-68.0,90.167,-6.0,6.0,"entry_dt,ask,net"
challenger,KXBTC15M-26MAY030615-15,,2026-05-03 10:02:11.218000+00:00,,no,,70.0,,True,,28.0,,,,selected_only
challenger,KXBTC15M-26MAY030630-30,,2026-05-03 10:19:13.073000+00:00,,no,,58.0,,True,,40.0,,,,selected_only
challenger,KXBTC15M-26MAY030945-45,,2026-05-03 13:32:01.053000+00:00,,yes,,73.0,,False,,-75.0,,,,selected_only
challenger,KXBTC15M-26MAY031100-00,,2026-05-03 14:49:38.281000+00:00,,no,,74.0,,False,,-76.0,,,,selected_only
challenger,KXBTC15M-26MAY031115-15,,2026-05-03 15:01:09.202000+00:00,,yes,,56.0,,False,,-58.0,,,,selected_only
challenger,KXBTC15M-26MAY031130-30,,2026-05-03 15:16:10.843000+00:00,,yes,,69.0,,True,,29.0,,,,selected_only
challenger,KXBTC15M-26MAY031145-45,,2026-05-03 15:31:12.213000+00:00,,yes,,54.0,,False,,-56.0,,,,selected_only
challenger,KXBTC15M-26MAY031200-00,,2026-05-03 15:45:13.647000+00:00,,no,,52.0,,True,,46.0,,,,selected_only
challenger,KXBTC15M-26MAY031215-15,,2026-05-03 16:05:00.806000+00:00,,yes,,74.0,,False,,-76.0,,,,selected_only
challenger,KXBTC15M-26MAY031230-30,,2026-05-03 16:17:02.095000+00:00,,no,,59.0,,False,,-61.0,,,,selected_only
challenger,KXBTC15M-26MAY031245-45,,2026-05-03 16:31:03.557000+00:00,,yes,,57.0,,True,,41.0,,,,selected_only
challenger,KXBTC15M-26MAY031300-00,,2026-05-03 16:48:05.106000+00:00,,yes,,63.0,,False,,-65.0,,,,selected_only
challenger,KXBTC15M-26MAY031315-15,,2026-05-03 17:00:21.050000+00:00,,no,,64.0,,False,,-66.0,,,,selected_only
