model,split,side_rows,opportunities,brier,logloss,ece10,side_choice_wins,side_choice_accuracy,high_p_rows,high_p_mean_pred,high_p_realized,high_p_overconfidence
v28_live_surface,all,9796,4898,0.15081637420193264,0.4510374295628187,0.024945144889085377,3760,0.7676602694977542,1957,0.9347181724313073,0.9524782830863566,-0.017760110655049344
v28_live_surface,train,5876,2938,0.1536732773138903,0.45997936075678325,0.03259962481419176,2248,0.765146358066712,1115,0.9286912595128795,0.9506726457399103,-0.02198138622703083
v28_live_surface,validation,1964,982,0.140475025497193,0.4210097007520474,0.0171222057033783,762,0.7759674134419552,468,0.9432177506454967,0.9551282051282052,-0.011910454482708444
v28_live_surface,holdout,1956,978,0.15261762480021762,0.4543256052727465,0.027313738950607274,750,0.7668711656441718,374,0.9420502721634096,0.9545454545454546,-0.012495182382044945
v28_avg60,all,9796,4898,0.15006457221195324,0.44829607700808694,0.01811905971555396,3759,0.7674561045324623,2043,0.9381794092423577,0.9500734214390602,-0.011894012196702497
v28_avg60,train,5876,2938,0.15276679307570148,0.45686042576626784,0.025021638363675915,2248,0.765146358066712,1165,0.9331491601338423,0.9502145922746781,-0.01706543214083578
v28_avg60,validation,1964,982,0.14009402907386748,0.41892632849149525,0.01025679825041183,762,0.7759674134419552,485,0.9457869366453786,0.9484536082474226,-0.002666671602044035
v28_avg60,holdout,1956,978,0.15195818004825984,0.4520578729096801,0.0196300939237098,749,0.7658486707566462,393,0.9437025375399539,0.9516539440203562,-0.007951406480402268
v28_avg30,all,9796,4898,0.15026083367118295,0.448779971790916,0.020483287889264262,3760,0.7676602694977542,2004,0.9376497971584592,0.9515968063872255,-0.01394700922876635
v28_avg30,train,5876,2938,0.15307824975960407,0.4575718757516956,0.027915064622256017,2248,0.765146358066712,1144,0.9322163664526418,0.951048951048951,-0.01883258459630921
v28_avg30,validation,1964,982,0.14010089371516946,0.4192099012951474,0.01480853120545899,762,0.7759674134419552,476,0.9455414964439693,0.9537815126050421,-0.008240016161072727
v28_avg30,holdout,1956,978,0.15199855613439767,0.45205931268056204,0.02289944373409851,750,0.7668711656441718,384,0.9440544738968762,0.9505208333333334,-0.006466359436457125
v28_avg45,all,9796,4898,0.149977948545117,0.4475529962709209,0.01875881086158888,3760,0.7676602694977542,2040,0.9386424466484057,0.9495098039215686,-0.010867357273162903
v28_avg45,train,5876,2938,0.15278986139855222,0.45631673362974884,0.02535165734852212,2248,0.765146358066712,1164,0.9336966761587648,0.9493127147766323,-0.015616038617867423
v28_avg45,validation,1964,982,0.13989527071307345,0.41817831085664625,0.009806107327823707,762,0.7759674134419552,482,0.9464283450646556,0.9481327800829875,-0.0017044350183319512
v28_avg45,holdout,1956,978,0.151654625096931,0.45072076796476673,0.020843159646823043,750,0.7668711656441718,394,0.9437289284080741,0.9517766497461929,-0.008047721338118818
v28_avg75,all,9796,4898,0.1497927351792415,0.4471860592134734,0.017370639505255917,3759,0.7674561045324623,2070,0.9396436562755955,0.9492753623188406,-0.009631706043245036
v28_avg75,train,5876,2938,0.1524560548532507,0.45562422470448694,0.022460620218382316,2248,0.765146358066712,1178,0.9353339942200536,0.9507640067911715,-0.015430012571117868
v28_avg75,validation,1964,982,0.1399428930257674,0.41812207745232505,0.011554691400062404,762,0.7759674134419552,493,0.9459108242008724,0.947261663286004,-0.001350839085131672
v28_avg75,holdout,1956,978,0.15168201104066556,0.45101990366833006,0.019658885812171248,749,0.7658486707566462,399,0.9446237768627309,0.9473684210526315,-0.0027446441899006135
v28_avg90,all,9796,4898,0.14958008118933838,0.4463610481309747,0.016423614496366187,3759,0.7674561045324623,2107,0.9403244656912366,0.9473184622686284,-0.006993996577391748
v28_avg90,train,5876,2938,0.15219464200167918,0.4546499090224425,0.02034080325804588,2248,0.765146358066712,1202,0.936084222349564,0.9492512479201332,-0.013167025570569146
v28_avg90,validation,1964,982,0.1398632573398406,0.41760584350858687,0.015032044283743813,762,0.7759674134419552,498,0.9468788396092298,0.9457831325301205,0.0010957070791093315
v28_avg90,holdout,1956,978,0.15148227071239526,0.4503333770062844,0.017787794018824146,749,0.7658486707566462,407,0.9448274000537177,0.9434889434889435,0.0013384565647741598
v30_avg60_exact_var,all,9796,4898,0.14973950187422355,0.44647013080648557,0.016937072461579585,3759,0.7674561045324623,2065,0.9405280759872102,0.949636803874092,-0.009108727886881773
v30_avg60_exact_var,train,5876,2938,0.15256305167229,0.4552841131613351,0.023122349967151692,2248,0.765146358066712,1178,0.9360603257874412,0.9490662139219015,-0.013005888134460242
v30_avg60_exact_var,validation,1964,982,0.1397172849212778,0.4172150652367402,0.010934443763190372,762,0.7759674134419552,488,0.9471319149974429,0.9487704918032787,-0.0016385768058357897
v30_avg60_exact_var,holdout,1956,978,0.1513205118344214,0.44936685292401324,0.017744764470979803,749,0.7658486707566462,399,0.945641700795065,0.9523809523809523,-0.006739251585887285
v30_avg75_exact_var,all,9796,4898,0.14954081454673143,0.44564390450781327,0.01730597089085042,3759,0.7674561045324623,2089,0.9421581979081949,0.948779320248923,-0.006621122340728092
v30_avg75_exact_var,train,5876,2938,0.1523718421491294,0.454517957602994,0.02181320410920574,2248,0.765146358066712,1191,0.9381763273779836,0.9496221662468514,-0.011445838868867741
v30_avg75_exact_var,validation,1964,982,0.13957052381313712,0.41643858796491395,0.011703133169037297,762,0.7759674134419552,495,0.9474618222023156,0.9474747474747475,-1.2925272431907331e-05
v30_avg75_exact_var,holdout,1956,978,0.15104722191334122,0.4483102162168997,0.017843032666439686,749,0.7658486707566462,403,0.9474115819674803,0.9478908188585607,-0.00047923689108042566
v30_avg90_exact_var,all,9796,4898,0.14940408327756508,0.4451591594348795,0.016088217767140818,3759,0.7674561045324623,2123,0.9428820951789989,0.946773433820066,-0.0038913386410670547
v30_avg90_exact_var,train,5876,2938,0.15223074949922719,0.4540800390986593,0.020175796498035345,2248,0.765146358066712,1213,0.9389758988956238,0.9480626545754328,-0.009086755679808989
v30_avg90_exact_var,validation,1964,982,0.13950419717322157,0.4159845736695305,0.01595885165398997,762,0.7759674134419552,500,0.9483259254217397,0.946,0.002325925421739705
v30_avg90_exact_var,holdout,1956,978,0.15085290004159574,0.447653943452658,0.01604212575221729,749,0.7658486707566462,410,0.9477999024237881,0.9439024390243902,0.0038974633993978935
v31_avg90_final60_exact,all,9796,4898,0.14939803747129013,0.445146968412642,0.01609347317123138,3759,0.7674561045324623,2123,0.9428818519202782,0.946773433820066,-0.003891581899787777
v31_avg90_final60_exact,train,5876,2938,0.15222067041170692,0.4540597151956917,0.020184557889878593,2248,0.765146358066712,1213,0.9389754731427266,0.9480626545754328,-0.00908718143270626
v31_avg90_final60_exact,validation,1964,982,0.13950419717322157,0.4159845736695305,0.01595885165398997,762,0.7759674134419552,500,0.9483259254217397,0.946,0.002325925421739705
v31_avg90_final60_exact,holdout,1956,978,0.15085290004159574,0.447653943452658,0.01604212575221729,749,0.7658486707566462,410,0.9477999024237881,0.9439024390243902,0.0038974633993978935
