dataset,split,feature,bucket,rows,brier_delta,logloss_delta,candidate_brier,candidate_logloss,candidate_side_accuracy,mean_p_yes,yes_rate
all_heartbeats,all,seconds_to_close,"(-0.001, 60.0]",1317,3.120304853226202e-05,0.0024999732037061934,0.023812552639234957,0.12521947854755724,0.9726651480637813,0.5089435940817276,0.49506454062262717
all_heartbeats,all,seconds_to_close,"(120.0, 180.0]",1309,-6.195452936759438e-05,-0.00020482606046751117,0.06035023684199006,0.2027975960350946,0.9266615737203973,0.5016574387403654,0.4965622612681436
all_heartbeats,all,seconds_to_close,"(180.0, 300.0]",2617,-0.00010672035402942148,1.6011057708542609e-06,0.09117278965982656,0.3006163841929346,0.8784868169659916,0.5022756143816809,0.49636988918609093
all_heartbeats,all,seconds_to_close,"(300.0, 600.0]",6512,0.00010291762916858627,0.00037259194972694143,0.16065110615550462,0.48709950023763876,0.7618243243243243,0.5109037383432733,0.4963144963144963
all_heartbeats,all,seconds_to_close,"(60.0, 90.0]",657,-9.037429952537396e-05,-0.0004402016446371504,0.04014428181823531,0.1408396878455559,0.9421613394216134,0.5126643914239379,0.4946727549467275
all_heartbeats,all,seconds_to_close,"(600.0, 900.0]",5955,-0.0005196865084489966,-0.0015975850744924802,0.22371395109127148,0.6399505440218599,0.6305625524769102,0.5039380837353562,0.4950461796809404
all_heartbeats,all,seconds_to_close,"(90.0, 120.0]",654,-0.0001548199535327116,-0.000744589722938116,0.04144974074487779,0.14876296732031766,0.944954128440367,0.5134064641260176,0.4969418960244648
all_heartbeats,validation,seconds_to_close,"(-0.001, 60.0]",264,-1.1937134230750109e-05,-8.261805874081301e-05,0.00045131404413324775,0.00309786851099079,1.0,0.517702345616141,0.5151515151515151
all_heartbeats,validation,seconds_to_close,"(120.0, 180.0]",263,1.20076853480644e-05,-0.00040821373370766856,0.040200476611155216,0.1251675498218166,0.9391634980988594,0.5269012890495693,0.5171102661596958
all_heartbeats,validation,seconds_to_close,"(180.0, 300.0]",527,-6.766578943100815e-05,-1.2991759812175374e-05,0.05689222721128046,0.20859851725921563,0.9316888045540797,0.535148777178382,0.5142314990512334
all_heartbeats,validation,seconds_to_close,"(300.0, 600.0]",1303,0.0004732246249323502,0.0008811180986805223,0.14454809503342744,0.43785617040542785,0.7851112816577129,0.5277401521193699,0.5203376822716808
all_heartbeats,validation,seconds_to_close,"(60.0, 90.0]",131,2.7280279886892495e-05,-0.00041484976424337183,0.026862987168781684,0.08415349516176167,0.9389312977099237,0.5219993383297646,0.5190839694656488
all_heartbeats,validation,seconds_to_close,"(600.0, 900.0]",1198,-0.0025168053378110677,-0.007243565087514114,0.23424456480788622,0.6750278621084643,0.6118530884808013,0.503820295282204,0.5208681135225376
all_heartbeats,validation,seconds_to_close,"(90.0, 120.0]",132,-2.396747035916108e-05,-0.0006132193499426841,0.02815462044905992,0.0917507961012702,0.9393939393939394,0.5172270795753766,0.5151515151515151
all_heartbeats,holdout,seconds_to_close,"(-0.001, 60.0]",263,-1.5449483031143574e-05,-0.0001585439054158158,0.010342811106691984,0.03296341031841247,0.9847908745247148,0.4602643465807934,0.44106463878326996
