model,market,split,entry_dt,side,outcome,win,entry_ask_cents,entry_bid_cents,entry_p_side,entry_p_yes,entry_edge_cents,entry_seconds_to_close,exit_type,exit_dt,exit_seconds_to_close,exit_bid_cents,exit_p_side,exit_fair_edge_to_bid_cents,pnl_cents,settled,cost_cents,entry_fee_cents,exit_fee_cents,total_fee_cents,entry_policy,exit_policy,veto_policy
v41_v38_physics_path_l210,KXBTC15M-26APR302245-45,train,2026-05-01 02:32:00.123000+00:00,no,no,True,72.0,71.0,0.7438740316801491,0.25612596831985096,2.387403168014913,779.877,probability_reduce,2026-05-01 02:38:00.527000+00:00,419.473,42.0,0.3517659708097618,-6.82340291902382,-60.0,False,144.0,3.0,4.0,7.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26APR302300-00,train,2026-05-01 02:52:01.951000+00:00,yes,no,False,70.0,69.0,0.7385289276048775,0.7385289276048775,3.852892760487748,478.049,probability_reduce,2026-05-01 02:54:02.084000+00:00,357.916,26.0,0.1700230740433108,-8.99769259566892,-88.0,False,140.0,3.0,3.0,6.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26APR302315-15,train,2026-05-01 03:02:02.767000+00:00,no,yes,False,65.0,64.0,0.6678267545839174,0.33217324541608256,1.7826754583917364,777.233,probability_reduce,2026-05-01 03:08:03.262000+00:00,416.738,10.0,0.1305894122268324,3.0589412226832398,-110.0,False,130.0,4.0,2.0,6.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26APR302330-30,train,2026-05-01 03:18:04.220000+00:00,yes,yes,True,94.0,94.0,0.9481465772232246,0.9481465772232246,0.8146577223224654,715.78,settlement_win,,,,,,12.0,True,188.0,1.0,0.0,1.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26APR302345-45,train,2026-05-01 03:32:05.012000+00:00,no,no,True,57.0,56.0,0.6698911442717318,0.3301088557282682,9.989114427173178,774.988,probability_reduce,2026-05-01 03:36:05.521000+00:00,534.479,48.0,0.4797782572759959,-0.02217427240041303,-18.0,False,114.0,4.0,4.0,8.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010000-00,train,2026-05-01 03:55:07.114000+00:00,no,no,True,64.0,63.0,0.6834142869613147,0.31658571303868527,4.341428696131473,292.886,settlement_win,,,,,,72.0,True,128.0,4.0,0.0,4.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010030-30,train,2026-05-01 04:19:38.999000+00:00,yes,no,False,71.0,69.0,0.7017200498170147,0.7017200498170147,-0.8279950182985232,621.001,probability_reduce,2026-05-01 04:21:09.214000+00:00,530.786,37.0,0.35083154651210713,-1.9168453487892876,-68.0,False,142.0,3.0,4.0,7.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010045-45,train,2026-05-01 04:32:55.231000+00:00,yes,yes,True,68.0,67.0,0.6767173655464674,0.6767173655464674,-0.328263445353258,724.769,settlement_win,,,,,,64.0,True,136.0,4.0,0.0,4.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010100-00,train,2026-05-01 04:53:27.322000+00:00,yes,no,False,73.0,71.0,0.7757753610850833,0.7757753610850833,4.577536108508326,392.678,probability_reduce,2026-05-01 04:55:12.501000+00:00,287.499,45.0,0.2660995822856489,-18.39004177143511,-56.0,False,146.0,3.0,4.0,7.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010130-30,train,2026-05-01 05:17:14.474000+00:00,no,no,True,64.0,63.0,0.6712120047052756,0.3287879952947244,3.121200470527569,765.526,settlement_win,,,,,,72.0,True,128.0,4.0,0.0,4.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010145-45,train,2026-05-01 05:39:01.651000+00:00,no,yes,False,73.0,72.0,0.789310520663495,0.21068947933650495,5.931052066349508,358.349,probability_reduce,2026-05-01 05:40:01.727000+00:00,298.273,33.0,0.29855421291465056,-3.1445787085349437,-80.0,False,146.0,3.0,4.0,7.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010200-00,train,2026-05-01 05:48:02.363000+00:00,yes,yes,True,68.0,66.0,0.6924405129223757,0.6924405129223757,1.2440512922375717,717.637,probability_reduce,2026-05-01 05:52:02.713000+00:00,477.287,60.0,0.5164156763818208,-8.358432361817918,-16.0,False,136.0,4.0,4.0,8.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
v41_v38_physics_path_l210,KXBTC15M-26MAY010230-30,train,2026-05-01 06:17:04.734000+00:00,yes,yes,True,63.0,62.0,0.7150755416724612,0.7150755416724612,8.507554167246127,775.266,probability_reduce,2026-05-01 06:20:05.112000+00:00,594.888,46.0,0.4754040197214701,1.5404019721470092,-34.0,False,126.0,4.0,4.0,8.0,edge-3_ask95_p0.65_stc0-780,prob52,block_first_edge_10_20
