dataset,block_kind,block,rows,base_brier,candidate_brier,brier_delta,base_logloss,candidate_logloss,logloss_delta,base_side_accuracy,candidate_side_accuracy
all_heartbeats,block20,5,929,0.22926858880709486,0.22863096575061845,-0.0006376230564764107,0.6931432583538284,0.6931294535514735,-1.3804802354910883e-05,0.5801937567276642,0.589881593110872
all_heartbeats,block20,6,988,0.11791971369560798,0.11834411063428683,0.0004243969386788504,0.3627390971262555,0.36351784378332824,0.0007787466570727264,0.8168016194331984,0.8087044534412956
all_heartbeats,block20,7,933,0.15232045586463008,0.15157048992089628,-0.0007499659437338047,0.45058577541653994,0.4475893404760628,-0.002996434940477133,0.7759914255091104,0.7759914255091104
all_heartbeats,block20,8,986,0.14909504502008347,0.14965324673981775,0.0005582017197342803,0.4337618552035005,0.43539915363705495,0.0016372984335544238,0.7525354969574036,0.7494929006085193
all_heartbeats,block20,9,872,0.14602124658090976,0.14631869628199093,0.0002974497010811705,0.4278013634661009,0.4282229094321572,0.00042154596605625816,0.7809633027522935,0.783256880733945
all_heartbeats,block20,10,930,0.1620145870448965,0.16075088713651103,-0.0012636999083854572,0.5259249499018385,0.5250907004219245,-0.000834249479913951,0.7752688172043011,0.7752688172043011
all_heartbeats,block20,11,932,0.10823051659556253,0.10756168469111965,-0.0006688319044428764,0.35899269630936537,0.3573210865117631,-0.0016716097976022803,0.8991416309012875,0.8991416309012875
all_heartbeats,block20,12,931,0.1411941232065301,0.1402036707941341,-0.000990452412396009,0.4100510231152286,0.4071312791161857,-0.002919743999042934,0.7475832438238453,0.7604726100966702
all_heartbeats,block20,13,988,0.15536976486782406,0.15354923819949332,-0.0018205266683307408,0.4806433149385831,0.47510399361323896,-0.0055393213253441265,0.7732793522267206,0.7753036437246964
all_heartbeats,block20,14,934,0.15381945216846565,0.15209338895746946,-0.0017260632109961926,0.44996086723626966,0.44393593593420344,-0.0060249313020662165,0.7419700214132763,0.7505353319057816
all_heartbeats,block20,15,965,0.09397930913423491,0.0918559900700481,-0.002123319064186807,0.28696161451358204,0.2814408061959064,-0.005520808317675652,0.877720207253886,0.8756476683937824
all_heartbeats,block20,16,929,0.11363561759713883,0.1142370798254394,0.0006014622283005699,0.3423423384138939,0.34316219193399494,0.0008198535201010548,0.8417653390742734,0.8363832077502691
all_heartbeats,block20,17,993,0.12447970278963022,0.12484318646220463,0.0003634836725744106,0.38052470473867966,0.3801783247063718,-0.0003463800323078581,0.7955689828801611,0.7854984894259819
all_heartbeats,block20,18,931,0.17279464481630044,0.17247641671671282,-0.00031822809958761966,0.4953486562681995,0.4950483541044457,-0.00030030216375381835,0.7422126745435016,0.7411385606874329
all_heartbeats,block20,19,952,0.17839176267721707,0.1772052646464578,-0.0011864980307592643,0.5371318278285033,0.5350785533265254,-0.0020532745019778975,0.7132352941176471,0.7163865546218487
minute_bucket,block10,0,494,0.15392697300042704,0.15342225272335897,-0.000504720277068077,0.4481546285861564,0.44702064326543994,-0.0011339853207164574,0.7368421052631579,0.742914979757085
minute_bucket,block10,1,493,0.17380275905152417,0.17453403243605412,0.0007312733845299402,0.5152828785841022,0.5169219765738013,0.0016390979896991897,0.742393509127789,0.7363083164300203
minute_bucket,block10,2,495,0.15876905056430562,0.15911939814138884,0.0003503475770832154,0.4744494339029326,0.4752735408628957,0.0008241069599631001,0.7434343434343434,0.7454545454545455
minute_bucket,block10,3,495,0.137622935083753,0.1376375676296475,1.4632545894482929e-05,0.4119091642296422,0.41111815501166726,-0.0007910092179749251,0.7878787878787878,0.7838383838383839
minute_bucket,block10,4,480,0.1506332348039488,0.1512302344407391,0.0005969996367903019,0.43968022870806683,0.4410070605838847,0.001326831875817891,0.75625,0.75625
minute_bucket,block10,5,481,0.1380722327031726,0.13696247692393596,-0.0011097557792366375,0.43726555079475415,0.43530181664806306,-0.0019637341466910985,0.8253638253638254,0.8253638253638254
minute_bucket,block10,6,493,0.1522985455063994,0.15043411535729131,-0.0018644301491080872,0.4548177312126939,0.4494078105516414,-0.005409920661052503,0.7484787018255578,0.7565922920892495
minute_bucket,block10,7,489,0.12671308533550812,0.12436872875634564,-0.0023443565791624876,0.37672476155048246,0.37000395311409845,-0.006720808436384007,0.803680981595092,0.8077709611451943
minute_bucket,block10,8,495,0.12355330500256419,0.12440561584584685,0.0008523108432826609,0.37446313341608517,0.3754940632956373,0.0010309298795521116,0.8121212121212121,0.8
minute_bucket,block10,9,483,0.17835496298852768,0.17726904084613243,-0.0010859221423952514,0.5209401328431289,0.5188231063684068,-0.002117026474722117,0.7184265010351967,0.722567287784679
minute_bucket,block20,0,254,0.14961871741537794,0.1497853857049913,0.00016666828961336977,0.4372462636018512,0.4375174341520433,0.00027117055019210135,0.7362204724409449,0.7440944881889764
minute_bucket,block20,1,240,0.15848654349460406,0.15727127031779808,-0.0012152731768059755,0.4596993148612127,0.4570782062437847,-0.0026211086174279807,0.7375,0.7416666666666667
minute_bucket,block20,2,254,0.16186224444712116,0.16429189837834207,0.0024296539312209098,0.4888532360464986,0.4944155143479798,0.005562278301481205,0.7440944881889764,0.7322834645669292
minute_bucket,block20,3,239,0.18649267833821198,0.1854189782547105,-0.0010737000835014943,0.543371285297706,0.5408409782698629,-0.0025303070278430706,0.7405857740585774,0.7405857740585774
minute_bucket,block20,4,255,0.09249360158200216,0.09406362828938575,0.0015700267073835844,0.3068367907626925,0.3095284026509305,0.0026916118882380213,0.9019607843137255,0.8941176470588236
minute_bucket,block20,5,240,0.2291867151080031,0.22824115360914213,-0.000945561498860964,0.6525378672394377,0.6513777502131087,-0.0011601170263290106,0.575,0.5875
minute_bucket,block20,6,255,0.12142668369985105,0.12213737343789433,0.0007106897380432797,0.3684891516406741,0.3697572203379563,0.001268068697282243,0.803921568627451,0.796078431372549
minute_bucket,block20,7,240,0.15483145217914884,0.15410652395838523,-0.0007249282207636154,0.4580429276054208,0.4550641481024852,-0.0029787795029356245,0.7708333333333334,0.7708333333333334
minute_bucket,block20,8,254,0.15149186438762738,0.1522580080474468,0.0007661436598194182,0.44078753936377113,0.4427681659189643,0.0019806265551931546,0.7440944881889764,0.7401574803149606
minute_bucket,block20,9,226,0.14966822633379673,0.15007512605089948,0.0004068997171027544,0.43843572912156736,0.4390277652072909,0.0005920360857235574,0.7699115044247787,0.7743362831858407
minute_bucket,block20,10,240,0.16278776858412425,0.16113424841784818,-0.001653520166276068,0.5120957186894456,0.5098573491624325,-0.002238369527013062,0.7625,0.7625
minute_bucket,block20,11,241,0.11345925091301327,0.11289100323705244,-0.0005682476759608368,0.3627458815220324,0.36105564318976985,-0.0016902383322625614,0.8879668049792531,0.8879668049792531
minute_bucket,block20,12,239,0.1458577848446916,0.14445139256915374,-0.0014063922755378766,0.42267842914907755,0.4188708276141142,-0.003807601534963345,0.7322175732217573,0.7447698744769874
minute_bucket,block20,13,254,0.15835894628651023,0.1560635277445546,-0.0022954185419556405,0.48505904299696284,0.4781414283550627,-0.0069176146419001605,0.7637795275590551,0.7677165354330708
minute_bucket,block20,14,240,0.15557271620085267,0.1534804473882976,-0.0020922688125550593,0.45507397701700997,0.44804310606244896,-0.007030870954561008,0.7333333333333333,0.7416666666666667
minute_bucket,block20,15,249,0.09889657365806759,0.09630924091831963,-0.002587332739747955,0.30120744543816674,0.2947854924409896,-0.006421952997177127,0.8714859437751004,0.8714859437751004
minute_bucket,block20,16,240,0.11817629451971418,0.11938644828130675,0.0012101537615925723,0.35474438772276873,0.35685694906191817,0.0021125613391494436,0.8333333333333334,0.8208333333333333
minute_bucket,block20,17,255,0.1286140207511289,0.12912953825953166,0.0005155175084027575,0.3930219528921477,0.39303487669207887,1.2923799931174873e-05,0.792156862745098,0.7803921568627451
minute_bucket,block20,18,239,0.17655241430160842,0.1759101692418638,-0.0006422450597446117,0.5034454092677029,0.5023322272432129,-0.001113182024489956,0.7280334728033473,0.7322175732217573
minute_bucket,block20,19,244,0.1801205742023543,0.17860006672080536,-0.0015205074815489439,0.5380763579846322,0.5349760576426748,-0.003100300341957407,0.7090163934426229,0.7131147540983607
