dataset,block_kind,block,rows,base_brier,candidate_brier,brier_delta,base_logloss,candidate_logloss,logloss_delta,base_side_accuracy,candidate_side_accuracy
all_heartbeats,block10,0,1917,0.15114918474557246,0.15083857147399132,-0.00031061327158113383,0.44267492765324307,0.442159311961593,-0.0005156156916500398,0.747000521648409,0.7532603025560772
all_heartbeats,block10,1,1919,0.17229278674784718,0.173016626358114,0.0007238396102668132,0.5144250473097393,0.516198296108257,0.0017732487985177015,0.7483064095883273,0.7430953621677957
all_heartbeats,block10,2,1921,0.15598465420440863,0.15627954419965898,0.000294889995250347,0.4859020872574557,0.48683827985175376,0.0009361925942980576,0.7496095783446122,0.7522123893805309
all_heartbeats,block10,3,1921,0.13462762230763173,0.1344816493507921,-0.00014597295683962952,0.4054048706009225,0.40435006992300626,-0.0010548006779162455,0.7969807391983342,0.7928162415408642
all_heartbeats,block10,4,1858,0.1476524442456166,0.14808826934518643,0.0004358250995698254,0.43096446618573275,0.43203118542033225,0.0010667192345995002,0.7658772874058127,0.7653390742734123
all_heartbeats,block10,5,1862,0.1350936667125768,0.13412772028414544,-0.000965946428431369,0.4423691709822977,0.4411157916333797,-0.0012533793489180045,0.8372717508055854,0.8372717508055854
all_heartbeats,block10,6,1919,0.14849247336878046,0.1470746559929329,-0.0014178173758475632,0.44639556940052,0.4421271321245695,-0.0042684372759504985,0.7608129233976029,0.7681083897863471
all_heartbeats,block10,7,1899,0.12341095399677916,0.12148302038118637,-0.0019279336155927917,0.36713080990220254,0.36136205484022943,-0.005768755061973108,0.8109531332280148,0.8141126908899421
all_heartbeats,block10,8,1922,0.11923820687713048,0.11971671764557877,0.00047851076844829254,0.3620692321498524,0.36228655189391706,0.00021731974406463683,0.81789802289282,0.8100936524453695
all_heartbeats,block10,9,1883,0.17562441444115048,0.17486720972208578,-0.000757204719064708,0.5164732337113271,0.5152866704397722,-0.0011865632715549745,0.727562400424854,0.7286245353159851
all_heartbeats,block20,0,984,0.14639566994103376,0.1464177814306339,2.211148960012954e-05,0.42792220666033487,0.42789039466611833,-3.181199421653513e-05,0.7479674796747967,0.7560975609756098
all_heartbeats,block20,1,933,0.15616253797994126,0.15550101242004033,-0.0006615255599009273,0.45823406747856105,0.45720820222820313,-0.0010258652503579158,0.7459807073954984,0.7502679528403001
all_heartbeats,block20,2,989,0.1605506438067175,0.162723254889382,0.002172611082664505,0.4897704536440169,0.4948919925553443,0.0051215389113273835,0.7482305358948432,0.7381193124368048
all_heartbeats,block20,3,930,0.18477986133793026,0.1839630181673354,-0.0008168431705948553,0.5406437496058676,0.5388562898865695,-0.0017874597192980568,0.7483870967741936,0.7483870967741936
all_heartbeats,block20,4,992,0.08735484044846559,0.08852302139639151,0.001168180947925923,0.29182240182546976,0.29364825932046373,0.0018258574949939765,0.9082661290322581,0.9042338709677419
