slice,trades,fee_1c_entry_dollars,avg_fee_1c_entry_cents,wins,losses,exits,avg_ask,avg_edge,avg_p_side,avg_model_book_gap
all_v57_style,333,13.6,4.084084084084084,277,56,78,80.90090090090091,3.131611312413524,0.8403251221331443,0.035805602613624726
YES_gap_ge_05,26,3.94,15.153846153846153,18,8,11,64.8076923076923,12.83066950564172,0.7763836181333403,0.13388361813334032
NO_gap_ge_05,28,-1.94,-6.928571428571429,18,10,14,69.14285714285714,10.594584246890536,0.7973744138974767,0.11219584246890535
NO_gap_ge_08,10,-1.58,-15.8,6,4,8,55.1,19.741254515664764,0.7484125451566476,0.2054125451566476
NO_gap_ge_05_ask_lt_90,25,-2.34,-9.36,15,10,14,66.48,11.227220987467078,0.7770722098746708,0.11887220987467079
NO_gap_ge_05_ask_ge_90,3,0.4,13.333333333333334,3,0,0,91.33333333333333,5.322611408752688,0.9665594474208602,0.056559447420860165
