model,entry_policy,exit_policy,entry_edge_floor_cents,entry_ask_cap_cents,entry_min_p_side,entry_max_seconds_to_close,entry_min_seconds_to_close,train_markets,train_trades,train_coverage,train_pnl_dollars,train_cost_dollars,train_roi,train_fee_dollars,train_net_after_fees_dollars,train_net_roi_after_fees,train_net_after_fees_1c_entry_dollars,train_net_after_fees_1c_roundtrip_dollars,train_wins,train_losses,train_settled_count,train_exit_count,train_avg_entry_ask,train_avg_entry_edge,train_avg_entry_p_side,train_avg_entry_seconds_to_close,validation_markets,validation_trades,validation_coverage,validation_pnl_dollars,validation_cost_dollars,validation_roi,validation_fee_dollars,validation_net_after_fees_dollars,validation_net_roi_after_fees,validation_net_after_fees_1c_entry_dollars,validation_net_after_fees_1c_roundtrip_dollars,validation_wins,validation_losses,validation_settled_count,validation_exit_count,validation_avg_entry_ask,validation_avg_entry_edge,validation_avg_entry_p_side,validation_avg_entry_seconds_to_close,holdout_markets,holdout_trades,holdout_coverage,holdout_pnl_dollars,holdout_cost_dollars,holdout_roi,holdout_fee_dollars,holdout_net_after_fees_dollars,holdout_net_roi_after_fees,holdout_net_after_fees_1c_entry_dollars,holdout_net_after_fees_1c_roundtrip_dollars,holdout_wins,holdout_losses,holdout_settled_count,holdout_exit_count,holdout_avg_entry_ask,holdout_avg_entry_edge,holdout_avg_entry_p_side,holdout_avg_entry_seconds_to_close,all_markets,all_trades,all_coverage,all_pnl_dollars,all_cost_dollars,all_roi,all_fee_dollars,all_net_after_fees_dollars,all_net_roi_after_fees,all_net_after_fees_1c_entry_dollars,all_net_after_fees_1c_roundtrip_dollars,all_wins,all_losses,all_settled_count,all_exit_count,all_avg_entry_ask,all_avg_entry_edge,all_avg_entry_p_side,all_avg_entry_seconds_to_close,min_split_coverage,min_split_pnl_dollars,min_split_net_after_fees_dollars,min_split_net_after_fees_1c_roundtrip_dollars,all_splits_positive,all_splits_net_after_fees_positive,all_splits_net_after_fees_1c_roundtrip_positive,eligible_80,min_split_net_after_fees_1c_entry_dollars,all_splits_1c_entry_positive,positive_days,total_days,worst_day_cents,block10_positive,block10_worst_cents
v45_latent_disagree_book_else_blend90,edge0_ask100_p0.64_stc0-570,prob50,0.0,100.0,0.64,570.0,0.0,223,206,0.9237668161434978,15.06,331.34,0.04545180177461219,6.72,8.34,0.025170519707852963,4.22,3.1999999999999997,172,34,155,51,80.42233009708738,4.310000427874844,0.8473233052496222,419.9765291262136,74,68,0.918918918918919,4.48,107.7,0.04159702878365831,2.43,2.0500000000000003,0.019034354688950792,0.6900000000000002,0.31000000000000016,52,16,49,19,79.19117647058823,4.551962080444468,0.8374313855103271,492.1357794117647,75,62,0.8266666666666667,0.7,101.0,0.00693069306930693,2.15,-1.45,-0.014356435643564355,-2.69,-3.05,49,13,44,18,81.45161290322581,3.205999942669782,0.8465761284589559,426.37051612903224,372,336,0.9032258064516129,20.24,540.04,0.03747870528109029,11.3,8.939999999999998,0.016554329308940074,2.219999999999998,0.45999999999999797,273,63,248,88,80.36309523809524,4.155254482315381,0.8451834972041061,435.7600297619048,0.8266666666666667,0.7,-1.45,-3.05,True,False,False,True,-2.69,False,3,5,-128.0,7,-376.0
v45_latent_disagree_book_else_blend90,edge0_ask100_p0.64_stc0-570,prob52,0.0,100.0,0.64,570.0,0.0,223,206,0.9237668161434978,16.68,331.34,0.050341039415705925,6.85,9.83,0.029667411118488564,5.71,4.65,172,34,153,53,80.42233009708738,4.310000427874844,0.8473233052496222,419.9765291262136,74,68,0.918918918918919,4.74,107.7,0.04401114206128134,2.43,2.31,0.021448467966573816,0.95,0.57,52,16,49,19,79.19117647058823,4.551962080444468,0.8374313855103271,492.1357794117647,75,62,0.8266666666666667,2.52,101.0,0.024950495049504952,2.18,0.33999999999999986,0.003366336633663365,-0.9000000000000001,-1.2600000000000002,49,13,44,18,81.45161290322581,3.205999942669782,0.8465761284589559,426.37051612903224,372,336,0.9032258064516129,23.94,540.04,0.04433004962595364,11.46,12.48,0.02310939930375528,5.760000000000001,3.960000000000001,273,63,246,90,80.36309523809524,4.155254482315381,0.8451834972041061,435.7600297619048,0.8266666666666667,2.52,0.33999999999999986,-1.2600000000000002,True,True,False,True,-0.9000000000000001,False,4,5,-2.0,7,-315.0
v45_latent_disagree_book_else_blend90,edge0_ask100_p0.64_stc0-570,prob54,0.0,100.0,0.64,570.0,0.0,223,206,0.9237668161434978,16.4,331.34,0.04949598599625762,6.89,9.509999999999998,0.028701635781976213,5.389999999999998,4.309999999999998,172,34,152,54,80.42233009708738,4.310000427874844,0.8473233052496222,419.9765291262136,74,68,0.918918918918919,4.9,107.7,0.04549675023212628,2.43,2.47,0.022934076137418758,1.11,0.7300000000000001,52,16,49,19,79.19117647058823,4.551962080444468,0.8374313855103271,492.1357794117647,75,62,0.8266666666666667,3.56,101.0,0.03524752475247525,2.18,1.38,0.013663366336633662,0.1399999999999999,-0.22000000000000008,49,13,44,18,81.45161290322581,3.205999942669782,0.8465761284589559,426.37051612903224,372,336,0.9032258064516129,24.86,540.04,0.046033627138730465,11.5,13.36,0.024738908229020074,6.64,4.819999999999999,273,63,245,91,80.36309523809524,4.155254482315381,0.8451834972041061,435.7600297619048,0.8266666666666667,3.56,1.38,-0.22000000000000008,True,True,False,True,0.1399999999999999,True,4,5,-68.0,7,-315.0
v45_latent_disagree_book_else_blend90,edge0_ask100_p0.64_stc0-570,prob56,0.0,100.0,0.64,570.0,0.0,223,206,0.9237668161434978,15.58,331.34,0.04702118669644474,6.98,8.6,0.02595521216876924,4.4799999999999995,3.3599999999999994,172,34,150,56,80.42233009708738,4.310000427874844,0.8473233052496222,419.9765291262136,74,68,0.918918918918919,2.32,107.7,0.021541318477251624,2.62,-0.30000000000000027,-0.0027855153203342644,-1.6600000000000004,-2.1200000000000006,52,16,45,23,79.19117647058823,4.551962080444468,0.8374313855103271,492.1357794117647,75,62,0.8266666666666667,4.38,101.0,0.04336633663366336,2.22,2.1599999999999997,0.021386138613861384,0.9199999999999997,0.5399999999999997,49,13,43,19,81.45161290322581,3.205999942669782,0.8465761284589559,426.37051612903224,372,336,0.9032258064516129,22.28,540.04,0.04125620324420414,11.82,10.46,0.019368935634397455,3.740000000000001,1.7800000000000011,273,63,238,98,80.36309523809524,4.155254482315381,0.8451834972041061,435.7600297619048,0.8266666666666667,2.32,-0.30000000000000027,-2.1200000000000006,True,False,False,True,-1.6600000000000004,False,3,5,-179.0,6,-466.0
v45_latent_disagree_book_else_blend90,edge0_ask100_p0.64_stc0-600,prob50,0.0,100.0,0.64,600.0,0.0,223,206,0.9237668161434978,15.12,331.28,0.04564114948080174,6.8,8.32,0.025114706592610482,4.2,3.18,172,34,155,51,80.40776699029126,3.689068224586056,0.8409683521487733,430.76862135922335,74,68,0.918918918918919,5.46,106.72,0.05116191904047976,2.48,2.98,0.02792353823088456,1.6199999999999999,1.2399999999999998,52,16,49,19,78.47058823529412,3.2818994189854926,0.8175248765427962,517.7577205882352,75,62,0.8266666666666667,0.8,100.9,0.007928642220019821,2.16,-1.36,-0.013478691774033697,-2.6,-2.96,49,13,44,18,81.37096774193549,2.823978325129792,0.8419494606706527,434.6091129032258,372,336,0.9032258064516129,21.38,538.9,0.039673408795694934,11.44,9.94,0.018444980515865652,3.2199999999999998,1.4599999999999997,273,63,248,88,80.19345238095238,3.4470353301005603,0.8364048771105295,449.0822202380953,0.8266666666666667,0.8,-1.36,-2.96,True,False,False,True,-2.6,False,3,5,-135.0,6,-392.0
v45_latent_disagree_book_else_blend90,edge0_ask100_p0.64_stc0-600,prob52,0.0,100.0,0.64,600.0,0.0,223,206,0.9237668161434978,16.74,331.28,0.050531272639459064,6.93,9.809999999999999,0.02961241246075827,5.689999999999999,4.629999999999999,172,34,153,53,80.40776699029126,3.689068224586056,0.8409683521487733,430.76862135922335,74,68,0.918918918918919,5.72,106.72,0.053598200899550225,2.48,3.2399999999999998,0.030359820089955022,1.8799999999999997,1.4999999999999996,52,16,49,19,78.47058823529412,3.2818994189854926,0.8175248765427962,517.7577205882352,75,62,0.8266666666666667,2.62,100.9,0.025966303270564914,2.19,0.43000000000000016,0.004261645193260655,-0.8099999999999998,-1.17,49,13,44,18,81.37096774193549,2.823978325129792,0.8419494606706527,434.6091129032258,372,336,0.9032258064516129,25.08,538.9,0.046539246613471884,11.6,13.479999999999999,0.025013917238819818,6.759999999999999,4.959999999999999,273,63,246,90,80.19345238095238,3.4470353301005603,0.8364048771105295,449.0822202380953,0.8266666666666667,2.62,0.43000000000000016,-1.17,True,True,False,True,-0.8099999999999998,False,5,5,14.0,6,-249.0
v45_latent_disagree_book_else_blend90,edge0_ask100_p0.64_stc0-600,prob54,0.0,100.0,0.64,600.0,0.0,223,206,0.9237668161434978,16.46,331.28,0.04968606616759238,6.97,9.490000000000002,0.028646462207196337,5.370000000000002,4.290000000000002,172,34,152,54,80.40776699029126,3.689068224586056,0.8409683521487733,430.76862135922335,74,68,0.918918918918919,5.88,106.72,0.055097451274362816,2.48,3.4,0.031859070464767617,2.04,1.6600000000000001,52,16,49,19,78.47058823529412,3.2818994189854926,0.8175248765427962,517.7577205882352,75,62,0.8266666666666667,3.66,100.9,0.036273538156590686,2.19,1.4700000000000002,0.014568880079286424,0.2300000000000002,-0.12999999999999978,49,13,44,18,81.37096774193549,2.823978325129792,0.8419494606706527,434.6091129032258,372,336,0.9032258064516129,26.0,538.9,0.04824642790870291,11.64,14.36,0.026646873260345146,7.64,5.819999999999999,273,63,245,91,80.19345238095238,3.4470353301005603,0.8364048771105295,449.0822202380953,0.8266666666666667,3.66,1.4700000000000002,-0.12999999999999978,True,True,False,True,0.2300000000000002,True,5,5,8.0,6,-221.0
v45_latent_disagree_book_else_blend90,edge0_ask100_p0.64_stc0-600,prob56,0.0,100.0,0.64,600.0,0.0,223,206,0.9237668161434978,15.64,331.28,0.0472108186428399,7.06,8.580000000000002,0.025899541173629567,4.460000000000002,3.3400000000000016,172,34,150,56,80.40776699029126,3.689068224586056,0.8409683521487733,430.76862135922335,74,68,0.918918918918919,3.3,106.72,0.030922038980509745,2.67,0.6299999999999999,0.005903298350824587,-0.7300000000000002,-1.1900000000000002,52,16,45,23,78.47058823529412,3.2818994189854926,0.8175248765427962,517.7577205882352,75,62,0.8266666666666667,4.48,100.9,0.044400396432111,2.23,2.2500000000000004,0.02229930624380575,1.0100000000000005,0.6300000000000004,49,13,43,19,81.37096774193549,2.823978325129792,0.8419494606706527,434.6091129032258,372,336,0.9032258064516129,23.42,538.9,0.04345889775468548,11.96,11.46,0.021265540916682132,4.740000000000001,2.780000000000001,273,63,238,98,80.19345238095238,3.4470353301005603,0.8364048771105295,449.0822202380953,0.8266666666666667,3.3,0.6299999999999999,-1.1900000000000002,True,True,False,True,-0.7300000000000002,False,3,5,-103.0,7,-313.0
v45_latent_disagree_book_else_blend90,edge0_ask100_p0.65_stc0-570,prob50,0.0,100.0,0.65,570.0,0.0,223,206,0.9237668161434978,17.0,333.76,0.050934803451581974,6.51,10.49,0.031429769894535,6.37,5.43,174,32,159,47,81.00970873786407,4.0354786164506455,0.8504518735431473,414.79957281553396,74,67,0.9054054054054054,5.68,107.12,0.05302464525765496,2.31,3.3699999999999997,0.03146004480955937,2.0299999999999994,1.6899999999999993,53,14,50,17,79.94029850746269,4.2788082138787615,0.8421910672134145,494.62310447761195,75,61,0.8133333333333334,1.14,99.88,0.011413696435722867,2.07,-0.9299999999999999,-0.009311173408089707,-2.15,-2.4899999999999998,49,12,44,17,81.8688524590164,3.1255985041071357,0.8499445096312354,424.03436065573766,372,334,0.8978494623655914,23.82,540.76,0.044049116058880095,10.89,12.93,0.023910792218359345,6.25,4.63,276,58,253,81,80.95209580838323,3.9181145331414533,0.8487021034152468,432.49867065868256,0.8133333333333334,1.14,-0.9299999999999999,-2.4899999999999998,True,False,False,True,-2.15,False,3,5,-138.0,7,-416.0
v45_latent_disagree_book_else_blend90,edge0_ask100_p0.65_stc0-570,prob52,0.0,100.0,0.65,570.0,0.0,223,206,0.9237668161434978,17.7,333.76,0.05303211888782359,6.63,11.07,0.03316754554170662,6.95,5.970000000000001,174,32,157,49,81.00970873786407,4.0354786164506455,0.8504518735431473,414.79957281553396,74,67,0.9054054054054054,5.94,107.12,0.055451829723674385,2.31,3.6300000000000003,0.033887229275578794,2.29,1.95,53,14,50,17,79.94029850746269,4.2788082138787615,0.8421910672134145,494.62310447761195,75,61,0.8133333333333334,2.96,99.88,0.029635562675210253,2.1,0.8599999999999999,0.008610332398878654,-0.3600000000000001,-0.7000000000000002,49,12,44,17,81.8688524590164,3.1255985041071357,0.8499445096312354,424.03436065573766,372,334,0.8978494623655914,26.6,540.76,0.0491900288482876,11.04,15.560000000000002,0.028774317627043425,8.880000000000003,7.220000000000002,276,58,251,83,80.95209580838323,3.9181145331414533,0.8487021034152468,432.49867065868256,0.8133333333333334,2.96,0.8599999999999999,-0.7000000000000002,True,True,False,True,-0.3600000000000001,False,5,5,24.0,7,-390.0
