source,market,side,reason,p_side,outcome,brier,bucket,actionable,edge_cents,ask_cents,seconds_to_close,sigma_t_dollars,recross_hazard_score,h6_recross_hazard_high,gross_cents
rejected_actionable,KXBTC15M-26MAY051615-15,yes,ask_too_high,0.779559,1.0,0.048594234481,70_80,True,-17.044131,92,681.835,109.943048,0.49878694674023344,True,16
rejected_actionable,KXBTC15M-26MAY051615-15,yes,edge_below_floor,0.860599,1.0,0.019432638800999998,85_90,True,-5.940147,89,681.58,109.960026,0.3870188606064072,True,22
rejected_actionable,KXBTC15M-26MAY051630-30,no,p_below_floor,0.613141,1.0,0.14965988588099996,60_70,True,-6.685872,64,869.353,130.9473,1.015377041470546,True,72
rejected_actionable,KXBTC15M-26MAY051630-30,no,edge_below_floor,0.867949,1.0,0.01743746660100001,85_90,True,-1.205118,85,644.49,113.51664,0.3828387179807846,True,30
rejected_actionable,KXBTC15M-26MAY051630-30,no,ask_too_high,0.911148,1.0,0.007894677904000008,90_95,True,-2.885172,91,628.828,112.097813,0.3017281409862528,True,18
rejected_actionable,KXBTC15M-26MAY051630-30,yes,p_below_floor,0.386859,0.0,0.14965988588100002,00_50,True,-2.314128,37,869.353,130.9473,1.015377041470546,True,-74
rejected_actionable,KXBTC15M-26MAY051645-45,no,p_below_floor,0.483157,0.0,0.233440686649,00_50,True,-6.684312,51,879.111,132.388055,1.283901434017675,True,-102
rejected_actionable,KXBTC15M-26MAY051645-45,yes,p_below_floor,0.516843,1.0,0.23344068664899995,50_60,True,-2.315688,50,879.111,132.388055,1.283901434017675,True,100
rejected_actionable,KXBTC15M-26MAY051645-45,yes,edge_below_floor,0.850334,1.0,0.02239991155599999,85_90,True,-0.966635,83,711.261,120.483071,0.4521498675675955,True,34
rejected_actionable,KXBTC15M-26MAY051645-45,yes,ask_too_high,0.885289,1.0,0.013158613521000001,85_90,True,-5.471073,91,671.861,117.117929,0.3711275542880559,True,18
rejected_actionable,KXBTC15M-26MAY051700-00,no,p_below_floor,0.570256,1.0,0.184679905536,50_60,True,-3.974403,57,884.255,125.125577,1.0866461461842227,True,86
rejected_actionable,KXBTC15M-26MAY051700-00,no,edge_below_floor,0.854422,1.0,0.021192954083999994,85_90,True,-3.557826,86,641.398,103.881236,0.3684544449061005,True,28
rejected_actionable,KXBTC15M-26MAY051700-00,no,ask_too_high,0.846849,1.0,0.02345522880100001,80_85,True,-9.315074,91,134.457,45.249862,0.07682695494415473,False,18
