dataset,split,model,rows,brier,logloss,side_accuracy,mean_p_yes,yes_rate
all_heartbeats,all,v34_material_antipersist3,19021,0.14599261488331397,0.4403299700109672,0.7764050260238684,0.5066896373746772,0.4958204090216077
all_heartbeats,all,v35_h150_t102_antipersist3,19021,0.14603435009611523,0.4410832881993967,0.776352452552442,0.5067038158037338,0.4958204090216077
all_heartbeats,all,v36_piecewise_h150_t102_antipersist3,19021,0.14599471150064283,0.4400737854197957,0.776352452552442,0.5067479735229643,0.4958204090216077
all_heartbeats,train,v34_material_antipersist3,11398,0.14955452885766923,0.4539610719171577,0.7737322337252149,0.5131378394146238,0.5092998771714335
all_heartbeats,train,v35_h150_t102_antipersist3,11398,0.14969618587429717,0.45536893865011274,0.7737322337252149,0.5131982730743204,0.5092998771714335
all_heartbeats,train,v36_piecewise_h150_t102_antipersist3,11398,0.1496116940165842,0.45369619683213974,0.7737322337252149,0.5132255827789722,0.5092998771714335
all_heartbeats,validation,v34_material_antipersist3,3818,0.1343458670912287,0.401956131138985,0.7909900471451021,0.5196428404763468,0.5188580408590885
all_heartbeats,validation,v35_h150_t102_antipersist3,3818,0.13419778430491588,0.4015087661235607,0.7909900471451021,0.5196124914723877,0.5188580408590885
all_heartbeats,validation,v36_piecewise_h150_t102_antipersist3,3818,0.13428155632976677,0.4016905454071962,0.7909900471451021,0.5196770216310921,0.5188580408590885
all_heartbeats,holdout,v34_material_antipersist3,3805,0.14700932647082518,0.4380025106907226,0.7697766097240473,0.4743763821070073,0.4323258869908016
all_heartbeats,holdout,v35_h150_t102_antipersist3,3805,0.14694220922649162,0.4379998930478278,0.7695137976346912,0.4742966810670541,0.4323258869908016
all_heartbeats,holdout,v36_piecewise_h150_t102_antipersist3,3805,0.14691309776232636,0.4377817920138056,0.7695137976346912,0.47437086551329,0.4323258869908016
minute_bucket,all,v34_material_antipersist3,4898,0.14891426840145341,0.4439463638121554,0.7676602694977542,0.5064821349150697,0.4963250306247448
minute_bucket,all,v35_h150_t102_antipersist3,4898,0.14902512836114787,0.4445243462411638,0.7676602694977542,0.5065048350599037,0.4963250306247448
minute_bucket,all,v36_piecewise_h150_t102_antipersist3,4898,0.14888038705291967,0.44371365834042975,0.7676602694977542,0.5065260490080977,0.4963250306247448
minute_bucket,train,v34_material_antipersist3,2938,0.1522124005530786,0.4545603078862842,0.7648059904697073,0.512501979161199,0.5098706603131382
minute_bucket,train,v35_h150_t102_antipersist3,2938,0.15254502641913903,0.4557992512868646,0.765146358066712,0.5125606553769348,0.5098706603131382
minute_bucket,train,v36_piecewise_h150_t102_antipersist3,2938,0.15221432402790327,0.45439060825772065,0.765146358066712,0.5125529567671542,0.5098706603131382
minute_bucket,validation,v34_material_antipersist3,982,0.137454508383908,0.40986760048345555,0.7820773930753564,0.5189123387684464,0.5183299389002036
minute_bucket,validation,v35_h150_t102_antipersist3,982,0.13718678034189316,0.4091543677366656,0.7820773930753564,0.5189448258214299,0.5183299389002036
minute_bucket,validation,v36_piecewise_h150_t102_antipersist3,982,0.13736837088427822,0.40946215052819934,0.7820773930753564,0.518995640181599,0.5183299389002036
minute_bucket,holdout,v34_material_antipersist3,978,0.1505130128551903,0.4462792655493671,0.7617586912065439,0.4759169380038799,0.4335378323108384
minute_bucket,holdout,v35_h150_t102_antipersist3,978,0.15033780449665934,0.4461681579662643,0.7607361963190185,0.4758217358582102,0.4335378323108384
minute_bucket,holdout,v36_piecewise_h150_t102_antipersist3,978,0.15042404047327154,0.44603073586048037,0.7607361963190185,0.4759000842550446,0.4335378323108384
