dataset,candidate,label,all_base_markets,all_markets,all_wins,all_losses,all_accuracy,all_coverage,all_wilson95_lower,all_median_ask,all_mean_ask,all_p75_ask,all_ask_ge_95,all_ask_eq_100,all_median_seconds_to_close,all_entry_fee_cents,all_ask_cost_cents,all_entry_cost_cents,all_gross_pnl_cents,all_net_pnl_cents,all_gross_roi_on_ask,all_net_roi_on_cost,all_net_edge_per_selected_cents,all_net_edge_per_base_market_cents,all_fee_aware_break_even_accuracy,all_accuracy_minus_break_even,train_base_markets,train_markets,train_wins,train_losses,train_accuracy,train_coverage,train_wilson95_lower,train_median_ask,train_mean_ask,train_p75_ask,train_ask_ge_95,train_ask_eq_100,train_median_seconds_to_close,train_entry_fee_cents,train_ask_cost_cents,train_entry_cost_cents,train_gross_pnl_cents,train_net_pnl_cents,train_gross_roi_on_ask,train_net_roi_on_cost,train_net_edge_per_selected_cents,train_net_edge_per_base_market_cents,train_fee_aware_break_even_accuracy,train_accuracy_minus_break_even,validation_base_markets,validation_markets,validation_wins,validation_losses,validation_accuracy,validation_coverage,validation_wilson95_lower,validation_median_ask,validation_mean_ask,validation_p75_ask,validation_ask_ge_95,validation_ask_eq_100,validation_median_seconds_to_close,validation_entry_fee_cents,validation_ask_cost_cents,validation_entry_cost_cents,validation_gross_pnl_cents,validation_net_pnl_cents,validation_gross_roi_on_ask,validation_net_roi_on_cost,validation_net_edge_per_selected_cents,validation_net_edge_per_base_market_cents,validation_fee_aware_break_even_accuracy,validation_accuracy_minus_break_even,holdout_base_markets,holdout_markets,holdout_wins,holdout_losses,holdout_accuracy,holdout_coverage,holdout_wilson95_lower,holdout_median_ask,holdout_mean_ask,holdout_p75_ask,holdout_ask_ge_95,holdout_ask_eq_100,holdout_median_seconds_to_close,holdout_entry_fee_cents,holdout_ask_cost_cents,holdout_entry_cost_cents,holdout_gross_pnl_cents,holdout_net_pnl_cents,holdout_gross_roi_on_ask,holdout_net_roi_on_cost,holdout_net_edge_per_selected_cents,holdout_net_edge_per_base_market_cents,holdout_fee_aware_break_even_accuracy,holdout_accuracy_minus_break_even,coverage_pass,all_splits_positive,oos_positive
current,book_margin_locked_equiv,choose=book_p_side; score>=0.6; ask<=95; sec>=120; gates=margin_rv15>=0,314,312,221,91,0.7083333333333334,0.9936305732484076,0.6556079862178551,64.0,65.68589743589743,68.0,0,0,819.9649999999999,621.0,20494.0,21115.0,1606.0,985.0,0.07836439933639114,0.046649301444470756,3.157051282051282,3.1369426751592355,0.6767628205128206,0.03157051282051282,188,186,132,54,0.7096774193548387,0.9893617021276596,0.6407264182228752,63.0,64.98924731182795,67.0,0,0,815.143,371.0,12088.0,12459.0,1112.0,741.0,0.09199205823957644,0.05947507825668192,3.9838709677419355,3.9414893617021276,0.6698387096774193,0.039838709677419426,63,63,43,20,0.6825396825396826,1.0,0.5599646825583142,65.0,66.42857142857143,69.0,0,0,813.891,126.0,4185.0,4311.0,115.0,-11.0,0.027479091995221028,-0.002551612154952447,-0.1746031746031746,-0.1746031746031746,0.6842857142857144,-0.0017460317460318286,63,63,46,17,0.7301587301587301,1.0,0.609700907804482,65.0,67.0,69.0,0,0,826.274,124.0,4221.0,4345.0,379.0,255.0,0.08978914949064203,0.05868814729574223,4.0476190476190474,4.0476190476190474,0.6896825396825398,0.04047619047619033,True,False,False
current,score_min60_locked_equiv,choose=score_min_book_rv15; score>=0.6; ask<=95; sec>=120; gates=none,314,311,235,76,0.7556270096463023,0.9904458598726115,0.7049396962625621,69.0,69.63022508038586,73.0,0,0,768.289,610.0,21655.0,22265.0,1845.0,1235.0,0.08519972292773031,0.05546822366943634,3.9710610932475885,3.93312101910828,0.7159163987138263,0.039710610932475965,188,185,140,45,0.7567567567567568,0.9840425531914894,0.6901187839717682,68.0,68.87027027027027,72.0,0,0,766.614,364.0,12741.0,13105.0,1259.0,895.0,0.09881484969782592,0.06829454406714994,4.837837837837838,4.76063829787234,0.7083783783783785,0.04837837837837833,63,63,48,15,0.7619047619047619,1.0,0.6436433989030313,69.0,70.12698412698413,75.0,0,0,768.782,123.0,4418.0,4541.0,382.0,259.0,0.08646446355817111,0.05703589517727373,4.111111111111111,4.111111111111111,0.7207936507936508,0.0411111111111111,63,63,47,16,0.746031746031746,1.0,0.6265881256339354,71.0,71.36507936507937,75.0,0,0,773.036,123.0,4496.0,4619.0,204.0,81.0,0.045373665480427046,0.017536263260445984,1.2857142857142858,1.2857142857142858,0.733174603174603,0.012857142857143011,True,True,True
current,book_skip_score_lt65_ask_ge70,choose=book_p_side; score>=0.6; ask<=95; sec>=120; gates=margin_rv15>=0; not(score<0.65 and ask>=70),314,312,221,91,0.7083333333333334,0.9936305732484076,0.6556079862178551,64.0,65.68589743589743,68.0,0,0,819.9649999999999,621.0,20494.0,21115.0,1606.0,985.0,0.07836439933639114,0.046649301444470756,3.157051282051282,3.1369426751592355,0.6767628205128206,0.03157051282051282,188,186,132,54,0.7096774193548387,0.9893617021276596,0.6407264182228752,63.0,64.98924731182795,67.0,0,0,815.143,371.0,12088.0,12459.0,1112.0,741.0,0.09199205823957644,0.05947507825668192,3.9838709677419355,3.9414893617021276,0.6698387096774193,0.039838709677419426,63,63,43,20,0.6825396825396826,1.0,0.5599646825583142,65.0,66.42857142857143,69.0,0,0,813.891,126.0,4185.0,4311.0,115.0,-11.0,0.027479091995221028,-0.002551612154952447,-0.1746031746031746,-0.1746031746031746,0.6842857142857144,-0.0017460317460318286,63,63,46,17,0.7301587301587301,1.0,0.609700907804482,65.0,67.0,69.0,0,0,826.274,124.0,4221.0,4345.0,379.0,255.0,0.08978914949064203,0.05868814729574223,4.0476190476190474,4.0476190476190474,0.6896825396825398,0.04047619047619033,True,False,False
current,book_skip_score_lt70_ask_ge70,choose=book_p_side; score>=0.6; ask<=95; sec>=120; gates=margin_rv15>=0; not(score<0.7 and ask>=70),314,312,221,91,0.7083333333333334,0.9936305732484076,0.6556079862178551,64.0,65.70192307692308,68.0,0,0,819.3605,621.0,20499.0,21120.0,1601.0,980.0,0.07810137079857554,0.04640151515151515,3.141025641025641,3.121019108280255,0.6769230769230768,0.03141025641025652,188,186,132,54,0.7096774193548387,0.9893617021276596,0.6407264182228752,63.0,64.97849462365592,67.0,0,0,815.143,371.0,12086.0,12457.0,1114.0,743.0,0.09217276187324176,0.05964517941719515,3.9946236559139785,3.952127659574468,0.6697311827956989,0.03994623655913987,63,63,43,20,0.6825396825396826,1.0,0.5599646825583142,65.0,66.5079365079365,69.0,0,0,813.891,126.0,4190.0,4316.0,110.0,-16.0,0.026252983293556086,-0.0037071362372567192,-0.25396825396825395,-0.25396825396825395,0.6850793650793653,-0.0025396825396827305,63,63,46,17,0.7301587301587301,1.0,0.609700907804482,65.0,67.03174603174604,69.0,0,0,826.274,124.0,4223.0,4347.0,377.0,253.0,0.08927302865261662,0.0582010582010582,4.015873015873016,4.015873015873016,0.6900000000000002,0.04015873015872995,True,False,False
current,book_skip_score625_65_ask60_80,choose=book_p_side; score>=0.6; ask<=95; sec>=120; gates=margin_rv15>=0; not(0.625<=score<0.65 and 60<=ask<=80),314,312,220,92,0.7051282051282052,0.9936305732484076,0.6522834796510947,66.0,66.75,70.0,0,0,806.7975,619.0,20826.0,21445.0,1174.0,555.0,0.05637184288869682,0.02588015854511541,1.7788461538461537,1.767515923566879,0.6873397435897435,0.017788461538461697,188,186,132,54,0.7096774193548387,0.9893617021276596,0.6407264182228752,66.0,66.08602150537635,69.0,0,0,798.9325,369.0,12292.0,12661.0,908.0,539.0,0.07386918320859095,0.04257167680278019,2.8978494623655915,2.867021276595745,0.6806989247311828,0.02897849462365598,63,63,43,20,0.6825396825396826,1.0,0.5599646825583142,67.0,67.12698412698413,69.5,0,0,806.446,126.0,4229.0,4355.0,71.0,-55.0,0.01678883896902341,-0.012629161882893225,-0.873015873015873,-0.873015873015873,0.6912698412698415,-0.008730158730158921,63,63,45,18,0.7142857142857143,1.0,0.5929728343259287,68.0,68.33333333333333,71.5,0,0,822.266,124.0,4305.0,4429.0,195.0,71.0,0.04529616724738676,0.016030706705802665,1.126984126984127,1.126984126984127,0.7030158730158732,0.011269841269841097,True,False,False
current,book_skip_score60_65_ask60_80,choose=book_p_side; score>=0.6; ask<=95; sec>=120; gates=margin_rv15>=0; not(0.6<=score<0.65 and 60<=ask<=80),314,310,227,83,0.7322580645161291,0.9872611464968153,0.680345508758375,69.0,70.51935483870967,72.0,0,0,770.037,612.0,21861.0,22473.0,839.0,227.0,0.03837884817711907,0.010101010101010102,0.7322580645161291,0.7229299363057324,0.7249354838709678,0.007322580645161225,188,184,134,50,0.7282608695652174,0.9787234042553191,0.6598049581879651,69.0,70.28804347826087,72.0,0,0,760.7539999999999,364.0,12933.0,13297.0,467.0,103.0,0.03610917807159978,0.007746108144694292,0.5597826086956522,0.5478723404255319,0.7226630434782608,0.005597826086956581,63,63,47,16,0.746031746031746,1.0,0.6265881256339354,69.0,70.7936507936508,73.0,0,0,773.575,125.0,4460.0,4585.0,240.0,115.0,0.053811659192825115,0.025081788440567066,1.8253968253968254,1.8253968253968254,0.7277777777777777,0.0182539682539683,63,63,46,17,0.7301587301587301,1.0,0.609700907804482,69.0,70.92063492063492,72.0,0,0,801.129,123.0,4468.0,4591.0,132.0,9.0,0.02954341987466428,0.001960357220649096,0.14285714285714285,0.14285714285714285,0.7287301587301588,0.0014285714285713347,True,True,True
current,book_highask_needs_score70,choose=book_p_side; score>=0.6; ask<=95; sec>=120; gates=margin_rv15>=0; ask<70 or score>=0.7,314,312,221,91,0.7083333333333334,0.9936305732484076,0.6556079862178551,64.0,65.70192307692308,68.0,0,0,819.3605,621.0,20499.0,21120.0,1601.0,980.0,0.07810137079857554,0.04640151515151515,3.141025641025641,3.121019108280255,0.6769230769230768,0.03141025641025652,188,186,132,54,0.7096774193548387,0.9893617021276596,0.6407264182228752,63.0,64.97849462365592,67.0,0,0,815.143,371.0,12086.0,12457.0,1114.0,743.0,0.09217276187324176,0.05964517941719515,3.9946236559139785,3.952127659574468,0.6697311827956989,0.03994623655913987,63,63,43,20,0.6825396825396826,1.0,0.5599646825583142,65.0,66.5079365079365,69.0,0,0,813.891,126.0,4190.0,4316.0,110.0,-16.0,0.026252983293556086,-0.0037071362372567192,-0.25396825396825395,-0.25396825396825395,0.6850793650793653,-0.0025396825396827305,63,63,46,17,0.7301587301587301,1.0,0.609700907804482,65.0,67.03174603174604,69.0,0,0,826.274,124.0,4223.0,4347.0,377.0,253.0,0.08927302865261662,0.0582010582010582,4.015873015873016,4.015873015873016,0.6900000000000002,0.04015873015872995,True,False,False
current,book_highask_needs_score75,choose=book_p_side; score>=0.6; ask<=95; sec>=120; gates=margin_rv15>=0; ask<70 or score>=0.75,314,312,220,92,0.7051282051282052,0.9936305732484076,0.6522834796510947,64.0,65.8076923076923,68.0,0,0,815.586,618.0,20532.0,21150.0,1468.0,850.0,0.07149814923046952,0.04018912529550828,2.7243589743589745,2.7070063694267517,0.6778846153846154,0.027243589743589758,188,186,132,54,0.7096774193548387,0.9893617021276596,0.6407264182228752,63.0,65.01612903225806,67.0,0,0,811.6205,370.0,12093.0,12463.0,1107.0,737.0,0.09154056065492433,0.05913503971756399,3.9623655913978495,3.9202127659574466,0.6700537634408602,0.03962365591397854,63,63,43,20,0.6825396825396826,1.0,0.5599646825583142,65.0,66.82539682539682,69.0,0,0,813.891,124.0,4210.0,4334.0,90.0,-34.0,0.021377672209026127,-0.007844946931241348,-0.5396825396825397,-0.5396825396825397,0.6879365079365082,-0.005396825396825622,63,63,45,18,0.7142857142857143,1.0,0.5929728343259287,65.0,67.12698412698413,68.5,0,0,822.12,124.0,4229.0,4353.0,271.0,147.0,0.06408134310711752,0.033769813921433495,2.3333333333333335,2.3333333333333335,0.6909523809523811,0.023333333333333206,True,False,False
current,book_ask_le70,choose=book_p_side; score>=0.6; ask<=70; sec>=120; gates=margin_rv15>=0,314,293,202,91,0.689419795221843,0.9331210191082803,0.6342716062257542,64.0,64.18771331058021,66.0,0,0,814.716,586.0,18807.0,19393.0,1393.0,807.0,0.0740681661083639,0.04161295312741711,2.7542662116040955,2.570063694267516,0.6618771331058021,0.02754266211604095,188,178,126,52,0.7078651685393258,0.9468085106382979,0.6372332434882495,63.0,63.92134831460674,66.0,0,0,810.1179999999999,356.0,11378.0,11734.0,1222.0,866.0,0.10740024608894358,0.07380262485086074,4.865168539325842,4.6063829787234045,0.6592134831460673,0.04865168539325848,63,58,37,21,0.6379310344827587,0.9206349206349206,0.5092752370481168,64.0,64.67241379310344,67.0,0,0,812.8975,116.0,3751.0,3867.0,-51.0,-167.0,-0.013596374300186616,-0.04318593224722007,-2.8793103448275863,-2.6507936507936507,0.6667241379310347,-0.028793103448276014,63,57,39,18,0.6842105263157895,0.9047619047619048,0.5552022530213655,65.0,64.52631578947368,67.0,0,0,826.268,114.0,3678.0,3792.0,222.0,108.0,0.06035889070146819,0.028481012658227847,1.894736842105263,1.7142857142857142,0.6652631578947369,0.0189473684210526,True,False,False
current,book_ask_le65,choose=book_p_side; score>=0.6; ask<=65; sec>=120; gates=margin_rv15>=0,314,262,179,83,0.683206106870229,0.8343949044585988,0.6245717608271162,62.0,62.68702290076336,64.0,0,0,799.3215,524.0,16424.0,16948.0,1476.0,952.0,0.08986848514369215,0.056171819683738494,3.633587786259542,3.031847133757962,0.6468702290076337,0.03633587786259529,188,159,112,47,0.7044025157232704,0.8457446808510638,0.6293297302082339,62.0,62.59119496855346,64.0,0,0,801.34,318.0,9952.0,10270.0,1248.0,930.0,0.12540192926045016,0.09055501460564752,5.849056603773585,4.946808510638298,0.6459119496855346,0.058490566037735836,63,51,32,19,0.6274509803921569,0.8095238095238095,0.49025213468850876,63.0,62.84313725490196,64.0,0,0,793.026,102.0,3205.0,3307.0,-5.0,-107.0,-0.0015600624024961,-0.03235560931357726,-2.0980392156862746,-1.6984126984126984,0.6484313725490196,-0.02098039215686276,63,52,35,17,0.6730769230769231,0.8253968253968254,0.5375618936197394,62.0,62.82692307692308,64.0,0,0,789.6565,104.0,3267.0,3371.0,233.0,129.0,0.07131925313743495,0.03826757638682884,2.480769230769231,2.0476190476190474,0.6482692307692309,0.024807692307692197,True,False,False
