dataset,candidate,slice,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask,median_edge
current,book_margin__long_minus_short_move_30_5m_le_75,"score=(0.8, 2.0]",12,11,1,0.9166666666666666,67.0,5.583333333333333,83.0,-2.0
current,book_margin__long_minus_short_move_30_5m_le_75,"edge=(-3.0, 0.0]",245,177,68,0.7224489795918367,886.0,3.6163265306122447,64.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_75,"edge=(-5.0, -3.0]",47,29,18,0.6170212765957447,-275.0,-5.851063829787234,64.0,-3.0
current,book_margin__long_minus_short_move_30_5m_le_75,"ask=(60.0, 70.0]",239,159,80,0.6652719665271967,117.0,0.4895397489539749,64.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_75,"ask=(70.0, 80.0]",41,36,5,0.8780487804878049,427.0,10.414634146341463,75.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_75,"ask=(80.0, 90.0]",12,11,1,0.9166666666666666,67.0,5.583333333333333,83.0,-2.0
current,book_margin__long_minus_short_move_30_5m_le_75,"time=(-1.001, 600.0]",35,27,8,0.7714285714285715,285.0,8.142857142857142,65.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_75,"time=(600.0, 720.0]",55,41,14,0.7454545454545455,257.0,4.672727272727273,66.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_75,"time=(720.0, 840.0]",139,100,39,0.7194244604316546,557.0,4.0071942446043165,64.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_75,"time=(840.0, 10000.0]",63,38,25,0.6031746031746031,-488.0,-7.746031746031746,64.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_100,split=holdout,57,38,19,0.6666666666666666,-188.0,-3.2982456140350878,65.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_100,split=train,180,128,52,0.7111111111111111,656.0,3.6444444444444444,64.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_100,split=validation,62,43,19,0.6935483870967742,-12.0,-0.1935483870967742,65.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_100,side=no,160,112,48,0.7,261.0,1.63125,64.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_100,side=yes,139,97,42,0.697841726618705,195.0,1.4028776978417266,64.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_100,"score=(-1.001, 0.625]",126,86,40,0.6825396825396826,565.0,4.484126984126984,62.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_100,"score=(0.625, 0.65]",58,31,27,0.5344827586206896,-758.0,-13.068965517241379,64.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_100,"score=(0.65, 0.7]",62,45,17,0.7258064516129032,172.0,2.774193548387097,68.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_100,"score=(0.7, 0.8]",40,35,5,0.875,399.0,9.975,75.5,-2.5
current,book_margin__long_minus_short_move_30_5m_le_100,"score=(0.8, 2.0]",13,12,1,0.9230769230769231,78.0,6.0,84.0,-1.5
current,book_margin__long_minus_short_move_30_5m_le_100,"edge=(-3.0, 0.0]",251,182,69,0.7250996015936255,977.0,3.8924302788844622,64.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_100,"edge=(-5.0, -3.0]",48,27,21,0.5625,-521.0,-10.854166666666666,64.0,-3.0
current,book_margin__long_minus_short_move_30_5m_le_100,"ask=(60.0, 70.0]",246,162,84,0.6585365853658537,-21.0,-0.08536585365853659,63.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_100,"ask=(70.0, 80.0]",40,35,5,0.875,399.0,9.975,75.5,-2.5
current,book_margin__long_minus_short_move_30_5m_le_100,"ask=(80.0, 90.0]",12,11,1,0.9166666666666666,70.0,5.833333333333333,84.0,-1.5
current,book_margin__long_minus_short_move_30_5m_le_100,"time=(-1.001, 600.0]",34,26,8,0.7647058823529411,238.0,7.0,64.5,-2.5
current,book_margin__long_minus_short_move_30_5m_le_100,"time=(600.0, 720.0]",49,35,14,0.7142857142857143,111.0,2.2653061224489797,65.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_100,"time=(720.0, 840.0]",152,109,43,0.7171052631578947,560.0,3.6842105263157894,64.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_100,"time=(840.0, 10000.0]",64,39,25,0.609375,-453.0,-7.078125,64.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_150,split=holdout,60,41,19,0.6833333333333333,-68.0,-1.1333333333333333,65.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_150,split=train,185,132,53,0.7135135135135136,734.0,3.9675675675675675,64.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_150,split=validation,64,45,19,0.703125,93.0,1.453125,65.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_150,side=no,162,114,48,0.7037037037037037,357.0,2.2037037037037037,64.5,-2.5
current,book_margin__long_minus_short_move_30_5m_le_150,side=yes,147,104,43,0.7074829931972789,402.0,2.7346938775510203,64.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_150,"score=(-1.001, 0.625]",133,91,42,0.6842105263157895,620.0,4.661654135338346,62.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_150,"score=(0.625, 0.65]",60,34,26,0.5666666666666667,-593.0,-9.883333333333333,64.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_150,"score=(0.65, 0.7]",64,48,16,0.75,327.0,5.109375,68.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_150,"score=(0.7, 0.8]",42,36,6,0.8571428571428571,358.0,8.523809523809524,75.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_150,"edge=(-3.0, 0.0]",259,188,71,0.7258687258687259,1124.0,4.33976833976834,64.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_150,"edge=(-5.0, -3.0]",50,30,20,0.6,-365.0,-7.3,64.0,-3.0
current,book_margin__long_minus_short_move_30_5m_le_150,"ask=(60.0, 70.0]",257,173,84,0.6731517509727627,354.0,1.377431906614786,63.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_150,"ask=(70.0, 80.0]",41,35,6,0.8536585365853658,341.0,8.317073170731707,75.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_150,"time=(-1.001, 600.0]",32,24,8,0.75,201.0,6.28125,64.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_150,"time=(600.0, 720.0]",48,34,14,0.7083333333333334,125.0,2.6041666666666665,65.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_150,"time=(720.0, 840.0]",160,117,43,0.73125,830.0,5.1875,64.0,-2.5
current,book_margin__long_minus_short_move_30_5m_le_150,"time=(840.0, 10000.0]",69,43,26,0.6231884057971014,-397.0,-5.753623188405797,64.0,-2.5
current,book_margin_edge_m5,split=holdout,65,46,19,0.7076923076923077,127.0,1.9538461538461538,65.0,-2.5
current,book_margin_edge_m5,split=train,190,135,55,0.7105263157894737,764.0,4.021052631578947,63.0,-2.5
current,book_margin_edge_m5,split=validation,64,45,19,0.703125,114.0,1.78125,64.5,-2.5
current,book_margin_edge_m5,side=no,163,116,47,0.7116564417177914,541.0,3.3190184049079754,64.0,-2.5
