market,decision_key,dataset,entry_key,entry_dt,entry_minute,side,outcome,outcome_available,win,qty,ask_cents,bid_cents,book_mid_cents,book_p_side,book_other_mid_cents,book_margin_cents,spread_cents,spot,strike,seconds_to_close,v28_sigma_t_dollars,source_line_no,position_open_logged,pending_logged,trust_state,outcome_method,outcome_source,side_sign,margin_dollars,margin_per_sqrt_sec,margin_per_sqrt_min,margin_per_v28_sigma,brownian_p_v28_sigma,rv_sigma_t_5m,margin_per_rv_sigma_5m,brownian_p_rv_5m,rv_sigma_t_15m,margin_per_rv_sigma_15m,brownian_p_rv_15m,rv_sigma_t_30m,margin_per_rv_sigma_30m,brownian_p_rv_30m,rv_sigma_t_60m,margin_per_rv_sigma_60m,brownian_p_rv_60m,btc_close_lag_1m,signed_move_1m,signed_velocity_dps_1m,adverse_move_1m,drift_projected_margin_1m,drift_p_1m_rv_15m,drift_p_1m_rv_30m,drift_p_1m_rv_60m,btc_close_lag_3m,signed_move_3m,signed_velocity_dps_3m,adverse_move_3m,drift_projected_margin_3m,drift_p_3m_rv_15m,drift_p_3m_rv_30m,drift_p_3m_rv_60m,btc_close_lag_5m,signed_move_5m,signed_velocity_dps_5m,adverse_move_5m,drift_projected_margin_5m,drift_p_5m_rv_15m,drift_p_5m_rv_30m,drift_p_5m_rv_60m,btc_close_lag_10m,signed_move_10m,signed_velocity_dps_10m,adverse_move_10m,drift_projected_margin_10m,drift_p_10m_rv_15m,drift_p_10m_rv_30m,drift_p_10m_rv_60m,btc_close_lag_15m,signed_move_15m,signed_velocity_dps_15m,adverse_move_15m,drift_projected_margin_15m,drift_p_15m_rv_15m,drift_p_15m_rv_30m,drift_p_15m_rv_60m,btc_close_lag_30m,signed_move_30m,signed_velocity_dps_30m,adverse_move_30m,drift_projected_margin_30m,drift_p_30m_rv_15m,drift_p_30m_rv_30m,drift_p_30m_rv_60m,btc_close_lag_60m,signed_move_60m,signed_velocity_dps_60m,adverse_move_60m,drift_projected_margin_60m,drift_p_60m_rv_15m,drift_p_60m_rv_30m,drift_p_60m_rv_60m,book_minus_brownian_rv15,physics_confirmed_book,score_mean_book_rv15,score_mean_book_rv15_drift5,score_min_book_rv15,opportunity_key,two_side_mode,score_mean_book_rv30,score_min_book_rv15_drift5,score_regime_blend,abs_book_rv15_gap,abs_book_rv30_gap,close_dt,split,entry_fee_cents,entry_cost_cents,gross_pnl_cents,net_pnl_cents,fee_aware_break_even_p
KXBTC15M-26APR302230-30,heartbeat:47,current,heartbeat:47:no,2026-05-01 02:19:59.043000+00:00,2026-05-01 02:19:00+00:00,no,no,True,True,1,83.0,82.0,82.5,0.825,17.5,65.0,1.0,76626.93,76652.0,600.957,,47,True,False,synced,bid>=98,latest_quote,-1.0,25.070000000006985,1.0226632152300452,7.921515202729792,,,100.05499504557208,0.2505622032022324,0.5989236964487648,81.97856798527502,0.3058116360913996,0.6201259658313492,80.8998637958818,0.3098892732781482,0.6216774198817057,67.58459995622411,0.370942493056781,0.6446598177375505,76659.07,32.14000000001397,0.5356666666668995,0.0,346.98263300014696,0.9999884498343548,0.999991027587853,0.9999998582127272,76660.69,33.76000000000931,0.1875555555556073,0.0,137.7828240000381,0.9535911121517584,0.955727942375789,0.9792586073856212,76675.97,49.04000000000815,0.1634666666666938,0.0,123.3064376000233,0.9337260736231066,0.9362688694727636,0.9659598812342742,76664.61,37.68000000000757,0.0628000000000126,0.0,62.81009960001456,0.7782145270497551,0.7812415542443449,0.8236474822611735,76623.2,-3.7299999999959255,-0.0041444444444399,3.7299999999959255,22.579367100009705,0.6085070982233471,0.609916978709015,0.6308443339620309,76662.66,35.73000000001048,0.0198500000000058,0.0,36.99899645001048,0.6741224200374611,0.6762877809977963,0.7079642141218512,76587.36,-39.56999999999243,-0.0109916666666645,39.56999999999243,18.46448097500825,0.5891019498981884,0.5902696673916064,0.6076523542059853,0.2048740341686508,True,0.7225629829156746,0.7929506798181519,0.6201259658313492,heartbeat:47,two_side_all_heartbeats,0.7233387099408528,0.6201259658313492,0.7852830044740261,0.2048740341686508,0.2033225801182943,2026-05-01 02:30:00+00:00,train,1,84.0,17.0,16.0,0.84
KXBTC15M-26APR302245-45,heartbeat:135,current,heartbeat:135:no,2026-05-01 02:33:30.292000+00:00,2026-05-01 02:33:00+00:00,no,no,True,True,1,82.0,81.0,81.5,0.815,18.5,63.0,1.0,76550.28,76603.27,689.708,,135,True,False,synced,bid>=98,latest_quote,-1.0,52.99000000000524,2.01772180713346,15.62920591261485,,,22.0390921764466,2.4043640080890527,0.9918996836681422,53.26680105270126,0.9948034977279344,0.8400840776188576,72.8365774750217,0.7275190822657398,0.7665459849920364,73.05662429077712,0.7253277921670253,0.7658745201865743,76560.37,10.089999999996508,0.1681666666666084,0.0,168.9758953332984,0.999243700311224,0.9898277176362072,0.9896371463385024,76597.08,46.80000000000291,0.2600000000000161,0.0,232.3140800000164,0.9999935362794315,0.999287465776032,0.9992634165248016,76609.75,59.47000000000117,0.1982333333333372,0.0,189.71311586667457,0.9998156738230176,0.9954014677989872,0.9952951040956008,76580.64,30.360000000000586,0.0506000000000009,0.0,87.8892248000059,0.9505266179551048,0.8862190805336003,0.885517416691831,76659.07,108.79000000000816,0.1208777777777868,0.0,136.36037035556703,0.9947656453110348,0.9694064764698274,0.9690144512320996,76593.88,43.60000000000582,0.0242222222222254,0.0,69.69626044445191,0.9046374575950455,0.8306874593794717,0.8299590132691388,76519.81,-30.470000000001164,-0.0084638888888892,30.470000000001164,47.15238812222724,0.8119787309982884,0.741304514674376,0.7406732825062633,-0.0250840776188576,True,0.8275420388094288,0.8849665838139584,0.815,heartbeat:135,two_side_all_heartbeats,0.7907729924960182,0.815,0.8594883580502608,0.02508407761885767,0.048454015007963536,2026-05-01 02:45:00+00:00,train,2,84.0,18.0,16.0,0.84
KXBTC15M-26APR302300-00,heartbeat:237,current,heartbeat:237:no,2026-05-01 02:55:02.195000+00:00,2026-05-01 02:55:00+00:00,no,no,True,True,1,85.0,84.0,84.5,0.845,15.5,69.0,1.0,76543.95,76574.18,297.805,,237,False,False,synced,bid>=98,latest_quote,-1.0,30.229999999995925,1.7517501148663532,13.568998043188632,,,35.23039566288663,0.8580658670218013,0.8045719531414206,25.02636142059245,1.2079262938767343,0.8864621926922849,28.941685966539147,1.044514132139581,0.8518762078673358,45.88048124276898,0.6588858525707016,0.7450154643506026,76546.69,2.7400000000052387,0.0456666666667539,0.0,43.8297616666886,0.9600566420667138,0.9350398591646903,0.830287756203788,76588.12,44.169999999998254,0.2453888888888792,0.0,103.3080380555486,0.9999817009087612,0.999821184664346,0.98782866385874,76570.94,26.99000000000524,0.0899666666666841,0.0,57.0225231666678,0.9886515486087896,0.9755954664256417,0.8930383108947633,76563.28,19.330000000001743,0.0322166666666695,0.0,39.82428441666346,0.9442282222487324,0.915591988845414,0.8073029929561755,76577.63,33.68000000000757,0.0374222222222306,0.0,41.37452488888732,0.950858754521756,0.9235815450915374,0.8164155849972761,76596.56,52.61000000000058,0.0292277777777781,0.0,38.93417836110713,0.940113451194705,0.9107298360014496,0.8019480585124188,76699.0,155.0500000000029,0.0430694444444452,0.0,43.05629590277394,0.9573235462691932,0.9315838452495068,0.8259920463919459,-0.0414621926922849,True,0.8657310963461424,0.9067045804336914,0.845,heartbeat:237,two_side_all_heartbeats,0.8484381039336679,0.845,0.8861689675294433,0.041462192692284905,0.006876207867335782,2026-05-01 03:00:00+00:00,train,1,86.0,15.0,14.0,0.86
KXBTC15M-26APR302315-15,heartbeat:295,current,heartbeat:295:yes,2026-05-01 03:08:03.262000+00:00,2026-05-01 03:08:00+00:00,yes,yes,True,True,1,90.0,90.0,90.0,0.9,10.0,80.0,0.0,76618.34,76566.01,416.738,,295,False,False,synced,bid>=98,latest_quote,1.0,52.33000000000175,2.56341654573138,19.85613918202035,,,85.81728223069788,0.6097839344215759,0.7289975274098122,66.97690294387257,0.7813141202401505,0.7826911163540005,51.36350684993664,1.0188167282442149,0.8458550087552565,52.92433587100368,0.9887700835311272,0.8386121777777771,76553.61,64.72999999999593,1.0788333333332654,0.0,501.9208456666401,0.9999999999999666,1.0,1.0,76523.2,95.13999999999942,0.5285555555555523,0.0,272.5991851111115,0.9999764982365242,0.9999999443555224,0.9999998702656292,76545.99,72.34999999999127,0.2411666666666375,0.0,152.83331433332296,0.988751813064265,0.9985375546215984,0.9980600832786826,76510.2,108.13999999999942,0.1802333333333323,0.0,127.440078866668,0.9714631953253828,0.993451863601954,0.9919791947262738,76573.1,45.23999999999069,0.0502666666666563,0.0,73.27803013333077,0.8630398574866129,0.9231603924916107,0.9169096884637452,76607.15,11.190000000002328,0.0062166666666679,0.0,54.92072123333562,0.7938905029462009,0.8575227613999379,0.8503001339127886,76624.6,-6.260000000009313,-0.0017388888888914,6.260000000009313,51.60533892222289,0.7794967076723629,0.8424813220400944,0.8352391367228557,0.1173088836459995,True,0.8413455581770002,0.8904809764727551,0.7826911163540005,heartbeat:295,two_side_all_heartbeats,0.8729275043776283,0.7826911163540005,0.8825576975190532,0.11730888364599956,0.05414499124474348,2026-05-01 03:15:00+00:00,train,1,91.0,10.0,9.0,0.91
KXBTC15M-26APR302330-30,heartbeat:359,current,heartbeat:359:yes,2026-05-01 03:17:04.128000+00:00,2026-05-01 03:17:00+00:00,yes,yes,True,True,1,85.0,84.0,84.5,0.845,15.5,69.0,1.0,76732.56,76668.47,775.872,,359,True,False,synced,bid>=98,latest_quote,1.0,64.08999999999651,2.300886690967177,17.822591671252333,,,63.047327607120806,1.0165379316213543,0.8453133529867535,82.77069681579101,0.7743078464426967,0.7806256176500028,77.02036623678534,0.8321175700848171,0.7973287073446015,70.04039628087806,0.915043366445,0.8199155678693344,76700.0,32.55999999999767,0.5426666666666279,0.0,485.1298719999664,0.9999999977013704,0.9999999998499453,0.999999999997842,76664.51,68.05000000000291,0.3780555555555717,0.0,357.4127200000091,0.9999921313408504,0.999998262132505,0.9999998328013192,76651.63,80.92999999999302,0.2697666666666434,0.0,273.39440319997846,0.9995217755823014,0.9998071192434936,0.9999525710431856,76553.61,178.9499999999971,0.2982499999999951,0.0,295.49382399999274,0.9998215294415992,0.999937617009776,0.9999877254518188,76529.7,202.86000000000055,0.2254000000000006,0.0,238.971548799997,0.9980562655667918,0.9990411996609088,0.9996774533024098,76555.49,177.06999999999243,0.098372222222218,0.0,140.41425279999322,0.955097258384698,0.9658543265162992,0.9775056965399836,76692.19,40.36999999999534,0.0112138888888875,0.0,72.7905423999955,0.8104143048112118,0.827691428776806,0.8506592791690114,0.0643743823499971,True,0.8128128088250014,0.8750491310774348,0.7806256176500028,heartbeat:359,two_side_all_heartbeats,0.8211643536723008,0.7806256176500028,0.8565920404114611,0.06437438234999715,0.04767129265539849,2026-05-01 03:30:00+00:00,train,1,86.0,15.0,14.0,0.86
KXBTC15M-26APR302345-45,heartbeat:461,current,heartbeat:461:no,2026-05-01 03:39:35.807000+00:00,2026-05-01 03:39:00+00:00,no,no,True,True,1,84.0,83.0,83.5,0.835,16.5,67.0,1.0,77171.23,77219.61,324.193,,461,False,False,synced,bid>=98,latest_quote,-1.0,48.38000000000466,2.6869776088371444,20.81323906131697,,,60.5566256845859,0.7989216613883973,0.787832081108655,101.88434131523236,0.474852164478503,0.6825538255345505,190.8924761548562,0.2534411045135049,0.6000363162979236,139.10451760160927,0.3477960373549001,0.6360033170814127,77209.82,38.59000000001106,0.643166666666851,0.0,256.89013116673107,0.9941553845873052,0.9108055335356756,0.9676077168254228,77226.23,55.0,0.3055555555555556,0.0,147.43897222222688,0.9260684845106892,0.7800513341346942,0.8554083767275202,77196.01,24.77999999999884,0.0825999999999961,0.0,75.1583418000034,0.7696464333334561,0.6531064150059961,0.7055053444685013,77264.72,93.49000000000524,0.1558166666666754,0.0,98.89467261667414,0.83414025738402,0.6977934709712139,0.7614386383607651,77346.0,174.77000000000407,0.1941888888888934,0.0,111.33467845556169,0.8627494265676294,0.720131571175421,0.7882509297074147,76640.0,-531.2299999999959,-0.2951277777777755,531.2299999999959,-47.29835966110571,0.3212394039656048,0.4021542973592761,0.366920620678861,76603.9,-567.3300000000017,-0.1575916666666671,567.3300000000017,-2.710115191662169,0.4893894190690264,0.4943363759656511,0.4922280659187376,0.1524461744654495,True,0.7587769127672752,0.7624000862893355,0.6825538255345505,heartbeat:461,two_side_all_heartbeats,0.7175181581489618,0.6825538255345505,0.7761954343270564,0.1524461744654495,0.23496368370207632,2026-05-01 03:45:00+00:00,train,1,85.0,16.0,15.0,0.85
KXBTC15M-26MAY010000-00,heartbeat:531,current,heartbeat:531:no,2026-05-01 03:55:37.207000+00:00,2026-05-01 03:55:00+00:00,no,no,True,True,1,83.0,82.0,82.5,0.825,17.5,65.0,1.0,77109.41,77133.88,262.793,,531,False,False,synced,bid>=98,latest_quote,-1.0,24.470000000001164,1.509478991339784,11.692373989817908,,,40.79706898807738,0.5997979905652616,0.7256795636570983,47.20059712273122,0.5184256448361056,0.6979193370508877,74.35372957681993,0.3291025230243431,0.6289609013622934,127.78756436534871,0.1914896815001548,0.575929018033403,77118.32,8.910000000003492,0.1485000000000582,0.0,63.49476050001646,0.910721440846781,0.8034351178940495,0.6903622666405841,77158.64,49.229999999995925,0.2734999999999774,0.0,96.34388549999522,0.9793824471160502,0.902469279044752,0.7745567385289354,77126.09,16.679999999993015,0.0555999999999767,0.0,39.081290799995045,0.7961599289939648,0.7004214571707468,0.6201330168204762,77126.0,16.589999999996508,0.0276499999999941,0.0,31.736226449999634,0.7493256485847787,0.6652475612234666,0.5980687515043562,77104.59,-4.820000000006985,-0.0053555555555633,4.820000000006985,23.062597488888013,0.6874404369023037,0.6217856987066865,0.57161058058805,77293.84,184.42999999999304,0.1024611111111072,0.0,51.396062772222365,0.8618978886813959,0.7552917505539782,0.656231303574182,76543.95,-565.4600000000064,-0.157072222222224,565.4600000000064,-16.80748049444375,0.3608880119334275,0.4105822079404433,0.4476793213229766,0.1270806629491122,True,0.7614596685254438,0.7730264220149508,0.6979193370508877,heartbeat:531,two_side_all_heartbeats,0.7269804506811467,0.6979193370508877,0.7811077869140592,0.12708066294911224,0.19603909863770652,2026-05-01 04:00:00+00:00,train,1,84.0,17.0,16.0,0.84
KXBTC15M-26MAY010030-30,heartbeat:684,current,heartbeat:684:no,2026-05-01 04:27:39.843000+00:00,2026-05-01 04:27:00+00:00,no,no,True,True,1,85.0,84.0,84.5,0.845,15.5,69.0,1.0,77144.21,77131.71,140.157,,684,False,False,synced,bid>=98,latest_quote,-1.0,-12.5,-1.055850953584423,-8.17858631861938,,,25.855159349485167,-0.4834625008895527,0.3143836896978281,46.58707111930949,-0.2683147856191152,0.3942285130429472,39.25752479837473,-0.3184102936748957,0.3750868655333191,44.03229394519535,-0.2838825525546791,0.3882501938590088,77139.06,-5.150000000008731,-0.0858333333334788,5.150000000008731,-24.5301425000204,0.2992551466280007,0.2660341023392391,0.2887314812870001,77116.01,-28.20000000001164,-0.1566666666667313,28.20000000001164,-34.45793000000907,0.2297574814220356,0.1900422072892907,0.2169426488421142,77107.93,-36.28000000001339,-0.1209333333333779,36.28000000001339,-29.449653200006257,0.2636469840671377,0.2265774214984041,0.2518053392681406,77132.24,-11.970000000001164,-0.0199500000000019,11.970000000001164,-15.296132150000272,0.3713294663655193,0.3484029842923293,0.3641512745747568,77104.59,-39.620000000009895,-0.0440222222222332,39.620000000009895,-18.67002260000154,0.3443000911689728,0.3171874581060638,0.3357801740762799,77049.14,-95.07000000000698,-0.0528166666666705,95.07000000000698,-19.902625550000543,0.334611915882949,0.3060858054241546,0.3256342565509945,77236.44,92.22999999999593,0.0256194444444433,0.0,-8.909255525000159,0.424169253700848,0.4102336851695224,0.4198275856025205,0.4507714869570527,False,0.6196142565214736,0.500958499036695,0.3942285130429472,heartbeat:684,two_side_all_heartbeats,0.6100434327666595,0.2636469840671377,0.5934979507263117,0.45077148695705277,0.46991313446668087,2026-05-01 04:30:00+00:00,train,1,86.0,15.0,14.0,0.86
KXBTC15M-26MAY010045-45,heartbeat:725,current,heartbeat:725:yes,2026-05-01 04:36:25.596000+00:00,2026-05-01 04:36:00+00:00,yes,yes,True,True,1,82.0,81.0,81.5,0.815,18.5,63.0,1.0,77039.27,76977.88,514.404,,725,False,False,synced,bid>=98,latest_quote,1.0,61.38999999999942,2.7067332933383765,20.96626593544937,,,57.775283857735324,1.0625650953297765,0.8560103884647521,95.86358745065368,0.6403891366114405,0.7390401781817504,89.92770486691344,0.6826594773084915,0.7525889793385437,83.5902185265156,0.7344160726236878,0.7686524030047808,77051.75,-12.479999999995924,-0.2079999999999321,12.479999999995924,-45.60603199996565,0.3171302229076631,0.3060279217678042,0.2926737161767512,77011.63,27.639999999999414,0.1535555555555523,0.0,140.37959199999773,0.9284533182858464,0.9407413316189782,0.9534608219028444,77005.38,33.88999999999942,0.1129666666666647,0.0,119.50050519999844,0.8937220766839734,0.9080514056095134,0.9235839499115726,77139.06,-99.7899999999936,-0.1663166666666559,99.7899999999936,-24.163958599995084,0.400494994324529,0.3940786314773951,0.3862614604022789,77094.41,-55.13999999999942,-0.061266666666666,55.13999999999942,29.87418159999975,0.6223399737594701,0.6301317095253769,0.6395995021959016,77097.79,-58.51999999998952,-0.0325111111111052,58.51999999998952,44.66615440000241,0.6793688136592356,0.6902960159361456,0.703449143565298,77226.23,-186.95999999999185,-0.051933333333331,186.95999999999185,34.67528560000058,0.6412174451549129,0.6501000846386187,0.6608648742084925,0.0759598218182495,True,0.7770200890908752,0.8159207516219079,0.7390401781817504,heartbeat:725,two_side_all_heartbeats,0.7837944896692719,0.7390401781817504,0.8079564687913199,0.07595982181824956,0.06241102066145621,2026-05-01 04:45:00+00:00,train,2,84.0,18.0,16.0,0.84
KXBTC15M-26MAY010100-00,heartbeat:797,current,heartbeat:797:yes,2026-05-01 04:53:12.320000+00:00,2026-05-01 04:53:00+00:00,yes,no,True,False,1,82.0,81.0,81.5,0.815,18.5,63.0,1.0,77074.13,77042.93,407.68,,797,False,False,synced,bid>=98,last_decisive_quote,1.0,31.20000000001164,1.545236260913715,11.969348608949272,,,39.966369822892126,0.7806563402748867,0.7824976772082175,54.72874777730165,0.5700843024395237,0.7156897392736729,69.26819562211621,0.4504231663578947,0.6737973280641943,69.3188416384204,0.4500940763372313,0.6736786960502134,77050.29,23.84000000001106,0.3973333333335176,0.0,193.1848533334201,0.9997921107037664,0.9973559583496848,0.9973392756755476,77026.83,47.30000000000291,0.2627777777777939,0.0,138.3292444444627,0.9942568064881304,0.9770879242935732,0.9770085602992422,77031.45,42.68000000000757,0.1422666666666918,0.0,89.19927466668858,0.9484326742817176,0.9010813767722716,0.9009174665299068,77014.84,59.29000000000815,0.0988166666666802,0.0,71.48557866668385,0.9042542706164374,0.8489666490842465,0.848789969910287,77036.0,38.13000000000466,0.0423666666666718,0.0,48.472042666680416,0.8121044410407054,0.7579655940100906,0.7578058936483845,77135.07,-60.94000000000233,-0.0338555555555568,60.94000000000233,17.397767111122228,0.6247161260395717,0.5991568441835661,0.5990859067968062,77130.52,-56.38999999999942,-0.0156638888888887,56.38999999999942,24.814145777789484,0.6748704969364263,0.639915481503966,0.6398175498273813,0.0993102607263271,True,0.7653448696368363,0.8263741378517967,0.7156897392736729,heartbeat:797,two_side_all_heartbeats,0.7443986640320972,0.7156897392736729,0.8118934566384454,0.0993102607263271,0.1412026719358056,2026-05-01 05:00:00+00:00,train,2,84.0,-82.0,-84.0,0.84
