feature,train_top80_threshold,target_pass,pass_80_retention,all_rows,all_wins,all_losses,all_base_rows,all_accuracy,all_retention,train_rows,train_wins,train_losses,train_base_rows,train_accuracy,train_retention,validation_rows,validation_wins,validation_losses,validation_base_rows,validation_accuracy,validation_retention,holdout_rows,holdout_wins,holdout_losses,holdout_base_rows,holdout_accuracy,holdout_retention
brownian_p_rv_15m,0.5629897462905181,False,True,3477,2893,584,4310,0.8320391141788899,0.8067285382830627,2069,1680,389,2586,0.8119864668922184,0.800077339520495,699,607,92,862,0.8683834048640916,0.8109048723897911,709,606,103,862,0.8547249647390691,0.8225058004640371
score_regime_blend,0.593716667620231,False,True,3482,2899,583,4310,0.8325674899483055,0.8078886310904873,2069,1684,385,2586,0.8139197680038666,0.800077339520495,699,604,95,862,0.8640915593705293,0.8109048723897911,714,611,103,862,0.8557422969187675,0.8283062645011601
score_min_book_rv15,0.5442227117950271,False,True,3489,2905,584,4310,0.8326167956434508,0.8095127610208817,2069,1685,384,2586,0.8144030932817786,0.800077339520495,700,604,96,862,0.8628571428571429,0.8120649651972158,720,616,104,862,0.8555555555555555,0.8352668213457076
score_mean_book_rv15,0.5672363491082099,False,True,3507,2909,598,4310,0.8294838893641289,0.8136890951276102,2069,1682,387,2586,0.8129531174480426,0.800077339520495,714,612,102,862,0.8571428571428571,0.8283062645011601,724,615,109,862,0.8494475138121547,0.839907192575406
brownian_p_rv_30m,0.5579101828280624,False,True,3496,2888,608,4310,0.8260869565217391,0.8111368909512761,2069,1672,397,2586,0.8081198646689222,0.800077339520495,708,605,103,862,0.8545197740112994,0.8213457076566125,719,611,108,862,0.8497913769123783,0.834106728538283
book_p_side,0.575,False,True,3529,2934,595,4310,0.8313969963162369,0.8187935034802785,2070,1686,384,2586,0.8144927536231884,0.8004640371229699,720,615,105,862,0.8541666666666666,0.8352668213457076,739,633,106,862,0.8565629228687416,0.857308584686775
drift_p_5m_rv_15m,0.6885160302834524,False,True,3512,2813,699,4310,0.8009681093394078,0.8148491879350348,2069,1631,438,2586,0.7883035282745288,0.800077339520495,721,593,128,862,0.8224687933425797,0.8364269141531323,722,589,133,862,0.8157894736842105,0.8375870069605569
