market,entry_dt,side,split_base,outcome_base,win_base,entry_ask_cents_base,entry_p_side_base,entry_seconds_to_close_base,exit_type_base,exit_dt_base,exit_bid_cents_base,exit_p_side_base,settled_base,fee_1c_cents_base,split_asym,outcome_asym,win_asym,entry_ask_cents_asym,entry_p_side_asym,entry_seconds_to_close_asym,exit_type_asym,exit_dt_asym,exit_bid_cents_asym,exit_p_side_asym,settled_asym,fee_1c_cents_asym,delta_fee_1c_cents,abs_delta_fee_1c_cents
KXBTC15M-26MAY041330-30,2026-05-04 17:22:41.868000+00:00,yes,holdout,yes,True,77.0,0.7860455635425408,438.132,settlement_win,,,,True,41.0,holdout,yes,True,77.0,0.7860455635425408,438.132,settlement_win,,,,True,41.0,0.0,0.0
KXBTC15M-26MAY041345-45,2026-05-04 17:36:58.208000+00:00,no,holdout,no,True,85.0,0.8506063352919964,481.792,settlement_win,,,,True,26.0,holdout,no,True,85.0,0.8506063352919964,481.792,settlement_win,,,,True,26.0,0.0,0.0
KXBTC15M-26MAY041400-00,2026-05-04 17:52:44.512000+00:00,yes,holdout,yes,True,97.0,0.9724233223218626,435.488,settlement_win,,,,True,3.0,holdout,yes,True,97.0,0.9724233223218626,435.488,settlement_win,,,,True,3.0,0.0,0.0
KXBTC15M-26MAY041415-15,2026-05-04 18:06:46.624000+00:00,no,holdout,no,True,67.0,0.6836257895606167,493.376,settlement_win,,,,True,60.0,holdout,no,True,67.0,0.6836257895606167,493.376,settlement_win,,,,True,60.0,0.0,0.0
KXBTC15M-26MAY041500-00,2026-05-04 18:57:33.100000+00:00,no,holdout,no,True,88.0,0.9379157310554809,146.9,settlement_win,,,,True,20.0,holdout,no,True,88.0,0.9379157310554809,146.9,settlement_win,,,,True,20.0,0.0,0.0
KXBTC15M-26MAY041515-15,2026-05-04 19:11:19.315000+00:00,no,holdout,no,True,81.0,0.8443270052359647,220.685,settlement_win,,,,True,33.0,holdout,no,True,81.0,0.8443270052359647,220.685,settlement_win,,,,True,33.0,0.0,0.0
KXBTC15M-26MAY041530-30,2026-05-04 19:27:20.647000+00:00,no,holdout,no,True,99.0,0.9933270125601988,159.353,settlement_win,,,,True,-1.0,holdout,no,True,99.0,0.9933270125601988,159.353,settlement_win,,,,True,-1.0,0.0,0.0
KXBTC15M-26MAY041545-45,2026-05-04 19:39:21.536000+00:00,yes,holdout,yes,True,63.0,0.6768499683026512,338.464,probability_reduce,2026-05-04 19:40:06.592000+00:00,39.0,0.4322594841171409,False,-58.0,holdout,yes,True,63.0,0.6768499683026512,338.464,probability_reduce,2026-05-04 19:40:06.592000+00:00,39.0,0.4322594841171409,False,-58.0,0.0,0.0
KXBTC15M-26MAY041630-30,2026-05-04 20:22:54.959000+00:00,no,holdout,no,True,90.0,0.9036113809958006,425.041,settlement_win,,,,True,16.0,holdout,no,True,90.0,0.9036113809958006,425.041,settlement_win,,,,True,16.0,0.0,0.0
KXBTC15M-26MAY041800-00,2026-05-04 21:52:48.178000+00:00,yes,holdout,yes,True,85.0,0.8725484951837874,431.822,settlement_win,,,,True,26.0,holdout,yes,True,85.0,0.8725484951837874,431.822,settlement_win,,,,True,26.0,0.0,0.0
KXBTC15M-26MAY010115-15,2026-05-01 05:05:13.411000+00:00,yes,train,yes,True,80.0,0.8418310894361716,586.589,settlement_win,,,,True,35.0,train,yes,True,80.0,0.8418310894361716,586.589,settlement_win,,,,True,35.0,0.0,0.0
KXBTC15M-26MAY010100-00,2026-05-01 04:55:27.515000+00:00,no,train,no,True,69.0,0.7050000000000001,272.485,settlement_win,,,,True,57.0,train,no,True,69.0,0.7050000000000001,272.485,settlement_win,,,,True,57.0,0.0,0.0
KXBTC15M-26MAY010045-45,2026-05-01 04:35:10.431000+00:00,yes,train,yes,True,79.0,0.864672124644804,589.569,settlement_win,,,,True,37.0,train,yes,True,79.0,0.864672124644804,589.569,settlement_win,,,,True,37.0,0.0,0.0
KXBTC15M-26MAY010030-30,2026-05-01 04:21:24.257000+00:00,no,train,no,True,65.0,0.66,515.743,probability_reduce,2026-05-01 04:22:54.413000+00:00,45.0,0.475,False,-50.0,train,no,True,65.0,0.66,515.743,probability_reduce,2026-05-01 04:22:54.413000+00:00,45.0,0.475,False,-50.0,0.0,0.0
KXBTC15M-26MAY010000-00,2026-05-01 03:55:07.114000+00:00,no,train,no,True,64.0,0.6655875073561395,292.886,settlement_win,,,,True,66.0,train,no,True,64.0,0.6655875073561395,292.886,settlement_win,,,,True,66.0,0.0,0.0
KXBTC15M-26MAY010815-15,2026-05-01 12:07:07.854000+00:00,no,train,yes,False,71.0,0.7280819011030994,472.146,probability_reduce,2026-05-01 12:08:23.007000+00:00,45.0,0.475,False,-61.0,train,yes,False,71.0,0.7280819011030994,472.146,probability_reduce,2026-05-01 12:08:23.007000+00:00,45.0,0.475,False,-61.0,0.0,0.0
