opportunity_key,entry_dt,market,side,outcome,win_bool,ask_cents,split,v28_live_surface_p_side,v28_live_surface_p_yes,model,p_side,p_yes,edge_cents,threshold_cents,v37_piecewise_dynamic_temp_antipersist3_p_side,v37_piecewise_dynamic_temp_antipersist3_p_yes,v38_long60_antipersist_p_side,v38_long60_antipersist_p_yes
KXBTC15M-26MAY011215-15|2026-05-01 16:00:00+00:00,2026-05-01 16:00:42.088000+00:00,KXBTC15M-26MAY011215-15,no,no,True,32.0,train,0.5446386228123543,0.4553613771876457,v28_live_surface,0.5446386228123543,0.4553613771876457,22.46386228123543,-1.75,,,,
KXBTC15M-26MAY011230-30|2026-05-01 16:15:00+00:00,2026-05-01 16:15:43.375000+00:00,KXBTC15M-26MAY011230-30,no,no,True,53.0,train,0.5376118577010018,0.4623881422989981,v28_live_surface,0.5376118577010018,0.4623881422989981,0.7611857701001838,-1.75,,,,
KXBTC15M-26MAY011245-45|2026-05-01 16:30:00+00:00,2026-05-01 16:30:44.551000+00:00,KXBTC15M-26MAY011245-45,yes,no,False,47.0,train,0.466388570660539,0.466388570660539,v28_live_surface,0.466388570660539,0.466388570660539,-0.3611429339460983,-1.75,,,,
KXBTC15M-26MAY011300-00|2026-05-01 16:45:00+00:00,2026-05-01 16:45:31.008000+00:00,KXBTC15M-26MAY011300-00,yes,no,False,40.0,train,0.5051703119421405,0.5051703119421405,v28_live_surface,0.5051703119421405,0.5051703119421405,10.517031194214049,-1.75,,,,
KXBTC15M-26MAY011315-15|2026-05-01 17:00:00+00:00,2026-05-01 17:00:32.370000+00:00,KXBTC15M-26MAY011315-15,no,yes,False,42.0,train,0.5525003377699356,0.4474996622300645,v28_live_surface,0.5525003377699356,0.4474996622300645,13.250033776993554,-1.75,,,,
KXBTC15M-26MAY011330-30|2026-05-01 17:15:00+00:00,2026-05-01 17:15:48.701000+00:00,KXBTC15M-26MAY011330-30,no,no,True,37.0,train,0.3906427330171467,0.6093572669828533,v28_live_surface,0.3906427330171467,0.6093572669828533,2.064273301714671,-1.75,,,,
KXBTC15M-26MAY011345-45|2026-05-01 17:30:00+00:00,2026-05-01 17:30:20.097000+00:00,KXBTC15M-26MAY011345-45,no,yes,False,38.0,train,0.3766390718735919,0.6233609281264081,v28_live_surface,0.3766390718735919,0.6233609281264081,-0.3360928126408069,-1.75,,,,
KXBTC15M-26MAY011400-00|2026-05-01 17:45:00+00:00,2026-05-01 17:45:21.375000+00:00,KXBTC15M-26MAY011400-00,yes,yes,True,44.0,train,0.4953152329875644,0.4953152329875644,v28_live_surface,0.4953152329875644,0.4953152329875644,5.53152329875644,-1.75,,,,
KXBTC15M-26MAY011415-15|2026-05-01 18:00:00+00:00,2026-05-01 18:00:22.742000+00:00,KXBTC15M-26MAY011415-15,no,no,True,45.0,train,0.5288236177464757,0.4711763822535243,v28_live_surface,0.5288236177464757,0.4711763822535243,7.8823617746475705,-1.75,,,,
KXBTC15M-26MAY011430-30|2026-05-01 18:15:00+00:00,2026-05-01 18:15:38.820000+00:00,KXBTC15M-26MAY011430-30,no,yes,False,37.0,train,0.5406982202512882,0.4593017797487117,v28_live_surface,0.5406982202512882,0.4593017797487117,17.069822025128822,-1.75,,,,
KXBTC15M-26MAY011445-45|2026-05-01 18:30:00+00:00,2026-05-01 18:30:39.889000+00:00,KXBTC15M-26MAY011445-45,yes,no,False,46.0,train,0.6060625773714378,0.6060625773714378,v28_live_surface,0.6060625773714378,0.6060625773714378,14.606257737143778,-1.75,,,,
KXBTC15M-26MAY011500-00|2026-05-01 18:45:00+00:00,2026-05-01 18:45:26.151000+00:00,KXBTC15M-26MAY011500-00,yes,no,False,47.0,train,0.5055604042157745,0.5055604042157745,v28_live_surface,0.5055604042157745,0.5055604042157745,3.5560404215774497,-1.75,,,,
KXBTC15M-26MAY011515-15|2026-05-01 19:00:00+00:00,2026-05-01 19:00:27.401000+00:00,KXBTC15M-26MAY011515-15,yes,yes,True,54.0,train,0.5431183702876753,0.5431183702876753,v28_live_surface,0.5431183702876753,0.5431183702876753,0.3118370287675276,-1.75,,,,
KXBTC15M-26MAY011530-30|2026-05-01 19:15:00+00:00,2026-05-01 19:15:43.726000+00:00,KXBTC15M-26MAY011530-30,yes,no,False,40.0,train,0.4842526242809773,0.4842526242809773,v28_live_surface,0.4842526242809773,0.4842526242809773,8.425262428097732,-1.75,,,,
KXBTC15M-26MAY011545-45|2026-05-01 19:30:00+00:00,2026-05-01 19:30:44.988000+00:00,KXBTC15M-26MAY011545-45,yes,no,False,48.0,train,0.4802899932511748,0.4802899932511748,v28_live_surface,0.4802899932511748,0.4802899932511748,0.02899932511747494,-1.75,,,,
KXBTC15M-26MAY011600-00|2026-05-01 19:45:00+00:00,2026-05-01 19:45:16.208000+00:00,KXBTC15M-26MAY011600-00,no,yes,False,39.0,train,0.4475795959717693,0.5524204040282307,v28_live_surface,0.4475795959717693,0.5524204040282307,5.757959597176928,-1.75,,,,
KXBTC15M-26MAY011615-15|2026-05-01 20:00:00+00:00,2026-05-01 20:00:32.836000+00:00,KXBTC15M-26MAY011615-15,no,no,True,57.0,train,0.6073100321941145,0.3926899678058855,v28_live_surface,0.6073100321941145,0.3926899678058855,3.7310032194114484,-1.75,,,,
KXBTC15M-26MAY011630-30|2026-05-01 20:15:00+00:00,2026-05-01 20:15:19.108000+00:00,KXBTC15M-26MAY011630-30,yes,no,False,49.0,train,0.5183889624835905,0.5183889624835905,v28_live_surface,0.5183889624835905,0.5183889624835905,2.838896248359049,-1.75,,,,
KXBTC15M-26MAY011645-45|2026-05-01 20:30:00+00:00,2026-05-01 20:30:20.353000+00:00,KXBTC15M-26MAY011645-45,no,no,True,50.0,train,0.5078295017955579,0.4921704982044421,v28_live_surface,0.5078295017955579,0.4921704982044421,0.7829501795557832,-1.75,,,,
KXBTC15M-26MAY011700-00|2026-05-01 20:45:00+00:00,2026-05-01 20:45:36.688000+00:00,KXBTC15M-26MAY011700-00,no,no,True,50.0,train,0.50136489130645,0.49863510869355,v28_live_surface,0.50136489130645,0.49863510869355,0.13648913064500334,-1.75,,,,
KXBTC15M-26MAY011715-15|2026-05-01 21:00:00+00:00,2026-05-01 21:00:37.980000+00:00,KXBTC15M-26MAY011715-15,yes,yes,True,51.0,train,0.517060393025856,0.517060393025856,v28_live_surface,0.517060393025856,0.517060393025856,0.7060393025856015,-1.75,,,,
KXBTC15M-26MAY011730-30|2026-05-01 21:15:00+00:00,2026-05-01 21:15:24.266000+00:00,KXBTC15M-26MAY011730-30,yes,yes,True,53.0,train,0.5444539551555394,0.5444539551555394,v28_live_surface,0.5444539551555394,0.5444539551555394,1.4453955155539404,-1.75,,,,
KXBTC15M-26MAY011745-45|2026-05-01 21:30:00+00:00,2026-05-01 21:30:25.593000+00:00,KXBTC15M-26MAY011745-45,no,yes,False,44.0,train,0.4846854362826911,0.5153145637173089,v28_live_surface,0.4846854362826911,0.5153145637173089,4.46854362826911,-1.75,,,,
KXBTC15M-26MAY011800-00|2026-05-01 21:45:00+00:00,2026-05-01 21:45:41.746000+00:00,KXBTC15M-26MAY011800-00,no,yes,False,35.0,train,0.4528268018683775,0.5471731981316225,v28_live_surface,0.4528268018683775,0.5471731981316225,10.282680186837752,-1.75,,,,
KXBTC15M-26MAY011815-15|2026-05-01 22:00:00+00:00,2026-05-01 22:00:42.839000+00:00,KXBTC15M-26MAY011815-15,no,yes,False,39.0,train,0.4789738366059118,0.5210261633940881,v28_live_surface,0.4789738366059118,0.5210261633940881,8.897383660591181,-1.75,,,,
KXBTC15M-26MAY011830-30|2026-05-01 22:15:00+00:00,2026-05-01 22:15:29.092000+00:00,KXBTC15M-26MAY011830-30,no,yes,False,55.0,train,0.5616700117796971,0.4383299882203029,v28_live_surface,0.5616700117796971,0.4383299882203029,1.1670011779697091,-1.75,,,,
KXBTC15M-26MAY011845-45|2026-05-01 22:30:00+00:00,2026-05-01 22:30:30.403000+00:00,KXBTC15M-26MAY011845-45,yes,no,False,48.0,train,0.5184771677125731,0.5184771677125731,v28_live_surface,0.5184771677125731,0.5184771677125731,3.8477167712573106,-1.75,,,,
KXBTC15M-26MAY011900-00|2026-05-01 22:45:00+00:00,2026-05-01 22:45:31.535000+00:00,KXBTC15M-26MAY011900-00,yes,no,False,53.0,train,0.5822638245123554,0.5822638245123554,v28_live_surface,0.5822638245123554,0.5822638245123554,5.226382451235537,-1.75,,,,
KXBTC15M-26MAY011915-15|2026-05-01 23:00:00+00:00,2026-05-01 23:00:47.841000+00:00,KXBTC15M-26MAY011915-15,yes,no,False,44.0,train,0.5207773509991399,0.5207773509991399,v28_live_surface,0.5207773509991399,0.5207773509991399,8.077735099913994,-1.75,,,,
KXBTC15M-26MAY011930-30|2026-05-01 23:15:00+00:00,2026-05-01 23:15:34.098000+00:00,KXBTC15M-26MAY011930-30,yes,no,False,41.0,train,0.4337584214529765,0.4337584214529765,v28_live_surface,0.4337584214529765,0.4337584214529765,2.3758421452976464,-1.75,,,,
