opportunity_key,entry_dt,market,side,outcome,win_bool,ask_cents,split,v28_live_surface_p_side,v28_live_surface_p_yes,model,p_side,p_yes,edge_cents,threshold_cents,v37_piecewise_dynamic_temp_antipersist3_p_side,v37_piecewise_dynamic_temp_antipersist3_p_yes,v38_long60_antipersist_p_side,v38_long60_antipersist_p_yes
KXBTC15M-26MAY011945-45|2026-05-01 23:30:00+00:00,2026-05-01 23:30:20.436000+00:00,KXBTC15M-26MAY011945-45,no,yes,False,51.0,train,0.5252183549742979,0.4747816450257021,v28_live_surface,0.5252183549742979,0.4747816450257021,1.521835497429791,-1.75,,,,
KXBTC15M-26MAY012000-00|2026-05-01 23:45:00+00:00,2026-05-01 23:45:24.835000+00:00,KXBTC15M-26MAY012000-00,no,yes,False,51.0,train,0.5883656946739584,0.4116343053260416,v28_live_surface,0.5883656946739584,0.4116343053260416,7.83656946739584,-1.75,,,,
KXBTC15M-26MAY012015-15|2026-05-02 00:00:00+00:00,2026-05-02 00:00:26.273000+00:00,KXBTC15M-26MAY012015-15,no,no,True,42.0,train,0.4539381272394435,0.5460618727605565,v28_live_surface,0.4539381272394435,0.5460618727605565,3.3938127239443503,-1.75,,,,
KXBTC15M-26MAY012030-30|2026-05-02 00:15:00+00:00,2026-05-02 00:15:42.506000+00:00,KXBTC15M-26MAY012030-30,no,yes,False,49.0,train,0.506711016951383,0.493288983048617,v28_live_surface,0.506711016951383,0.493288983048617,1.6711016951382973,-1.75,,,,
KXBTC15M-26MAY012045-45|2026-05-02 00:30:00+00:00,2026-05-02 00:30:44.031000+00:00,KXBTC15M-26MAY012045-45,no,yes,False,48.0,train,0.5191256237756259,0.4808743762243742,v28_live_surface,0.5191256237756259,0.4808743762243742,3.912562377562587,-1.75,,,,
KXBTC15M-26MAY012100-00|2026-05-02 00:45:00+00:00,2026-05-02 00:45:30.373000+00:00,KXBTC15M-26MAY012100-00,no,yes,False,37.0,train,0.4863137075052181,0.5136862924947819,v28_live_surface,0.4863137075052181,0.5136862924947819,11.63137075052181,-1.75,,,,
KXBTC15M-26MAY012115-15|2026-05-02 01:00:00+00:00,2026-05-02 01:00:31.670000+00:00,KXBTC15M-26MAY012115-15,yes,yes,True,49.0,train,0.6019614703179788,0.6019614703179788,v28_live_surface,0.6019614703179788,0.6019614703179788,11.196147031797878,-1.75,,,,
KXBTC15M-26MAY012130-30|2026-05-02 01:15:00+00:00,2026-05-02 01:15:47.987000+00:00,KXBTC15M-26MAY012130-30,yes,no,False,48.0,train,0.575227863094112,0.575227863094112,v28_live_surface,0.575227863094112,0.575227863094112,9.522786309411202,-1.75,,,,
KXBTC15M-26MAY012145-45|2026-05-02 01:30:00+00:00,2026-05-02 01:30:49.411000+00:00,KXBTC15M-26MAY012145-45,no,no,True,38.0,train,0.5050515869099854,0.4949484130900145,v28_live_surface,0.5050515869099854,0.4949484130900145,12.505158690998542,-1.75,,,,
KXBTC15M-26MAY012200-00|2026-05-02 01:45:00+00:00,2026-05-02 01:45:20.758000+00:00,KXBTC15M-26MAY012200-00,yes,no,False,56.0,train,0.6542010776381793,0.6542010776381793,v28_live_surface,0.6542010776381793,0.6542010776381793,9.420107763817924,-1.75,,,,
KXBTC15M-26MAY012215-15|2026-05-02 02:00:00+00:00,2026-05-02 02:00:22.208000+00:00,KXBTC15M-26MAY012215-15,yes,no,False,63.0,train,0.6411861891186533,0.6411861891186533,v28_live_surface,0.6411861891186533,0.6411861891186533,1.118618911865326,-1.75,,,,
KXBTC15M-26MAY012230-30|2026-05-02 02:15:00+00:00,2026-05-02 02:15:23.653000+00:00,KXBTC15M-26MAY012230-30,no,no,True,53.0,train,0.5908820751345374,0.4091179248654626,v28_live_surface,0.5908820751345374,0.4091179248654626,6.088207513453739,-1.75,,,,
KXBTC15M-26MAY012245-45|2026-05-02 02:30:00+00:00,2026-05-02 02:30:39.887000+00:00,KXBTC15M-26MAY012245-45,no,yes,False,50.0,train,0.5015663815091089,0.4984336184908911,v28_live_surface,0.5015663815091089,0.4984336184908911,0.15663815091089361,-1.75,,,,
KXBTC15M-26MAY012300-00|2026-05-02 02:45:00+00:00,2026-05-02 02:45:41.307000+00:00,KXBTC15M-26MAY012300-00,no,no,True,48.0,train,0.5916806032352533,0.4083193967647467,v28_live_surface,0.5916806032352533,0.4083193967647467,11.168060323525332,-1.75,,,,
KXBTC15M-26MAY012315-15|2026-05-02 03:00:00+00:00,2026-05-02 03:00:27.439000+00:00,KXBTC15M-26MAY012315-15,yes,no,False,48.0,train,0.4787988425195658,0.4787988425195658,v28_live_surface,0.4787988425195658,0.4787988425195658,-0.12011574804342473,-1.75,,,,
KXBTC15M-26MAY012330-30|2026-05-02 03:15:00+00:00,2026-05-02 03:15:28.991000+00:00,KXBTC15M-26MAY012330-30,no,yes,False,51.0,train,0.5315933119733552,0.4684066880266447,v28_live_surface,0.5315933119733552,0.4684066880266447,2.1593311973355256,-1.75,,,,
KXBTC15M-26MAY012345-45|2026-05-02 03:30:00+00:00,2026-05-02 03:30:45.481000+00:00,KXBTC15M-26MAY012345-45,yes,yes,True,39.0,train,0.4592179859175153,0.4592179859175153,v28_live_surface,0.4592179859175153,0.4592179859175153,6.921798591751525,-1.75,,,,
KXBTC15M-26MAY020000-00|2026-05-02 03:45:00+00:00,2026-05-02 03:45:46.642000+00:00,KXBTC15M-26MAY020000-00,yes,yes,True,40.0,train,0.4988581979480191,0.4988581979480191,v28_live_surface,0.4988581979480191,0.4988581979480191,9.885819794801911,-1.75,,,,
KXBTC15M-26MAY020015-15|2026-05-02 04:00:00+00:00,2026-05-02 04:00:18.206000+00:00,KXBTC15M-26MAY020015-15,no,no,True,57.0,train,0.6397289165117057,0.3602710834882942,v28_live_surface,0.6397289165117057,0.3602710834882942,6.9728916511705705,-1.75,,,,
KXBTC15M-26MAY020030-30|2026-05-02 04:15:00+00:00,2026-05-02 04:15:19.677000+00:00,KXBTC15M-26MAY020030-30,yes,no,False,44.0,train,0.5642740419214898,0.5642740419214898,v28_live_surface,0.5642740419214898,0.5642740419214898,12.427404192148977,-1.75,,,,
KXBTC15M-26MAY020045-45|2026-05-02 04:30:00+00:00,2026-05-02 04:30:21.015000+00:00,KXBTC15M-26MAY020045-45,yes,no,False,49.0,train,0.5233132052863878,0.5233132052863878,v28_live_surface,0.5233132052863878,0.5233132052863878,3.331320528638784,-1.75,,,,
KXBTC15M-26MAY020100-00|2026-05-02 04:45:00+00:00,2026-05-02 04:45:37.310000+00:00,KXBTC15M-26MAY020100-00,no,no,True,43.0,train,0.4645068415095095,0.5354931584904905,v28_live_surface,0.4645068415095095,0.5354931584904905,3.4506841509509485,-1.75,,,,
KXBTC15M-26MAY020115-15|2026-05-02 05:00:00+00:00,2026-05-02 05:00:38.598000+00:00,KXBTC15M-26MAY020115-15,yes,no,False,47.0,train,0.5360273891130548,0.5360273891130548,v28_live_surface,0.5360273891130548,0.5360273891130548,6.6027389113054795,-1.75,,,,
KXBTC15M-26MAY020130-30|2026-05-02 05:15:00+00:00,2026-05-02 05:15:25.137000+00:00,KXBTC15M-26MAY020130-30,no,no,True,43.0,train,0.4433626486989879,0.5566373513010121,v28_live_surface,0.4433626486989879,0.5566373513010121,1.3362648698987911,-1.75,,,,
KXBTC15M-26MAY020145-45|2026-05-02 05:30:00+00:00,2026-05-02 05:30:26.605000+00:00,KXBTC15M-26MAY020145-45,yes,yes,True,59.0,train,0.5873462965347761,0.5873462965347761,v28_live_surface,0.5873462965347761,0.5873462965347761,-0.26537034652238845,-1.75,,,,
KXBTC15M-26MAY020200-00|2026-05-02 05:45:00+00:00,2026-05-02 05:45:27.953000+00:00,KXBTC15M-26MAY020200-00,yes,yes,True,39.0,train,0.5097404063746689,0.5097404063746689,v28_live_surface,0.5097404063746689,0.5097404063746689,11.974040637466885,-1.75,,,,
KXBTC15M-26MAY020215-15|2026-05-02 06:00:00+00:00,2026-05-02 06:00:44.242000+00:00,KXBTC15M-26MAY020215-15,no,yes,False,51.0,train,0.6593937309982916,0.3406062690017084,v28_live_surface,0.6593937309982916,0.3406062690017084,14.939373099829155,-1.75,,,,
KXBTC15M-26MAY020230-30|2026-05-02 06:15:00+00:00,2026-05-02 06:15:45.403000+00:00,KXBTC15M-26MAY020230-30,no,no,True,61.0,train,0.6670167063089143,0.3329832936910857,v28_live_surface,0.6670167063089143,0.3329832936910857,5.701670630891428,-1.75,,,,
KXBTC15M-26MAY020245-45|2026-05-02 06:30:00+00:00,2026-05-02 06:30:31.692000+00:00,KXBTC15M-26MAY020245-45,no,yes,False,47.0,train,0.5129910918385766,0.4870089081614234,v28_live_surface,0.5129910918385766,0.4870089081614234,4.299109183857659,-1.75,,,,
KXBTC15M-26MAY020300-00|2026-05-02 06:45:00+00:00,2026-05-02 06:45:32.784000+00:00,KXBTC15M-26MAY020300-00,no,yes,False,47.0,train,0.4977737066163791,0.5022262933836209,v28_live_surface,0.4977737066163791,0.5022262933836209,2.77737066163791,-1.75,,,,
KXBTC15M-26MAY020315-15|2026-05-02 07:00:00+00:00,2026-05-02 07:00:19.197000+00:00,KXBTC15M-26MAY020315-15,no,no,True,55.0,train,0.5568373751865084,0.4431626248134915,v28_live_surface,0.5568373751865084,0.4431626248134915,0.6837375186508439,-1.75,,,,
KXBTC15M-26MAY020330-30|2026-05-02 07:15:00+00:00,2026-05-02 07:15:35.497000+00:00,KXBTC15M-26MAY020330-30,yes,yes,True,51.0,train,0.5222524376438543,0.5222524376438543,v28_live_surface,0.5222524376438543,0.5222524376438543,1.2252437643854321,-1.75,,,,
KXBTC15M-26MAY020345-45|2026-05-02 07:30:00+00:00,2026-05-02 07:30:36.834000+00:00,KXBTC15M-26MAY020345-45,no,no,True,46.0,train,0.511820215973817,0.4881797840261829,v28_live_surface,0.511820215973817,0.4881797840261829,5.1820215973816985,-1.75,,,,
KXBTC15M-26MAY020400-00|2026-05-02 07:45:00+00:00,2026-05-02 07:45:23.256000+00:00,KXBTC15M-26MAY020400-00,no,no,True,35.0,train,0.445753908006938,0.554246091993062,v28_live_surface,0.445753908006938,0.554246091993062,9.575390800693796,-1.75,,,,
KXBTC15M-26MAY020415-15|2026-05-02 08:00:00+00:00,2026-05-02 08:00:24.586000+00:00,KXBTC15M-26MAY020415-15,yes,yes,True,29.0,train,0.5608161620828753,0.5608161620828753,v28_live_surface,0.5608161620828753,0.5608161620828753,27.081616208287535,-1.75,,,,
KXBTC15M-26MAY020430-30|2026-05-02 08:15:00+00:00,2026-05-02 08:15:40.494000+00:00,KXBTC15M-26MAY020430-30,no,yes,False,50.0,train,0.5197550573127586,0.4802449426872414,v28_live_surface,0.5197550573127586,0.4802449426872414,1.9755057312758595,-1.75,,,,
KXBTC15M-26MAY020445-45|2026-05-02 08:30:00+00:00,2026-05-02 08:30:41.690000+00:00,KXBTC15M-26MAY020445-45,no,yes,False,52.0,train,0.5390693851794996,0.4609306148205003,v28_live_surface,0.5390693851794996,0.4609306148205003,1.9069385179499676,-1.75,,,,
KXBTC15M-26MAY020500-00|2026-05-02 08:45:00+00:00,2026-05-02 08:45:28.237000+00:00,KXBTC15M-26MAY020500-00,no,no,True,53.0,train,0.5269903660927338,0.4730096339072662,v28_live_surface,0.5269903660927338,0.4730096339072662,-0.30096339072662204,-1.75,,,,
KXBTC15M-26MAY020515-15|2026-05-02 09:00:00+00:00,2026-05-02 09:00:29.577000+00:00,KXBTC15M-26MAY020515-15,yes,no,False,47.0,train,0.5100293754718663,0.5100293754718663,v28_live_surface,0.5100293754718663,0.5100293754718663,4.002937547186633,-1.75,,,,
