stage1,fallback,target_pass,less_degenerate_pass,stage1_markets,fallback_markets,min_test_accuracy,min_test_coverage,all_markets,all_wins,all_losses,all_base_markets,all_accuracy,all_coverage,all_wilson_low,all_median_ask,all_p75_ask,all_ask_ge_95,all_ask_eq_100,all_median_seconds_to_close,all_gross_pnl_cents,all_stake_cents,all_gross_roi,train_markets,train_wins,train_losses,train_base_markets,train_accuracy,train_coverage,train_wilson_low,train_median_ask,train_p75_ask,train_ask_ge_95,train_ask_eq_100,train_median_seconds_to_close,train_gross_pnl_cents,train_stake_cents,train_gross_roi,validation_markets,validation_wins,validation_losses,validation_base_markets,validation_accuracy,validation_coverage,validation_wilson_low,validation_median_ask,validation_p75_ask,validation_ask_ge_95,validation_ask_eq_100,validation_median_seconds_to_close,validation_gross_pnl_cents,validation_stake_cents,validation_gross_roi,holdout_markets,holdout_wins,holdout_losses,holdout_base_markets,holdout_accuracy,holdout_coverage,holdout_wilson_low,holdout_median_ask,holdout_p75_ask,holdout_ask_ge_95,holdout_ask_eq_100,holdout_median_seconds_to_close,holdout_gross_pnl_cents,holdout_stake_cents,holdout_gross_roi
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=60,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=100; sec>=0; sec<=300,True,False,8,134,1.0,0.875,142,142,0,156,1.0,0.9102564102564102,0.9736590931531194,97.0,99.0,116,22,233.3895,453.0,13747.0,0.0329526442132829,86,86,0,93,1.0,0.9247311827956989,0.9572402984808818,98.0,99.0,74,16,234.72199999999998,246.0,8354.0,0.02944697151065358,28,28,0,31,1.0,0.9032258064516129,0.8793527963418923,96.0,98.0,20,3,203.723,124.0,2676.0,0.04633781763826607,28,28,0,32,1.0,0.875,0.8793527963418923,97.5,99.0,22,3,231.5465,83.0,2717.0,0.0305483989694516
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=60; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=100; sec>=0; sec<=300,True,False,8,134,1.0,0.875,142,142,0,156,1.0,0.9102564102564102,0.9736590931531194,97.0,99.0,116,22,233.3895,453.0,13747.0,0.0329526442132829,86,86,0,93,1.0,0.9247311827956989,0.9572402984808818,98.0,99.0,74,16,234.72199999999998,246.0,8354.0,0.02944697151065358,28,28,0,31,1.0,0.9032258064516129,0.8793527963418923,96.0,98.0,20,3,203.723,124.0,2676.0,0.04633781763826607,28,28,0,32,1.0,0.875,0.8793527963418923,97.5,99.0,22,3,231.5465,83.0,2717.0,0.0305483989694516
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=120,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=100; sec>=0; sec<=300,True,False,8,134,1.0,0.875,142,142,0,156,1.0,0.9102564102564102,0.9736590931531194,97.0,99.0,116,22,233.3895,453.0,13747.0,0.0329526442132829,86,86,0,93,1.0,0.9247311827956989,0.9572402984808818,98.0,99.0,74,16,234.72199999999998,246.0,8354.0,0.02944697151065358,28,28,0,31,1.0,0.9032258064516129,0.8793527963418923,96.0,98.0,20,3,203.723,124.0,2676.0,0.04633781763826607,28,28,0,32,1.0,0.875,0.8793527963418923,97.5,99.0,22,3,231.5465,83.0,2717.0,0.0305483989694516
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=120; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=100; sec>=0; sec<=300,True,False,8,134,1.0,0.875,142,142,0,156,1.0,0.9102564102564102,0.9736590931531194,97.0,99.0,116,22,233.3895,453.0,13747.0,0.0329526442132829,86,86,0,93,1.0,0.9247311827956989,0.9572402984808818,98.0,99.0,74,16,234.72199999999998,246.0,8354.0,0.02944697151065358,28,28,0,31,1.0,0.9032258064516129,0.8793527963418923,96.0,98.0,20,3,203.723,124.0,2676.0,0.04633781763826607,28,28,0,32,1.0,0.875,0.8793527963418923,97.5,99.0,22,3,231.5465,83.0,2717.0,0.0305483989694516
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=60,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.95; ask<=100; sec>=0; sec<=300,True,False,10,128,1.0,0.8387096774193549,138,138,0,156,1.0,0.8846153846153846,0.9729162671599869,98.0,99.0,128,32,170.7105,324.0,13476.0,0.02404274265360641,85,85,0,93,1.0,0.9139784946236559,0.9567589957857581,99.0,100.0,81,25,177.607,170.0,8330.0,0.02040816326530612,26,26,0,31,1.0,0.8387096774193549,0.8712669561953783,97.5,99.0,22,2,176.96699999999998,89.0,2511.0,0.03544404619673437,27,27,0,32,1.0,0.84375,0.8754409628553642,98.0,99.0,25,5,138.481,65.0,2635.0,0.024667931688804556
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=60; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.95; ask<=100; sec>=0; sec<=300,True,False,10,128,1.0,0.8387096774193549,138,138,0,156,1.0,0.8846153846153846,0.9729162671599869,98.0,99.0,128,32,170.7105,324.0,13476.0,0.02404274265360641,85,85,0,93,1.0,0.9139784946236559,0.9567589957857581,99.0,100.0,81,25,177.607,170.0,8330.0,0.02040816326530612,26,26,0,31,1.0,0.8387096774193549,0.8712669561953783,97.5,99.0,22,2,176.96699999999998,89.0,2511.0,0.03544404619673437,27,27,0,32,1.0,0.84375,0.8754409628553642,98.0,99.0,25,5,138.481,65.0,2635.0,0.024667931688804556
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=120,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.95; ask<=100; sec>=0; sec<=300,True,False,9,129,1.0,0.8387096774193549,138,138,0,156,1.0,0.8846153846153846,0.9729162671599869,98.0,99.0,129,33,170.7105,314.0,13486.0,0.023283405012605667,85,85,0,93,1.0,0.9139784946236559,0.9567589957857581,99.0,100.0,81,25,177.607,170.0,8330.0,0.02040816326530612,26,26,0,31,1.0,0.8387096774193549,0.8712669561953783,97.5,99.0,22,2,176.96699999999998,89.0,2511.0,0.03544404619673437,27,27,0,32,1.0,0.84375,0.8754409628553642,99.0,99.0,26,6,138.481,55.0,2645.0,0.020793950850661626
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=120; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.95; ask<=100; sec>=0; sec<=300,True,False,9,129,1.0,0.8387096774193549,138,138,0,156,1.0,0.8846153846153846,0.9729162671599869,98.0,99.0,129,33,170.7105,314.0,13486.0,0.023283405012605667,85,85,0,93,1.0,0.9139784946236559,0.9567589957857581,99.0,100.0,81,25,177.607,170.0,8330.0,0.02040816326530612,26,26,0,31,1.0,0.8387096774193549,0.8712669561953783,97.5,99.0,22,2,176.96699999999998,89.0,2511.0,0.03544404619673437,27,27,0,32,1.0,0.84375,0.8754409628553642,99.0,99.0,26,6,138.481,55.0,2645.0,0.020793950850661626
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=60,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.95; ask<=100; sec>=0,True,False,10,128,1.0,0.8387096774193549,138,137,1,156,0.9927536231884058,0.8846153846153846,0.9600963092363003,98.0,99.0,128,26,172.5335,271.0,13429.0,0.020180207014669743,85,84,1,93,0.9882352941176471,0.9139784946236559,0.9363267530020379,98.0,99.0,81,19,182.415,106.0,8294.0,0.01278032312515071,26,26,0,31,1.0,0.8387096774193549,0.8712669561953783,97.0,99.0,22,2,176.96699999999998,92.0,2508.0,0.03668261562998405,27,27,0,32,1.0,0.84375,0.8754409628553642,98.0,99.0,25,5,138.481,73.0,2627.0,0.027788351732013702
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=60; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.95; ask<=100; sec>=0,True,False,10,128,1.0,0.8387096774193549,138,137,1,156,0.9927536231884058,0.8846153846153846,0.9600963092363003,98.0,99.0,128,26,172.5335,271.0,13429.0,0.020180207014669743,85,84,1,93,0.9882352941176471,0.9139784946236559,0.9363267530020379,98.0,99.0,81,19,182.415,106.0,8294.0,0.01278032312515071,26,26,0,31,1.0,0.8387096774193549,0.8712669561953783,97.0,99.0,22,2,176.96699999999998,92.0,2508.0,0.03668261562998405,27,27,0,32,1.0,0.84375,0.8754409628553642,98.0,99.0,25,5,138.481,73.0,2627.0,0.027788351732013702
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=120,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.95; ask<=100; sec>=0,True,False,9,129,1.0,0.8387096774193549,138,137,1,156,0.9927536231884058,0.8846153846153846,0.9600963092363003,98.0,99.0,129,27,172.5335,261.0,13439.0,0.019421087878562393,85,84,1,93,0.9882352941176471,0.9139784946236559,0.9363267530020379,98.0,99.0,81,19,182.415,106.0,8294.0,0.01278032312515071,26,26,0,31,1.0,0.8387096774193549,0.8712669561953783,97.0,99.0,22,2,176.96699999999998,92.0,2508.0,0.03668261562998405,27,27,0,32,1.0,0.84375,0.8754409628553642,98.0,99.0,26,6,138.481,63.0,2637.0,0.023890784982935155
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=120; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=score_min_book_rv15; score_min_book_rv15>=0.95; ask<=100; sec>=0,True,False,9,129,1.0,0.8387096774193549,138,137,1,156,0.9927536231884058,0.8846153846153846,0.9600963092363003,98.0,99.0,129,27,172.5335,261.0,13439.0,0.019421087878562393,85,84,1,93,0.9882352941176471,0.9139784946236559,0.9363267530020379,98.0,99.0,81,19,182.415,106.0,8294.0,0.01278032312515071,26,26,0,31,1.0,0.8387096774193549,0.8712669561953783,97.0,99.0,22,2,176.96699999999998,92.0,2508.0,0.03668261562998405,27,27,0,32,1.0,0.84375,0.8754409628553642,98.0,99.0,26,6,138.481,63.0,2637.0,0.023890784982935155
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=60,fallback; choose=book_p_side; book_p_side>=0.95; ask<=100; sec>=0; sec<=300,True,False,9,144,0.967741935483871,0.96875,153,151,2,156,0.9869281045751634,0.9807692307692307,0.9535951209869354,97.0,98.0,144,9,212.497,314.0,14786.0,0.021236304612471255,91,90,1,93,0.989010989010989,0.978494623655914,0.9403491964093862,97.0,98.0,87,7,222.68,195.0,8805.0,0.022146507666098807,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,97.0,97.5,27,0,174.842,22.0,2978.0,0.007387508394895903,31,31,0,32,1.0,0.96875,0.889740999265246,97.0,98.0,30,2,147.303,97.0,3003.0,0.032301032301032304
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=60; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=book_p_side; book_p_side>=0.95; ask<=100; sec>=0; sec<=300,True,False,9,144,0.967741935483871,0.96875,153,151,2,156,0.9869281045751634,0.9807692307692307,0.9535951209869354,97.0,98.0,144,9,212.497,314.0,14786.0,0.021236304612471255,91,90,1,93,0.989010989010989,0.978494623655914,0.9403491964093862,97.0,98.0,87,7,222.68,195.0,8805.0,0.022146507666098807,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,97.0,97.5,27,0,174.842,22.0,2978.0,0.007387508394895903,31,31,0,32,1.0,0.96875,0.889740999265246,97.0,98.0,30,2,147.303,97.0,3003.0,0.032301032301032304
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=120,fallback; choose=book_p_side; book_p_side>=0.95; ask<=100; sec>=0; sec<=300,True,False,9,144,0.967741935483871,0.96875,153,151,2,156,0.9869281045751634,0.9807692307692307,0.9535951209869354,97.0,98.0,144,9,212.497,314.0,14786.0,0.021236304612471255,91,90,1,93,0.989010989010989,0.978494623655914,0.9403491964093862,97.0,98.0,87,7,222.68,195.0,8805.0,0.022146507666098807,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,97.0,97.5,27,0,174.842,22.0,2978.0,0.007387508394895903,31,31,0,32,1.0,0.96875,0.889740999265246,97.0,98.0,30,2,147.303,97.0,3003.0,0.032301032301032304
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=120; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=book_p_side; book_p_side>=0.95; ask<=100; sec>=0; sec<=300,True,False,9,144,0.967741935483871,0.96875,153,151,2,156,0.9869281045751634,0.9807692307692307,0.9535951209869354,97.0,98.0,144,9,212.497,314.0,14786.0,0.021236304612471255,91,90,1,93,0.989010989010989,0.978494623655914,0.9403491964093862,97.0,98.0,87,7,222.68,195.0,8805.0,0.022146507666098807,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,97.0,97.5,27,0,174.842,22.0,2978.0,0.007387508394895903,31,31,0,32,1.0,0.96875,0.889740999265246,97.0,98.0,30,2,147.303,97.0,3003.0,0.032301032301032304
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=60,fallback; choose=book_p_side; book_p_side>=0.95; ask<=100; sec>=0,True,False,8,145,0.967741935483871,0.96875,153,150,3,156,0.9803921568627451,0.9807692307692307,0.9439417087473778,96.0,97.0,145,3,214.448,293.0,14707.0,0.01992248589107228,91,89,2,93,0.978021978021978,0.978494623655914,0.9233668616945964,96.0,97.0,87,1,222.692,159.0,8741.0,0.018190138428097472,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,96.0,97.0,28,0,174.842,24.0,2976.0,0.008064516129032258,31,31,0,32,1.0,0.96875,0.889740999265246,96.0,97.0,30,2,179.006,110.0,2990.0,0.03678929765886288
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=60; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=book_p_side; book_p_side>=0.95; ask<=100; sec>=0,True,False,8,145,0.967741935483871,0.96875,153,150,3,156,0.9803921568627451,0.9807692307692307,0.9439417087473778,96.0,97.0,145,3,214.448,293.0,14707.0,0.01992248589107228,91,89,2,93,0.978021978021978,0.978494623655914,0.9233668616945964,96.0,97.0,87,1,222.692,159.0,8741.0,0.018190138428097472,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,96.0,97.0,28,0,174.842,24.0,2976.0,0.008064516129032258,31,31,0,32,1.0,0.96875,0.889740999265246,96.0,97.0,30,2,179.006,110.0,2990.0,0.03678929765886288
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=120,fallback; choose=book_p_side; book_p_side>=0.95; ask<=100; sec>=0,True,False,8,145,0.967741935483871,0.96875,153,150,3,156,0.9803921568627451,0.9807692307692307,0.9439417087473778,96.0,97.0,145,3,214.448,293.0,14707.0,0.01992248589107228,91,89,2,93,0.978021978021978,0.978494623655914,0.9233668616945964,96.0,97.0,87,1,222.692,159.0,8741.0,0.018190138428097472,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,96.0,97.0,28,0,174.842,24.0,2976.0,0.008064516129032258,31,31,0,32,1.0,0.96875,0.889740999265246,96.0,97.0,30,2,179.006,110.0,2990.0,0.03678929765886288
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=120; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=book_p_side; book_p_side>=0.95; ask<=100; sec>=0,True,False,8,145,0.967741935483871,0.96875,153,150,3,156,0.9803921568627451,0.9807692307692307,0.9439417087473778,96.0,97.0,145,3,214.448,293.0,14707.0,0.01992248589107228,91,89,2,93,0.978021978021978,0.978494623655914,0.9233668616945964,96.0,97.0,87,1,222.692,159.0,8741.0,0.018190138428097472,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,96.0,97.0,28,0,174.842,24.0,2976.0,0.008064516129032258,31,31,0,32,1.0,0.96875,0.889740999265246,96.0,97.0,30,2,179.006,110.0,2990.0,0.03678929765886288
economical; choose=book_p_side; book_p_side>=0.9; ask<=90; sec>=60,fallback; choose=book_p_side; book_p_side>=0.95; ask<=100; sec>=0; sec<=300,True,False,26,128,0.967741935483871,1.0,154,150,4,156,0.974025974025974,0.9871794871794872,0.9351239123333996,96.0,98.0,128,9,221.44150000000002,240.0,14760.0,0.016260162601626018,91,89,2,93,0.978021978021978,0.978494623655914,0.9233668616945964,97.0,98.0,78,7,222.692,158.0,8742.0,0.018073667353008464,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,97.0,97.0,25,0,199.849,36.0,2964.0,0.012145748987854251,32,31,1,32,0.96875,1.0,0.8425539219962727,96.0,97.0,25,2,212.046,46.0,3054.0,0.015062213490504257
economical; choose=book_p_side; book_p_side>=0.9; ask<=90; sec>=60; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=book_p_side; book_p_side>=0.95; ask<=100; sec>=0; sec<=300,True,False,25,129,0.967741935483871,1.0,154,150,4,156,0.974025974025974,0.9871794871794872,0.9351239123333996,96.0,98.0,129,9,221.44150000000002,232.0,14768.0,0.01570964247020585,91,89,2,93,0.978021978021978,0.978494623655914,0.9233668616945964,97.0,98.0,79,7,222.692,150.0,8750.0,0.017142857142857144,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,97.0,97.0,25,0,199.849,36.0,2964.0,0.012145748987854251,32,31,1,32,0.96875,1.0,0.8425539219962727,96.0,97.0,25,2,212.046,46.0,3054.0,0.015062213490504257
economical; choose=book_p_side; book_p_side>=0.9; ask<=90; sec>=120,fallback; choose=book_p_side; book_p_side>=0.95; ask<=100; sec>=0; sec<=300,True,False,23,131,0.967741935483871,1.0,154,150,4,156,0.974025974025974,0.9871794871794872,0.9351239123333996,97.0,98.0,131,9,221.44150000000002,216.0,14784.0,0.01461038961038961,91,89,2,93,0.978021978021978,0.978494623655914,0.9233668616945964,97.0,98.0,80,7,222.692,143.0,8757.0,0.016329793308210574,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,97.0,97.5,26,0,199.849,27.0,2973.0,0.009081735620585268,32,31,1,32,0.96875,1.0,0.8425539219962727,96.0,97.0,25,2,212.046,46.0,3054.0,0.015062213490504257
economical; choose=book_p_side; book_p_side>=0.9; ask<=90; sec>=120; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=book_p_side; book_p_side>=0.95; ask<=100; sec>=0; sec<=300,True,False,23,131,0.967741935483871,1.0,154,150,4,156,0.974025974025974,0.9871794871794872,0.9351239123333996,97.0,98.0,131,9,221.44150000000002,216.0,14784.0,0.01461038961038961,91,89,2,93,0.978021978021978,0.978494623655914,0.9233668616945964,97.0,98.0,80,7,222.692,143.0,8757.0,0.016329793308210574,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,97.0,97.5,26,0,199.849,27.0,2973.0,0.009081735620585268,32,31,1,32,0.96875,1.0,0.8425539219962727,96.0,97.0,25,2,212.046,46.0,3054.0,0.015062213490504257
economical; choose=book_p_side; book_p_side>=0.9; ask<=90; sec>=60,fallback; choose=book_p_side; book_p_side>=0.95; ask<=100; sec>=0,True,False,25,129,0.967741935483871,1.0,154,149,5,156,0.9675324675324676,0.9871794871794872,0.9262531770462376,96.0,97.0,129,3,222.686,202.0,14698.0,0.013743366444414207,91,88,3,93,0.967032967032967,0.978494623655914,0.9075053921522588,96.0,97.0,78,1,229.261,114.0,8686.0,0.013124568270780566,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,96.0,97.0,26,0,199.849,38.0,2962.0,0.012829169480081027,32,31,1,32,0.96875,1.0,0.8425539219962727,96.0,97.0,25,2,214.04000000000002,50.0,3050.0,0.01639344262295082
economical; choose=book_p_side; book_p_side>=0.9; ask<=90; sec>=60; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=book_p_side; book_p_side>=0.95; ask<=100; sec>=0,True,False,24,130,0.967741935483871,1.0,154,149,5,156,0.9675324675324676,0.9871794871794872,0.9262531770462376,96.0,97.0,130,3,222.686,194.0,14706.0,0.013191894464844282,91,88,3,93,0.967032967032967,0.978494623655914,0.9075053921522588,96.0,97.0,79,1,229.261,106.0,8694.0,0.012192316540142627,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,96.0,97.0,26,0,199.849,38.0,2962.0,0.012829169480081027,32,31,1,32,0.96875,1.0,0.8425539219962727,96.0,97.0,25,2,214.04000000000002,50.0,3050.0,0.01639344262295082
economical; choose=book_p_side; book_p_side>=0.9; ask<=90; sec>=120,fallback; choose=book_p_side; book_p_side>=0.95; ask<=100; sec>=0,True,False,22,132,0.967741935483871,1.0,154,149,5,156,0.9675324675324676,0.9871794871794872,0.9262531770462376,96.0,97.0,132,3,222.686,178.0,14722.0,0.012090748539600597,91,88,3,93,0.967032967032967,0.978494623655914,0.9075053921522588,96.0,97.0,80,1,229.261,99.0,8701.0,0.011378002528445006,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,96.0,97.0,27,0,199.849,29.0,2971.0,0.009761023224503534,32,31,1,32,0.96875,1.0,0.8425539219962727,96.0,97.0,25,2,214.04000000000002,50.0,3050.0,0.01639344262295082
economical; choose=book_p_side; book_p_side>=0.9; ask<=90; sec>=120; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=book_p_side; book_p_side>=0.95; ask<=100; sec>=0,True,False,22,132,0.967741935483871,1.0,154,149,5,156,0.9675324675324676,0.9871794871794872,0.9262531770462376,96.0,97.0,132,3,222.686,178.0,14722.0,0.012090748539600597,91,88,3,93,0.967032967032967,0.978494623655914,0.9075053921522588,96.0,97.0,80,1,229.261,99.0,8701.0,0.011378002528445006,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,96.0,97.0,27,0,199.849,29.0,2971.0,0.009761023224503534,32,31,1,32,0.96875,1.0,0.8425539219962727,96.0,97.0,25,2,214.04000000000002,50.0,3050.0,0.01639344262295082
economical; choose=book_p_side; book_p_side>=0.9; ask<=90; sec>=60,fallback; choose=book_p_side; book_p_side>=0.9; ask<=100; sec>=0; sec<=300,True,False,23,133,0.967741935483871,1.0,156,150,6,156,0.9615384615384616,1.0,0.9186360731442542,93.0,97.0,60,7,266.6345,346.0,14654.0,0.023611300668759383,93,89,4,93,0.956989247311828,1.0,0.8945728520441867,93.0,97.0,39,6,259.206,141.0,8759.0,0.01609772805114739,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,92.0,96.0,11,0,268.808,105.0,2895.0,0.03626943005181347,32,31,1,32,0.96875,1.0,0.8425539219962727,93.5,96.0,10,1,267.3815,100.0,3000.0,0.03333333333333333
economical; choose=book_p_side; book_p_side>=0.9; ask<=90; sec>=60; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=book_p_side; book_p_side>=0.9; ask<=100; sec>=0; sec<=300,True,False,22,134,0.967741935483871,1.0,156,150,6,156,0.9615384615384616,1.0,0.9186360731442542,93.0,97.0,60,7,266.6345,346.0,14654.0,0.023611300668759383,93,89,4,93,0.956989247311828,1.0,0.8945728520441867,93.0,97.0,39,6,259.206,141.0,8759.0,0.01609772805114739,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,92.0,96.0,11,0,268.808,105.0,2895.0,0.03626943005181347,32,31,1,32,0.96875,1.0,0.8425539219962727,93.5,96.0,10,1,267.3815,100.0,3000.0,0.03333333333333333
economical; choose=book_p_side; book_p_side>=0.9; ask<=90; sec>=120,fallback; choose=book_p_side; book_p_side>=0.9; ask<=100; sec>=0; sec<=300,True,False,21,135,0.967741935483871,1.0,156,150,6,156,0.9615384615384616,1.0,0.9186360731442542,93.0,97.0,60,7,266.6345,346.0,14654.0,0.023611300668759383,93,89,4,93,0.956989247311828,1.0,0.8945728520441867,93.0,97.0,39,6,259.206,141.0,8759.0,0.01609772805114739,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,92.0,96.0,11,0,268.808,105.0,2895.0,0.03626943005181347,32,31,1,32,0.96875,1.0,0.8425539219962727,93.5,96.0,10,1,267.3815,100.0,3000.0,0.03333333333333333
economical; choose=book_p_side; book_p_side>=0.9; ask<=90; sec>=120; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=book_p_side; book_p_side>=0.9; ask<=100; sec>=0; sec<=300,True,False,21,135,0.967741935483871,1.0,156,150,6,156,0.9615384615384616,1.0,0.9186360731442542,93.0,97.0,60,7,266.6345,346.0,14654.0,0.023611300668759383,93,89,4,93,0.956989247311828,1.0,0.8945728520441867,93.0,97.0,39,6,259.206,141.0,8759.0,0.01609772805114739,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,92.0,96.0,11,0,268.808,105.0,2895.0,0.03626943005181347,32,31,1,32,0.96875,1.0,0.8425539219962727,93.5,96.0,10,1,267.3815,100.0,3000.0,0.03333333333333333
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=60,fallback; choose=book_p_side; book_p_side>=0.9; ask<=100; sec>=0; sec<=300,True,False,8,148,0.967741935483871,1.0,156,150,6,156,0.9615384615384616,1.0,0.9186360731442542,94.0,97.0,67,7,265.8585,283.0,14717.0,0.019229462526330093,93,89,4,93,0.956989247311828,1.0,0.8945728520441867,94.0,97.0,43,6,259.206,107.0,8793.0,0.012168770612987604,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,92.0,96.0,11,0,268.808,105.0,2895.0,0.03626943005181347,32,31,1,32,0.96875,1.0,0.8425539219962727,94.0,97.0,13,1,266.6345,71.0,3029.0,0.02344007923407065
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=60; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=book_p_side; book_p_side>=0.9; ask<=100; sec>=0; sec<=300,True,False,8,148,0.967741935483871,1.0,156,150,6,156,0.9615384615384616,1.0,0.9186360731442542,94.0,97.0,67,7,265.8585,283.0,14717.0,0.019229462526330093,93,89,4,93,0.956989247311828,1.0,0.8945728520441867,94.0,97.0,43,6,259.206,107.0,8793.0,0.012168770612987604,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,92.0,96.0,11,0,268.808,105.0,2895.0,0.03626943005181347,32,31,1,32,0.96875,1.0,0.8425539219962727,94.0,97.0,13,1,266.6345,71.0,3029.0,0.02344007923407065
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=120,fallback; choose=book_p_side; book_p_side>=0.9; ask<=100; sec>=0; sec<=300,True,False,8,148,0.967741935483871,1.0,156,150,6,156,0.9615384615384616,1.0,0.9186360731442542,94.0,97.0,67,7,265.8585,283.0,14717.0,0.019229462526330093,93,89,4,93,0.956989247311828,1.0,0.8945728520441867,94.0,97.0,43,6,259.206,107.0,8793.0,0.012168770612987604,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,92.0,96.0,11,0,268.808,105.0,2895.0,0.03626943005181347,32,31,1,32,0.96875,1.0,0.8425539219962727,94.0,97.0,13,1,266.6345,71.0,3029.0,0.02344007923407065
economical; choose=score_min_book_rv15; score_min_book_rv15>=0.9; ask<=90; sec>=120; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=book_p_side; book_p_side>=0.9; ask<=100; sec>=0; sec<=300,True,False,8,148,0.967741935483871,1.0,156,150,6,156,0.9615384615384616,1.0,0.9186360731442542,94.0,97.0,67,7,265.8585,283.0,14717.0,0.019229462526330093,93,89,4,93,0.956989247311828,1.0,0.8945728520441867,94.0,97.0,43,6,259.206,107.0,8793.0,0.012168770612987604,31,30,1,31,0.967741935483871,1.0,0.8380554282383037,92.0,96.0,11,0,268.808,105.0,2895.0,0.03626943005181347,32,31,1,32,0.96875,1.0,0.8425539219962727,94.0,97.0,13,1,266.6345,71.0,3029.0,0.02344007923407065
