stage1,fallback,target_pass,less_degenerate_pass,stage1_markets,fallback_markets,min_test_accuracy,min_test_coverage,all_markets,all_wins,all_losses,all_base_markets,all_accuracy,all_coverage,all_wilson_low,all_median_ask,all_p75_ask,all_ask_ge_95,all_ask_eq_100,all_median_seconds_to_close,all_gross_pnl_cents,all_stake_cents,all_gross_roi,train_markets,train_wins,train_losses,train_base_markets,train_accuracy,train_coverage,train_wilson_low,train_median_ask,train_p75_ask,train_ask_ge_95,train_ask_eq_100,train_median_seconds_to_close,train_gross_pnl_cents,train_stake_cents,train_gross_roi,validation_markets,validation_wins,validation_losses,validation_base_markets,validation_accuracy,validation_coverage,validation_wilson_low,validation_median_ask,validation_p75_ask,validation_ask_ge_95,validation_ask_eq_100,validation_median_seconds_to_close,validation_gross_pnl_cents,validation_stake_cents,validation_gross_roi,holdout_markets,holdout_wins,holdout_losses,holdout_base_markets,holdout_accuracy,holdout_coverage,holdout_wilson_low,holdout_median_ask,holdout_p75_ask,holdout_ask_ge_95,holdout_ask_eq_100,holdout_median_seconds_to_close,holdout_gross_pnl_cents,holdout_stake_cents,holdout_gross_roi
economical; choose=score_mean_book_rv15; score_mean_book_rv15>=0.85; ask<=95; sec>=60; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=book_p_side; book_p_side>=0.95; ask<=98; sec>=0,False,False,119,30,0.8709677419354839,0.90625,149,137,12,156,0.9194630872483222,0.9551282051282052,0.8645085540250828,91.0,94.0,35,0,401.718,131.0,13569.0,0.0096543592011202,89,84,5,93,0.9438202247191011,0.956989247311828,0.8751441813701337,91.0,95.0,24,0,394.4,263.0,8137.0,0.03232149440825857,31,27,4,31,0.8709677419354839,1.0,0.7114724304561464,90.0,94.5,8,0,345.196,-117.0,2817.0,-0.04153354632587859,29,26,3,32,0.896551724137931,0.90625,0.7361455275293085,91.0,94.0,3,0,453.645,-15.0,2615.0,-0.0057361376673040155
economical; choose=score_mean_book_rv15; score_mean_book_rv15>=0.85; ask<=95; sec>=60,fallback; choose=book_p_side; book_p_side>=0.95; ask<=98; sec>=0; sec<=300,False,False,125,23,0.8709677419354839,0.90625,148,136,12,156,0.918918918918919,0.9487179487179487,0.8636284040808162,91.0,94.0,32,0,394.7345,141.0,13459.0,0.01047626123783342,88,83,5,93,0.9431818181818182,0.946236559139785,0.8737990064572213,91.0,94.25,22,0,387.4915,266.0,8034.0,0.03310928553647,31,27,4,31,0.8709677419354839,1.0,0.7114724304561464,90.0,93.5,7,0,331.006,-110.0,2810.0,-0.03914590747330961,29,26,3,32,0.896551724137931,0.90625,0.7361455275293085,91.0,94.0,3,0,453.645,-15.0,2615.0,-0.0057361376673040155
economical; choose=score_mean_book_rv15; score_mean_book_rv15>=0.85; ask<=95; sec>=60; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=book_p_side; book_p_side>=0.95; ask<=98; sec>=0; sec<=300,False,False,125,23,0.8709677419354839,0.90625,148,136,12,156,0.918918918918919,0.9487179487179487,0.8636284040808162,91.0,94.0,32,0,394.7345,141.0,13459.0,0.01047626123783342,88,83,5,93,0.9431818181818182,0.946236559139785,0.8737990064572213,91.0,94.25,22,0,387.4915,266.0,8034.0,0.03310928553647,31,27,4,31,0.8709677419354839,1.0,0.7114724304561464,90.0,93.5,7,0,331.006,-110.0,2810.0,-0.03914590747330961,29,26,3,32,0.896551724137931,0.90625,0.7361455275293085,91.0,94.0,3,0,453.645,-15.0,2615.0,-0.0057361376673040155
economical; choose=score_mean_book_rv15; score_mean_book_rv15>=0.85; ask<=90; sec>=60,fallback; choose=book_p_side; book_p_side>=0.9; ask<=100; sec>=0; sec<=300,False,False,84,72,0.8709677419354839,1.0,156,142,14,156,0.9102564102564102,1.0,0.8550033004837387,90.0,93.0,26,3,296.1865,56.0,14144.0,0.003959276018099547,93,86,7,93,0.9247311827956989,1.0,0.8527013398161072,91.0,93.0,18,2,293.948,127.0,8473.0,0.014988787914552106,31,27,4,31,0.8709677419354839,1.0,0.7114724304561464,90.0,92.0,4,0,321.747,-90.0,2790.0,-0.03225806451612903,32,29,3,32,0.90625,1.0,0.7578150066422117,90.0,93.25,4,1,348.09000000000003,19.0,2881.0,0.006594932315168344
economical; choose=score_mean_book_rv15; score_mean_book_rv15>=0.85; ask<=90; sec>=60; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=book_p_side; book_p_side>=0.9; ask<=100; sec>=0; sec<=300,False,False,84,72,0.8709677419354839,1.0,156,142,14,156,0.9102564102564102,1.0,0.8550033004837387,90.0,93.0,26,3,296.1865,56.0,14144.0,0.003959276018099547,93,86,7,93,0.9247311827956989,1.0,0.8527013398161072,91.0,93.0,18,2,293.948,127.0,8473.0,0.014988787914552106,31,27,4,31,0.8709677419354839,1.0,0.7114724304561464,90.0,92.0,4,0,321.747,-90.0,2790.0,-0.03225806451612903,32,29,3,32,0.90625,1.0,0.7578150066422117,90.0,93.25,4,1,348.09000000000003,19.0,2881.0,0.006594932315168344
economical; choose=score_mean_book_rv15; score_mean_book_rv15>=0.85; ask<=90; sec>=120,fallback; choose=book_p_side; book_p_side>=0.9; ask<=100; sec>=0; sec<=300,False,False,82,74,0.8709677419354839,1.0,156,142,14,156,0.9102564102564102,1.0,0.8550033004837387,90.0,93.0,27,3,296.1865,49.0,14151.0,0.0034626528160554026,93,86,7,93,0.9247311827956989,1.0,0.8527013398161072,91.0,94.0,19,2,293.948,121.0,8479.0,0.014270550772496757,31,27,4,31,0.8709677419354839,1.0,0.7114724304561464,90.0,92.0,4,0,321.747,-91.0,2791.0,-0.032604801146542454,32,29,3,32,0.90625,1.0,0.7578150066422117,90.0,93.25,4,1,348.09000000000003,19.0,2881.0,0.006594932315168344
economical; choose=score_mean_book_rv15; score_mean_book_rv15>=0.85; ask<=90; sec>=120; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=book_p_side; book_p_side>=0.9; ask<=100; sec>=0; sec<=300,False,False,82,74,0.8709677419354839,1.0,156,142,14,156,0.9102564102564102,1.0,0.8550033004837387,90.0,93.0,27,3,296.1865,49.0,14151.0,0.0034626528160554026,93,86,7,93,0.9247311827956989,1.0,0.8527013398161072,91.0,94.0,19,2,293.948,121.0,8479.0,0.014270550772496757,31,27,4,31,0.8709677419354839,1.0,0.7114724304561464,90.0,92.0,4,0,321.747,-91.0,2791.0,-0.032604801146542454,32,29,3,32,0.90625,1.0,0.7578150066422117,90.0,93.25,4,1,348.09000000000003,19.0,2881.0,0.006594932315168344
economical; choose=score_mean_book_rv15; score_mean_book_rv15>=0.85; ask<=95; sec>=60,fallback; choose=book_p_side; book_p_side>=0.9; ask<=100; sec>=0; sec<=300,False,False,115,41,0.8709677419354839,1.0,156,142,14,156,0.9102564102564102,1.0,0.8550033004837387,91.0,93.0,18,1,357.52,64.0,14136.0,0.004527447651386531,93,86,7,93,0.9247311827956989,1.0,0.8527013398161072,91.0,93.0,12,0,352.742,157.0,8443.0,0.018595286035769275,31,27,4,31,0.8709677419354839,1.0,0.7114724304561464,90.0,92.0,4,0,331.006,-96.0,2796.0,-0.034334763948497854,32,29,3,32,0.90625,1.0,0.7578150066422117,91.0,93.25,2,1,402.648,3.0,2897.0,0.0010355540214014498
economical; choose=score_mean_book_rv15; score_mean_book_rv15>=0.85; ask<=95; sec>=60; adverse15<=10_or_margin_rv15>=0.5,fallback; choose=book_p_side; book_p_side>=0.9; ask<=100; sec>=0; sec<=300,False,False,115,41,0.8709677419354839,1.0,156,142,14,156,0.9102564102564102,1.0,0.8550033004837387,91.0,93.0,18,1,357.52,64.0,14136.0,0.004527447651386531,93,86,7,93,0.9247311827956989,1.0,0.8527013398161072,91.0,93.0,12,0,352.742,157.0,8443.0,0.018595286035769275,31,27,4,31,0.8709677419354839,1.0,0.7114724304561464,90.0,92.0,4,0,331.006,-96.0,2796.0,-0.034334763948497854,32,29,3,32,0.90625,1.0,0.7578150066422117,91.0,93.25,2,1,402.648,3.0,2897.0,0.0010355540214014498
economical; choose=score_mean_book_rv15; score_mean_book_rv15>=0.85; ask<=95; sec>=120,fallback; choose=book_p_side; book_p_side>=0.9; ask<=100; sec>=0; sec<=300,False,False,111,45,0.8709677419354839,1.0,156,142,14,156,0.9102564102564102,1.0,0.8550033004837387,91.0,93.0,19,1,357.52,57.0,14143.0,0.00403026232058262,93,86,7,93,0.9247311827956989,1.0,0.8527013398161072,91.0,93.0,13,0,352.742,151.0,8449.0,0.017871937507397326,31,27,4,31,0.8709677419354839,1.0,0.7114724304561464,90.0,92.0,4,0,331.006,-97.0,2797.0,-0.03468001430103682,32,29,3,32,0.90625,1.0,0.7578150066422117,91.0,93.25,2,1,402.648,3.0,2897.0,0.0010355540214014498
