model,split,bin,rows,mean_pred,realized,error
v28_avg90,train,"[0.600,0.650]",282,0.6230613417591482,0.6950354609929078,-0.07197411923375963
v28_avg90,train,"[0.650,0.700]",214,0.6750570096194691,0.705607476635514,-0.030550467016044913
v28_avg90,train,"[0.700,0.750]",174,0.7245876432866045,0.7241379310344828,0.0004497122521217589
v28_avg90,train,"[0.750,0.800]",157,0.7765150953494669,0.7834394904458599,-0.006924395096392977
v28_avg90,train,"[0.800,0.850]",143,0.8246139477330243,0.9090909090909091,-0.08447696135788474
v28_avg90,train,"[0.850,0.900]",216,0.8736334332210637,0.8935185185185185,-0.019885085297454808
v28_avg90,train,"[0.900,0.950]",214,0.9270143470343646,0.9439252336448598,-0.016910886610495224
v28_avg90,train,"[0.950,0.975]",158,0.9631979699774237,0.9430379746835443,0.02015999529387935
v28_avg90,train,"[0.975,1.000]",471,0.9935929291737086,0.9915074309978769,0.0020854981758317015
v28_avg90,validation,"[0.500,0.550]",140,0.5232082189157558,0.4928571428571429,0.03035107605861287
v28_avg90,validation,"[0.550,0.600]",105,0.5753375656089642,0.6,-0.02466243439103577
v28_avg90,validation,"[0.600,0.650]",75,0.625902843421186,0.6266666666666667,-0.0007638232454807437
v28_avg90,validation,"[0.650,0.700]",65,0.6745594020965051,0.6615384615384615,0.013020940558043592
v28_avg90,validation,"[0.700,0.750]",46,0.7247924895400137,0.6521739130434783,0.07261857649653547
v28_avg90,validation,"[0.750,0.800]",53,0.7731650811084224,0.7358490566037735,0.03731602450464888
v28_avg90,validation,"[0.800,0.850]",50,0.8209862253310888,0.78,0.040986225331088755
v28_avg90,validation,"[0.850,0.900]",59,0.8767154890898964,0.9661016949152542,-0.08938620582535783
v28_avg90,validation,"[0.900,0.950]",86,0.9265120282996265,0.9186046511627907,0.00790737713683587
v28_avg90,validation,"[0.950,0.975]",62,0.9627367944664017,0.9193548387096774,0.04338195575672432
v28_avg90,validation,"[0.975,1.000]",241,0.9933627440325867,0.991701244813278,0.001661499219308693
v28_avg90,holdout,"[0.500,0.550]",169,0.5259458580635022,0.5384615384615384,-0.012515680398036189
v28_avg90,holdout,"[0.550,0.600]",115,0.5726445000892495,0.6086956521739131,-0.036051152084663585
v28_avg90,holdout,"[0.600,0.650]",97,0.623548163514576,0.6391752577319587,-0.01562709421738273
v28_avg90,holdout,"[0.650,0.700]",71,0.6754253925329536,0.704225352112676,-0.028799959579722367
v28_avg90,holdout,"[0.700,0.750]",53,0.7231776387566689,0.7169811320754716,0.0061965066811972
v28_avg90,holdout,"[0.750,0.800]",66,0.7786509328966377,0.8181818181818182,-0.03953088528518056
v28_avg90,holdout,"[0.800,0.850]",50,0.8238448503006797,0.84,-0.016155149699320304
v28_avg90,holdout,"[0.850,0.900]",52,0.8737120767561571,0.9038461538461539,-0.030134077089996714
v28_avg90,holdout,"[0.900,0.950]",60,0.9291654681710358,0.9,0.029165468171035824
v28_avg90,holdout,"[0.950,0.975]",47,0.9637023390882948,0.9361702127659575,0.02753212632233737
v28_avg90,holdout,"[0.975,1.000]",198,0.9943209256974592,0.9949494949494949,-0.0006285692520356934
v30_avg60_exact_var,all,"[0.500,0.550]",838,0.5247068438459381,0.5262529832935561,-0.0015461394476179446
v30_avg60_exact_var,all,"[0.550,0.600]",620,0.5733799046052991,0.6112903225806452,-0.03791041797534611
v30_avg60_exact_var,all,"[0.600,0.650]",465,0.6238697881081823,0.6688172043010753,-0.044947416192893
v30_avg60_exact_var,all,"[0.650,0.700]",348,0.6746987691292978,0.7040229885057471,-0.029324219376449245
v30_avg60_exact_var,all,"[0.700,0.750]",277,0.7242337522394612,0.7111913357400722,0.013042416499388976
v30_avg60_exact_var,all,"[0.750,0.800]",285,0.7763523730107047,0.7894736842105263,-0.013121311199821628
v30_avg60_exact_var,all,"[0.800,0.850]",254,0.8264929227564204,0.8700787401574803,-0.043585817401059934
v30_avg60_exact_var,all,"[0.850,0.900]",295,0.8752652471231718,0.9152542372881356,-0.03998899016496382
v30_avg60_exact_var,all,"[0.900,0.950]",374,0.9269847817894981,0.9331550802139037,-0.00617029842440564
v30_avg60_exact_var,all,"[0.950,0.975]",249,0.9632319979799279,0.9437751004016064,0.019456897578321475
