model,split,side_rows,opportunities,brier,logloss,ece10,side_choice_wins,side_choice_accuracy,high_p_rows,high_p_mean_pred,high_p_realized,high_p_overconfidence
v28_live_surface,all,42890,21445,0.14442498523802005,0.4342730265577677,0.029674131203153195,16778,0.782373513639543,9021,0.9377170879451858,0.9562132801241547,-0.018496192178968918
v28_live_surface,train,25706,12853,0.1483548710772112,0.44566141976085244,0.029801862779544448,9963,0.7751497704815996,5219,0.9347743940519418,0.952864533435524,-0.01809013938358217
v28_live_surface,validation,8570,4285,0.13124315601901504,0.3955459565036933,0.017692162220274175,3438,0.8023337222870478,2114,0.942465577432141,0.9588457899716177,-0.016380212539476746
v28_live_surface,holdout,8614,4307,0.14581187065996415,0.438816903349609,0.0412557420887603,3377,0.7840724402136058,1688,0.9408685172422332,0.9632701421800948,-0.022401624937861575
v28_avg60,all,42890,21445,0.14352852072187483,0.43120829085188456,0.021766379178774425,16776,0.782280251806948,9485,0.9418072724637782,0.9508697944122299,-0.009062521948451696
v28_avg60,train,25706,12853,0.14747588489083283,0.4429703984592523,0.022429466382517308,9964,0.7752275733291838,5490,0.939708620150792,0.9484517304189435,-0.008743110268151444
v28_avg60,validation,8570,4285,0.1306108093409998,0.3922710778087048,0.012538706711664752,3436,0.8018669778296382,2224,0.9442527030881988,0.9536870503597122,-0.009434347271513488
v28_avg60,holdout,8614,4307,0.1446004783730084,0.43484599431427784,0.033206592013947274,3376,0.7838402600417924,1771,0.9452420344567667,0.9548277809147374,-0.009585746457970723
v28_avg30,all,42890,21445,0.14388693931636917,0.4322209753298502,0.02497067150885048,16778,0.782373513639543,9255,0.9403643817765721,0.9537547271745003,-0.01339034539792816
v28_avg30,train,25706,12853,0.14785807849432192,0.44386038073594847,0.025051981842120218,9964,0.7752275733291838,5357,0.9378686963237732,0.9509053574761994,-0.013036661152426188
v28_avg30,validation,8570,4285,0.13082002490890593,0.39346797860889327,0.013565588487050053,3438,0.8023337222870478,2165,0.9439759089873445,0.956581986143187,-0.012606077155842499
v28_avg30,holdout,8614,4307,0.14503638820927672,0.4360415727908953,0.03698368555923311,3376,0.7838402600417924,1733,0.9435671691737577,0.9590305828043855,-0.015463413630627754
v28_avg45,all,42890,21445,0.1436782696140721,0.4315343593576306,0.02322291939621499,16777,0.7823268827232455,9384,0.9409918548481967,0.952152600170503,-0.011160745322306265
v28_avg45,train,25706,12853,0.14764197956156497,0.44320818374625454,0.023692358528775156,9964,0.7752275733291838,5429,0.9387689423393761,0.9495303002394547,-0.010761357900078594
v28_avg45,validation,8570,4285,0.13067853104833987,0.3927445302344811,0.012548817059714957,3437,0.802100350058343,2199,0.9438998162186293,0.954524783992724,-0.010624967774094718
