model,split,side_rows,opportunities,brier,logloss,ece10,side_choice_wins,side_choice_accuracy,high_p_rows,high_p_mean_pred,high_p_realized,high_p_overconfidence
v28_avg45,holdout,8614,4307,0.14478305619383444,0.43528888755027334,0.03489135768153609,3376,0.7838402600417924,1756,0.9442228257803177,0.9572892938496583,-0.013066468069340642
v28_avg75,all,42890,21445,0.14336679251775994,0.4305476831380142,0.020479077771171528,16773,0.7821403590580555,9586,0.9425863636291338,0.9500312956394742,-0.007444932010340355
v28_avg75,train,25706,12853,0.14732593149815879,0.44232739902592033,0.021097944128417936,9962,0.7750719676340154,5551,0.9405701547904858,0.947216717708521,-0.006646562918035226
v28_avg75,validation,8570,4285,0.13047402164614422,0.39167214918517895,0.011730327189841735,3436,0.8018669778296382,2246,0.9447923009680297,0.9536954585930543,-0.008903157625024583
v28_avg75,holdout,8614,4307,0.1443787985242162,0.43407147572697224,0.031568415705905385,3375,0.7836080798699792,1789,0.9460729147751233,0.9541643376187814,-0.008091422843658047
v28_avg90,all,42890,21445,0.14325698318773136,0.4302077076658999,0.0189135281584775,16770,0.782000466309163,9689,0.9431603767141333,0.9480854577355764,-0.004925081021443067
v28_avg90,train,25706,12853,0.14722803124763012,0.4420595453230044,0.019452910159490147,9961,0.7749941647864312,5612,0.9412300825723846,0.9456521739130435,-0.004422091340658851
v28_avg90,validation,8570,4285,0.1303872745889982,0.39129109571200027,0.010278381023527428,3435,0.8016336056009334,2269,0.945188967969992,0.9510797708241516,-0.00589080285415966
v28_avg90,holdout,8614,4307,0.14421050550760442,0.43355714180002936,0.029910395772982535,3374,0.7833758996981658,1808,0.946606138419859,0.9518805309734514,-0.005274392553592411
v30_avg60_exact_var,all,42890,21445,0.14349089448549363,0.43249840658925376,0.021662225024230247,16776,0.782280251806948,9543,0.9434279442523024,0.9501205071780363,-0.006692562925733947
v30_avg60_exact_var,train,25706,12853,0.14763333755676358,0.44614473843076613,0.022944143713318238,9964,0.7752275733291838,5526,0.9414613225747809,0.9471588852696344,-0.005697562694853553
v30_avg60_exact_var,validation,8570,4285,0.13033208242587185,0.39106577843924534,0.011946434109110856,3436,0.8018669778296382,2231,0.9452184145542954,0.9538323621694308,-0.008613947615135342
v30_avg60_exact_var,holdout,8614,4307,0.1442205645297116,0.432995854572497,0.03184847108901646,3376,0.7838402600417924,1786,0.9472762153308226,0.9546472564389697,-0.007371041108147125
v30_avg75_exact_var,all,42890,21445,0.1433109154938112,0.4323212223177105,0.02037181003482646,16773,0.7821403590580555,9663,0.9447177498242378,0.9490841353616889,-0.004366385537451056
v30_avg75_exact_var,train,25706,12853,0.14747677790885308,0.44638516762593844,0.021735065744444435,9962,0.7750719676340154,5599,0.9428988783557465,0.945704590105376,-0.0028057117496295136
v30_avg75_exact_var,validation,8570,4285,0.13020772079427315,0.3902921316450668,0.0114877098856847,3436,0.8018669778296382,2252,0.946294685897929,0.9538188277087034,-0.007524141810774432
v30_avg75_exact_var,holdout,8614,4307,0.1439153639885842,0.43216583910099915,0.03014947225323988,3375,0.7836080798699792,1812,0.9483781258254136,0.9536423841059603,-0.005264258280546663
v30_avg90_exact_var,all,42890,21445,0.14316999854587031,0.43237422003738896,0.018589555756476018,16770,0.782000466309163,9799,0.9456907612943866,0.9467292580875599,-0.0010384967931733602
v30_avg90_exact_var,train,25706,12853,0.1473499956547238,0.4468336418432722,0.019804059965507093,9961,0.7749941647864312,5677,0.9441092947438621,0.9438083494803593,0.00030094526350277206
v30_avg90_exact_var,validation,8570,4285,0.13014549443155118,0.3897463112885454,0.011438027617458336,3435,0.8016336056009334,2283,0.946720570772495,0.9509417433201928,-0.004221172547697716
v30_avg90_exact_var,holdout,8614,4307,0.143653977484752,0.43163441054534746,0.028347390447726523,3374,0.7833758996981658,1839,0.9492943124465381,0.9505165851005981,-0.0012222726540600526
v31_avg90_final60_exact,all,42890,21445,0.14330775530757248,0.43249146583168885,0.01939944781356194,16770,0.782000466309163,9743,0.9445949585071317,0.9471415375141127,-0.0025465790069809646
v31_avg90_final60_exact,train,25706,12853,0.14751500584408497,0.4468164531935106,0.02081020644093347,9961,0.7749941647864312,5645,0.942805947564149,0.9440212577502214,-0.0012153101860723492
v31_avg90_final60_exact,validation,8570,4285,0.13011253271075157,0.39014366025749647,0.010885385043017554,3435,0.8016336056009334,2276,0.9459509681765402,0.9512302284710018,-0.005279260294461574
v31_avg90_final60_exact,holdout,8614,4307,0.1438802507061289,0.43187416476921353,0.028767561303347636,3374,0.7833758996981658,1822,0.948443854646299,0.9517014270032931,-0.0032575723569940873
v32_avg110_final60_exact,all,42890,21445,0.14324317330198227,0.43272737281801715,0.017585835045804375,16764,0.7817206808113779,9872,0.9451551728749399,0.9447933549432739,0.0003618179316660086
v32_avg110_final60_exact,train,25706,12853,0.14748733465551067,0.4474610852962765,0.019429511948042193,9959,0.7748385590912628,5723,0.9434151969635846,0.9411147999301066,0.002300397033477952
v32_avg110_final60_exact,validation,8570,4285,0.13007403880007565,0.38994347333712615,0.008977905907919873,3434,0.8014002333722287,2304,0.9464495302289746,0.9500868055555556,-0.00363727532658098
v32_avg110_final60_exact,holdout,8614,4307,0.14367956416888936,0.43132421581605535,0.026113962177209352,3371,0.7826793591827258,1845,0.9489360307594874,0.9495934959349593,-0.0006574651754719385
v33_antipersist3,all,42890,21445,0.14310040232949803,0.43245421775506515,0.01742443049125575,16752,0.7811611098158079,9836,0.9461230820778519,0.9463196421309475,-0.00019656005309565128
v33_antipersist3,train,25706,12853,0.1474069955559972,0.4474503646457717,0.02147579590565571,9965,0.7753053761767681,5717,0.9439771776286797,0.9417526674829456,0.0022245101457341043
v33_antipersist3,validation,8570,4285,0.1297962867477717,0.3888443460866261,0.008279952445813749,3424,0.7990665110851809,2280,0.9482556138573799,0.9548245614035088,-0.0065689475461289115
v33_antipersist3,holdout,8614,4307,0.14348477486896943,0.43108965404784694,0.024914313954377897,3363,0.7808219178082192,1839,0.9501502507992186,0.9499728113104948,0.0001774394887237296
v34_material_antipersist3,all,42890,21445,0.14294086023936808,0.43184308582773007,0.018838341263677116,16786,0.782746560969923,9838,0.9462980878508328,0.9466354950193129,-0.000337407168480075
v34_material_antipersist3,train,25706,12853,0.14729124494365436,0.4468885613616499,0.02068683356602168,9973,0.7759277989574418,5735,0.9439194080930223,0.9412380122057541,0.002681395887268234
v34_material_antipersist3,validation,8570,4285,0.12940868157013719,0.38771829170577227,0.00960500715270458,3423,0.7988331388564761,2268,0.9491127300079949,0.9567901234567902,-0.0076773934487952555
v34_material_antipersist3,holdout,8614,4307,0.1434214478858651,0.43084360725218257,0.031682230700144115,3390,0.787090782447179,1835,0.9502534665966647,0.9509536784741145,-0.0007002118774498411
v35_h150_t102_antipersist3,all,42890,21445,0.1429942642234945,0.4325546193210127,0.01902760509237261,16783,0.7826066682210305,9879,0.9457553587189218,0.9456422714849682,0.00011308723395364595
v35_h150_t102_antipersist3,train,25706,12853,0.14739124995654884,0.44802644408359843,0.02185615997907445,9973,0.7759277989574418,5749,0.9436264692444389,0.9394677335188728,0.004158735725566132
v35_h150_t102_antipersist3,validation,8570,4285,0.1293319066522169,0.38751533278526473,0.010532840616933945,3422,0.7985997666277713,2272,0.9489236248447326,0.9564260563380281,-0.007502431493295547
v35_h150_t102_antipersist3,holdout,8614,4307,0.14346529848538853,0.43119264558805864,0.03113795557147056,3388,0.7866264221035524,1858,0.9484683215558213,0.9515608180839612,-0.003092496528139921
v36_piecewise_h150_t102_antipersist3,all,42890,21445,0.14295919840611523,0.4316757462202203,0.018759977735794818,16783,0.7826066682210305,9849,0.9456398265785889,0.9462889633465327,-0.0006491367679437587
v36_piecewise_h150_t102_antipersist3,train,25706,12853,0.1473169292775777,0.446563915310495,0.021312198168536953,9973,0.7759277989574418,5734,0.9434411795045198,0.9408789675619114,0.0025622119426084167
v36_piecewise_h150_t102_antipersist3,validation,8570,4285,0.12941977482747508,0.3877691113705673,0.009981518097689171,3422,0.7985997666277713,2271,0.9485597153146765,0.9559665345662703,-0.00740681925159381
v36_piecewise_h150_t102_antipersist3,holdout,8614,4307,0.14342507143689445,0.43092865845924117,0.03089138258863572,3388,0.7866264221035524,1844,0.948880593933827,0.9511930585683297,-0.002312464634502742
v37_piecewise_dynamic_temp_antipersist3,all,42890,21445,0.1428997972376125,0.4316132897576531,0.01860237663042466,16783,0.7826066682210305,9873,0.9462525235654143,0.9461156689962524,0.00013685456916190386
v37_piecewise_dynamic_temp_antipersist3,train,25706,12853,0.14725397628184142,0.44663170898384547,0.021146605706407064,9973,0.7759277989574418,5750,0.9440866934685743,0.940695652173913,0.003391041294661279
v37_piecewise_dynamic_temp_antipersist3,validation,8570,4285,0.12937145037495673,0.3874691435788646,0.010279498331469685,3422,0.7985997666277713,2275,0.9490040941076856,0.9560439560439561,-0.007039861936270486
v37_piecewise_dynamic_temp_antipersist3,holdout,8614,4307,0.14336524953642987,0.43071380614071764,0.03078320180042769,3388,0.7866264221035524,1848,0.9496040928690733,0.9507575757575758,-0.0011534828885024773
v38_long60_antipersist,all,42890,21445,0.1428770846220824,0.43156269194270863,0.01871758582124569,16785,0.7826999300536256,9867,0.9463080868907463,0.9461842505320767,0.00012383635866963782
v38_long60_antipersist,train,25706,12853,0.14723733123110316,0.4465923112418398,0.02117156532093798,9973,0.7759277989574418,5747,0.9441232720924699,0.9406646946232817,0.0034585774691882065
v38_long60_antipersist,validation,8570,4285,0.12949579853810553,0.3877375250500401,0.009229581942361252,3418,0.7976662777129522,2273,0.9491091348845757,0.9560052793664761,-0.006896144481900346
v38_long60_antipersist,holdout,8614,4307,0.14317812042521616,0.430312434985047,0.03227060222226888,3394,0.7880195031344324,1847,0.9496591148039683,0.9512723335138061,-0.0016132187098378825
v39_midband_v28_fallback,all,42890,21445,0.1428983472552425,0.4315159279396976,0.02151084715701277,16795,0.7831662392166006,9670,0.9470512085822185,0.9491209927611168,-0.0020697841788983595
v39_midband_v28_fallback,train,25706,12853,0.14730517152434705,0.4466156142998949,0.023457263854707627,9975,0.7760834046526103,5637,0.9445537142394735,0.943764413695228,0.0007893005442455303
v39_midband_v28_fallback,validation,8570,4285,0.12932369636009894,0.38747314273208794,0.012485014136091998,3422,0.7985997666277713,2220,0.9503932779417081,0.9599099099099099,-0.009516631968201739
v39_midband_v28_fallback,holdout,8614,4307,0.14325276256865996,0.43027308276370335,0.035608049846957604,3398,0.7889482238216856,1813,0.9507241162667107,0.9525648097076669,-0.0018406934409561648
v28_avg60_temp104,all,42890,21445,0.1441802870895889,0.43300751834418916,0.030643295899094924,16776,0.782280251806948,9016,0.9385997326228468,0.9569653948535937,-0.01836566223074687
v28_avg60_temp104,train,25706,12853,0.14815430199151103,0.4446371468246354,0.03072324537467951,9964,0.7752275733291838,5223,0.935974330858625,0.9538579360520774,-0.017883605193452334
v28_avg60_temp104,validation,8570,4285,0.13092838112060123,0.3938105439794667,0.020611784819025123,3436,0.8018669778296382,2098,0.9428761168644405,0.9604385128693994,-0.017562396004958902
v28_avg60_temp104,holdout,8614,4307,0.1455052008445708,0.43729900204366895,0.04181304468974664,3376,0.7838402600417924,1695,0.9413965581542135,0.9622418879056047,-0.020845329751391195
v29_signed_small,all,42890,21445,0.14377140630151333,0.43140172631012097,0.02684313067562929,16770,0.782000466309163,9195,0.940176036508515,0.9548667754214247,-0.014690738912909729
v29_signed_small,train,25706,12853,0.14775469077755388,0.4429682270251304,0.02673480268643003,9961,0.7749941647864312,5332,0.93783865048684,0.9525506376594148,-0.014711987172574825
v29_signed_small,validation,8570,4285,0.13066472221155462,0.39274464984848345,0.01710522343531588,3435,0.8016336056009334,2132,0.9438792886994476,0.9587242026266416,-0.014844913927194003
v29_signed_small,holdout,8614,4307,0.14492417759357828,0.43534445650471143,0.03817371670564277,3374,0.7833758996981658,1731,0.9428147474250395,0.9572501444251877,-0.014435397000148287
v29_signed_default,all,42890,21445,0.14376424731817714,0.431381947787911,0.02660395075946233,16769,0.7819538353928654,9210,0.9401025141728969,0.954614549402823,-0.014512035229926057
v29_signed_default,train,25706,12853,0.14774521894870848,0.44294460250082224,0.026439829965462354,9960,0.7749163619388469,5344,0.9377183164958802,0.9522829341317365,-0.014564617635856258
v29_signed_default,validation,8570,4285,0.13067524863757443,0.39277398675564396,0.016878158976275804,3435,0.8016336056009334,2133,0.9439335163120692,0.9582747304266291,-0.014341214114559908
v29_signed_default,holdout,8614,4307,0.14490632555805724,0.43528729071761046,0.03805594622399116,3374,0.7833758996981658,1733,0.9427393432687546,0.9572994806693594,-0.0145601374006048
v29_signed_more,all,42890,21445,0.14375658180150847,0.4313609827405571,0.026338161034810962,16768,0.7819072044765679,9230,0.9399770321669826,0.9541711809317444,-0.014194148764761771
v29_signed_more,train,25706,12853,0.1477348451884907,0.44291913643646896,0.02619139703400365,9960,0.7749163619388469,5358,0.9375773525432262,0.9518477043673013,-0.0142703518240751
v29_signed_more,validation,8570,4285,0.130688104616861,0.3928104090916799,0.01627209607611201,3435,0.8016336056009334,2135,0.9439368261827423,0.9578454332552693,-0.013908607072526946
v29_signed_more,holdout,8614,4307,0.14488632534070794,0.43522266340735116,0.03764532565792075,3373,0.7831437195263524,1737,0.9425120484021238,0.9568221070811744,-0.014310058679050663
v29_no_signed_temp112,all,42890,21445,0.14443260615019635,0.4334465303915738,0.03508427174972359,16770,0.782000466309163,8869,0.9363720989213307,0.9597474348855565,-0.023375335964225807
v29_no_signed_temp112,train,25706,12853,0.14843033467320624,0.444885824675274,0.034990119270231795,9961,0.7749941647864312,5145,0.9336421020409064,0.9551020408163265,-0.021459938775420184
v29_no_signed_temp112,validation,8570,4285,0.1310791773149291,0.39464659709875116,0.028225180049400757,3435,0.8016336056009334,2062,0.9403114963571269,0.966537342386033,-0.026225846028906097
v29_no_signed_temp112,holdout,8614,4307,0.14578775772968877,0.43791099863660443,0.04562622511109242,3374,0.7833758996981658,1662,0.9399357550207119,0.9657039711191335,-0.025768216098421615
