dataset,score,bin,rows,wins,accuracy,mean_score,median_ask,median_seconds_to_close
current,tail_p_rv_30m_200,"[0.975, 1.001)",536,536,1.0,0.9936685909008913,100.0,52.082
current,tail_p_rv_30m_300,"[0.5, 0.6)",5208,3201,0.6146313364055299,0.5386301528045225,63.0,588.562
current,tail_p_rv_30m_300,"[0.6, 0.7)",1885,1675,0.8885941644562334,0.6447064897045482,90.0,379.377
current,tail_p_rv_30m_300,"[0.7, 0.8)",862,844,0.9791183294663574,0.7458635742596842,98.0,226.7765
current,tail_p_rv_30m_300,"[0.8, 0.9)",504,504,1.0,0.8464448316833769,100.0,153.90550000000002
current,tail_p_rv_30m_300,"[0.9, 0.95)",219,219,1.0,0.9247755803633857,100.0,121.06
current,tail_p_rv_30m_300,"[0.95, 0.975)",102,102,1.0,0.9626884023162299,100.0,62.6275
current,tail_p_rv_30m_300,"[0.975, 1.001)",237,237,1.0,0.9935858238492603,100.0,21.831
current,tail_p_mean_rv_200,"[0.5, 0.6)",4186,2448,0.5848064978499761,0.5432190016441235,60.0,622.6165
current,tail_p_mean_rv_200,"[0.6, 0.7)",1862,1450,0.7787325456498388,0.6451201429801525,82.0,440.5085
current,tail_p_mean_rv_200,"[0.7, 0.8)",1198,1122,0.9365609348914858,0.7456791858457373,94.0,329.3405
current,tail_p_mean_rv_200,"[0.8, 0.9)",749,740,0.9879839786381842,0.8491756162908799,98.0,226.765
current,tail_p_mean_rv_200,"[0.9, 0.95)",348,348,1.0,0.924769329680691,100.0,154.46249999999998
current,tail_p_mean_rv_200,"[0.95, 0.975)",182,182,1.0,0.9629869730718992,100.0,106.13149999999999
current,tail_p_mean_rv_200,"[0.975, 1.001)",492,492,1.0,0.9937469983743367,100.0,46.763999999999996
current,tail_p_min_rv_200,"[0.5, 0.6)",4561,2719,0.5961411971058979,0.5417253301250752,61.0,609.352
current,tail_p_min_rv_200,"[0.6, 0.7)",1854,1507,0.8128371089536138,0.6466641589758848,85.0,424.975
