dataset,split,feature,bucket,rows,brier_delta,logloss_delta,candidate_brier,candidate_logloss,mean_p_yes,yes_rate
all_heartbeats,all,seconds_to_close,"(-0.001, 60.0]",1317,0.0005567344576188765,0.011352430669585384,0.02438519849334155,0.13558968784840658,0.5083980481358868,0.49506454062262717
all_heartbeats,all,seconds_to_close,"(120.0, 180.0]",1309,0.0011111839116321812,0.0040598087141923145,0.061428033611078375,0.20681597447193772,0.5023155485537864,0.4965622612681436
all_heartbeats,all,seconds_to_close,"(180.0, 300.0]",2617,-0.0005011091753909791,-0.0010964512215371758,0.09060235404708959,0.29913252163193554,0.5016927352453074,0.49636988918609093
all_heartbeats,all,seconds_to_close,"(300.0, 600.0]",6512,-4.38174354677745e-06,-0.00022532380270351426,0.1605562826731072,0.4865435228195189,0.5108077865551643,0.4963144963144963
all_heartbeats,all,seconds_to_close,"(60.0, 90.0]",657,-0.0007752524107674033,-0.0027471231191920353,0.03929597103687877,0.1378006194829936,0.512527592811499,0.4946727549467275
all_heartbeats,all,seconds_to_close,"(600.0, 900.0]",5955,1.0937646921255206e-05,-0.00016382459842956276,0.22322315366920625,0.6382184505284605,0.5035755352945795,0.4950461796809404
all_heartbeats,all,seconds_to_close,"(90.0, 120.0]",654,0.0005966823151628831,0.0018051701625690642,0.041948875207517215,0.1501901922810619,0.513897343440943,0.4969418960244648
all_heartbeats,train,seconds_to_close,"(-0.001, 60.0]",790,0.00116236538520606,0.020151986860202864,0.03729680253725901,0.21526608226827804,0.5219648659781192,0.5063291139240507
all_heartbeats,train,seconds_to_close,"(120.0, 180.0]",783,0.0014880927984119718,0.004109989430605365,0.06587260146065875,0.2278513605236827,0.508139738175626,0.5095785440613027
all_heartbeats,train,seconds_to_close,"(180.0, 300.0]",1563,-0.0005271686964286176,-0.0013529891956665652,0.09986042919395989,0.32017735199652686,0.5078724711232473,0.5099168266154831
all_heartbeats,train,seconds_to_close,"(300.0, 600.0]",3909,4.307260367156229e-05,-0.00011777218308051118,0.16706298399669953,0.5058387409280471,0.5208487037123525,0.5101048861601433
