policy,opportunity_key,market,entry_dt,close_time,source_line_no,selected_side,selected_ask_cents,selected_edge_cents,book_v31_platt_p_yes,v31_p_yes,book_mid_probability_p_yes,registered_utc,outcome,resolved_utc,win,gross_net_cents
book_time_v32drift85_first_edge1,heartbeat:54469,KXBTC15M-26MAY041530-30,2026-05-04 19:22:05.267000+00:00,2026-05-04 19:30:00+00:00,54469,no,87.0,2.385950709692821,0.1061404929030718,0.1692780227804408,0.135,2026-05-04 19:25:00.541793+00:00,no,2026-05-04 19:37:42.267362+00:00,True,13.0
book_time_v32drift85_first_edge1,heartbeat:54508,KXBTC15M-26MAY041545-45,2026-05-04 19:30:20.840000+00:00,2026-05-04 19:45:00+00:00,54508,no,50.0,1.118293269956261,0.4888170673004374,0.4923380794976453,0.505,2026-05-04 19:37:42.203931+00:00,yes,2026-05-04 19:54:53.003351+00:00,False,-50.0
