model,entry_policy,exit_policy,entry_edge_floor_cents,entry_ask_cap_cents,entry_min_p_side,entry_max_seconds_to_close,entry_min_seconds_to_close,train_markets,train_trades,train_coverage,train_pnl_dollars,train_cost_dollars,train_roi,train_fee_dollars,train_net_after_fees_dollars,train_net_roi_after_fees,train_net_after_fees_1c_entry_dollars,train_net_after_fees_1c_roundtrip_dollars,train_wins,train_losses,train_settled_count,train_exit_count,train_avg_entry_ask,train_avg_entry_edge,train_avg_entry_p_side,train_avg_entry_seconds_to_close,validation_markets,validation_trades,validation_coverage,validation_pnl_dollars,validation_cost_dollars,validation_roi,validation_fee_dollars,validation_net_after_fees_dollars,validation_net_roi_after_fees,validation_net_after_fees_1c_entry_dollars,validation_net_after_fees_1c_roundtrip_dollars,validation_wins,validation_losses,validation_settled_count,validation_exit_count,validation_avg_entry_ask,validation_avg_entry_edge,validation_avg_entry_p_side,validation_avg_entry_seconds_to_close,holdout_markets,holdout_trades,holdout_coverage,holdout_pnl_dollars,holdout_cost_dollars,holdout_roi,holdout_fee_dollars,holdout_net_after_fees_dollars,holdout_net_roi_after_fees,holdout_net_after_fees_1c_entry_dollars,holdout_net_after_fees_1c_roundtrip_dollars,holdout_wins,holdout_losses,holdout_settled_count,holdout_exit_count,holdout_avg_entry_ask,holdout_avg_entry_edge,holdout_avg_entry_p_side,holdout_avg_entry_seconds_to_close,all_markets,all_trades,all_coverage,all_pnl_dollars,all_cost_dollars,all_roi,all_fee_dollars,all_net_after_fees_dollars,all_net_roi_after_fees,all_net_after_fees_1c_entry_dollars,all_net_after_fees_1c_roundtrip_dollars,all_wins,all_losses,all_settled_count,all_exit_count,all_avg_entry_ask,all_avg_entry_edge,all_avg_entry_p_side,all_avg_entry_seconds_to_close,min_split_coverage,min_split_pnl_dollars,min_split_net_after_fees_dollars,min_split_net_after_fees_1c_roundtrip_dollars,all_splits_positive,all_splits_net_after_fees_positive,all_splits_net_after_fees_1c_roundtrip_positive,eligible_80,min_split_net_after_fees_1c_entry_dollars,all_splits_1c_entry_positive
book_mid,edge-3_ask100_p0.55_stc0-600,hold,-3.0,100.0,0.55,600.0,0.0,198,191,0.9646464646464646,-3.16,281.16,-0.011239152084222506,5.98,-9.14,-0.032508180395504335,-12.96,-12.96,139,52,191,0,73.6020942408377,-0.5497382198952868,0.7305235602094241,553.7611937172775,66,63,0.9545454545454546,-4.48,96.48,-0.04643449419568823,1.83,-6.3100000000000005,-0.06540215588723051,-7.57,-7.57,46,17,63,0,76.57142857142857,-0.5793650793650792,0.7599206349206349,559.517380952381,66,62,0.9393939393939394,-10.44,92.44,-0.11293812202509736,1.85,-12.29,-0.13295110341843358,-13.53,-13.53,41,21,62,0,74.54838709677419,-0.6290322580645147,0.7391935483870966,563.5885967741934,330,316,0.9575757575757575,-18.08,470.08,-0.03846153846153846,9.66,-27.74,-0.059011232130701155,-34.06,-34.06,226,90,316,0,74.37974683544304,-0.5712025316455687,0.7380854430379747,556.8369493670887,0.9393939393939394,-10.44,-12.29,-13.53,False,False,False,True,-13.53,False
book_mid,edge-3_ask100_p0.55_stc0-600,prob50,-3.0,100.0,0.55,600.0,0.0,198,191,0.9646464646464646,6.68,281.16,0.023758713899558966,9.2,-2.5199999999999996,-0.008962868117797692,-6.34,-7.9799999999999995,139,52,109,82,73.6020942408377,-0.5497382198952868,0.7305235602094241,553.7611937172775,66,63,0.9545454545454546,5.86,96.48,0.0607379767827529,2.6,3.2600000000000002,0.0337893864013267,2.0,1.6,46,17,43,20,76.57142857142857,-0.5793650793650792,0.7599206349206349,559.517380952381,66,62,0.9393939393939394,-3.36,92.44,-0.036347901341410645,3.07,-6.43,-0.06955863262656858,-7.67,-8.29,41,21,31,31,74.54838709677419,-0.6290322580645147,0.7391935483870966,563.5885967741934,330,316,0.9575757575757575,9.18,470.08,0.0195285908781484,14.87,-5.6899999999999995,-0.01210432266848196,-12.01,-14.67,226,90,183,133,74.37974683544304,-0.5712025316455687,0.7380854430379747,556.8369493670887,0.9393939393939394,-3.36,-6.43,-8.29,False,False,False,True,-7.67,False
book_mid,edge-3_ask100_p0.55_stc0-600,prob52,-3.0,100.0,0.55,600.0,0.0,198,191,0.9646464646464646,6.22,281.16,0.022122634798691133,9.37,-3.1499999999999995,-0.011203585147247116,-6.969999999999999,-8.69,139,52,105,86,73.6020942408377,-0.5497382198952868,0.7305235602094241,553.7611937172775,66,63,0.9545454545454546,6.48,96.48,0.06716417910447761,2.6,3.8800000000000003,0.040215588723051414,2.62,2.22,46,17,43,20,76.57142857142857,-0.5793650793650792,0.7599206349206349,559.517380952381,66,62,0.9393939393939394,-3.06,92.44,-0.03310255300735612,3.11,-6.17,-0.06674599740372134,-7.41,-8.05,41,21,30,32,74.54838709677419,-0.6290322580645147,0.7391935483870966,563.5885967741934,330,316,0.9575757575757575,9.64,470.08,0.020507147719537103,15.08,-5.4399999999999995,-0.011572498298162015,-11.76,-14.52,226,90,178,138,74.37974683544304,-0.5712025316455687,0.7380854430379747,556.8369493670887,0.9393939393939394,-3.06,-6.17,-8.69,False,False,False,True,-7.41,False
book_mid,edge-3_ask100_p0.55_stc0-600,prob54,-3.0,100.0,0.55,600.0,0.0,198,191,0.9646464646464646,7.44,281.16,0.026461801109688432,9.46,-2.0200000000000005,-0.007184521269028312,-5.84,-7.6,139,52,103,88,73.6020942408377,-0.5497382198952868,0.7305235602094241,553.7611937172775,66,63,0.9545454545454546,3.58,96.48,0.037106135986733,2.77,0.81,0.008395522388059701,-0.44999999999999996,-0.9299999999999999,46,17,39,24,76.57142857142857,-0.5793650793650792,0.7599206349206349,559.517380952381,66,62,0.9393939393939394,-5.34,92.44,-0.057767200346170486,3.23,-8.57,-0.09270878407615751,-9.81,-10.51,41,21,27,35,74.54838709677419,-0.6290322580645147,0.7391935483870966,563.5885967741934,330,316,0.9575757575757575,5.68,470.08,0.012083049693669162,15.46,-9.780000000000001,-0.02080496936691627,-16.1,-19.040000000000003,226,90,169,147,74.37974683544304,-0.5712025316455687,0.7380854430379747,556.8369493670887,0.9393939393939394,-5.34,-8.57,-10.51,False,False,False,True,-9.81,False
book_mid,edge-3_ask100_p0.55_stc0-600,take10_or_prob52,-3.0,100.0,0.55,600.0,0.0,198,191,0.9646464646464646,3.42,281.16,0.012163892445582586,10.62,-7.199999999999999,-0.025608194622279125,-11.02,-14.52,139,52,16,175,73.6020942408377,-0.5497382198952868,0.7305235602094241,553.7611937172775,66,63,0.9545454545454546,-1.26,96.48,-0.013059701492537313,3.26,-4.52,-0.04684908789386401,-5.779999999999999,-6.8999999999999995,46,17,7,56,76.57142857142857,-0.5793650793650792,0.7599206349206349,559.517380952381,66,62,0.9393939393939394,-4.82,92.44,-0.05214192990047599,3.46,-8.280000000000001,-0.08957161401990482,-9.520000000000001,-10.600000000000001,41,21,8,54,74.54838709677419,-0.6290322580645147,0.7391935483870966,563.5885967741934,330,316,0.9575757575757575,-2.66,470.08,-0.005658611300204221,17.34,-20.0,-0.042545949625595644,-26.32,-32.02,226,90,31,285,74.37974683544304,-0.5712025316455687,0.7380854430379747,556.8369493670887,0.9393939393939394,-4.82,-8.280000000000001,-14.52,False,False,False,True,-11.02,False
book_mid,edge-3_ask100_p0.55_stc0-780,hold,-3.0,100.0,0.55,780.0,0.0,198,197,0.9949494949494949,2.12,263.88,0.0080339548279521,7.05,-4.93,-0.01868273457632257,-8.87,-8.87,133,64,197,0,66.9746192893401,-0.5812182741116734,0.6639340101522844,712.3692538071064,66,65,0.9848484848484849,-1.96,89.96,-0.021787461093819478,2.21,-4.17,-0.04635393508225878,-5.47,-5.47,44,21,65,0,69.2,-0.6307692307692291,0.6856923076923077,719.2455846153847,66,66,1.0,3.72,90.28,0.04120513956579531,2.28,1.4400000000000004,0.015950376606114314,0.12000000000000033,0.12000000000000033,47,19,66,0,68.39393939393939,-0.6439393939393925,0.6775,719.3093030303029,330,328,0.9939393939393939,3.88,444.12,0.008736377555615599,11.54,-7.659999999999999,-0.017247590741241103,-14.219999999999999,-14.219999999999999,224,104,328,0,67.70121951219512,-0.6036585365853642,0.6709756097560975,715.1284146341463,0.9848484848484849,-1.96,-4.93,-8.87,False,False,False,True,-8.87,False
book_mid,edge-3_ask100_p0.55_stc0-780,prob50,-3.0,100.0,0.55,780.0,0.0,198,197,0.9949494949494949,10.22,263.88,0.03872972563286343,11.2,-0.9799999999999986,-0.003713809307260871,-4.919999999999998,-7.019999999999998,133,64,92,105,66.9746192893401,-0.5812182741116734,0.6639340101522844,712.3692538071064,66,65,0.9848484848484849,3.58,89.96,0.039795464650955986,3.4,0.18000000000000016,0.0020008892841262803,-1.1199999999999999,-1.7399999999999998,44,21,34,31,69.2,-0.6307692307692291,0.6856923076923077,719.2455846153847,66,66,1.0,1.74,90.28,0.019273371732388127,3.7,-1.9600000000000002,-0.021710234824988926,-3.2800000000000002,-4.0,47,19,30,36,68.39393939393939,-0.6439393939393925,0.6775,719.3093030303029,330,328,0.9939393939393939,15.54,444.12,0.034990543096460415,18.3,-2.7600000000000016,-0.006214536611726564,-9.32,-12.76,224,104,156,172,67.70121951219512,-0.6036585365853642,0.6709756097560975,715.1284146341463,0.9848484848484849,1.74,-1.9600000000000002,-7.019999999999998,True,False,False,True,-4.919999999999998,False
book_mid,edge-3_ask100_p0.55_stc0-780,prob52,-3.0,100.0,0.55,780.0,0.0,198,197,0.9949494949494949,12.04,263.88,0.04562680006063362,11.37,0.6699999999999999,0.0025390328937395785,-3.27,-5.45,133,64,88,109,66.9746192893401,-0.5812182741116734,0.6639340101522844,712.3692538071064,66,65,0.9848484848484849,3.26,89.96,0.036238328145842595,3.44,-0.18000000000000016,-0.0020008892841262803,-1.4800000000000002,-2.12,44,21,33,32,69.2,-0.6307692307692291,0.6856923076923077,719.2455846153847,66,66,1.0,1.06,90.28,0.01174124944616748,3.78,-2.7199999999999998,-0.030128489144882583,-4.04,-4.8,47,19,28,38,68.39393939393939,-0.6439393939393925,0.6775,719.3093030303029,330,328,0.9939393939393939,16.36,444.12,0.036836890930379174,18.59,-2.2300000000000004,-0.00502116545077907,-8.79,-12.37,224,104,149,179,67.70121951219512,-0.6036585365853642,0.6709756097560975,715.1284146341463,0.9848484848484849,1.06,-2.7199999999999998,-5.45,True,False,False,True,-4.04,False
book_mid,edge-3_ask100_p0.55_stc0-780,prob54,-3.0,100.0,0.55,780.0,0.0,198,197,0.9949494949494949,12.2,263.88,0.04623313627406397,11.5,0.6999999999999993,0.002652720933757766,-3.2400000000000007,-5.48,133,64,85,112,66.9746192893401,-0.5812182741116734,0.6639340101522844,712.3692538071064,66,65,0.9848484848484849,2.6,89.96,0.028901734104046246,3.57,-0.9699999999999998,-0.010782570031124943,-2.2699999999999996,-2.9699999999999998,44,21,30,35,69.2,-0.6307692307692291,0.6856923076923077,719.2455846153847,66,66,1.0,-1.9,90.28,-0.02104563579973416,3.94,-5.84,-0.06468763845813026,-7.16,-8.0,47,19,24,42,68.39393939393939,-0.6439393939393925,0.6775,719.3093030303029,330,328,0.9939393939393939,12.9,444.12,0.029046203728721968,19.01,-6.110000000000001,-0.01375754300639467,-12.670000000000002,-16.450000000000003,224,104,139,189,67.70121951219512,-0.6036585365853642,0.6709756097560975,715.1284146341463,0.9848484848484849,-1.9,-5.84,-8.0,False,False,False,True,-7.16,False
book_mid,edge-3_ask100_p0.55_stc0-780,take10_or_prob52,-3.0,100.0,0.55,780.0,0.0,198,197,0.9949494949494949,7.54,263.88,0.02857359405790511,12.97,-5.430000000000001,-0.020577535243292408,-9.370000000000001,-13.25,133,64,3,194,66.9746192893401,-0.5812182741116734,0.6639340101522844,712.3692538071064,66,65,0.9848484848484849,-3.22,89.96,-0.035793686082703426,4.11,-7.33,-0.08148065807025345,-8.63,-9.89,44,21,2,63,69.2,-0.6307692307692291,0.6856923076923077,719.2455846153847,66,66,1.0,-0.36,90.28,-0.003987594151528578,4.27,-4.63,-0.05128489144882587,-5.95,-7.21,47,19,3,63,68.39393939393939,-0.6439393939393925,0.6775,719.3093030303029,330,328,0.9939393939393939,3.96,444.12,0.008916509051607674,21.35,-17.39,-0.039156083941277134,-23.95,-30.35,224,104,8,320,67.70121951219512,-0.6036585365853642,0.6709756097560975,715.1284146341463,0.9848484848484849,-3.22,-7.33,-13.25,False,False,False,True,-9.370000000000001,False
