dataset,candidate,slice,markets,wins,losses,accuracy,net_pnl_cents,net_per_market_cents,median_ask,median_edge
current,book_margin__rv30_over_rv60_le_1,"rv15_over_rv30=(1.0, 1.2]",90,60,30,0.6666666666666666,-180.0,-2.0,64.0,-2.5
current,book_margin__rv30_over_rv60_le_1,"rv15_over_rv30=(1.2, 10.0]",17,10,7,0.5882352941176471,-185.0,-10.882352941176471,66.0,-2.5
current,book_margin__rv30_over_rv60_le_1,"rv30_over_rv60=(-10.001, 0.8]",54,37,17,0.6851851851851852,2.0,0.037037037037037035,65.0,-2.5
current,book_margin__rv30_over_rv60_le_1,"rv30_over_rv60=(0.8, 1.0]",180,127,53,0.7055555555555556,279.0,1.55,64.0,-2.5
current,book_margin__rv30_over_rv60_le_1,"rv15_over_rv60=(-10.001, 0.8]",95,71,24,0.7473684210526316,580.0,6.105263157894737,64.0,-2.5
current,book_margin__rv30_over_rv60_le_1,"rv15_over_rv60=(0.8, 1.0]",88,62,26,0.7045454545454546,101.0,1.1477272727272727,64.0,-2.5
current,book_margin__rv30_over_rv60_le_1,"rv15_over_rv60=(1.0, 1.2]",42,25,17,0.5952380952380952,-381.0,-9.071428571428571,63.0,-2.5
current,book_margin__rv30_over_rv60_le_1,"rv15_minus_rv30=(-10.0, 0.0]",65,45,20,0.6923076923076923,-40.0,-0.6153846153846154,65.0,-2.5
current,book_margin__rv30_over_rv60_le_1,"rv15_minus_rv30=(-500.001, -10.0]",62,49,13,0.7903225806451613,686.0,11.064516129032258,63.0,-2.5
current,book_margin__rv30_over_rv60_le_1,"rv15_minus_rv30=(0.0, 10.0]",72,47,25,0.6527777777777778,-271.0,-3.763888888888889,64.0,-2.5
current,book_margin__rv30_over_rv60_le_1,"rv15_minus_rv30=(10.0, 500.0]",35,23,12,0.6571428571428571,-94.0,-2.6857142857142855,64.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,split=holdout,43,30,13,0.6976744186046512,-171.0,-3.9767441860465116,67.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,split=train,121,88,33,0.7272727272727273,141.0,1.165289256198347,67.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,split=validation,47,33,14,0.7021276595744681,-89.0,-1.8936170212765957,68.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,side=no,98,69,29,0.7040816326530612,-104.0,-1.0612244897959184,66.5,-2.5
current,book_margin__rv30_over_rv60_ge_1,side=yes,113,82,31,0.7256637168141593,-15.0,-0.13274336283185842,68.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,"score=(-1.001, 0.625]",64,42,22,0.65625,112.0,1.75,62.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,"score=(0.625, 0.65]",31,19,12,0.6129032258064516,-163.0,-5.258064516129032,64.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,"score=(0.65, 0.7]",42,32,10,0.7619047619047619,252.0,6.0,68.5,-2.5
current,book_margin__rv30_over_rv60_ge_1,"score=(0.7, 0.8]",42,32,10,0.7619047619047619,-50.0,-1.1904761904761905,75.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,"score=(0.8, 2.0]",32,26,6,0.8125,-270.0,-8.4375,89.0,-1.5
current,book_margin__rv30_over_rv60_ge_1,"edge=(-3.0, 0.0]",176,129,47,0.7329545454545454,94.0,0.5340909090909091,68.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,"edge=(-5.0, -3.0]",35,22,13,0.6285714285714286,-213.0,-6.085714285714285,66.0,-3.0
current,book_margin__rv30_over_rv60_ge_1,"ask=(60.0, 70.0]",137,93,44,0.6788321167883211,201.0,1.467153284671533,64.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,"ask=(70.0, 80.0]",42,32,10,0.7619047619047619,-50.0,-1.1904761904761905,75.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,"ask=(80.0, 90.0]",21,17,4,0.8095238095238095,-130.0,-6.190476190476191,86.0,-1.5
current,book_margin__rv30_over_rv60_ge_1,"time=(-1.001, 600.0]",49,37,12,0.7551020408163265,-175.0,-3.5714285714285716,77.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,"time=(600.0, 720.0]",29,18,11,0.6206896551724138,-280.0,-9.655172413793103,67.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,"time=(720.0, 840.0]",94,71,23,0.7553191489361702,534.0,5.680851063829787,65.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,"time=(840.0, 10000.0]",39,25,14,0.6410256410256411,-198.0,-5.076923076923077,66.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,"rv15_over_rv30=(-10.001, 0.8]",48,36,12,0.75,198.0,4.125,66.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,"rv15_over_rv30=(0.8, 1.0]",59,37,22,0.6271186440677966,-350.0,-5.932203389830509,64.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,"rv15_over_rv30=(1.0, 1.2]",66,49,17,0.7424242424242424,-13.0,-0.19696969696969696,68.5,-2.5
current,book_margin__rv30_over_rv60_ge_1,"rv15_over_rv30=(1.2, 10.0]",38,29,9,0.7631578947368421,46.0,1.2105263157894737,70.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,"rv30_over_rv60=(1.0, 1.2]",169,120,49,0.7100591715976331,-272.0,-1.6094674556213018,67.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,"rv30_over_rv60=(1.2, 10.0]",42,31,11,0.7380952380952381,153.0,3.642857142857143,66.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,"rv15_over_rv60=(-10.001, 0.8]",36,26,10,0.7222222222222222,81.0,2.25,65.5,-2.5
current,book_margin__rv30_over_rv60_ge_1,"rv15_over_rv60=(0.8, 1.0]",46,31,15,0.6739130434782609,-165.0,-3.5869565217391304,65.5,-2.5
current,book_margin__rv30_over_rv60_ge_1,"rv15_over_rv60=(1.0, 1.2]",62,44,18,0.7096774193548387,-111.0,-1.7903225806451613,67.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,"rv15_over_rv60=(1.2, 10.0]",67,50,17,0.746268656716418,76.0,1.1343283582089552,69.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,"rv15_minus_rv30=(-10.0, 0.0]",49,29,20,0.5918367346938775,-481.0,-9.816326530612244,64.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,"rv15_minus_rv30=(-500.001, -10.0]",58,44,14,0.7586206896551724,329.0,5.672413793103448,65.5,-2.5
current,book_margin__rv30_over_rv60_ge_1,"rv15_minus_rv30=(0.0, 10.0]",47,36,11,0.7659574468085106,85.0,1.8085106382978724,69.0,-2.5
current,book_margin__rv30_over_rv60_ge_1,"rv15_minus_rv30=(10.0, 500.0]",57,42,15,0.7368421052631579,-52.0,-0.9122807017543859,69.0,-2.5
current,book_margin__rv30_over_rv60_ge_1p2,split=holdout,15,13,2,0.8666666666666667,159.0,10.6,75.0,-2.5
current,book_margin__rv30_over_rv60_ge_1p2,split=train,24,16,8,0.6666666666666666,-164.0,-6.833333333333333,68.5,-2.5
current,book_margin__rv30_over_rv60_ge_1p2,split=validation,17,14,3,0.8235294117647058,181.0,10.647058823529411,66.0,-2.5
current,book_margin__rv30_over_rv60_ge_1p2,side=no,19,14,5,0.7368421052631579,41.0,2.1578947368421053,66.0,-2.5
current,book_margin__rv30_over_rv60_ge_1p2,side=yes,37,29,8,0.7837837837837838,135.0,3.6486486486486487,70.0,-2.5
current,book_margin__rv30_over_rv60_ge_1p2,"score=(-1.001, 0.625]",19,12,7,0.631578947368421,-14.0,-0.7368421052631579,62.0,-2.5
current,book_margin__rv30_over_rv60_ge_1p2,"score=(0.7, 0.8]",13,11,2,0.8461538461538461,92.0,7.076923076923077,75.0,-2.5
current,book_margin__rv30_over_rv60_ge_1p2,"edge=(-3.0, 0.0]",46,34,12,0.7391304347826086,-8.0,-0.17391304347826086,68.0,-2.5
current,book_margin__rv30_over_rv60_ge_1p2,"ask=(60.0, 70.0]",32,22,10,0.6875,88.0,2.75,63.0,-2.5
current,book_margin__rv30_over_rv60_ge_1p2,"ask=(70.0, 80.0]",13,11,2,0.8461538461538461,92.0,7.076923076923077,75.0,-2.5
current,book_margin__rv30_over_rv60_ge_1p2,"time=(720.0, 840.0]",31,22,9,0.7096774193548387,-8.0,-0.25806451612903225,66.0,-2.5
current,book_margin__rv30_over_rv60_ge_1p2,"rv15_over_rv30=(-10.001, 0.8]",12,9,3,0.75,48.0,4.0,68.0,-2.5
current,book_margin__rv30_over_rv60_ge_1p2,"rv15_over_rv30=(1.2, 10.0]",24,20,4,0.8333333333333334,165.0,6.875,71.5,-2.5
current,book_margin__rv30_over_rv60_ge_1p2,"rv30_over_rv60=(1.2, 10.0]",56,43,13,0.7678571428571429,176.0,3.142857142857143,68.0,-2.5
current,book_margin__rv30_over_rv60_ge_1p2,"rv15_over_rv60=(1.2, 10.0]",36,27,9,0.75,-16.0,-0.4444444444444444,68.5,-2.5
current,book_margin__rv30_over_rv60_ge_1p2,"rv15_minus_rv30=(-500.001, -10.0]",16,13,3,0.8125,159.0,9.9375,68.5,-2.5
current,book_margin__rv30_over_rv60_ge_1p2,"rv15_minus_rv30=(10.0, 500.0]",33,26,7,0.7878787878787878,118.0,3.5757575757575757,68.0,-2.5
current,book_margin__rv15_over_rv60_le_0p8,split=holdout,35,23,12,0.6571428571428571,-231.0,-6.6,66.0,-2.5
current,book_margin__rv15_over_rv60_le_0p8,split=train,111,86,25,0.7747747747747747,640.0,5.7657657657657655,67.0,-2.5
current,book_margin__rv15_over_rv60_le_0p8,split=validation,28,21,7,0.75,110.0,3.9285714285714284,66.0,-2.5
current,book_margin__rv15_over_rv60_le_0p8,side=no,92,68,24,0.7391304347826086,240.0,2.608695652173913,66.5,-2.5
current,book_margin__rv15_over_rv60_le_0p8,side=yes,82,62,20,0.7560975609756098,279.0,3.402439024390244,66.5,-2.5
current,book_margin__rv15_over_rv60_le_0p8,"score=(-1.001, 0.625]",57,39,18,0.6842105263157895,263.0,4.614035087719298,62.0,-2.5
current,book_margin__rv15_over_rv60_le_0p8,"score=(0.625, 0.65]",25,12,13,0.48,-469.0,-18.76,65.0,-2.5
current,book_margin__rv15_over_rv60_le_0p8,"score=(0.65, 0.7]",36,30,6,0.8333333333333334,474.0,13.166666666666666,68.0,-2.5
current,book_margin__rv15_over_rv60_le_0p8,"score=(0.7, 0.8]",31,25,6,0.8064516129032258,95.0,3.064516129032258,75.0,-2.5
current,book_margin__rv15_over_rv60_le_0p8,"score=(0.8, 2.0]",25,24,1,0.96,156.0,6.24,89.0,-1.5
current,book_margin__rv15_over_rv60_le_0p8,"edge=(-3.0, 0.0]",146,112,34,0.7671232876712328,643.0,4.404109589041096,67.0,-2.5
current,book_margin__rv15_over_rv60_le_0p8,"edge=(-5.0, -3.0]",28,18,10,0.6428571428571429,-124.0,-4.428571428571429,65.5,-3.0
current,book_margin__rv15_over_rv60_le_0p8,"ask=(60.0, 70.0]",117,81,36,0.6923076923076923,341.0,2.9145299145299144,64.0,-2.5
current,book_margin__rv15_over_rv60_le_0p8,"ask=(70.0, 80.0]",32,25,7,0.78125,22.0,0.6875,75.0,-2.5
current,book_margin__rv15_over_rv60_le_0p8,"ask=(80.0, 90.0]",15,15,0,1.0,196.0,13.066666666666666,86.0,-1.5
current,book_margin__rv15_over_rv60_le_0p8,"time=(-1.001, 600.0]",68,51,17,0.75,-160.0,-2.3529411764705883,75.0,-2.5
current,book_margin__rv15_over_rv60_le_0p8,"time=(600.0, 720.0]",31,19,12,0.6129032258064516,-284.0,-9.161290322580646,66.0,-2.5
current,book_margin__rv15_over_rv60_le_0p8,"time=(720.0, 840.0]",54,43,11,0.7962962962962963,670.0,12.407407407407407,64.0,-2.5
current,book_margin__rv15_over_rv60_le_0p8,"time=(840.0, 10000.0]",21,17,4,0.8095238095238095,293.0,13.952380952380953,64.0,-2.5
current,book_margin__rv15_over_rv60_le_0p8,"rv15_over_rv30=(-10.001, 0.8]",108,82,26,0.7592592592592593,493.0,4.564814814814815,66.5,-2.5
current,book_margin__rv15_over_rv60_le_0p8,"rv15_over_rv30=(0.8, 1.0]",54,37,17,0.6851851851851852,-218.0,-4.037037037037037,66.0,-2.5
current,book_margin__rv15_over_rv60_le_0p8,"rv15_over_rv30=(1.0, 1.2]",12,11,1,0.9166666666666666,244.0,20.333333333333332,68.0,-2.5
current,book_margin__rv15_over_rv60_le_0p8,"rv30_over_rv60=(-10.001, 0.8]",45,33,12,0.7333333333333333,226.0,5.022222222222222,65.0,-2.5
current,book_margin__rv15_over_rv60_le_0p8,"rv30_over_rv60=(0.8, 1.0]",71,54,17,0.7605633802816901,218.0,3.0704225352112675,67.0,-2.5
current,book_margin__rv15_over_rv60_le_0p8,"rv30_over_rv60=(1.0, 1.2]",44,30,14,0.6818181818181818,-196.0,-4.454545454545454,68.5,-2.5
current,book_margin__rv15_over_rv60_le_0p8,"rv30_over_rv60=(1.2, 10.0]",14,13,1,0.9285714285714286,271.0,19.357142857142858,70.0,-2.5
current,book_margin__rv15_over_rv60_le_0p8,"rv15_over_rv60=(-10.001, 0.8]",174,130,44,0.7471264367816092,519.0,2.9827586206896552,66.5,-2.5
current,book_margin__rv15_over_rv60_le_0p8,"rv15_minus_rv30=(-10.0, 0.0]",42,28,14,0.6666666666666666,-257.0,-6.119047619047619,67.0,-2.5
current,book_margin__rv15_over_rv60_le_0p8,"rv15_minus_rv30=(-500.001, -10.0]",120,91,29,0.7583333333333333,532.0,4.433333333333334,66.0,-2.5
current,book_margin__rv15_over_rv60_le_1,split=holdout,53,34,19,0.6415094339622641,-245.0,-4.622641509433962,65.0,-2.5
current,book_margin__rv15_over_rv60_le_1,split=train,160,116,44,0.725,602.0,3.7625,64.0,-2.5
current,book_margin__rv15_over_rv60_le_1,split=validation,54,42,12,0.7777777777777778,381.0,7.055555555555555,66.0,-2.5
current,book_margin__rv15_over_rv60_le_1,side=no,147,106,41,0.7210884353741497,397.0,2.7006802721088436,65.0,-2.5
current,book_margin__rv15_over_rv60_le_1,side=yes,120,86,34,0.7166666666666667,341.0,2.841666666666667,64.0,-2.5
current,book_margin__rv15_over_rv60_le_1,"score=(-1.001, 0.625]",102,71,31,0.696078431372549,587.0,5.754901960784314,62.0,-2.5
current,book_margin__rv15_over_rv60_le_1,"score=(0.625, 0.65]",53,29,24,0.5471698113207547,-628.0,-11.849056603773585,64.0,-2.5
current,book_margin__rv15_over_rv60_le_1,"score=(0.65, 0.7]",53,44,9,0.8301886792452831,699.0,13.18867924528302,68.0,-2.5
current,book_margin__rv15_over_rv60_le_1,"score=(0.7, 0.8]",43,34,9,0.7906976744186046,79.0,1.8372093023255813,75.0,-2.5
current,book_margin__rv15_over_rv60_le_1,"score=(0.8, 2.0]",16,14,2,0.875,1.0,0.0625,84.5,-1.5
current,book_margin__rv15_over_rv60_le_1,"edge=(-3.0, 0.0]",216,159,57,0.7361111111111112,898.0,4.157407407407407,65.0,-2.5
current,book_margin__rv15_over_rv60_le_1,"edge=(-5.0, -3.0]",51,33,18,0.6470588235294118,-160.0,-3.1372549019607843,64.0,-3.0
current,book_margin__rv15_over_rv60_le_1,"ask=(60.0, 70.0]",208,144,64,0.6923076923076923,658.0,3.1634615384615383,64.0,-2.5
current,book_margin__rv15_over_rv60_le_1,"ask=(70.0, 80.0]",43,34,9,0.7906976744186046,79.0,1.8372093023255813,75.0,-2.5
current,book_margin__rv15_over_rv60_le_1,"ask=(80.0, 90.0]",13,12,1,0.9230769230769231,85.0,6.538461538461538,84.0,-1.5
current,book_margin__rv15_over_rv60_le_1,"time=(-1.001, 600.0]",60,45,15,0.75,86.0,1.4333333333333333,68.5,-2.5
current,book_margin__rv15_over_rv60_le_1,"time=(600.0, 720.0]",45,32,13,0.7111111111111111,91.0,2.022222222222222,65.0,-2.5
